項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋　　外部精度管理,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋　　外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,18旧中川／中平井橋／二重測定,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,21立会川／立会川橋／二重測定,22内川／富士見橋,23呑川／夫婦橋,24多摩川／和田橋,25秋川／東秋川橋,25秋川／東秋川橋／二重測定,26養沢川／新橋,27残堀川／立川橋,28城山川／五反田橋,29川口川／川口川橋,30程久保川／玉川橋,31三沢川／天神橋,31三沢川／天神橋／二重測定,32仙川／鎌田橋,33鶴見川／麻生橋,34成木川／両郡橋,35霞川／金子橋,36柳瀬川／清柳橋,37小河内ﾀﾞﾑ／ﾀﾞﾑ前定点
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.70,0.20,0.00003,pg/g,64,29,390,150,5500,7300,4700,3900,120,400,3500,4900,11000,50000,51000,13000,20000,57000,9200,15000,18000,4000,400,370,360,18000,540,3.6,92,100,30,110,130,45,200,19,18,120,80,28,62,40,260
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.70,0.20,0.00003,pg/g,20,9.7,140,51,1900,2500,1600,1300,34,200,1500,1500,2400,18000,18000,3500,6700,19000,3100,6300,6100,1300,150,160,150,5800,200,1.5,41,40,13,55,68,24,85,9.7,9.3,59,36,13,33,18,140
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.70,0.20,0.00003,pg/g,1.3,(0.6),9.6,3.4,130,220,110,85,2.3,15,120,110,270,1300,1200,190,440,1700,260,370,380,67,8.6,9.7,10,360,13,ND,2.2,2.3,1.0,3.5,4.8,1.6,4.6,(0.6),(0.5),3.8,2.6,0.9,2.1,1.1,12
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.70,0.20,0.00003,pg/g,1.9,1.1,14,6.3,250,200,170,130,3.2,22,92,160,520,1800,1700,290,670,2000,290,550,490,200,16,22,22,540,22,ND,4.3,4.2,1.6,7.8,8.2,2.6,15,1.3,1.1,6.3,4.2,1.3,4.1,3.3,11
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.70,0.20,0.00003,pg/g,4.8,2.5,34,15,470,460,440,320,8.7,53,230,390,1200,4300,4800,670,1800,5100,750,1300,1400,460,39,56,58,1300,51,(0.4),11,11,3.7,16,18,5.7,34,3.3,2.3,16,11,3.2,8.7,7.2,26
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.70,0.20,0.00003,pg/g,1.1,0.8,8.6,3.5,130,150,100,76,1.9,14,(58.00),99,260,1300,1100,160,540,1400,200,330,390,110,9.0,14,14,330,15,ND,2.4,2.5,1.0,5.2,5.1,2.0,9.5,0.9,0.9,4.3,2.8,0.8,2.8,1.6,6.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.70,0.20,0.00003,pg/g,(0.3),(0.3),2.0,1.0,25,25,22,17,(0.50),3.0,13,22,80,280,290,45,110,360,44,54,46,19,1.6,3.2,3.2,63,2.3,ND,(0.40),(0.40),(0.30),1.2,1.4,(0.50),2.5,(0.20),(0.20),1.0,(0.70),(0.2),1.0,(0.40),2.6
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/g,94,44,600,230,8500,11000,7200,5900,170,710,5600,7200,16000,78000,79000,18000,30000,87000,14000,24000,27000,6200,630,640,620,27000,850,5.5,150,160,51,200,240,82,350,35,33,210,140,48,110,72,460
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/g,110,53,830,270,9900,15000,8600,7000,240,790,7300,9100,16000,95000,96000,22000,36000,100000,17000,27000,30000,6400,660,670,650,29000,890,6.2,160,170,57,230,270,94,380,40,36,240,150,53,130,79,550
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/g,220,140,3300,1000,16000,18000,11000,9000,350,1200,8500,12000,17000,120000,120000,27000,46000,120000,20000,32000,36000,6500,710,750,730,29000,1000,9.2,180,190,95,600,530,210,720,87,94,320,290,120,420,130,1100
TEQ（PCDDs＋PCDFs）※2,,,,,pg-TEQ/g,0.36,0.33,4.7,1.4,23,14,8.7,7.8,0.51,2.4,6.5,11,4.2,160,150,23,37,62,10,14,15,0.87,0.46,0.72,0.72,9.1,0.74,0.2,0.23,0.23,0.51,2.2,1.6,0.92,1.6,0.28,0.26,0.8,0.56,0.46,1.7,0.45,4.3
TEQ（ｺﾌﾟﾗﾅｰPCBs）※2,,,,,pg-TEQ/g,0.048,0.025,0.54,0.14,4.2,5.9,3,2.2,0.11,0.58,3.3,3.2,2.4,33,30,7.3,10,32,4.9,7.7,8,0.93,0.18,0.3,0.3,7.8,0.24,0.013,0.038,0.038,0.075,0.22,0.26,0.097,0.27,0.035,0.034,0.17,0.088,0.048,0.15,0.076,0.58
TEQ（WHO-TEF(2006)）※2,,,,,pg-TEQ/g,0.41,0.36,5.3,1.5,27,20,12,10,0.62,3.0,9.8,15,6.6,200,180,30,47,94,15,22,23,1.8,0.64,1.0,1.0,17,0.98,0.21,0.27,0.27,0.59,2.4,1.9,1.0,1.8,0.31,0.29,0.97,0.65,0.50,1.8,0.52,4.8
TEQ（WHO-TEF(1998)）※2，※3,,,,,pg-TEQ/g,0.43,0.38,5.2,1.6,29,22,13,11,0.64,3.3,11,16,8.7,230,210,33,53,110,17,25,23,2.6,0.77,1.2,1.2,21,1.1,0.22,0.30,0.30,0.70,2.6,2.1,1.1,2.0,0.33,0.31,1.1,0.72,0.54,2.0,0.57,5.3
強熱減量,,,,,mg/g,1.3,1.6,2.7,2.2,8,7.4,10.2,10.2,5.6,3.8,12.1,9.8,5.8,9.3,9.3,11.4,10.9,11,5.3,7.1,7.1,3.2,1.7,3.4,3.4,4.4,7.2,1.4,1.4,1.4,1.5,1.4,2,1.9,2,1.7,1.7,1.7,1.4,1.7,2.6,1.5,8.5
泥分量,,,,,mg/g,98.6,99.9,97.7,98.2,100,96,89.4,89.4,90,88.2,88.1,99.9,96.2,95.7,95.7,96.3,96.6,96.8,93.2,94.1,94.1,75.7,56.8,92.1,92.1,85.3,95.9,40.5,79.9,79.9,53,41.5,70.4,48,80.9,90.9,90.9,91.5,46.3,38.4,75.8,61.9,99.6
※1 単位のpg/gは乾燥重量あたりの換算濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"※2 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※3 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
