No.,分野,区分,素地面,塗装仕様名称,塗装工程,塗料名,使用量(g/m2),目標膜厚(μm),シンナー,希釈率(重量%),塗り回数(回),塗装方法,塗装間隔(日),塗装間隔(日),VOC量（塗料）(g/m2),VOC量（シンナー）(g/m2),VOC量(g/m2),(%),耐食性,耐候性,塗料費（指数）,塗装費（指数）,塗りやすさ,塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／気温[℃],塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／湿度[RH%],参考資料
6.1.2,構造物,新設,水門（常時水中）,超低VOC塗装（常時水中）,第1層目（下塗）,無機ジンクリッチペイント,650,75,シンナー,10,1,エアレススプレー,-,6ヶ月,152,65,,,A,－,1.5,1,A,0以下,50以下,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
6.1.2,構造物,新設,水門（常時水中）,超低VOC塗装（常時水中）,ミストコート,エポキシ樹脂塗料下塗（ミストコート）,160,-,シンナー,50,1,エアレススプレー,2,10,59,80,,,A,－,1.5,1,A,10以下,85以上,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
6.1.2,構造物,新設,水門（常時水中）,超低VOC塗装（常時水中）,第2層目,無溶剤形エポキシ樹脂塗料下塗,200,100,－,0,1,エアレススプレー,1,10,0,0,,,A,－,1.5,1,C,,,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
6.1.2,構造物,新設,水門（常時水中）,超低VOC塗装（常時水中）,第3層目,無溶剤形エポキシ樹脂塗料下塗,200,100,－,0,1,エアレススプレー,1,10,0,0,,,A,－,1.5,1,C,,,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
6.1.2,構造物,新設,水門（常時水中）,超低VOC塗装（常時水中）,第4層目,無溶剤形エポキシ樹脂塗料下塗,200,100,－,0,1,エアレススプレー,1,10,0,0,,,A,－,1.5,1,C,,,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
現行,構造物,新設,水門（常時大気）,C-1塗装系,一次プライマー／第1層目（下塗）／ミストコート／第2層目（下塗）／第3層目（下塗）／第4層目（中塗）／第5層目（上塗）,,,,,,,,,,697,403,1100,(-),A,A,1,1,A,,,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時大気）,C-1塗装系,一次プライマー,無機ジンクリッチプライマー,200,(15),シンナー,10,1,エアレススプレー,-,4h,60,20,,,A,A,1,1,A,0以下,50以下,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時大気）,C-1塗装系,第1層目（下塗）,無機ジンクリッチペイント,650,75,シンナー,10,1,エアレススプレー,-,6ヶ月,152,65,,,A,A,1,1,A,0以下,50以下,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時大気）,C-1塗装系,ミストコート,エポキシ樹脂塗料下塗（ミストコート）,160,－,シンナー,50,1,エアレススプレー,2,10,59,80,,,A,A,1,1,A,10以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時大気）,C-1塗装系,第2層目（下塗）,弱溶剤形変性エポキシ樹脂塗料下塗（大気部用）,400,80,シンナー,20,1,エアレススプレー,1,10,148,80,,,A,A,1,1,A,5以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時大気）,C-1塗装系,第3層目（下塗）,弱溶剤形変性エポキシ樹脂塗料下塗（大気部用）,400,80,シンナー,20,1,エアレススプレー,1,10,148,80,,,A,A,1,1,A,5以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時大気）,C-1塗装系,第4層目（中塗）,弱溶剤形ふっ素樹脂塗料用中塗,220,40,シンナー,20,1,エアレススプレー,1,10,61,44,,,A,A,1,1,A,5以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時大気）,C-1塗装系,第5層目（上塗）,弱溶剤形ふっ素樹脂塗料上塗,170,30,シンナー,20,1,エアレススプレー,1,10,69,34,,,A,A,1,1,A,0以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
6.2.1,構造物,新設,水門（常時大気）,低VOC塗装（常時大気）,一次プライマー／第1層目（下塗）／ミストコート／第2層目（下塗）／第3層目（下塗）／第4層目（中塗）／第5層目（上塗）,,,,,,,,,,436,238,674,-39,A,C,1.5,1,A',,,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.2.1,構造物,新設,水門（常時大気）,低VOC塗装（常時大気）,一次プライマー,無機ジンクリッチプライマー,200,(15),シンナー,10,1,エアレススプレー,-,4h,60,20,,,A,C,1.5,1,A,0以下,50以下,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.2.1,構造物,新設,水門（常時大気）,低VOC塗装（常時大気）,第1層目（下塗）,無機ジンクリッチペイント,650,75,シンナー,10,1,エアレススプレー,-,6ヶ月,152,65,,,A,C,1.5,1,A,0以下,50以下,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.2.1,構造物,新設,水門（常時大気）,低VOC塗装（常時大気）,ミストコート,エポキシ樹脂塗料下塗（ミストコート）,160,－,シンナー,50,1,エアレススプレー,2,10,59,80,,,A,C,1.5,1,A,10以下,85以上,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.2.1,構造物,新設,水門（常時大気）,低VOC塗装（常時大気）,第2層目（下塗）,低溶剤形エポキシ樹脂塗料下塗,310,80,シンナー,7,1,エアレススプレー,1,10,40,22,,,A,C,1.5,1,A',10以下（標準用）／5以下，20以上（低温用）,85以上,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.2.1,構造物,新設,水門（常時大気）,低VOC塗装（常時大気）,第3層目（下塗）,低溶剤形エポキシ樹脂塗料下塗,310,80,シンナー,7,1,エアレススプレー,1,10,40,22,,,A,C,1.5,1,A',10以下（標準用）／5以下，20以上（低温用）,85以上,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.2.1,構造物,新設,水門（常時大気）,低VOC塗装（常時大気）,第4層目（中塗）,低溶剤形ポリウレタン樹脂塗料用中塗,170,40,シンナー,10,1,エアレススプレー,1,10,48,17,,,A,C,1.5,1,A,,,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.2.1,構造物,新設,水門（常時大気）,低VOC塗装（常時大気）,第5層目（上塗）,低溶剤形ポリウレタン樹脂塗料上塗,130,30,シンナー,10,1,エアレススプレー,1,10,37,13,,,A,C,1.5,1,A,,,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.2.2,構造物,新設,水門（常時大気）,超低VOC塗装（常時大気）,一次プライマー／第1層目（下塗）／ミストコート／第2層目（下塗）／第3層目（下塗）／第4層目（中塗）／第5層目（上塗）,,,,,,,,,,290,165,455,-59,A,A',2,1,C,,,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。／一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。
6.2.2,構造物,新設,水門（常時大気）,超低VOC塗装（常時大気）,一次プライマー,無機ジンクリッチプライマー,200,(15),シンナー,10,1,エアレススプレー,-,4h,60,20,,,A,A',2,1,A,0以下,50以下,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。／一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。
6.2.2,構造物,新設,水門（常時大気）,超低VOC塗装（常時大気）,第1層目（下塗）,無機ジンクリッチペイント,650,75,シンナー,10,1,エアレススプレー,-,6ヶ月,152,65,,,A,A',2,1,A,0以下,50以下,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。／一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。
6.2.2,構造物,新設,水門（常時大気）,超低VOC塗装（常時大気）,ミストコート,エポキシ樹脂塗料下塗（ミストコート）,160,－,シンナー,50,1,エアレススプレー,2,10,59,80,,,A,A',2,1,A,10以下,85以上,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。／一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。
6.2.2,構造物,新設,水門（常時大気）,超低VOC塗装（常時大気）,第2層目（下塗）,無溶剤形エポキシ樹脂塗料下塗,160,80,－,0,1,エアレススプレー,1,10,0,0,,,A,A',2,1,C,,,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。／一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。
6.2.2,構造物,新設,水門（常時大気）,超低VOC塗装（常時大気）,第3層目（下塗）,無溶剤形エポキシ樹脂塗料下塗,160,80,－,0,1,エアレススプレー,1,10,0,0,,,A,A',2,1,C,,,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。／一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。
6.2.2,構造物,新設,水門（常時大気）,超低VOC塗装（常時大気）,第4層目（中塗）,水性ふっ素樹脂塗料用中塗,230,40,水道水,5～20,1,エアレススプレー,1,10,11,0,,,A,A',2,1,B,5以下,85以上,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。／一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。
6.2.2,構造物,新設,水門（常時大気）,超低VOC塗装（常時大気）,第5層目（上塗）,水性ふっ素樹脂塗料上塗,170,30,水道水,2～10,1,エアレススプレー,1,10,9,0,,,A,A',2,1,B,5以下,85以上,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。／一方、水性塗料は低温や高湿度環境下では乾燥しにくく、厚膜になるとたれやすい傾向があります。
現行,構造物,塗替,水門（常時水中）,ｂ-1B塗装系,素地調整／第1層（下塗）／第2層／第3層／第4層,,,,,,,,,,580,215,795,(-),B,－,1,1,A,,,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,塗替,水門（常時水中）,ｂ-1B塗装系,素地調整,1種,,,,,,,,,,,,,B,－,1,1,,,,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,塗替,水門（常時水中）,ｂ-1B塗装系,第1層（下塗）,有機ジンクリッチペイント,650,－,シンナー,10,1,エアレススプレー,-,4h,130,65,,,B,－,1,1,A,10以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,塗替,水門（常時水中）,ｂ-1B塗装系,第2層,変性エポキシ樹脂塗料下塗（水中部用）,500,－,シンナー,10,1,エアレススプレー,1,10,150,50,,,B,－,1,1,A,5以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,塗替,水門（常時水中）,ｂ-1B塗装系,第3層,変性エポキシ樹脂塗料下塗（水中部用）,500,－,シンナー,10,1,エアレススプレー,1,10,150,50,,,B,－,1,1,A,5以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,塗替,水門（常時水中）,ｂ-1B塗装系,第4層,変性エポキシ樹脂塗料下塗（水中部用）,500,－,シンナー,10,1,エアレススプレー,1,10,150,50,,,B,－,1,1,A,5以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
6.3.1,構造物,塗替,水門（常時水中）,低VOC塗装（常時水中）／塗替1種ケレン,素地調整／第1層（下塗）／第2層／第3層／第4層,,,,,,,,,,282,147,429,-46,B,－,1.5,1,A',,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、やむを得ずはけ・ローラー塗装を行なう場合には薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.3.1,構造物,塗替,水門（常時水中）,低VOC塗装（常時水中）／塗替1種ケレン,素地調整,1種,,,,,,,,,,,,,B,－,1.5,1,,,,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、やむを得ずはけ・ローラー塗装を行なう場合には薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.3.1,構造物,塗替,水門（常時水中）,低VOC塗装（常時水中）／塗替1種ケレン,第1層（下塗）,有機ジンクリッチペイント,650,－,シンナー,10,1,エアレススプレー,-,4h,130,65,,,B,－,1.5,1,A,10以下,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、やむを得ずはけ・ローラー塗装を行なう場合には薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.3.1,構造物,塗替,水門（常時水中）,低VOC塗装（常時水中）／塗替1種ケレン,第2層,低溶剤形エポキシ樹脂塗料下塗,390,－,シンナー,7,1,エアレススプレー,1,10,51,27,,,B,－,1.5,1,A',10以下（標準用）／5以下，20以上（低温用）,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、やむを得ずはけ・ローラー塗装を行なう場合には薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.3.1,構造物,塗替,水門（常時水中）,低VOC塗装（常時水中）／塗替1種ケレン,第3層,低溶剤形エポキシ樹脂塗料下塗,390,－,シンナー,7,1,エアレススプレー,1,10,51,27,,,B,－,1.5,1,A',10以下（標準用）／5以下，20以上（低温用）,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、やむを得ずはけ・ローラー塗装を行なう場合には薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.3.1,構造物,塗替,水門（常時水中）,低VOC塗装（常時水中）／塗替1種ケレン,第4層,低溶剤形エポキシ樹脂塗料下塗,390,－,シンナー,7,1,エアレススプレー,1,10,51,27,,,B,－,1.5,1,A',10以下（標準用）／5以下，20以上（低温用）,85以上,【土木研究所共同研究報告書第411号「鋼構造物塗装のVOC（揮発性有機化合物）削減に関する共同研究報告」（平成 22年12月）】／低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短く、また、やむを得ずはけ・ローラー塗装を行なう場合には薄塗りが困難で仕上がり外観もやや劣るといったことに留意する必要があります。塗装時の気温により標準用（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.3.2,構造物,塗替,水門（常時水中）,超低VOC塗装（常時水中）／塗替1種ケレン,素地調整／第1層（下塗）／第2層／第3層／第4層,,,,,,,,,,130,65,195,-75,B,－,1.5,1,C,,,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
6.3.2,構造物,塗替,水門（常時水中）,超低VOC塗装（常時水中）／塗替1種ケレン,素地調整,1種,,,,,,,,,,,,,B,－,1.5,1,,,,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
6.3.2,構造物,塗替,水門（常時水中）,超低VOC塗装（常時水中）／塗替1種ケレン,第1層（下塗）,有機ジンクリッチペイント,650,－,シンナー,10,1,エアレススプレー,-,4h,130,65,,,B,－,1.5,1,A,10以下,85以上,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
