項目名,,毒性等価係数,八王子市北野清掃工場周辺／八王子市大和田町4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,八王子市北野清掃工場周辺／八王子市明神町4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,八王子市北野清掃工場周辺／日野市西平山5／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,八王子市北野清掃工場周辺／八王子市子安町2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,八王子市北野清掃工場周辺／八王子市北野町／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小平・村山・大和衛生組合周辺地区／立川市幸町2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小平・村山・大和衛生組合周辺地区／立川市幸町5／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小平・村山・大和衛生組合周辺地区／東大和市桜が丘2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小平・村山・大和衛生組合周辺地区／小平市栄町1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小平・村山・大和衛生組合周辺地区／小平市小川町1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,東村山市秋水園周辺地区／東村山市秋津町5／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,東村山市秋水園周辺地区／東村山市秋津町4①／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,東村山市秋水園周辺地区／東村山市秋津町4②／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,東村山市秋水園周辺地区／東村山市秋津町3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,東村山市秋水園周辺地区／東村山市秋津町2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
ＰＣＤＦｓ,"1,3,6,8-TeCDF",0,0.32,0.09,3.2,0.29,0.08,2.2,0.32,0.09,0.71,0.30,0.08,1.0,0.29,0.08,1.8,0.26,0.08,(0.22),0.28,0.08,0.93,0.26,0.08,0.80,0.27,0.08,0.38,0.27,0.08,3.3,0.26,0.08,2.1,0.28,0.08,3.2,0.28,0.08,2.6,0.26,0.08,2.8,0.25,0.08,1.4
ＰＣＤＦｓ,"1,2,7,8-TeCDF",0,0.32,0.09,5.4,0.29,0.08,3.2,0.32,0.09,1.0,0.30,0.08,1.5,0.29,0.08,2.1,0.26,0.08,(0.23),0.28,0.08,1.3,0.26,0.08,1.0,0.27,0.08,0.61,0.27,0.08,4.4,0.26,0.08,2.6,0.28,0.08,4.6,0.28,0.08,3.4,0.26,0.08,3.4,0.25,0.08,1.5
ＰＣＤＦｓ,"2,3,7,8-TeCDF",0.1,0.32,0.09,4.9,0.29,0.08,3.4,0.32,0.09,0.79,0.30,0.08,1.4,0.29,0.08,1.9,0.26,0.08,(0.23),0.28,0.08,1.3,0.26,0.08,0.78,0.27,0.08,0.54,0.27,0.08,3.7,0.26,0.08,2.2,0.28,0.08,4.3,0.28,0.08,3.0,0.26,0.08,2.7,0.25,0.08,1.2
ＰＣＤＦｓ,"1,2,3,7,8-PeCDF",0.03,0.6,0.2,5.1,0.5,0.2,4.1,0.6,0.2,0.9,0.6,0.2,1.8,0.5,0.2,2.6,0.26,0.08,0.26,0.28,0.08,1.6,0.26,0.08,1.2,0.27,0.08,0.56,0.27,0.08,5.1,0.26,0.08,3.4,0.28,0.08,6.5,0.28,0.08,4.1,0.26,0.08,4.4,0.25,0.08,1.9
ＰＣＤＦｓ,"2,3,4,7,8-PeCDF",0.3,0.6,0.2,5.7,0.5,0.2,6.1,0.6,0.2,1.4,0.6,0.2,2.4,0.5,0.2,4.6,0.28,0.08,(0.27),0.29,0.09,2.0,0.27,0.08,1.8,0.28,0.08,0.80,0.28,0.08,7.7,0.26,0.08,4.7,0.28,0.08,8.5,0.28,0.08,5.0,0.26,0.08,6.3,0.25,0.08,2.7
ＰＣＤＦｓ,"1,2,3,4,7,8-HxCDF",0.1,0.26,0.09,7.5,0.24,0.08,6.7,0.26,0.09,1.6,0.25,0.08,2.8,0.24,0.08,5.1,0.5,0.2,0.5,0.6,0.2,2.5,0.5,0.2,2.6,0.5,0.2,1.2,0.5,0.2,9.7,0.5,0.2,5.8,0.6,0.2,13,0.6,0.2,7.2,0.5,0.2,8.4,0.5,0.2,3.6
ＰＣＤＦｓ,"1,2,3,6,7,8-HxCDF",0.1,0.15,0.06,7.5,0.13,0.05,6.8,0.14,0.06,2.1,0.14,0.06,3.5,0.13,0.05,6.1,0.5,0.2,0.5,0.6,0.2,2.6,0.5,0.2,3.1,0.5,0.2,1.3,0.5,0.2,12,0.5,0.2,7.0,0.6,0.2,14,0.6,0.2,7.6,0.5,0.2,9.8,0.5,0.2,4.2
ＰＣＤＦｓ,"1,2,3,7,8,9-HxCDF",0.1,0.8,0.2,0.9,0.7,0.2,0.5,0.7,0.2,0.3,0.7,0.2,0.4,0.7,0.2,0.7,0.5,0.2,ND,0.6,0.2,ND,0.5,0.2,(0.3),0.5,0.2,ND,0.5,0.2,0.8,0.5,0.2,(0.4),0.6,0.2,1.2,0.6,0.2,(0.5),0.5,0.2,0.8,0.5,0.2,(0.3)
ＰＣＤＦｓ,"2,3,4,6,7,8-HxCDF",0.1,0.5,0.1,8.8,0.4,0.1,6.9,0.5,0.1,3.2,0.4,0.1,5.0,0.4,0.1,9.0,0.5,0.2,0.7,0.6,0.2,3.6,0.5,0.2,4.5,0.5,0.2,1.6,0.5,0.2,16,0.5,0.2,11,0.6,0.2,21,0.6,0.2,10,0.5,0.2,15,0.5,0.2,6.4
ＰＣＤＦｓ,"1,2,3,4,6,7,8-HpCDF",0.01,0.6,0.2,42,0.5,0.2,28,0.6,0.2,9.7,0.6,0.2,15,0.5,0.2,31,0.5,0.2,4.2,0.6,0.2,11,0.5,0.2,11,0.5,0.2,5.3,0.5,0.2,45,0.5,0.2,33,0.6,0.2,68,0.6,0.2,37,0.5,0.2,45,0.5,0.2,17
ＰＣＤＦｓ,"1,2,3,4,7,8,9-HpCDF",0.01,1.4,0.4,6.9,1.3,0.4,3.1,1.4,0.4,2.1,1.3,0.4,3.0,1.3,0.4,6.3,0.5,0.2,2.4,0.6,0.2,3.3,0.5,0.2,2.7,0.5,0.2,0.9,0.5,0.2,9.3,0.5,0.2,6.7,0.6,0.2,13,0.6,0.2,6.5,0.5,0.2,8.9,0.5,0.2,3.8
ＰＣＤＦｓ,OCDF,0.0003,1.6,0.5,53,1.5,0.4,14,1.6,0.5,9.5,1.5,0.4,15,1.5,0.4,40,1.1,0.3,15,1.1,0.3,18,1.1,0.3,13,1.1,0.3,6.3,1.1,0.3,48,1.0,0.3,34,1.0,0.3,66,1.0,0.3,44,1.0,0.3,41,1.0,0.3,18
コプラナーＰＣＢｓ,"3,4,4',5-TeCB(#81)",0.0003,1.1,0.4,2.8,1.0,0.3,1.9,1.1,0.3,3.2,1.0,0.3,0.9,1.0,0.3,1.3,0.5,0.2,ND,0.6,0.2,1.2,0.5,0.2,(0.4),0.5,0.2,(0.4),0.5,0.2,2.7,0.5,0.2,1.8,0.6,0.2,4.4,0.6,0.2,2.1,0.5,0.2,2.1,0.5,0.2,1.0
コプラナーＰＣＢｓ,"3,3',4,4'-TeCB(#77)",0.0001,0.7,0.2,45,0.6,0.2,29,0.7,0.2,72,0.7,0.2,13,0.6,0.2,14,0.5,0.2,3.6,0.6,0.2,19,0.5,0.2,5.5,0.5,0.2,5.9,0.5,0.2,39,0.5,0.2,18,0.6,0.2,70,0.6,0.2,24,0.5,0.2,23,0.5,0.2,9.2
コプラナーＰＣＢｓ,"3,3',4,4',5-PeCB(#126)",0.1,0.4,0.1,12,0.3,0.1,9.9,0.3,0.1,8.4,0.3,0.1,3.7,0.3,0.1,4.9,0.5,0.2,0.7,0.6,0.2,4.7,0.5,0.2,2.3,0.5,0.2,1.9,0.5,0.2,20,0.5,0.2,8.7,0.6,0.2,55,0.6,0.2,11,0.5,0.2,10,0.5,0.2,4.7
コプラナーＰＣＢｓ,"3,3',4,4',5,5'-HxCB(#169)",0.03,0.9,0.3,3.6,0.8,0.3,2.2,0.9,0.3,0.7,0.9,0.3,0.9,0.9,0.3,1.6,0.5,0.2,(0.4),0.6,0.2,1.3,0.5,0.2,0.7,0.5,0.2,0.8,0.5,0.2,5.3,0.5,0.2,2.4,0.6,0.2,6.2,0.6,0.2,2.9,0.5,0.2,2.8,0.5,0.2,1.4
コプラナーＰＣＢｓ,"2',3,4,4',5-PeCB(#123)",0.00003,0.9,0.2,12,0.8,0.2,13,0.9,0.2,6.8,0.8,0.2,2.6,0.8,0.2,2.3,0.5,0.2,0.7,0.6,0.2,6.5,0.5,0.2,2.3,0.5,0.2,1.6,0.5,0.2,8.3,0.5,0.2,4.1,0.6,0.2,110,0.6,0.2,6.9,0.5,0.2,5.1,0.5,0.2,1.7
コプラナーＰＣＢｓ,"2,3',4,4',5-PeCB(#118)",0.00003,1.6,0.5,360,1.5,0.4,360,1.6,0.5,130,1.5,0.4,88,1.5,0.4,54,0.5,0.2,22,0.6,0.2,140,0.5,0.2,66,0.5,0.2,44,0.5,0.2,310,0.5,0.2,91,0.6,0.2,4300,0.6,0.2,180,0.5,0.2,85,0.5,0.2,38
コプラナーＰＣＢｓ,"2,3,3',4,4'-PeCB(#105)",0.00003,1.3,0.4,150,1.2,0.4,190,1.3,0.4,120,1.2,0.4,40,1.2,0.4,31,0.5,0.2,11,0.6,0.2,70,0.5,0.2,32,0.5,0.2,22,0.5,0.2,130,0.5,0.2,49,0.6,0.2,1700,0.6,0.2,95,0.5,0.2,55,0.5,0.2,21
コプラナーＰＣＢｓ,"2,3,4,4',5-PeCB(#114)",0.00003,1.2,0.4,6.0,1.1,0.3,7.6,1.1,0.3,4.2,1.1,0.3,1.7,1.1,0.3,1.0,0.5,0.2,0.6,0.6,0.2,4.1,0.5,0.2,1.5,0.5,0.2,1.1,0.5,0.2,6.1,0.5,0.2,3.2,0.6,0.2,72,0.6,0.2,4.7,0.5,0.2,2.7,0.5,0.2,1.2
コプラナーＰＣＢｓ,"2,3',4,4',5,5'-HxCB(#167)",0.00003,1.1,0.4,32,1.0,0.3,61,1.1,0.3,9.7,1.0,0.3,17,1.0,0.3,6.5,0.5,0.2,2.0,0.6,0.2,13,0.5,0.2,10,0.5,0.2,5.5,0.5,0.2,110,0.5,0.2,12,0.6,0.2,540,0.6,0.2,23,0.5,0.2,14,0.5,0.2,5.1
コプラナーＰＣＢｓ,"2,3,3',4,4',5-HxCB(#156)",0.00003,0.4,0.1,56,0.4,0.1,110,0.4,0.1,16,0.4,0.1,30,0.4,0.1,12,0.5,0.2,4.3,0.6,0.2,22,0.5,0.2,15,0.5,0.2,11,0.5,0.2,210,0.5,0.2,22,0.6,0.2,1300,0.6,0.2,45,0.5,0.2,24,0.5,0.2,9.3
コプラナーＰＣＢｓ,"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.4,0.1,17,0.4,0.1,39,0.4,0.1,6.7,0.4,0.1,8.2,0.4,0.1,4.5,0.5,0.2,1.5,0.6,0.2,8.4,0.5,0.2,8.1,0.5,0.2,3.1,0.5,0.2,35,0.5,0.2,7.5,0.6,0.2,380,0.6,0.2,15,0.5,0.2,9.5,0.5,0.2,4.2
コプラナーＰＣＢｓ,"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,1.2,0.4,6.8,1.1,0.3,11,1.2,0.3,2.4,1.2,0.3,5.0,1.1,0.3,3.0,0.5,0.2,(0.4),0.6,0.2,3.4,0.5,0.2,3.5,0.5,0.2,2.6,0.5,0.2,70,0.5,0.2,4.2,0.6,0.2,65,0.6,0.2,7.2,0.5,0.2,5.6,0.5,0.2,2.0
TeCDDs ,,,―,―,61,―,―,22,―,―,9.1,―,―,18,―,―,43,―,―,3.6,―,―,20,―,―,20,―,―,9.1,―,―,99,―,―,48,―,―,95,―,―,49,―,―,69,―,―,57
PeCDDs ,,,―,―,53,―,―,24,―,―,9.5,―,―,16,―,―,51,―,―,2.7,―,―,17,―,―,16,―,―,6.6,―,―,60,―,―,41,―,―,80,―,―,46,―,―,56,―,―,28
HxCDDs ,,,―,―,110,―,―,32,―,―,16,―,―,26,―,―,88,―,―,7.0,―,―,26,―,―,19,―,―,12,―,―,83,―,―,66,―,―,140,―,―,79,―,―,88,―,―,36
HpCDDs,,,―,―,430,―,―,35,―,―,20,―,―,38,―,―,210,―,―,33,―,―,45,―,―,23,―,―,21,―,―,120,―,―,85,―,―,180,―,―,160,―,―,140,―,―,52
OCDD,,,―,―,5800,―,―,64,―,―,35,―,―,80,―,―,1500,―,―,290,―,―,440,―,―,48,―,―,80,―,―,340,―,―,290,―,―,420,―,―,630,―,―,280,―,―,190
Total（PCDDs）,,,―,―,6400,―,―,180,―,―,90,―,―,180,―,―,1900,―,―,336.3,―,―,548,―,―,126,―,―,128.7,―,―,702,―,―,530,―,―,915,―,―,964,―,―,633,―,―,363
TeCDFs,,,―,―,110,―,―,78,―,―,24,―,―,35,―,―,55,―,―,6.6,―,―,31,―,―,32,―,―,14,―,―,120,―,―,71,―,―,120,―,―,84,―,―,91,―,―,45
PeCDFs,,,―,―,86,―,―,86,―,―,24,―,―,39,―,―,68,―,―,6.6,―,―,33,―,―,41,―,―,15,―,―,150,―,―,80,―,―,150,―,―,90,―,―,120,―,―,51
HxCDFs,,,―,―,91,―,―,74,―,―,25,―,―,41,―,―,73,―,―,8.0,―,―,30,―,―,38,―,―,14,―,―,130,―,―,79,―,―,150,―,―,85,―,―,110,―,―,47
HpCDFs,,,―,―,100,―,―,43,―,―,20,―,―,29,―,―,64,―,―,14,―,―,25,―,―,23,―,―,9.8,―,―,88,―,―,67,―,―,130,―,―,76,―,―,86,―,―,34
OCDF,,,―,―,53,―,―,14,―,―,9.5,―,―,15,―,―,40,―,―,15,―,―,18,―,―,13,―,―,6.3,―,―,48,―,―,34,―,―,66,―,―,44,―,―,41,―,―,18
Total（PCDFs）,,,―,―,440,―,―,300,―,―,100,―,―,160,―,―,300,―,―,50.2,―,―,137,―,―,147,―,―,59.1,―,―,536,―,―,331,―,―,616,―,―,379,―,―,448,―,―,195
Total (PCDDs+PCDFs),,,―,―,6900,―,―,470,―,―,190,―,―,340,―,―,2200,―,―,386.5,―,―,685,―,―,273,―,―,187.8,―,―,1238,―,―,861,―,―,1531,―,―,1343,―,―,1081,―,―,558
Total Co-PCBs,,,―,―,700,―,―,840,―,―,380,―,―,210,―,―,140,―,―,47.2,―,―,293.6,―,―,147.3,―,―,99.9,―,―,946.4,―,―,223.9,―,―,8602.6,―,―,416.8,―,―,238.8,―,―,98.8
TEQ Total(PCDDs+PCDFs),,単位：pg-TEQ/g,,,17,,,7.3,,,2.5,,,4.0,,,12,,,0.99,,,3.6,,,3.2,,,1.7,,,14,,,8.8,,,17,,,10,,,13,,,4.9
TEQ Total Co-PCB,,単位：pg-TEQ/g,,,1.3,,,1.1,,,0.86,,,0.4,,,0.5,,,0.072,,,0.52,,,0.26,,,0.22,,,2.2,,,0.95,,,5.9,,,1.2,,,1.1,,,0.52
TEQ Total(PCDDs+PCDFs+Co-PCB),,単位：pg-TEQ/g,,,18,,,8.4,,,3.3,,,4.4,,,12,,,1.1,,,4.1,,,3.5,,,1.9,,,16,,,9.8,,,23,,,11,,,14,,,5.4
含水率（％）,,,,,10.1,,,0.8,,,8.6,,,4.8,,,1.4,,,4.4,,,9.6,,,1.3,,,7.4,,,6.1,,,5.8,,,11,,,10.4,,,5.1,,,2
強熱減量（％）,,,,,21.5,,,2.4,,,8.9,,,6.7,,,3.6,,,7,,,7.7,,,2.1,,,7.5,,,6.2,,,6.7,,,17.7,,,10,,,5.2,,,3.4
土色,,,,,黒,,,褐灰,,,褐,,,明褐,,,灰黄褐 ,,,暗ｵﾘｰﾌﾞ灰,,,灰黄褐,,,褐灰,,,灰黄褐,,,暗褐 ,,,暗褐,,,黒褐 ,,,褐 ,,,褐 ,,,暗褐
*：毒性等量は、実測濃度が定量下限未満の数値は０（ゼロ）として算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
