【2019年度HAPs成分】,,,,,,,,,,,,,,,,,,,,,,,
7,Carbon tetrachloride,0.12,0.04,0.545,0.539,0.541,0.553,0.555,0.551,0.556,0.558,0.55,0.541,0.544,0.543,0.548,0.545,0.536,0.541,0.543,0.554,0.545,0.548
8,"1,2-Dichloroethane",0.11,0.04,0.171,0.156,0.14,0.121,0.141,0.116,0.12,0.127,0.137,0.114,0.12,0.117,0.133,0.132,0.124,0.128,0.12,0.143,0.13,0.112
9,Benzene,0.05,0.02,1.279,0.936,2.025,0.949,0.891,0.811,1.041,1.068,1.125,0.79,0.782,0.786,1.057,1.076,0.967,1.022,1.144,1.264,1.113,0.464
10,Trichloroethylene,0.1,0.03,0.667,0.65,2.663,0.705,1.149,0.87,1.703,1.029,1.18,0.561,1.283,0.922,1.128,1.316,0.602,0.959,0.707,1.149,0.944,0.232
11,Toluene,0.06,0.02,5.808,7.253,8.453,6.838,8.103,7.187,9.775,7.186,7.575,5.917,6.632,6.274,7.315,7.016,6.808,6.912,8.031,9.929,7.946,2.123
12,Tetrachloroethylene,0.12,0.04,0.145,0.233,0.166,0.227,0.307,0.242,0.286,0.156,0.22,0.196,0.121,0.159,0.208,0.193,0.212,0.203,0.2,0.259,0.216,0.077
13,Ethylbenzene,0.05,0.02,2.228,3.389,3.005,1.893,1.971,1.67,2.231,1.95,2.292,1.673,1.909,1.791,2.192,2.017,1.991,2.004,2.922,2.317,2.312,0.726
14,"m,p-Xylene",0.04,0.02,1.596,2.341,2.206,1.466,1.477,1.275,1.737,1.41,1.688,1.23,1.406,1.318,1.614,1.586,1.583,1.585,2.476,2.08,1.931,0.344
15,o-Xylene,0.05,0.02,0.542,0.713,0.752,0.514,0.513,0.454,0.615,0.476,0.572,0.437,0.506,0.472,0.552,0.553,0.553,0.553,0.994,0.737,0.709,0.14
16,Styrene,0.06,0.02,0.196,0.188,0.276,0.268,0.196,0.141,0.197,0.174,0.205,0.162,0.152,0.157,0.195,0.198,0.152,0.175,0.289,0.209,0.212,0.051
ISD,Toluene-d8,0,0,,,,,,,,,,,,,,,,,,,,
17,HCFC-22,0.08,0.03,1.34,1.426,1.381,1.431,1.501,1.519,1.378,1.367,1.418,1.388,1.292,1.34,1.402,1.414,1.333,1.373,1.367,1.436,1.387,1.139
18,iso-Butane,0.07,0.03,3.344,2.985,4.771,3.686,4.124,3.153,5,3.818,3.86,3.199,2.8,3,3.688,3.737,4.559,4.148,4.617,4.368,4.32,1.123
19,CFC-12,0.11,0.04,2.68,2.671,2.721,2.682,2.685,2.691,2.683,2.706,2.69,2.716,2.691,2.703,2.693,2.587,2.647,2.617,2.692,2.679,2.651,2.678
20,HCFC142b,0.09,0.03,0.124,0.147,0.131,0.13,0.116,0.119,0.118,0.116,0.125,0.26,0.119,0.19,0.138,0.112,0.125,0.118,0.127,0.208,0.143,0.107
21,Chloromethane,0.07,0.02,1.35,1.382,1.384,1.339,1.348,1.327,1.354,1.326,1.351,1.3,1.328,1.314,1.344,1.304,1.339,1.321,1.358,1.341,1.335,1.169
22,n-Butane,0.05,0.02,5.086,4.648,7.451,5.576,6.215,4.616,7.242,5.356,5.774,4.845,4.221,4.533,5.526,6.011,6.194,6.102,6.887,6.727,6.454,1.694
23,cis-2-Butene,0.11,0.04,0.189,0.142,0.295,0.124,0.144,0.125,0.285,0.224,0.191,0.161,0.17,0.165,0.186,0.177,0.378,0.278,0.24,0.27,0.266,0.062
24,Bromomethane,0.17,0.05,0.067,0.07,0.066,0.061,0.056,0.056,  < 0.05,0.055,0.06,0.052,0.053,0.053,0.059,  < 0.05,0.056,0.052,0.055,0.061,0.055,0.053
25,Chloroethane,0.09,0.03,0.095,0.112,0.082,0.095,0.108,0.101,0.11,0.08,0.098,0.076,0.072,0.074,0.093,0.091,0.081,0.086,0.092,0.103,0.092,0.048
26,HCFC-123,0.09,0.03,  < 0.03,  < 0.03,0.039,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03
27,CFC-114,0.08,0.03,0.108,0.11,0.109,0.107,0.108,0.11,0.109,0.109,0.109,0.112,0.108,0.11,0.109,0.106,0.106,0.106,0.11,0.108,0.108,0.11
28,n-Pentane,0.11,0.04,2.06,1.496,2.297,1.57,1.645,1.422,2.303,1.706,1.812,1.751,1.792,1.771,1.804,1.935,2.424,2.18,2.154,2.368,2.22,0.802
29,HCFC-225ca,0.07,0.03,  < 0.03,0.035,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03
30,HCFC-141b,0.09,0.03,0.184,0.186,0.228,0.184,0.178,0.169,0.169,0.168,0.183,0.171,0.157,0.164,0.179,0.165,0.19,0.178,0.186,0.176,0.179,0.183
31,HCFC-225cb,#REF!,#REF!,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03
32,CFC-113,0.1,0.03,0.534,0.541,0.54,0.543,0.538,0.537,0.539,0.538,0.539,0.545,0.546,0.546,0.54,0.52,0.544,0.532,0.538,0.543,0.536,0.542
33,"1,1-Dichloroethylene",0.12,0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04
34,3-Chloro-1-propene,#REF!,#REF!,0.041,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03,  < 0.03
35,n-Hexane,0.12,0.04,1.712,1.341,1.803,1.264,1.307,1.102,1.716,1.357,1.45,1.058,1.077,1.067,1.374,1.398,1.421,1.41,1.59,1.658,1.517,0.431
36,"cis-1,2-Dichloroethylene",0.08,0.03,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02
37,"1,1,1-Trichloroethane",#REF!,#REF!,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05
38,"1,2-Dichloropropane",0.17,0.05,  < 0.04,  < 0.04,  < 0.04,0.041,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,0.041,  < 0.04,  < 0.04,  < 0.04,  < 0.04,0.04
39,"cis-1,3-Dichloropropene",0.06,0.02,0.047,0.03,0.052,0.041,0.037,0.073,0.046,0.054,0.048,0.046,0.051,0.049,0.048,0.066,0.05,0.058,0.035,0.038,0.047,  < 0.03
40,"trans-1,3-Dichloropropene",0.15,0.05,0.032,  < 0.03,0.03,  < 0.03,  < 0.03,0.05,  < 0.03,0.033,0.031,0.034,0.039,0.036,0.032,0.039,0.032,0.036,  < 0.03,  < 0.03,  < 0.03,  < 0.03
41,"1,1,2-Trichloroethane",0.12,0.04,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05
42,"1,2-Dibromoethane",0.09,0.03,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05,  < 0.05
43,Chlorobenzene,0.1,0.03,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04
44,"1,1,2,2-Tetrachloroethane",0.15,0.05,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02
45,n-Decane,0.16,0.05,1.29,1.465,1.994,1.17,2.04,1.551,1.779,1.254,1.568,1.278,1.451,1.365,1.527,1.686,1.311,1.498,1.737,2.183,1.729,0.449
46,p-Ethyltoluene,0.12,0.04,0.266,0.287,0.353,0.27,0.308,0.277,0.337,0.268,0.296,0.299,0.348,0.323,0.301,0.294,0.285,0.289,0.391,0.412,0.345,0.074
47,"1,3,5-Trimethylbenzene",0.05,0.02,0.246,0.269,0.35,0.24,0.291,0.254,0.32,0.25,0.278,0.283,0.336,0.31,0.284,0.291,0.263,0.277,0.371,0.39,0.329,0.058
48,"1,2,4-Trimethylbenzene",0.09,0.03,0.916,1.071,1.36,0.968,1.15,1.041,1.288,1.004,1.1,1.178,1.328,1.253,1.13,1.167,1.077,1.122,1.515,1.574,1.333,0.253
49,m-Dichlorobenzene,0.07,0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02
50,"1,2,3-Trimethylbenzene",0.04,0.02,0.245,0.274,0.339,0.237,0.28,0.252,0.31,0.238,0.272,0.279,0.32,0.3,0.278,0.282,0.263,0.272,0.351,0.368,0.316,0.086
51,n-Undecane,0.05,0.02,0.59,0.588,1.404,0.417,0.632,0.563,2.579,0.468,0.905,0.53,0.667,0.599,0.844,0.678,0.565,0.621,0.711,0.802,0.689,0.179
52,p-Dichlorobenzene,0.04,0.02,0.556,0.822,1.059,1.223,1.612,1.21,1.345,0.76,1.073,1.369,0.925,1.147,1.088,1.012,1.295,1.153,1.427,1.419,1.288,0.238
53,Benzylchloride,0.08,0.03,  < 0.02,  < 0.02,  < 0.02,0.024,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02
54,o-Dichlorobenzene,0.04,0.02,0.024,0.021,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02
55,"1,2,4-Trichlorobenzene",0.09,0.03,0.034,0.026,  < 0.02,  < 0.02,0.021,  < 0.02,0.02,  < 0.02,0.02,  < 0.02,0.026,  < 0.02,  < 0.02,  < 0.02,0.025,0.021,  < 0.02,  < 0.02,  < 0.02,0.021
56,"Hexachloro-1,3-butadiene",0.07,0.02,0.058,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04,  < 0.04
57,CFC-11,0.06,0.02,1.399,1.405,1.454,1.432,1.411,1.414,1.421,1.393,1.416,1.425,1.402,1.413,1.416,1.341,1.505,1.423,1.423,1.504,1.443,1.379
58,HCFC-134a,0.06,0.02,1.051,1.07,0.938,0.902,1.059,0.898,0.849,0.82,0.948,0.851,0.978,0.915,0.942,0.783,0.918,0.851,0.983,0.995,0.92,0.664
,,,,,,,,,,,,,,,,,,,,,,,
1,IPA,0.16,0.05,2.3,2.414,2.847,2.416,3.199,2.557,4.252,2.57,2.819,2.127,2.077,2.102,2.676,2.553,2.795,2.674,2.504,4.605,3.114,0.456
2,Acetone,0.8,0.3,7.482,8.238,8.089,7.933,8.289,7.799,8.5,6.915,7.906,7.448,7.513,7.48,7.821,6.832,7.906,7.369,9.489,7.888,8.029,5.734
3,MTBE,0.06,0.02,  < 0.02,  < 0.02,0.022,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,0.021,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02
4,Methylacetate,0.08,0.03,0.148,0.203,0.194,0.175,0.233,0.151,0.259,0.142,0.188,0.162,0.149,0.155,0.182,0.16,0.18,0.17,0.179,0.179,0.174,0.117
5,n-Propylalcohol,0.6,0.2,0.307,0.219,  < 0.2,  < 0.2,  < 0.2,  < 0.2,0.37,  < 0.2,  < 0.2,  < 0.2,  < 0.2,  < 0.2,  < 0.2,0.222,  < 0.2,  < 0.2,  < 0.2,  < 0.2,  < 0.2,  < 0.2
6,MEK,0.2,0.06,2.326,2.321,2.286,2.192,3.049,3.201,4.156,2.458,2.749,2.619,2.874,2.747,2.748,2.593,3.139,2.866,2.62,3.213,2.891,0.932
7,Ethylacetate,0.7,0.2,5.746,6.497,6.827,7.749,7.3,10.646,10.888,6.362,7.752,5.702,6.259,5.981,7.398,5.546,10.588,8.067,6.939,7.983,7.764,1.504
8,Isobutylalcohol,0.16,0.05,0.895,0.779,2.816,1.365,0.555,0.275,0.478,0.634,0.975,0.413,0.404,0.408,0.861,0.371,1.104,0.737,0.68,0.491,0.662,0.257
9,n-Buthylalcohol,0.21,0.07,0.49,1.024,1.47,0.722,0.658,0.212,0.596,0.465,0.705,0.463,0.526,0.494,0.663,0.457,0.438,0.447,0.751,0.456,0.525,0.155
10,MiBK,0.09,0.03,0.28,0.322,0.35,0.25,0.273,0.419,0.464,0.25,0.326,0.274,0.357,0.315,0.324,0.306,0.493,0.4,0.343,0.318,0.365,0.06
11,Butylacetate,0.15,0.05,0.647,0.846,1.036,0.684,0.694,1.217,1.003,0.602,0.841,0.803,0.971,0.887,0.85,0.874,1.27,1.072,1.196,0.842,1.045,0.238
