項目名,毒性等価係数,青梅市天ヶ瀬町／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,町田市忠生1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小金井市中町3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,日野市豊田3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,福生市南田園1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,あきる野市草花／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,日の出町大字平井／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三宅村神着／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,御蔵島村／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,八丈町中之郷／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,青ヶ島村／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
"1,2,3,6,7,8-HxCDF",0.1,0.25,0.07,1.7,0.28,0.08,2.3,0.25,0.07,1.3,0.25,0.07,8.7,0.25,0.07,0.92,0.24,0.07,9.2,0.25,0.08,4.4,0.24,0.07,0.52,0.5,0.2,4.2,0.24,0.07,ND,0.25,0.08,0.34
"1,2,3,7,8,9-HxCDF",0.1,1.1,0.3,ND,1.3,0.4,ND,1.1,0.3,ND,1.1,0.3,(0.8),1.1,0.3,ND,1.1,0.3,(1.0),1.1,0.3,(0.4),1.1,0.3,ND,1.2,0.4,(0.4),1.1,0.3,ND,1.1,0.3,ND
"2,3,4,6,7,8-HxCDF",0.1,0.19,0.06,2.3,0.21,0.06,2.8,0.19,0.06,1.7,0.19,0.06,13,0.19,0.06,1.2,0.19,0.06,15,0.19,0.06,8.1,0.19,0.06,0.59,0.4,0.1,4.2,0.18,0.05,ND,0.19,0.06,0.26
"1,2,3,4,6,7,8-HpCDF",0.01,1.6,0.5,8.8,1.8,0.5,13,1.6,0.5,5.5,1.6,0.5,35,1.6,0.5,4.4,1.5,0.5,46,1.6,0.5,26,1.5,0.5,2.7,1.6,0.5,94,1.5,0.5,ND,1.6,0.5,(1.4)
"1,2,3,4,7,8,9-HpCDF",0.01,0.9,0.3,1.8,1.0,0.3,1.9,0.9,0.3,(0.9),0.9,0.3,7.2,0.9,0.3,(0.9),0.9,0.3,11,0.9,0.3,4.5,0.9,0.3,(0.4),0.9,0.3,10,0.9,0.3,ND,0.9,0.3,ND
OCDF,0.0003,1.6,0.5,11,1.8,0.6,23,1.6,0.5,5.1,1.6,0.5,38,1.6,0.5,5.5,1.6,0.5,65,1.6,0.5,27,1.6,0.5,2.0,1.7,0.5,310,1.6,0.5,(0.8),1.6,0.5,4.0
"3,4,4',5-TeCB(#81)",0.0003,0.6,0.2,1.1,0.6,0.2,2.6,0.5,0.2,(0.3),0.6,0.2,1.6,0.5,0.2,(0.2),0.5,0.2,1.1,0.6,0.2,ND,0.5,0.2,ND,0.6,0.2,(0.3),0.5,0.2,ND,0.6,0.2,ND
"3,3',4,4'-TeCB(#77)",0.0001,0.4,0.1,16,0.5,0.2,46,0.4,0.1,2.7,0.4,0.1,22,0.4,0.1,3.6,0.4,0.1,13,0.5,0.1,8.1,0.4,0.1,0.6,0.5,0.1,3.6,0.4,0.1,(0.2),0.5,0.1,1.7
"3,3',4,4',5-PeCB(#126)",0.1,0.3,0.1,2.1,0.4,0.1,13,0.3,0.1,1.5,0.3,0.1,9.5,0.3,0.1,0.6,0.3,0.1,4.5,0.3,0.1,2.6,0.3,0.1,(0.3),0.7,0.2,1.1,0.3,0.1,ND,0.3,0.1,(0.2)
"3,3',4,4',5,5'-HxCB(#169)",0.03,1.6,0.5,(0.6),1.8,0.5,2.5,1.6,0.5,(0.7),1.6,0.5,2.5,1.6,0.5,ND,1.6,0.5,2.2,1.6,0.5,(1.0),1.6,0.5,ND,1.7,0.5,(0.6),1.5,0.5,ND,1.6,0.5,ND
"2',3,4,4',5-PeCB(#123)",0.00003,0.7,0.2,3.6,0.8,0.2,14,0.7,0.2,1.0,0.7,0.2,3.8,0.7,0.2,(0.5),0.7,0.2,1.5,0.7,0.2,1.4,0.7,0.2,ND,0.7,0.2,0.8,0.7,0.2,ND,0.7,0.2,(0.4)
"2,3',4,4',5-PeCB(#118)",0.00003,1.3,0.4,100,1.5,0.4,270,1.3,0.4,19,1.3,0.4,96,1.3,0.4,15,1.3,0.4,46,1.3,0.4,29,1.3,0.4,2.9,1.4,0.4,18,1.3,0.4,(0.8),1.3,0.4,6.8
"2,3,3',4,4'-PeCB(#105)",0.00003,0.7,0.2,49,0.8,0.2,130,0.7,0.2,11,0.7,0.2,54,0.7,0.2,8.3,0.7,0.2,26,0.7,0.2,18,0.7,0.2,1.6,0.7,0.2,7.9,0.7,0.2,ND,0.7,0.2,3.8
"2,3,4,4',5-PeCB(#114)",0.00003,0.6,0.2,2.6,0.6,0.2,6.3,0.5,0.2,(0.5),0.6,0.2,2.1,0.5,0.2,(0.4),0.5,0.2,1.0,0.6,0.2,0.9,0.5,0.2,ND,0.6,0.2,-0.4,0.5,0.2,ND,0.6,0.2,(0.3)
"2,3',4,4',5,5'-HxCB(#167)",0.00003,1.3,0.4,7.6,1.4,0.4,23,1.3,0.4,2.7,1.3,0.4,13,1.3,0.4,(1.2),1.3,0.4,4.5,1.3,0.4,5.7,1.2,0.4,(0.6),1.3,0.4,1.9,1.2,0.4,ND,1.3,0.4,(0.5)
"2,3,3',4,4',5-HxCB(#156)",0.00003,0.14,0.04,17,0.15,0.05,50,0.13,0.04,5.8,0.14,0.04,21,0.13,0.04,2.6,0.13,0.04,9.6,0.14,0.04,12,0.13,0.04,0.87,0.14,0.04,3.1,0.13,0.04,0.14,0.14,0.04,1.1
"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.4,0.1,5.0,0.4,0.1,17,0.4,0.1,2.3,0.4,0.1,10,0.4,0.1,0.9,0.4,0.1,4.4,0.4,0.1,4.4,0.4,0.1,0.5,0.4,0.1,1.2,0.4,0.1,ND,0.4,0.1,0.4
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,1.7,0.5,(1.3),2.0,0.6,5.0,1.7,0.5,(1.5),1.7,0.5,5.3,1.7,0.5,(0.5),1.7,0.5,4.6,1.8,0.5,2.9,1.7,0.5,ND,1.8,0.5,(0.8),1.7,0.5,ND,1.8,0.5,ND
TeCDDs ,,―,―,9.0,―,―,30,―,―,14,―,―,54,―,―,6.4,―,―,44,―,―,64,―,―,8.8,,,6900,―,―,0.51,―,―,7.9
PeCDDs ,,―,―,7.9,―,―,15,―,―,9.9,―,―,48,―,―,4.9,―,―,42,―,―,21,―,―,6.0,,,440,―,―,0.44,―,―,3.1
HxCDDs ,,―,―,15,―,―,25,―,―,11,―,―,64,―,―,6.9,―,―,59,―,―,28,―,―,15,,,200,―,―,2.9,―,―,2.2
HpCDDs,,―,―,40,―,―,48,―,―,17,―,―,79,―,―,12,―,―,93,―,―,59,―,―,30,,,1800,―,―,22,―,―,6.6
OCDD,,―,―,210,―,―,370,―,―,74,―,―,150,―,―,63,―,―,360,―,―,280,―,―,1800,,,81000,―,―,1400,―,―,55
Total（PCDDs）,,―,―,290,―,―,480,―,―,130,―,―,400,―,―,94,―,―,590,―,―,460,―,―,1800,,,90000,―,―,1500,―,―,75
TeCDFs,,―,―,19,―,―,31,―,―,14,―,―,89,―,―,7.5,―,―,68,―,―,38,―,―,7.3,,,160,―,―,0.23,―,―,3.2
PeCDFs,,―,―,18,―,―,28,―,―,15,―,―,92,―,―,9.1,―,―,81,―,―,44,―,―,6.2,,,60,―,―,0.2,―,―,2.5
HxCDFs,,―,―,21,―,―,27,―,―,14,―,―,92,―,―,9.0,―,―,100,―,―,51,―,―,5.2,,,140,―,―,0.22,―,―,2.9
HpCDFs,,―,―,20,―,―,27,―,―,10,―,―,69,―,―,9.1,―,―,100,―,―,49,―,―,4.4,,,310,―,―,0.5,―,―,3.4
OCDF,,―,―,11,―,―,23,―,―,5.1,―,―,38,―,―,5.5,―,―,65,―,―,27,―,―,2.0,,,310,―,―,0.8,―,―,4.0
Total（PCDFs）,,―,―,89,―,―,130,―,―,58,―,―,380,―,―,40,―,―,420,―,―,210,―,―,25,,,970,―,―,2,―,―,16
Total (PCDDs+PCDFs),,―,―,370,―,―,620,―,―,180,―,―,780,―,―,130,―,―,1000,―,―,660,―,―,1900,,,91000,―,―,1500,―,―,91
Total Co-PCBs,,―,―,210,―,―,580,―,―,49,―,―,240,―,―,34,―,―,120,―,―,87,―,―,7.4,,,40,―,―,1.1,―,―,15
TEQ Total(PCDDs+PCDFs),,,,1.3,,,4.1,,,1.5,,,11,,,0.92,,,11,,,5.2,,,1.4,,,50,,,0.52,,,0.14
TEQ Total Co-PCB,,,,0.22,,,1.4,,,0.15,,,1,,,0.061,,,0.52,,,0.26,,,0.00024,,,0.11,,,0.0000042,,,0.00053
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,1.6,,,5.5,,,1.7,,,12,,,0.98,,,11,,,5.5,,,1.4,,,50,,,0.52,,,0.142233
含水率（％）,,,,2.1,,,12.6,,,4.1,,,2.4,,,0.6,,,1.5,,,2.7,,,3.9,,,6.8,,,1.4,,,2.2
強熱減量（％）,,,,4.3,,,21.5,,,3.7,,,4.2,,,3,,,3.9,,,5.1,,,3.9,,,12.7,,,2.6,,,3
土色,,,,灰褐,,,黒,,,褐,,,暗褐,,,褐灰,,,暗褐,,,暗褐,,,暗褐,,,暗褐,,,にぶい褐,,,黒褐
*：毒性等量は、実測濃度が定量下限未満の数値は０（ゼロ）として算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
