項目名,毒性等価係数,八王子市上柚木2／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,小平市上水南町3／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,狛江市和泉本町4／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,清瀬市竹丘3／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,瑞穂町二本木／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,奥多摩町留浦／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）
HxCDDs ,,―,―,11,―,―,72,―,―,34,―,―,24,―,―,17,―,―,4.9
HpCDDs,,―,―,21,―,―,94,―,―,32,―,―,26,―,―,28,―,―,8.5
OCDD,,―,―,95,―,―,180,―,―,110,―,―,82,―,―,55,―,―,19
Total（PCDDs）,,―,―,150,―,―,450,―,―,210,―,―,160,―,―,120,―,―,37
TeCDFs,,―,―,8.9,―,―,95,―,―,52,―,―,38,―,―,26,―,―,7.1
PeCDFs,,―,―,9.8,―,―,92,―,―,38,―,―,30,―,―,32,―,―,7.8
HxCDFs,,―,―,14,―,―,87,―,―,32,―,―,25,―,―,49,―,―,10
HpCDFs,,―,―,14,―,―,67,―,―,23,―,―,17,―,―,51,―,―,9.3
OCDF,,―,―,8,―,―,28,―,―,11,―,―,6,―,―,33,―,―,5
Total（PCDFs）,,―,―,55,―,―,370,―,―,150,―,―,120,―,―,190,―,―,40
Total (PCDDs+PCDFs),,―,―,200,―,―,820,―,―,360,―,―,270,―,―,310,―,―,77
Total Co-PCBs,,―,―,37,―,―,410,―,―,2500,―,―,480,―,―,59,―,―,50
TEQ Total(PCDDs+PCDFs),,,,1.2,,,11,,,4.7,,,3.5,,,3.6,,,0.44
TEQ Total Co-PCB,,,,0.12,,,0.95,,,1.1,,,0.46,,,0.21,,,0.059
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,1.3,,,12,,,5.9,,,4.0,,,3.9,,,0.50
含水率（％）,,,,10.4,,,4.1,,,10.5,,,7.5,,,4.0,,,1.2
強熱減量（％）,,,,11.3,,,5.9,,,14.9,,,9.5,,,7.8,,,3.1
土色,,,,褐,,,黒,,,黒褐,,,暗褐,,,褐灰,,,褐灰
*：毒性等量は、実測濃度が定量下限未満の数値は０（ゼロ）として算出した。,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,
