項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋／外部精度管理,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,17小名木川／進開橋／二重測定,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,22内川／富士見橋／二重測定,23呑川／夫婦橋,24日原川／氷川小橋,25平井川／多西橋,26北秋川／西川橋,27大栗川／向ノ岡大橋,28野川／天神森橋,29恩田川／都橋,30境川／鶴間一号橋,30境川／鶴間一号橋／二重測定,31黒沢川／落合橋,32空堀川／梅坂橋,33黒目川／神宝大橋,33黒目川／神宝大橋／二重測定,1小河内ﾀﾞﾑ／ﾀﾞﾑ前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,1.70,0.50,0.0003,pg/g,27,41,2700,2200,4700,410,180,210,130,100,180,260,110,13000,11000,4900,8700,8700,2000,1900,4000,17,37,13,210,210,31,(0.7),30,(1.4),62,46,9.0,22,21,28,9.9,25,23,170
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/g,51,70,3800,3200,6700,620,280,320,200,180,280,380,170,17000,15000,6700,11000,12000,2700,2600,5000,38,61,23,380,390,56,0.9,51,2.6,89,73,19,32,34,38,19,49,46,260
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.30,0.10,0.1,pg/g,(0.1),0.3,1.3,0.9,7.2,4.0,1.1,1.5,0.3,0.8,2.4,1.7,0.8,130,73,16,29,32,12,11,6.4,1.1,0.5,(0.1),5.0,5.2,0.4,ND,(0.2),ND,(0.2),0.3,(0.1),ND,(0.1),(0.1),(0.1),(0.2),(0.2),1.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.30,0.10,-,pg/g,ND,ND,1.8,0.9,3.0,1.1,0.7,-,(0.2),0.8,0.7,0.7,0.5,13,-,9.4,13,18,4.3,4.3,3.9,0.4,(0.3),(0.1),2.3,2.3,(0.3),ND,(0.2),ND,(0.2),(0.3),(0.2),ND,(0.1),(0.1),(0.1),(0.3),(0.2),0.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.30,0.10,-,pg/g,ND,(0.2),1.3,0.9,5.3,3.3,1.1,1.3,0.3,0.8,2.2,1.4,0.8,110,66,14,25,31,11,10,6.6,0.7,0.6,(0.2),5.1,5.7,0.4,ND,(0.1),ND,(0.3),0.3,(0.2),ND,(0.1),(0.2),(0.1),(0.3),(0.2),1.0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/g,1.6,2.3,48,36,120,37,18,22,7.2,23,23,19,18,720,440,220,300,500,170,160,120,14,11,3.9,110,120,9.7,(0.1),5.3,0.7,6.5,8.3,6.2,2.8,3.9,3.9,3.5,8.1,7.3,24
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.30,0.10,0.03,pg/g,ND,(0.1),1.3,0.8,5.3,2.0,0.9,1.1,(0.3),0.7,1.3,1.1,0.8,74,48,12,20,24,8.7,8.6,4.9,0.6,0.4,(0.1),3.5,3.7,0.3,ND,(0.1),ND,(0.2),0.4,(0.2),(0.1),(0.2),(0.2),(0.1),0.3,0.3,1.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.30,0.10,0.3,pg/g,ND,ND,1.5,1.0,5.1,1.8,0.8,0.89,0.4,1.0,1.4,1.1,0.9,42,38,13,21,25,10,8.9,5.1,0.5,0.5,(0.2),5.1,4.9,0.5,ND,0.3,ND,0.4,0.5,(0.2),(0.1),(0.2),(0.1),(0.2),0.5,0.5,1.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/g,1.3,1.9,40,26,120,29,18,16,6.4,24,21,17,18,470,340,270,310,420,170,170,110,12,9.9,3.4,96,98,10,ND,6.2,0.8,7.8,8.6,5.7,3.0,4.3,3.6,4.0,9.8,9.9,30
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.70,0.20,0.1,pg/g,ND,(0.2),3.4,2.2,11,3.3,1.6,1.6,(0.6),1.2,2.4,2.0,1.2,91,90,30,45,55,17,17,11,0.8,(0.6),(0.2),6.0,5.6,(0.5),ND,(0.5),ND,(0.5),(0.6),(0.3),(0.2),(0.3),(0.2),(0.2),(0.6),(0.6),2.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,ND,ND,3.2,2.0,11,2.1,1.3,1.2,(0.5),1.4,1.5,1.5,1.1,36,32,20,25,29,12,12,6.9,(0.7),(0.6),(0.2),6.1,5.6,(0.6),ND,(0.5),ND,(0.6),(0.6),(0.3),ND,(0.3),(0.3),(0.3),(0.7),(0.7),2.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.70,0.20,0.1,pg/g,ND,ND,(0.3),ND,(0.6),ND,ND,(0.14),ND,ND,ND,ND,ND,3.4,4.1,1.5,2.2,3.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.3)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,ND,ND,3.4,2.5,13,1.9,1.6,1.7,0.9,1.9,1.6,1.4,1.3,19,27,19,28,26,15,15,8.3,0.9,0.9,(0.3),8.6,8.5,1.0,ND,0.8,ND,0.9,0.9,(0.6),(0.4),(0.5),(0.5),(0.5),0.9,0.9,4.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/g,(0.3),1.0,47,31,140,25,16,17,6.0,17,17,18,15,750,600,320,460,510,170,170,120,7.4,6.8,1.9,70,68,7.4,ND,4.7,(0.2),7.0,6.8,3.6,2.0,3.0,2.3,2.6,7.2,6.9,32
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.70,0.20,0.01,pg/g,(0.5),0.7,23,15,65,12,8.7,8.8,2.9,5.1,7.1,9.3,5.2,1000,820,250,540,510,130,130,92,1.9,2.1,0.7,22,22,2.2,ND,1.8,ND,2.5,2.9,1.0,0.8,1.1,1.0,0.9,2.3,2.2,15
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.70,0.20,0.01,pg/g,ND,ND,4.1,2.9,11,2.0,1.4,1.1,(0.5),1.0,1.4,1.4,0.8,63,52,25,41,41,14,11,8.6,(0.3),(0.3),ND,2.9,2.8,(0.3),ND,(0.3),ND,(0.5),(0.5),ND,(0.2),(0.2),(0.2),(0.2),(0.5),(0.5),3.0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/g,0.9,1.5,63,43,150,31,23,22,6.6,11,17,24,12,3000,2300,720,1500,1500,350,340,270,3.4,3.9,1.3,36,37,4.3,ND,3.3,(0.2),5.1,5.7,2.0,1.7,2.1,1.9,1.9,4.4,4.5,30
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,1.70,0.50,0.0003,pg/g,(1.0),(1.4),59,40,130,35,30,27,5.5,5.3,15,32,9.3,3800,2700,910,2100,2100,510,500,330,(1.3),1.8,(0.6),18,18,(1.6),ND,(1.4),ND,2.9,3.0,(0.8),(0.9),(1.0),(1.0),(1.0),2.2,2.2,19
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/g,5.1,8.1,260,180,660,160,110,100,32,80,93,110,72,8700,6400,2400,4700,5000,1400,1300,950,38,33,11,330,340,33,0.1,21,1.9,29,32,18,10,14,13,13,32,31,140
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/g,56,78,4000,3300,7400,780,380,420,230,260,380,490,250,25000,21000,9200,16000,17000,4100,3900,5900,76,94,34,710,730,89,1,72,4.5,120,110,37,43,48,50,32,81,77,390
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.70,0.20,0.0003,pg/g,(0.2),(0.2),3.4,2.5,10,10,5.3,5.6,1.3,4.4,6.9,3.5,4.0,320,280,64,120,310,57,52,83,6.4,3.1,(0.5),150,170,2.2,ND,(0.3),ND,(0.5),1.0,(0.7),(0.4),(0.4),(0.3),(0.3),(0.3),(0.3),3.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.70,0.20,0.0001,pg/g,5.8,7.4,1300,140,610,840,320,520,110,94,360,280,170,15000,13000,4500,7900,19000,2300,2300,3200,160,66,13,6800,6600,56,(0.2),4.3,0.9,10,20,12,8.0,7.9,4.4,4.8,6.5,6.0,65
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.70,0.20,0.1,pg/g,ND,(0.2),33,4.0,21,11,6.9,6.8,1.8,5.1,7.1,5.0,6.0,260,190,78,140,310,49,46,74,11,3.2,1.3,88,85,3.6,ND,0.7,(0.2),1.2,1.7,1.0,0.7,0.7,(0.4),(0.5),1.2,1.1,4.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.70,0.20,0.03,pg/g,ND,ND,0.9,(0.5),3.0,1.6,ND,0.57,(0.3),(0.6),0.8,(0.6),(0.5),15,11,8.6,12,21,4.2,4.8,3.4,(0.2),(0.3),ND,2.6,2.2,(0.3),ND,ND,ND,(0.2),(0.3),ND,ND,ND,ND,ND,(0.2),(0.3),1.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/g,6,7.8,1300,150,640,860,330,530,110,100,370,290,180,16000,13000,4700,8200,20000,2400,2400,3400,180,73,15,7000,6900,62,0.2,5.3,1.1,12,23,14,9.1,9,5.1,5.6,8.2,7.7,75
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.70,0.20,0.00003,pg/g,(0.4),ND,14,7.6,42,40,25,27,4.7,13,23,16,23,1000,840,240,550,1300,190,190,310,83,10,3.5,400,410,12,ND,1.1,(0.3),1.5,4.9,1.6,2.7,2.8,(0.5),0.9,2.3,1.5,7.0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.70,0.20,0.00003,pg/g,16,33,770,410,2300,2500,1400,1400,420,560,1100,950,1400,50000,40000,14000,30000,64000,9900,9800,16000,4700,590,190,22000,22000,840,1.2,33,11,61,250,61,130,140,30,34,83,53,240
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.70,0.20,0.00003,pg/g,7.6,12,220,140,760,750,460,540,110,270,440,270,480,16000,14000,4800,9800,22000,3400,3400,6100,1500,230,86,7400,7300,270,(0.6),17,4.6,29,110,33,54,56,14,16,39,25,130
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.70,0.20,0.00003,pg/g,(0.6),0.7,14,9.0,46,55,32,40,7.3,19,32,19,30,1300,960,250,480,1600,210,210,390,82,15,4.9,490,490,14,ND,1.1,(0.3),2.0,5.5,2.1,3.0,2.9,0.7,0.9,2.2,1.4,9.4
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.70,0.20,0.00003,pg/g,(0.5),1.2,23,15,91,57,47,41,11,21,31,27,61,1700,1300,400,950,2400,280,280,490,210,22,12,700,710,36,ND,1.9,(0.6),3.7,16,2.9,8.2,8.0,1.2,1.8,5.2,4.0,7.6
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.70,0.20,0.00003,pg/g,1.2,3.1,53,33,210,150,120,120,28,55,74,67,140,4400,3400,950,2200,5400,740,700,1200,500,58,30,1600,1700,89,ND,4.1,1.1,7.7,36,6.8,17,16,2.7,4.5,12,8.3,18
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.70,0.20,0.00003,pg/g,(0.3),0.8,14,8.9,56,35,28,28,7.0,14,18,16,33,970,740,240,520,1200,170,170,300,130,15,8.2,400,410,24,ND,1.3,(0.3),2.3,9.6,1.9,5.3,5.0,0.8,1.3,3.4,2.6,5.0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.70,0.20,0.00003,pg/g,ND,ND,4.2,2.8,17,9.7,6.6,6.3,1.7,3.0,5.0,3.9,7.7,290,210,65,160,460,42,42,63,23,2.9,1.6,97,98,4.2,ND,(0.4),ND,(0.6),2.1,(0.5),1.0,0.9,(0.2),(0.3),0.9,0.7,2.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/g,27,51,1100,630,3500,3600,2100,2200,590,960,1700,1400,2200,76000,61000,21000,45000,98000,15000,15000,25000,7200,940,340,33000,33000,1300,1.8,60,18,110,430,110,220,230,50,60,150,97,420
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/g,33,59,2400,770,4200,4500,2500,2700,700,1100,2100,1700,2400,91000,75000,26000,53000,120000,17000,17000,28000,7400,1000,350,40000,40000,1400,2,65,19,120,460,120,230,240,55,65,160,100,490
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/g,88,140,6500,4100,12000,5200,2800,3200,930,1300,2500,2100,2600,120000,96000,35000,69000,130000,21000,21000,34000,7500,1100,380,41000,41000,1400,3.0,140,24,240,560,160,270,290,110,97,240,180,880
TEQ（PCDDs＋PCDFs）※2,,,,,pg-TEQ/g,0.23,0.27,7,5.4,18,4,1.7,1.9,0.94,1.7,2.5,2.4,1.5,94,79,35,52,63,20,19,15,0.8,0.82,0.31,7.4,7.2,0.82,0.19,0.56,0.2,0.8,0.89,0.36,0.28,0.37,0.32,0.34,0.82,0.81,3
TEQ（ｺﾌﾟﾗﾅｰPCBs）※2,,,,,pg-TEQ/g,0.014,0.025,3.5,0.45,2.4,1.3,0.79,0.82,0.22,0.57,0.82,0.59,0.7,30,23,9.2,17,37,5.7,5.4,8.6,1.3,0.36,0.14,11,10,0.41,0.013,0.075,0.024,0.13,0.19,0.11,0.081,0.081,0.045,0.055,0.13,0.12,0.51
TEQ（WHO-TEF(2006)）※2,,,,,pg-TEQ/g,0.25,0.30,11,5.8,20,5.4,2.5,2.7,1.2,2.3,3.3,2.9,2.2,120,100,44,69,99,25,25,23,2.1,1.2,0.45,18,17,1.2,0.21,0.64,0.22,0.93,1.1,0.47,0.36,0.46,0.37,0.39,0.95,0.94,3.6
TEQ（WHO-TEF(1998)）※2，※3,,,,,pg-TEQ/g,0.25,0.31,10,5.6,21,6.0,2.9,3.0,1.3,2.6,3.7,3.3,2.6,140,110,47,75,110,28,28,26,3.0,1.4,0.53,22,22,1.5,0.22,0.70,0.23,1.0,1.2,0.52,0.40,0.52,0.39,0.44,1.1,1.0,3.8
強熱減量,,,,,％,0.8,1.4,3.3,4.4,9.3,3.4,3.3,3.3,3.1,2.8,4.7,4.1,3.1,8.2,8.2,12.1,19.1,17.7,8.2,8.2,7.2,1.6,2.3,4.6,4.2,4.2,1.7,1.5,1.7,2.3,2,2.5,1.9,1.9,1.9,1.8,1.4,1.7,1.7,6.8
泥分率,,,,,％,0.3,10.3,19.2,19.5,33,4.7,3.5,3.5,9.7,4.6,15.6,46,4,54,54,42.8,32.4,61,26.7,26.7,30.4,0.8,0.6,18.9,10,10,1.2,0.7,1.3,0.7,1,4.9,0.1,0.5,0.5,0.2,0.1,0.6,0.6,83.9
※1 単位のpg/gは乾燥重量あたりの換算濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"※2 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※3 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
