項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋　　外部精度管理,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋　　外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,18旧中川／中平井橋／二重測定,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,21立会川／立会川橋／二重測定,22内川／富士見橋,23呑川／夫婦橋,24多摩川／和田橋,25秋川／東秋川橋,25秋川／東秋川橋／二重測定,26養沢川／新橋,27残堀川／立川橋,28城山川／五反田橋,29川口川／川口川橋,30程久保川／玉川橋,31三沢川／天神橋,31三沢川／天神橋／二重測定,32仙川／鎌田橋,33鶴見川／麻生橋,34成木川／両郡橋,35霞川／金子橋,36柳瀬川／清柳橋,1小河内ﾀﾞﾑ／ﾀﾞﾑ前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/g,1.0,1.9,7.8,23,160,25,74,70,6.4,14,5.3,15,21,940,890,130,270,430,210,290,300,5.5,4.3,26,24,56,6.1,ND,0.9,0.8,1.9,30,11,2.1,3.8,3.7,3.3,1.4,2.6,1.4,2.9,0.8,29
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.70,0.20,0.01,pg/g,1.8,2.9,20,64,220,45,140,120,3.3,11,2.3,22,23,2100,2700,280,660,900,350,430,430,3.3,3.2,18,18,29,3.2,(0.2),0.8,0.9,0.9,26,8.3,2.2,2.7,3.7,4.1,1.2,3.5,0.8,3.8,(0.6),26
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/g,3.4,6.0,40,130,580,87,280,240,9.0,21,6.0,44,48,3700,4800,530,1200,1800,650,1300,1200,7.5,6.4,41,41,61,10,(0.4),1.7,1.8,1.7,50,16,4.6,5.3,7.9,8.5,2.5,7.6,1.8,7.6,1.2,53
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,1.70,0.50,0.0003,pg/g,22,43,360,1100,3500,530,1800,1500,34,140,29,250,230,19000,25000,3500,7500,12000,3700,8300,7900,34,38,170,180,180,39,(1.2),9.2,8.6,3.0,310,54,21,21,61,69,7.4,48,11,53,5.7,190
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/g,41,72,510,1600,5000,820,2600,2200,65,240,50,380,360,25000,32000,4800,9600,16000,5100,10000,10000,60,59,290,290,400,63,1.8,17,13,14,440,100,34,49,85,93,17,77,19,92,11,300
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.30,0.10,0.1,pg/g,ND,0.4,(0.2),0.7,9.1,5.3,8.3,7.2,(0.2),0.8,(0.2),1.4,1.6,170,180,15,38,49,18,9.3,10,0.9,0.8,2.2,2.2,6.5,(0.2),ND,ND,ND,(0.2),1.1,0.3,(0.2),(0.2),ND,(0.1),(0.1),(0.2),ND,(0.1),ND,1.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.30,0.10,-,pg/g,ND,(0.1),(0.3),0.6,3.0,1.5,4.6,3.6,(0.2),0.9,(0.1),0.7,1.2,26,24,8.3,11,34,8.1,6.5,6.6,0.5,0.3,1.2,1.3,3.2,(0.2),ND,ND,ND,(0.2),1.2,0.3,(0.2),(0.3),(0.1),(0.1),(0.3),(0.2),(0.1),(0.2),ND,0.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.30,0.10,-,pg/g,ND,(0.2),(0.2),0.7,7.6,4.5,7.4,6.4,(0.2),0.9,(0.2),1.2,1.7,160,170,13,32,59,15,11,11,1.1,1.5,2.2,2.3,6.8,0.3,ND,ND,ND,(0.2),1.2,0.3,(0.2),(0.2),(0.1),(0.2),(0.2),(0.2),(0.1),(0.2),ND,1.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/g,0.9,3.2,6.6,23,120,46,99,85,4.7,27,3.6,19,32,940,940,170,270,700,230,180,210,16,12,40,41,140,5.5,ND,2.0,1.7,6.1,37,10,4.8,6.9,3.2,4.0,4.2,6.1,2.8,5.5,2.8,28
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.30,0.10,0.03,pg/g,(0.1),(0.2),(0.3),0.9,8.1,4.4,7.8,7.9,(0.2),1.5,(0.3),1.5,2.4,160,190,15,38,56,21,12,13,0.9,0.7,2.5,2.7,14,0.3,ND,ND,(0.1),0.4,2.5,0.8,0.3,0.4,(0.2),0.3,(0.2),0.4,(0.2),(0.3),(0.1),2.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.30,0.10,0.3,pg/g,(0.1),(0.1),(0.3),0.9,7.2,2.7,5.4,4.8,(0.1),1.3,(0.2),1.2,2.0,86,98,10,21,35,15,11,12,0.7,0.4,2.2,1.9,12,(0.2),ND,(0.1),ND,0.3,2.4,0.9,(0.2),0.4,(0.2),(0.2),(0.2),(0.3),(0.1),(0.2),(0.1),1.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/g,0.8,1.8,4.6,14,110,36,89,84,3.1,25,2.5,20,34,780,820,180,260,500,240,170,170,13,8.8,37,36,170,4.2,ND,1.0,1.1,4.8,42,13,4.4,7.9,3.4,3.8,3.3,4.9,1.9,4.9,1.8,32
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.70,0.20,0.1,pg/g,ND,(0.3),(0.4),1.5,12,5.1,12,11,(0.2),1.6,(0.4),2.3,3.1,220,210,23,47,89,32,20,23,1.0,0.7,3.0,2.8,18,(0.4),ND,ND,ND,(0.3),3.7,1.3,(0.3),(0.6),(0.3),(0.4),(0.3),(0.3),ND,(0.4),ND,3.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,ND,ND,(0.5),1.6,11,3.0,7.0,6.6,(0.3),1.5,ND,1.5,2.6,75,71,12,22,38,17,9.5,13,0.8,(0.7),2.4,2.6,15,(0.3),ND,ND,ND,(0.3),3.9,1.4,(0.3),(0.6),(0.3),(0.2),(0.2),(0.4),ND,(0.4),ND,3.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.70,0.20,0.1,pg/g,ND,ND,ND,ND,1.0,ND,1.3,0.8,ND,ND,ND,ND,(0.6),8.0,5.0,1.4,1.7,3.7,4.6,1.3,1.8,ND,ND,ND,ND,0.9,ND,ND,ND,ND,ND,(0.3),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.5)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,ND,ND,(0.5),1.3,13,3.0,7.6,7.0,(0.3),2.4,ND,1.5,3.4,52,39,14,17,35,17,11,16,0.8,0.8,2.7,3.1,16,(0.3),ND,ND,ND,(0.4),6.7,1.7,(0.4),0.9,(0.3),(0.3),(0.4),(0.4),ND,(0.7),ND,6.0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/g,ND,2.6,6.0,18,150,36,110,98,3.0,23,2.1,27,35,1400,1200,230,440,660,370,290,330,9.2,8.3,31,32,170,3.9,ND,1.0,0.9,3.1,49,14,3.8,7.1,3.3,3.6,2.6,3.2,1.4,4.5,0.8,42
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.70,0.20,0.01,pg/g,(0.7),0.8,3.7,9.7,68,22,74,73,1.1,6.3,0.8,12,15,1600,2100,200,490,680,250,140,150,3.5,3.5,11,11,66,1.4,(0.2),(0.5),(0.4),1.1,20,6.0,1.1,2.0,1.1,1.1,0.8,1.0,(0.5),1.7,(0.4),20
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.70,0.20,0.01,pg/g,ND,ND,(0.5),1.2,8.5,3.4,9.6,12,ND,0.9,ND,1.4,2.1,110,130,20,39,76,20,14,17,ND,(0.5),1.3,1.3,5.2,(0.2),ND,ND,ND,ND,3.9,0.8,(0.2),(0.4),ND,(0.2),ND,ND,ND,(0.3),ND,3.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/g,1.1,1.5,9.6,25,140,52,190,190,2.1,12,1.4,29,33,4700,6200,550,1300,2000,690,380,380,5.4,5.8,20,20,92,2.5,(0.2),0.8,(0.6),1.5,39,9.5,2.3,4.1,2.1,2.3,1.6,2.1,0.7,3.8,0.8,37
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,1.70,0.50,0.0003,pg/g,(0.8),1.9,8.7,24,130,56,230,350,(1.3),8.1,(1.2),31,26,5700,8400,800,1700,2800,960,370,380,2.5,3.3,12,13,21,(1.2),ND,ND,ND,(0.5),23,3.3,(1.3),1.7,(1.3),(1.5),(0.8),(1.1),ND,2.1,ND,21
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/g,3.6,11,36,100,650,230,720,810,14,95,11,130,160,14000,18000,1900,4000,6700,2500,1400,1500,46,38,140,140,590,17,0.2,4.8,4.3,16,190,50,17,28,13,15,13,17,6.8,21,6.2,160
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/g,45,83,550,1700,5600,1000,3300,3000,80,340,61,510,520,38000,50000,6800,14000,23000,7500,12000,11000,110,98,430,430,1000,81,2,22,18,30,630,150,51,77,98,110,29,94,26,110,17,460
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.70,0.20,0.0003,pg/g,ND,ND,(0.5),1.6,13,15,28,23,(0.4),5.1,(0.5),6.0,7.7,650,740,49,130,540,82,190,190,9.8,2.1,13,13,120,0.9,ND,2.9,3.2,(0.3),2.7,1.3,(0.5),(0.5),(0.3),(0.3),(0.7),(0.6),ND,(0.4),(0.2),4.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.70,0.20,0.0001,pg/g,3.6,7.8,54,110,780,1600,2800,2300,28,110,27,390,310,25000,30000,3800,7200,33000,4000,5700,5600,240,43,280,270,3000,23,(0.5),36,39,3.5,50,23,8.4,8.6,5.5,4.7,15,9.7,3.2,7.7,3.5,77
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.70,0.20,0.1,pg/g,ND,(0.3),0.9,2.7,27,18,40,35,0.7,5.3,0.7,9.1,12,410,560,59,140,490,73,140,130,10,ND,17,18,79,ND,ND,(0.5),(0.5),(0.5),4.4,2.1,(0.6),1.1,(0.6),(0.6),0.8,0.9,(0.4),0.8,(0.3),4.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.70,0.20,0.03,pg/g,ND,ND,ND,(0.3),2.6,2.4,3.4,2.9,(0.3),(0.7),(0.3),0.7,1.0,22,23,5.3,11,26,7.4,6.7,6.4,ND,ND,1.1,1.1,5.3,ND,ND,ND,ND,ND,1.1,(0.6),ND,(0.3),ND,ND,ND,ND,ND,ND,ND,1.4
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/g,3.6,8.1,55,110,820,1600,2900,2400,29,120,29,410,330,26000,31000,3900,7500,34000,4200,6000,5900,260,45,310,300,3200,24,0.5,39,43,4.3,58,27,9.5,11,6.4,5.6,17,11,3.6,8.9,4,88
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.70,0.20,0.00003,pg/g,ND,(0.5),2.0,4.8,56,56,120,100,1.5,19,2.0,27,54,1600,1900,170,450,2200,240,660,670,93,7.8,86,83,360,4.1,ND,2.9,3.2,(0.6),6.4,4.3,1.2,1.6,0.8,0.8,1.6,1.7,1.0,1.3,(0.4),6.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.70,0.20,0.00003,pg/g,9.0,27,98,320,3000,3800,6500,6200,95,860,95,1500,2400,82000,93000,11000,29000,110000,14000,33000,31000,5500,570,4800,5000,18000,320,3.9,90,110,21,220,130,42,85,34,29,70,74,54,71,18,250
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.70,0.20,0.00003,pg/g,4.0,9.8,29,95,970,960,2000,2000,25,400,34,480,860,29000,33000,3400,9600,36000,4500,11000,11000,1600,170,1800,1900,7200,98,1.7,51,61,10,120,72,19,34,17,14,33,36,23,34,8.4,130
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.70,0.20,0.00003,pg/g,(0.2),(0.5),1.8,5.7,60,73,130,150,1.8,28,2.6,29,55,2000,2600,180,480,3000,240,850,830,96,10,120,120,500,5.5,ND,3.7,4.0,0.7,6.6,5.3,1.2,1.7,0.9,0.8,2.0,2.3,1.5,1.9,(0.5),9.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.70,0.20,0.00003,pg/g,(0.3),0.9,2.9,10,130,89,160,200,2.7,34,2.5,62,110,2700,3700,310,890,3800,380,1100,1000,220,19,210,220,630,17,ND,2.8,3.6,1.1,16,4.6,2.2,5.6,2.2,2.0,3.0,3.2,2.1,3.0,1.0,8.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.70,0.20,0.00003,pg/g,0.7,2.1,7.3,26,300,220,430,470,6.4,85,5.8,140,270,7100,9700,660,2100,9600,860,2800,2800,470,43,540,580,1600,41,(0.4),7.1,9.0,2.4,34,11,5.0,12,4.8,4.5,14,8.5,5.0,7.6,2.1,21
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.70,0.20,0.00003,pg/g,ND,(0.6),1.9,6.3,74,51,110,120,1.7,21,1.4,37,61,1600,2100,180,550,2000,220,670,660,120,11,130,140,400,10,ND,1.7,2.1,0.8,11,3.3,1.4,3.7,1.6,1.4,2.0,2.2,1.3,2.1,(0.6),5.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.70,0.20,0.00003,pg/g,ND,ND,(0.6),1.9,26,15,28,27,(0.4),3.8,(0.4),9.6,16,380,600,51,140,780,52,130,130,18,2.3,25,25,99,2.4,ND,(0.3),(0.3),(0.3),3.7,1.5,(0.4),1.1,(0.4),(0.4),(0.5),(0.5),(0.3),(0.5),ND,2.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/g,14,41,140,470,4600,5300,9500,9300,130,1500,140,2300,3800,130000,150000,16000,43000,170000,20000,50000,48000,8100,830,7700,8100,29000,500,6,160,190,37,420,230,72,140,62,53,130,130,88,120,31,430
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/g,18,50,200,580,5400,6900,12000,12000,160,1600,170,2700,4200,150000,180000,20000,51000,200000,25000,56000,54000,8400,880,8000,8400,32000,520,6.5,200,240,41,480,260,82,160,68,59,140,140,92,130,35,520
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/g,63,130,740,2300,11000,7900,16000,15000,240,1900,230,3200,4700,190000,230000,27000,64000,220000,32000,68000,65000,8500,980,8500,8800,33000,600,8.5,220,250,71,1100,410,130,230,170,170,170,230,120,240,52,980
TEQ（PCDDs＋PCDFs）※2,,,,,pg-TEQ/g,0.24,0.32,1.1,3.4,18,5.7,13,12,0.43,2,0.41,2.4,3.4,160,180,24,48,84,32,27,30,1,0.75,3.4,3.2,15,0.49,0.2,0.22,0.21,0.43,4.8,1.5,0.37,0.63,0.41,0.41,0.33,0.44,0.23,0.61,0.22,4
TEQ（ｺﾌﾟﾗﾅｰPCBs）※2,,,,,pg-TEQ/g,0.014,0.035,0.1,0.3,3,2.2,4.7,4.1,0.086,0.61,0.086,1,1.4,48,64,6.9,16,58,8.6,16,15,1.3,0.043,2,2.1,9.3,0.031,0.013,0.062,0.064,0.055,0.49,0.24,0.066,0.12,0.065,0.065,0.088,0.098,0.046,0.088,0.034,0.53
TEQ（WHO-TEF(2006)）※2,,,,,pg-TEQ/g,0.25,0.35,1.2,3.7,21,7.9,17,16,0.52,2.6,0.50,3.4,4.8,210,250,31,64,140,41,44,45,2.3,0.79,5.4,5.3,24,0.52,0.21,0.29,0.27,0.49,5.3,1.7,0.44,0.75,0.47,0.48,0.42,0.54,0.27,0.70,0.26,4.5
TEQ（WHO-TEF(1998)）※2，※3,,,,,pg-TEQ/g,0.27,0.37,1.2,3.7,22,8.8,19,17,0.54,3.0,0.54,3.9,5.6,240,280,34,71,160,45,49,51,3.3,0.95,6.6,6.6,30,0.61,0.22,0.32,0.30,0.56,5.8,1.9,0.48,0.85,0.51,0.52,0.47,0.61,0.30,0.75,0.28,4.9
強熱減量,,,,,％,1.2,1.5,2,3.6,15.6,4.1,16.2,16.2,7.5,3.9,5.2,2.3,3.3,13.8,13.8,39.1,20.1,34.4,12.5,12.9,12.9,2,2.5,4.8,4.8,4.8,9.5,1.4,1.8,1.8,1.9,2.1,2.3,2,1.3,2.1,2.1,1.3,1.6,1.9,2.1,1.4,7.9
泥分率,,,,,％,0.5,0.4,0.4,12,75.8,16.8,84.3,84.3,80,1.6,90.1,17.5,14.4,80.4,80.4,48.2,61.3,61.6,51.9,84.2,84.2,4.5,0.1,22.1,22.1,7.1,84,73.4,0.5,0.5,0.6,2.4,0.4,0.7,28.3,1.3,1.3,0.2,0.3,0.1未満,0.1,0.6,72.1
※1 単位のpg/gは乾燥重量あたりの換算濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"※2 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※3 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
