項目名,毒性等価係数,町田ﾘｻｲｸﾙ文化ｾﾝﾀｰ周辺地区／町田市図師町(1)／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,町田ﾘｻｲｸﾙ文化ｾﾝﾀｰ周辺地区／町田市図師町(2)／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,町田ﾘｻｲｸﾙ文化ｾﾝﾀｰ周辺地区／町田市忠生4／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,町田ﾘｻｲｸﾙ文化ｾﾝﾀｰ周辺地区／町田市小山田桜台2／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,町田ﾘｻｲｸﾙ文化ｾﾝﾀｰ周辺地区／町田市下小山田町･上小山田町／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,八王子市戸吹清掃工場周辺地区／八王子市宮下町／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,八王子市戸吹清掃工場周辺地区／八王子市戸吹町(1)／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,八王子市戸吹清掃工場周辺地区／八王子市戸吹町(2)／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,八王子市戸吹清掃工場周辺地区／八王子市川口町(1)／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,八王子市戸吹清掃工場周辺地区／八王子市川口町(2)／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）
"1,2,7,8-TeCDF",0,0.4,0.1,3.1,0.3,0.1,0.4,0.3,0.1,3.6,0.3,0.1,2.4,0.4,0.1,1.7,0.3,0.1,1.8,0.3,0.1,(0.3),0.3,0.1,0.7,0.3,0.1,1.9,0.3,0.1,1.9
"2,3,7,8-TeCDF",0.1,0.4,0.1,3.1,0.3,0.1,(0.3),0.3,0.1,2.7,0.3,0.1,3.1,0.4,0.1,2.5,0.3,0.1,1.7,0.3,0.1,(0.3),0.3,0.1,0.7,0.3,0.1,1.5,0.3,0.1,1.4
"1,2,3,7,8-PeCDF",0.03,0.6,0.2,5.1,0.5,0.1,(0.4),0.5,0.2,3.2,0.5,0.2,4.3,0.6,0.2,3.7,0.5,0.2,1.7,0.5,0.2,(0.4),0.5,0.1,1.8,0.5,0.1,2.0,0.5,0.2,1.6
"2,3,4,7,8-PeCDF",0.3,0.8,0.3,8.0,0.7,0.2,0.8,0.8,0.3,4.8,0.8,0.3,8.1,0.8,0.3,6.0,0.8,0.3,2.0,0.8,0.3,(0.5),0.7,0.2,ND,0.7,0.2,2.9,0.8,0.3,3.2
"1,2,3,4,7,8-HxCDF",0.1,0.14,0.03,13,0.12,0.02,0.84,0.13,0.03,5.8,0.13,0.03,20,0.14,0.03,8.2,0.13,0.03,3.1,0.13,0.03,0.69,0.12,0.02,8.1,0.12,0.02,3.7,0.13,0.03,4.0
"1,2,3,6,7,8-HxCDF",0.1,0.4,0.1,18,0.4,0.1,1.2,0.4,0.1,7.7,0.4,0.1,17,0.4,0.1,10,0.4,0.1,3.5,0.4,0.1,0.7,0.4,0.1,7.3,0.4,0.1,4.3,0.4,0.1,5.1
"1,2,3,7,8,9-HxCDF",0.1,0.6,0.2,1.1,0.5,0.1,ND,0.6,0.2,1.0,0.6,0.2,1.8,0.6,0.2,1.6,0.6,0.2,(0.5),0.6,0.2,ND,0.5,0.1,0.7,0.5,0.1,ND,0.6,0.2,(0.4)
"2,3,4,6,7,8-HxCDF",0.1,0.4,0.1,21,0.4,0.1,2.1,0.4,0.1,13,0.4,0.1,27,0.4,0.1,19,0.4,0.1,6.0,0.4,0.1,0.7,0.4,0.1,6.4,0.4,0.1,6.8,0.4,0.1,8.1
"1,2,3,4,6,7,8-HpCDF",0.01,1.1,0.3,220,1.0,0.3,7.2,1.0,0.3,31,1.1,0.3,340,1.1,0.3,71,1.0,0.3,19,1.0,0.3,3.7,1.0,0.3,47,1.0,0.3,21,1.0,0.3,26
"1,2,3,4,7,8,9-HpCDF",0.01,2.2,0.6,19,2.0,0.5,(1.9),2.1,0.5,6.9,2.1,0.5,35,2.2,0.6,12,2.1,0.5,4.4,2.1,0.5,(0.7),1.9,0.5,5.1,1.9,0.5,4.4,2.1,0.5,6.0
OCDF,0.0003,5,2,760,4,1,8,5,2,32,5,2,2000,5,2,120,5,2,27,5,2,5,4,1,31,4,1,28,5,2,31
"3,4,4',5-TeCB(#81)",0.0003,0.8,0.2,(0.7),0.7,0.2,(0.2),0.7,0.2,2.4,0.7,0.2,ND,0.8,0.2,(0.8),0.7,0.2,0.8,0.7,0.2,(0.4),0.7,0.2,1.0,0.7,0.2,1.8,0.7,0.2,1.5
"3,3',4,4'-TeCB(#77)",0.0001,0.6,0.2,7.3,0.5,0.1,3.1,0.6,0.2,31,0.6,0.2,9.1,0.6,0.2,6.1,0.6,0.2,9.3,0.6,0.2,8.3,0.5,0.1,18,0.5,0.1,22,0.6,0.2,26
"3,3',4,4',5-PeCB(#126)",0.1,0.30,0.08,7.1,0.27,0.07,0.80,0.29,0.08,7.8,0.29,0.08,8.4,0.30,0.08,7.8,0.29,0.08,2.2,0.28,0.08,1.2,0.27,0.07,2.5,0.26,0.07,3.6,0.28,0.08,4.5
"3,3',4,4',5,5'-HxCB(#169)",0.03,1.3,0.4,4.5,1.1,0.3,ND,1.2,0.4,2.3,1.2,0.4,5.3,1.3,0.4,5.1,1.2,0.4,(1.1),1.2,0.4,ND,1.1,0.3,(1.1),1.1,0.3,(0.9),1.2,0.4,1.3
"2',3,4,4',5-PeCB(#123)",0.00003,1.4,0.4,3.5,1.2,0.4,(0.6),1.3,0.4,4.2,1.3,0.4,3.5,1.4,0.4,2.5,1.3,0.4,1.8,1.3,0.4,3.3,1.2,0.4,3.8,1.2,0.4,2.7,1.3,0.4,3.8
"2,3',4,4',5-PeCB(#118)",0.00003,0.8,0.2,40,0.7,0.2,15,0.7,0.2,150,0.7,0.2,52,0.8,0.2,30,0.7,0.2,54,0.7,0.2,130,0.7,0.2,85,0.7,0.2,69,0.7,0.2,98
"2,3,3',4,4'-PeCB(#105)",0.00003,0.6,0.2,18,0.5,0.1,7.7,0.6,0.2,72,0.6,0.2,29,0.6,0.2,18,0.6,0.2,26,0.6,0.2,72,0.5,0.1,61,0.5,0.1,39,0.6,0.2,51
"2,3,4,4',5-PeCB(#114)",0.00003,0.9,0.3,0.9,0.8,0.2,(0.4),0.8,0.3,3.6,0.9,0.3,0.9,0.9,0.3,(0.8),0.8,0.3,1.7,0.8,0.3,3.3,0.8,0.2,3.5,0.8,0.2,1.8,0.8,0.3,2.9
"2,3',4,4',5,5'-HxCB(#167)",0.00003,1.6,0.5,11,1.4,0.4,1.5,1.5,0.5,11,1.5,0.5,9.8,1.6,0.5,7.8,1.5,0.5,4.7,1.5,0.5,13,1.4,0.4,5.8,1.4,0.4,6.5,1.5,0.5,9.5
"2,3,3',4,4',5-HxCB(#156)",0.00003,0.25,0.08,12,0.22,0.07,3.6,0.23,0.08,23,0.24,0.08,15,0.25,0.08,11,0.23,0.08,10,0.23,0.08,30,0.22,0.07,14,0.22,0.07,12,0.23,0.08,17
"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.4,0.1,7.8,0.3,0.1,1.2,0.3,0.1,7.2,0.3,0.1,9.1,0.4,0.1,7.7,0.3,0.1,2.9,0.3,0.1,9.3,0.3,0.1,4.2,0.3,0.1,4.2,0.3,0.1,5.8
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,2.2,0.6,5.5,2.0,0.5,(0.6),2.1,0.5,6.6,2.1,0.5,7.2,2.2,0.6,6.1,2.1,0.5,ND,2.1,0.5,2.6,1.9,0.5,2.4,1.9,0.5,2.1,2.1,0.5,2.4
TeCDDs ,,―,―,130,―,―,8.1,―,―,47,―,―,68,―,―,28,―,―,150,―,―,10,―,―,4.3,―,―,25,―,―,24
PeCDDs ,,―,―,180,―,―,5.8,―,―,50,―,―,73,―,―,50,―,―,41,―,―,4.2,―,―,7.4,―,―,20,―,―,27
HxCDDs ,,―,―,490,―,―,9.7,―,―,68,―,―,250,―,―,110,―,―,32,―,―,5.8,―,―,16,―,―,33,―,―,45
HpCDDs,,―,―,1100,―,―,18,―,―,75,―,―,1100,―,―,270,―,―,60,―,―,11,―,―,36,―,―,54,―,―,68
OCDD,,―,―,6500,―,―,72,―,―,140,―,―,12000,―,―,1600,―,―,470,―,―,75,―,―,180,―,―,130,―,―,240
Total（PCDDs）,,―,―,8400,―,―,110,―,―,380,―,―,13000,―,―,2100,―,―,750,―,―,110,―,―,240,―,―,260,―,―,410
TeCDFs,,―,―,79,―,―,9.7,―,―,100,―,―,70,―,―,51,―,―,38,―,―,7.2,―,―,19,―,―,42,―,―,46
PeCDFs,,―,―,170,―,―,11,―,―,99,―,―,130,―,―,83,―,―,37,―,―,6.9,―,―,39,―,―,45,―,―,49
HxCDFs,,―,―,310,―,―,13,―,―,92,―,―,350,―,―,130,―,―,43,―,―,7.8,―,―,68,―,―,53,―,―,58
HpCDFs,,―,―,490,―,―,15,―,―,64,―,―,950,―,―,150,―,―,39,―,―,7.1,―,―,73,―,―,45,―,―,54
OCDF,,―,―,760,―,―,8,―,―,32,―,―,2000,―,―,120,―,―,27,―,―,5,―,―,31,―,―,28,―,―,31
Total（PCDFs）,,―,―,1800,―,―,57,―,―,390,―,―,3500,―,―,540,―,―,180,―,―,34,―,―,230,―,―,210,―,―,240
Total (PCDDs+PCDFs),,―,―,10000,―,―,170,―,―,770,―,―,17000,―,―,2600,―,―,930,―,―,140,―,―,470,―,―,480,―,―,650
Total Co-PCBs,,―,―,120,―,―,34,―,―,320,―,―,150,―,―,100,―,―,110,―,―,280,―,―,200,―,―,170,―,―,220
TEQ Total(PCDDs+PCDFs),,,,99,,,1.3,,,9.1,,,47,,,15,,,5.2,,,0.44,,,4.2,,,4.9,,,6.6
TEQ Total Co-PCB,,,,0.85,,,0.081,,,0.86,,,1,,,0.94,,,0.22,,,0.13,,,0.26,,,0.37,,,0.5
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,100,,,1.4,,,9.9,,,48,,,16,,,5.4,,,0.57,,,4.5,,,5.2,,,7.1
含水率（％）,,,,11.7,,,1,,,5.4,,,10.9,,,13.2,,,5.2,,,1.8,,,1.2,,,1.6,,,4.1
強熱減量（％）,,,,23,,,3.8,,,6.3,,,22.8,,,24,,,9,,,3.2,,,2.5,,,3.5,,,6.8
土色,,,,暗褐,,,黄灰,,,褐灰,,,褐,,,褐,,,黒,,,暗褐,,,灰,,,黒褐,,,褐灰
*：毒性等量は、実測濃度が定量下限未満の数値は０（ゼロ）として算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
