表8-1  物質別月別調査結果（HAPｓ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020年度  HAPs,,,,,,,,,,,
"注） ・２桁への有効数字処理は行っていない。
・検出下限値未満の値は「<」で示し、年平均値算出には検出下限値の1/2を充てる。右側のppb換算値の検出下限値付近の値においては、μg/m3と表示が異なる場合がある。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中山道大和町,0.442,1.068,,0.817,,0.545,,1.268,,1.405,,1.243,,,1.061,,,1.891,,,,1.158,,,,1.159,,,,0.293,,,,1.891,,,,0.293,,,1.029,,,,0.527,,,,0.082,,,,0.287,,
,４地点沿道平均,0.454,0.832,,0.817,,0.876,,1.136,,1.199,,1.065,,,1.001,,,1.653,,,,0.94,,,,1.131,,,,0.313,,,,2.153,,,,0.174,,,0.951,,,,0.6,,,,0.049,,,,0.265,,
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,0.075,0.342,,0.233,,0.089,,0.304,,0.133,,0.36,,,0.426,,,0.747,,,,0.395,,,,0.367,,,,0.154,,,,0.747,,,,0.075,,,0.302,,,,0.208,,,,< 0.03,,,,0.084,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"cis-1,2-Dichloroethylene",,,,,,,,,,,,,,,,,,基準値    ：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,96.9,,
,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.13,,,,μg/m3,,,,(0.03 ppb),,,,,,,,,,,換算係数(→ppb）：,,,,,,,,0.248,,
,,2020年度,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.04,,,,,,,,(0.009 ppb),,,,,(単位：μg/m3）,,,,,,,,,,(単位：ｐｐｂ）,,,,,,
測定地点（局）,,4月,5月,,6月,,7月,,8月,,9月,,10月,,,11月,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,,最小,,,平 均,,,,最大,,,,最小,,,,平 均,,
,中央区晴海,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
区,国設東京新宿,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
部,大田区東糀谷,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
一,世田谷区世田谷,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
般,板橋区氷川町,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
環,練馬区石神井町,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
境,足立区西新井,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
,江戸川区春江町,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
,区部一般平均,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
多,小金井市本町,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
摩,東大和市奈良橋,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
一般,多摩部一般平均,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
都一般平均,,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
,京葉道路亀戸,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
,環八通り八幡山,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
沿,２地点沿道平均,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
道,甲州街道大原,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
,中山道大和町,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
,４地点沿道平均,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.009,,,,< 0.009,,,,< 0.009,,
2020年度  HAPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"1,1,1-Trichloroethane",,,,,,,,,,,,,,,,,,基準値    ：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,133.4,,
,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.11,,,,μg/m3,,,,(0.019 ppb),,,,,,,,,,,換算係数(→ppb）：,,,,,,,,0.18,,
,,2020年度,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.04,,,,,,,,(0.006 ppb),,,,,(単位：μg/m3）,,,,,,,,,,(単位：ｐｐｂ）,,,,,,
測定地点（局）,,4月,5月,,6月,,7月,,8月,,9月,,10月,,,11月,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,,最小,,,平 均,,,,最大,,,,最小,,,,平 均,,
,中央区晴海,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
区,国設東京新宿,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
部,大田区東糀谷,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
一,世田谷区世田谷,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
般,板橋区氷川町,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
環,練馬区石神井町,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
境,足立区西新井,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
,江戸川区春江町,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
,区部一般平均,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
多,小金井市本町,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
摩,東大和市奈良橋,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
一般,多摩部一般平均,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
都一般平均,,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
,京葉道路亀戸,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
,環八通り八幡山,< 0.04,< 0.04,,0.049,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.049,,,,< 0.04,,,< 0.04,,,,0.009,,,,< 0.006,,,,< 0.006,,
沿,２地点沿道平均,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.049,,,,< 0.04,,,< 0.04,,,,0.009,,,,< 0.006,,,,< 0.006,,
道,甲州街道大原,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
,中山道大和町,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
,４地点沿道平均,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.049,,,,< 0.04,,,< 0.04,,,,0.009,,,,< 0.006,,,,< 0.006,,
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,< 0.04,,,,< 0.006,,,,< 0.006,,,,< 0.006,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"1,2-Dichloropropane",,,,,,,,,,,,,,,,,,基準値    ：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,113,,
,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.12,,,,μg/m3,,,,(0.025 ppb),,,,,,,,,,,換算係数(→ppb）：,,,,,,,,0.213,,
,,2020年度,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.04,,,,,,,,(0.008 ppb),,,,,(単位：μg/m3）,,,,,,,,,,(単位：ｐｐｂ）,,,,,,
測定地点（局）,,4月,5月,,6月,,7月,,8月,,9月,,10月,,,11月,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,,最小,,,平 均,,,,最大,,,,最小,,,,平 均,,
,中央区晴海,< 0.04,0.076,,0.067,,< 0.04,,< 0.04,,< 0.04,,0.054,,,0.051,,,0.048,,,,0.048,,,,0.051,,,,< 0.04,,,,0.076,,,,< 0.04,,,0.041,,,,0.016,,,,< 0.008,,,,0.009,,
区,国設東京新宿,< 0.04,0.056,,0.041,,< 0.04,,< 0.04,,< 0.04,,0.084,,,0.044,,,0.058,,,,< 0.04,,,,0.045,,,,< 0.04,,,,0.084,,,,< 0.04,,,< 0.04,,,,0.018,,,,< 0.008,,,,< 0.008,,
部,大田区東糀谷,< 0.04,0.083,,0.042,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,0.068,,,< 0.04,,,,0.072,,,,0.046,,,,< 0.04,,,,0.083,,,,< 0.04,,,< 0.04,,,,0.018,,,,< 0.008,,,,< 0.008,,
一,世田谷区世田谷,< 0.04,0.067,,0.044,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,0.05,,,0.04,,,,< 0.04,,,,0.065,,,,0.041,,,,0.067,,,,< 0.04,,,< 0.04,,,,0.014,,,,< 0.008,,,,< 0.008,,
般,板橋区氷川町,< 0.04,0.056,,0.054,,< 0.04,,< 0.04,,< 0.04,,0.076,,,0.043,,,< 0.04,,,,< 0.04,,,,0.056,,,,< 0.04,,,,0.076,,,,< 0.04,,,< 0.04,,,,0.016,,,,< 0.008,,,,< 0.008,,
環,練馬区石神井町,< 0.04,0.057,,0.063,,< 0.04,,< 0.04,,< 0.04,,0.071,,,0.042,,,0.055,,,,< 0.04,,,,0.044,,,,< 0.04,,,,0.071,,,,< 0.04,,,< 0.04,,,,0.015,,,,< 0.008,,,,0.008,,
境,足立区西新井,< 0.04,0.064,,0.058,,< 0.04,,< 0.04,,< 0.04,,0.059,,,0.055,,,< 0.04,,,,< 0.04,,,,0.053,,,,< 0.04,,,,0.064,,,,< 0.04,,,< 0.04,,,,0.014,,,,< 0.008,,,,< 0.008,,
,江戸川区春江町,< 0.04,0.075,,0.052,,< 0.04,,< 0.04,,< 0.04,,0.072,,,< 0.04,,,0.06,,,,0.058,,,,0.041,,,,< 0.04,,,,0.075,,,,< 0.04,,,< 0.04,,,,0.016,,,,< 0.008,,,,0.008,,
,区部一般平均,< 0.04,0.067,,0.053,,< 0.04,,< 0.04,,< 0.04,,0.057,,,0.047,,,0.04,,,,< 0.04,,,,0.05,,,,< 0.04,,,,0.084,,,,< 0.04,,,< 0.04,,,,0.018,,,,< 0.008,,,,< 0.008,,
多,小金井市本町,< 0.04,0.07,,0.049,,< 0.04,,< 0.04,,< 0.04,,0.048,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.07,,,,< 0.04,,,< 0.04,,,,0.015,,,,< 0.008,,,,< 0.008,,
摩,東大和市奈良橋,< 0.04,0.077,,0.041,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,0.045,,,< 0.04,,,,< 0.04,,,,0.053,,,,< 0.04,,,,0.077,,,,< 0.04,,,< 0.04,,,,0.016,,,,< 0.008,,,,< 0.008,,
一般,多摩部一般平均,< 0.04,0.074,,0.045,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.077,,,,< 0.04,,,< 0.04,,,,0.016,,,,< 0.008,,,,< 0.008,,
都一般平均,,< 0.04,0.068,,0.051,,< 0.04,,< 0.04,,< 0.04,,0.052,,,0.044,,,< 0.04,,,,< 0.04,,,,0.047,,,,< 0.04,,,,0.084,,,,< 0.04,,,< 0.04,,,,0.018,,,,< 0.008,,,,< 0.008,,
,京葉道路亀戸,< 0.04,0.066,,0.058,,< 0.04,,< 0.04,,< 0.04,,0.101,,,< 0.04,,,0.049,,,,< 0.04,,,,0.044,,,,< 0.04,,,,0.101,,,,< 0.04,,,< 0.04,,,,0.022,,,,< 0.008,,,,0.008,,
,環八通り八幡山,< 0.04,0.059,,0.041,,< 0.04,,< 0.04,,< 0.04,,0.057,,,0.047,,,0.056,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.059,,,,< 0.04,,,< 0.04,,,,0.012,,,,< 0.008,,,,< 0.008,,
沿,２地点沿道平均,< 0.04,0.062,,0.05,,< 0.04,,< 0.04,,< 0.04,,0.079,,,< 0.04,,,0.053,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.101,,,,< 0.04,,,< 0.04,,,,0.022,,,,< 0.008,,,,< 0.008,,
道,甲州街道大原,< 0.04,0.055,,0.049,,< 0.04,,< 0.04,,< 0.04,,0.067,,,0.049,,,0.041,,,,0.044,,,,0.044,,,,< 0.04,,,,0.067,,,,< 0.04,,,< 0.04,,,,0.014,,,,< 0.008,,,,< 0.008,,
,中山道大和町,< 0.04,0.062,,0.064,,< 0.04,,< 0.04,,< 0.04,,0.063,,,0.052,,,0.047,,,,< 0.04,,,,0.044,,,,< 0.04,,,,0.064,,,,< 0.04,,,< 0.04,,,,0.014,,,,< 0.008,,,,0.008,,
,４地点沿道平均,< 0.04,0.061,,0.053,,< 0.04,,< 0.04,,< 0.04,,0.072,,,0.042,,,0.048,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.101,,,,< 0.04,,,< 0.04,,,,0.022,,,,< 0.008,,,,< 0.008,,
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,< 0.04,0.081,,0.046,,< 0.04,,< 0.04,,< 0.04,,< 0.04,,,0.054,,,< 0.04,,,,0.045,,,,0.064,,,,< 0.04,,,,0.081,,,,< 0.04,,,< 0.04,,,,0.017,,,,< 0.008,,,,< 0.008,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"cis-1,3-Dichloropropene",,,,,,,,,,,,,,,,,,基準値    ：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分子量：,,,,111,,
,,,,,,,,,,,,,,,,,,,定量下限値：,,,,,,,,0.12,,,,μg/m3,,,,(0.025 ppb),,,,,,,,,,,換算係数(→ppb）：,,,,,,,,0.217,,
,,2020年度,,,,,,,,,,,,,,,,,検出下限値：,,,,,,,,0.04,,,,,,,,(0.008 ppb),,,,,(単位：μg/m3）,,,,,,,,,,(単位：ｐｐｂ）,,,,,,
測定地点（局）,,4月,5月,,6月,,7月,,8月,,9月,,10月,,,11月,,,12月,,,,1月,,,,2月,,,,3月,,,,最大,,,,最小,,,平 均,,,,最大,,,,最小,,,,平 均,,
,中央区晴海,< 0.04,< 0.04,,< 0.04,,< 0.04,,0.081,,0.047,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.081,,,,< 0.04,,,< 0.04,,,,0.018,,,,< 0.008,,,,< 0.008,,
区,国設東京新宿,< 0.04,< 0.04,,< 0.04,,< 0.04,,0.222,,0.054,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.222,,,,< 0.04,,,< 0.04,,,,0.048,,,,< 0.008,,,,0.009,,
部,大田区東糀谷,< 0.04,< 0.04,,< 0.04,,< 0.04,,0.095,,0.061,,< 0.04,,,< 0.04,,,0.054,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.095,,,,< 0.04,,,< 0.04,,,,0.021,,,,< 0.008,,,,< 0.008,,
一,世田谷区世田谷,< 0.04,< 0.04,,< 0.04,,< 0.04,,0.283,,0.073,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.283,,,,< 0.04,,,0.046,,,,0.061,,,,< 0.008,,,,0.01,,
般,板橋区氷川町,< 0.04,< 0.04,,< 0.04,,< 0.04,,0.172,,0.073,,< 0.04,,,< 0.04,,,0.047,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.172,,,,< 0.04,,,< 0.04,,,,0.037,,,,< 0.008,,,,0.009,,
環,練馬区石神井町,< 0.04,0.04,,< 0.04,,< 0.04,,0.207,,0.109,,< 0.04,,,< 0.04,,,0.084,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.207,,,,< 0.04,,,0.05,,,,0.045,,,,< 0.008,,,,0.011,,
境,足立区西新井,< 0.04,< 0.04,,< 0.04,,< 0.04,,0.146,,0.044,,< 0.04,,,< 0.04,,,0.065,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.146,,,,< 0.04,,,< 0.04,,,,0.032,,,,< 0.008,,,,< 0.008,,
,江戸川区春江町,< 0.04,< 0.04,,< 0.04,,< 0.04,,< 0.04,,0.073,,0.04,,,< 0.04,,,0.061,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.073,,,,< 0.04,,,< 0.04,,,,0.016,,,,< 0.008,,,,< 0.008,,
,区部一般平均,< 0.04,< 0.04,,< 0.04,,< 0.04,,0.153,,0.067,,< 0.04,,,< 0.04,,,0.046,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.283,,,,< 0.04,,,< 0.04,,,,0.061,,,,< 0.008,,,,0.008,,
多,小金井市本町,< 0.04,< 0.04,,< 0.04,,< 0.04,,0.075,,0.132,,0.048,,,< 0.04,,,0.074,,,,< 0.04,,,,0.176,,,,0.05,,,,0.176,,,,< 0.04,,,0.056,,,,0.038,,,,< 0.008,,,,0.012,,
摩,東大和市奈良橋,< 0.04,0.071,,0.047,,< 0.04,,0.044,,< 0.04,,< 0.04,,,< 0.04,,,0.048,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.071,,,,< 0.04,,,< 0.04,,,,0.015,,,,< 0.008,,,,< 0.008,,
一般,多摩部一般平均,< 0.04,0.045,,< 0.04,,< 0.04,,0.059,,0.076,,< 0.04,,,< 0.04,,,0.061,,,,< 0.04,,,,0.098,,,,< 0.04,,,,0.176,,,,< 0.04,,,0.044,,,,0.038,,,,< 0.008,,,,0.009,,
都一般平均,,< 0.04,< 0.04,,< 0.04,,< 0.04,,0.135,,0.069,,< 0.04,,,< 0.04,,,0.049,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.283,,,,< 0.04,,,< 0.04,,,,0.061,,,,< 0.008,,,,0.008,,
,京葉道路亀戸,< 0.04,< 0.04,,< 0.04,,< 0.04,,0.078,,< 0.04,,< 0.04,,,< 0.04,,,0.047,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.078,,,,< 0.04,,,< 0.04,,,,0.017,,,,< 0.008,,,,< 0.008,,
,環八通り八幡山,< 0.04,< 0.04,,< 0.04,,< 0.04,,0.259,,0.069,,< 0.04,,,< 0.04,,,0.073,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.259,,,,< 0.04,,,0.048,,,,0.056,,,,< 0.008,,,,0.01,,
沿,２地点沿道平均,< 0.04,< 0.04,,< 0.04,,< 0.04,,0.169,,0.044,,< 0.04,,,< 0.04,,,0.06,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.259,,,,< 0.04,,,< 0.04,,,,0.056,,,,< 0.008,,,,0.008,,
道,甲州街道大原,< 0.04,0.042,,< 0.04,,< 0.04,,0.212,,< 0.04,,< 0.04,,,< 0.04,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,< 0.04,,,,0.212,,,,< 0.04,,,< 0.04,,,,0.046,,,,< 0.008,,,,0.008,,
