項目名,毒性等価係数,定量下限値（pg/g）,検出下限値（pg/g）,千代田区日比谷公園（pg/g）,中央区日本橋浜町2（pg/g）,港区芝公園4（pg/g）,文京区千駄木3（pg/g）,台東区清川1（pg/g）,墨田区横綱2（pg/g）,渋谷区本町2（pg/g）,荒川区東日暮里3（pg/g）,江戸川区北葛西5（pg/g）
PeCDFs,,,,29,14,9.8,7.8,8.4,110,3.1,1.6,0.18
HxCDFs,,,,31,30,37,7.7,6.5,110,3.1,1.8,0.13
HpCDFs,,,,18,45,100,5.6,3.8,64,2.1,0.92,0.33
OCDF,,,,11,40,110,3,1,39,N.D.,N.D.,N.D.
Total（PCDFs）,,,,130,150,260,37,34,500,14,7.1,0.89
Total (PCDDs+PCDFs),,,,450,1300,2000,100,89,2200,46,68,27
Total Co-PCBs,,,,720,310,240,100,260,1100,29,51,4.5
TEQ Total(PCDDs+PCDFs),,,,2.1,1.6,2.3,0.088,0.17,13,0.028,0.015,0.0072
TEQ Total Co-PCB,,,,0.39,0.010,0.23,0.0033,0.41,1.7,0.00072,0.0019,0.000096
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,2.5,1.6,2.6,0.091,0.58,14,0.029,0.017,0.0073
含水率（％）,,,,3.7,4.0,4.6,8.2,0.8,3.6,0.9,4.3,0.5
強熱減量（％）,,,,5.7,6.7,9.7,15.2,3.0,9.0,3.1,5.0,2.1
土色,,,,にぶい赤褐,にぶい赤褐,褐,黒褐,褐灰,褐,灰,褐,明黄褐
