項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／二重測定,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,23呑川／夫婦橋,27谷地川／下田橋下,31大栗川／向ノ岡大橋,32野川／天神森橋,33恩田川／都橋,34境川／鶴間一号橋,34境川／鶴間一号橋／二重測定,35黒沢川／落合橋,36空堀川／梅坂橋,37黒目川／神宝大橋,37黒目川／神宝大橋／二重測定
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,(0.04),(0.07),0.11,0.11,ND,(0.08),(0.08),0.12,(0.09),(0.09),0.11,(0.04),(0.04),0.14,0.13,(0.03),0.23,(0.04),(0.07),(0.07),ND,(0.03),(0.04),0.12,ND,ND,ND,(0.03),ND,ND,ND,ND,ND,(0.05),(0.04)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,0.88,1.4,2.7,2.7,0.85,1.5,1.4,2.7,1.9,1.8,0.95,1.1,0.92,1.6,1.7,0.82,3.7,0.78,1.4,1.9,0.38,0.54,0.61,3.3,0.59,0.24,0.24,0.32,0.42,0.13,0.18,0.14,0.33,0.48,0.47
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.11),(0.16),0.26,0.32,(0.08),(0.17),0.22,0.30,0.20,(0.16),0.29,(0.13),(0.09),0.26,(0.18),(0.11),0.50,(0.10),(0.14),(0.17),ND,ND,ND,(0.20),ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.07),(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.08),(0.12),0.21,0.25,(0.08),(0.10),(0.11),(0.17),(0.14),(0.13),(0.10),(0.07),ND,(0.10),(0.10),ND,0.29,ND,(0.07),(0.09),ND,ND,ND,(0.17),ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.06),(0.06)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.11),(0.12),0.21,0.29,(0.08),(0.11),(0.12),0.22,(0.16),(0.18),(0.07),ND,(0.07),(0.08),(0.16),(0.11),0.21,ND,(0.10),ND,ND,ND,ND,(0.14),ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.09),(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,1.3,2.1,4.2,4.9,1.3,1.3,1.6,3.1,1.5,1.5,0.90,1.5,0.42,1.8,1.8,1.0,5.8,0.82,1.9,2.2,ND,0.25,ND,2.4,ND,ND,ND,ND,(0.09),ND,ND,ND,(0.15),0.44,0.43
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,0.60,0.84,1.6,2.0,0.56,0.82,0.78,1.4,0.58,0.58,0.31,0.57,0.27,1.5,1.6,0.40,5.2,0.38,1.2,1.7,(0.08),(0.18),(0.09),0.73,(0.08),(0.13),(0.13),(0.13),(0.15),(0.11),(0.14),(0.10),(0.18),0.31,0.31
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,(0.17),(0.16),0.33,0.38,(0.11),(0.10),(0.13),0.21,(0.12),(0.14),(0.09),(0.10),ND,(0.12),(0.16),(0.12),0.48,(0.07),(0.12),(0.15),ND,ND,ND,(0.16),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,1.5,2.0,4.4,5.3,1.1,2.0,1.9,3.7,1.4,1.2,0.68,1.9,0.46,3.9,3.7,1.1,13,1.0,3.3,4.0,(0.08),0.34,(0.09),1.3,(0.08),(0.13),(0.13),(0.13),(0.20),(0.11),(0.14),(0.10),(0.18),0.45,0.54
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,1.3,1.7,4.1,4.3,1.2,2.1,2.5,4.4,1.0,0.7,0.6,3.7,(0.5),4.9,5.4,1.1,19,1.2,4.3,5.6,ND,(0.2),ND,0.6,ND,ND,ND,ND,ND,ND,(0.2),ND,(0.2),(0.3),(0.3)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,6.1,8.5,19,21,5.3,8.7,9.1,17,7.7,7,4.4,9.2,3,15,15,5,47,4.8,12,16,0.85,1.8,3.2,11,1.6,0.42,0.37,0.6,1.1,0.41,0.77,0.24,0.91,1.9,2
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,68,98,240,300,62,42,44,100,48,32,16,150,14,45,45,39,150,42,38,58,9,10,5.8,27,14,6.4,5.7,2.8,3.8,4.9,6.3,6.8,4.5,8.9,8.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,(0.09),(0.16),0.32,0.26,(0.14),0.72,0.56,0.70,0.28,0.22,0.50,0.48,(0.18),0.75,0.83,0.31,2.2,0.29,0.67,0.93,(0.10),(0.12),(0.14),1.4,(0.10),ND,(0.07),ND,ND,ND,ND,ND,ND,(0.09),(0.09)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,1.9,7.0,25,23,4.2,43,40,54,14,4.5,17,17,9.4,26,32,15,100,17,27,34,2.0,2.1,2.3,35,1.4,1.0,1.2,0.98,1.5,1.1,1.1,0.60,0.85,1.2,1.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,(0.13),0.30,0.56,0.55,0.21,0.69,0.66,0.87,0.33,0.37,0.37,0.34,0.33,0.66,0.66,0.29,1.9,0.29,0.52,0.73,(0.13),(0.11),(0.17),2.0,(0.13),(0.07),(0.07),(0.09),ND,(0.12),(0.09),ND,ND,(0.14),(0.16)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,ND,ND,ND,ND,ND,(0.10),ND,ND,ND,(0.06),ND,ND,ND,ND,(0.11),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,2.1,7.5,26,24,4.6,44,41,56,15,5.1,18,18,9.9,27,33,16,100,18,28,36,2.2,2.3,2.6,38,1.6,1.1,1.3,1.1,1.5,1.2,1.2,0.6,0.85,1.4,1.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,0.23,0.48,0.88,0.82,0.43,2.0,1.9,2.0,0.89,0.50,1.6,1.3,0.55,2.0,1.7,0.81,6.0,0.82,1.3,2.1,0.36,0.27,0.77,4.4,(0.18),(0.10),(0.07),(0.18),ND,(0.16),(0.20),(0.12),(0.11),(0.18),(0.17)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,15,25,67,59,26,130,120,170,62,30,69,76,45,120,120,61,380,68,100,160,28,21,50,360,15,4.0,4.1,8.9,4.1,12,13,5.1,5.4,8.7,10
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,5.7,9.3,20,19,8.5,40,41,51,18,14,34,28,16,39,41,19,130,20,35,52,9.7,7.9,23,140,4.8,1.9,1.9,3.4,1.9,5.0,5.2,2.1,2.2,3.7,3.8
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,0.49,0.69,1.5,1.4,0.67,3.3,3.5,4.2,1.5,0.89,2.9,2.4,1.1,2.6,2.4,1.3,8.0,1.5,2.2,3.5,0.61,0.59,2.8,6.4,0.35,(0.15),0.71,(0.19),(0.13),0.27,0.36,(0.15),0.21,0.28,0.35
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,0.61,0.85,2.0,1.9,1.0,3.1,3.1,4.3,1.8,1.7,1.5,2.4,1.8,3.6,3.3,1.5,13,1.6,2.7,4.6,1.2,0.71,2.0,13,0.69,0.20,(0.17),0.45,0.23,0.75,0.78,0.23,0.24,0.52,0.56
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,1.5,2.4,4.8,4.7,2.2,7.5,8.0,10,4.8,3.8,4.1,6.1,4.7,7.7,8.0,3.4,29,3.6,6.2,11,2.7,1.9,4.9,29,1.4,0.45,0.40,0.98,0.56,1.7,1.7,0.51,0.52,0.96,0.97
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,0.37,0.59,1.2,1.1,0.54,1.7,1.8,2.4,1.1,1.0,1.0,1.4,1.1,1.8,2.1,0.81,7.1,0.90,1.5,2.6,0.72,0.43,1.2,7.4,0.32,(0.11),(0.11),0.20,(0.15),0.44,0.44,(0.13),(0.12),0.28,0.28
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,(0.10),(0.17),0.31,0.29,(0.13),0.39,0.42,0.58,0.22,0.24,0.30,0.30,0.24,0.46,0.41,(0.18),1.8,0.21,0.37,0.60,(0.12),(0.08),(0.15),1.3,(0.09),ND,ND,(0.07),ND,(0.10),(0.09),ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,24,39,98,88,39,190,180,240,90,52,110,120,70,180,180,88,570,97,150,240,43,33,85,560,23,6.9,7.5,14,7.1,20,22,8.3,8.8,15,16
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,26,47,120,110,44,230,220,300,100,57,130,140,80,200,210,100,680,110,180,270,46,35,87,600,24,8,8.8,15,8.6,22,23,8.9,9.7,16,18
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,94,140,360,410,110,270,270,400,150,90,150,290,95,250,260,140,830,160,220,330,55,46,93,630,39,14,14,18,12,27,29,16,14,25,26
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.16,0.24,0.44,0.54,0.14,0.16,0.17,0.27,0.22,0.19,0.16,0.19,0.089,0.22,0.23,0.11,0.54,0.11,0.16,0.18,0.061,0.068,0.082,0.22,0.061,0.063,0.063,0.066,0.061,0.062,0.066,0.063,0.063,0.11,0.089
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.015,0.033,0.062,0.061,0.024,0.08,0.076,0.1,0.038,0.04,0.043,0.041,0.037,0.075,0.076,0.034,0.22,0.035,0.06,0.085,0.015,0.013,0.021,0.22,0.015,0.0082,0.0083,0.01,0.0043,0.014,0.011,0.0042,0.0043,0.015,0.018
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.17,0.27,0.50,0.60,0.16,0.24,0.25,0.38,0.26,0.23,0.21,0.23,0.13,0.30,0.30,0.15,0.76,0.14,0.22,0.27,0.076,0.081,0.10,0.44,0.075,0.071,0.072,0.077,0.066,0.076,0.077,0.067,0.067,0.12,0.11
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.18,0.28,0.51,0.60,0.16,0.27,0.28,0.41,0.28,0.25,0.24,0.22,0.14,0.34,0.34,0.15,0.85,0.16,0.24,0.30,0.083,0.090,0.12,0.52,0.080,0.074,0.075,0.084,0.069,0.081,0.082,0.070,0.071,0.13,0.12
浮遊物質量（SS）,,,,,mg/L,12,11,14,17,6,7,7,7,8,9,11,5,4,1未満,1未満,2,3,3,3,2,1,2,1未満,1,1未満,1未満,3,1未満,3,3,3,1,4,8,8
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
