,地点番号,調査地点,,平成27年度(TEQ)／水質(pg/L)／春季,平成27年度(TEQ)／水質(pg/L)／夏季,平成27年度(TEQ)／水質(pg/L)／秋季,平成27年度(TEQ)／水質(pg/L)／冬季,平成27年度(TEQ)／水質(pg/L)／年度平均,平成27年度(TEQ)／底質 (pg/g),平成26年度(TEQ)／水質(pg/L)／春季,平成26年度(TEQ)／水質(pg/L)／夏季,平成26年度(TEQ)／水質(pg/L)／秋季,平成26年度(TEQ)／水質(pg/L)／冬季,平成26年度(TEQ)／水質(pg/L)／年度平均,平成26年度(TEQ)／底質 (pg/g)
河川（東京都測定）,32,空堀川,梅坂橋,0.07,-,0.063,-,0.067,0.39,-,-,-,-,-,-
河川（東京都測定）,33,黒目川,神宝大橋,0.095,-,0.067,-,0.081,0.95,-,-,-,-,-,-
河川（東京都測定）,-,多摩川,和田橋,-,-,-,-,-,-,0.062,-,0.062,-,0.062,0.21
河川（東京都測定）,-,秋川,東秋川橋,-,-,-,-,-,-,-,-,0.062,-,0.062,0.29
河川（東京都測定）,-,養沢川,新橋,-,-,-,-,-,-,-,-,0.062,-,0.062,0.49
河川（東京都測定）,-,残堀川,立川橋,-,-,-,-,-,-,0.13,-,0.087,-,0.11,5.3
河川（東京都測定）,-,程久保川,玉川橋,-,-,-,-,-,-,0.1,-,0.069,-,0.085,0.75
河川（東京都測定）,-,三沢川,天神橋,-,-,-,-,-,-,0.12,-,0.088,-,0.1,0.47
河川（東京都測定）,-,仙川,鎌田橋,-,-,-,-,-,-,0.096,-,0.065,-,0.081,0.42
河川（東京都測定）,-,鶴見川,麻生橋,-,-,-,-,-,-,0.077,-,0.067,-,0.072,0.54
河川（東京都測定）,-,成木川,両郡橋,-,-,-,-,-,-,-,-,0.063,-,0.063,0.27
河川（東京都測定）,-,霞川,金子橋,-,-,-,-,-,-,0.068,-,0.066,-,0.067,0.7
河川（東京都測定）,-,柳瀬川,清柳橋,-,-,-,-,-,-,0.064,-,0.063,-,0.064,0.26
河川（国土交通省測定）,34,江戸川,江戸川水門上,-,-,0.14,-,0.14,10,0.12,0.17,0.087,0.078,0.11,9.5
河川（国土交通省測定）,35,中川,飯塚橋,1.1,0.6,1,0.51,0.8,25,1.5,0.64,0.69,0.67,0.88,1.7
河川（国土交通省測定）,36,中川,高砂橋,1,0.63,0.79,0.48,0.73,-,1.1,0.86,0.69,0.94,0.9,-
河川（国土交通省測定）,37,綾瀬川,内匠橋,0.8,0.91,1.1,0.27,0.77,6.9,1.1,0.52,0.53,1.1,0.81,13
河川（国土交通省測定）,38,荒川,堀切橋,0.42,0.35,0.84,0.38,0.5,-,0.3,0.62,2.0,0.31,0.81,5
河川（国土交通省測定）,39,荒川,葛西橋,-,-,0.36,-,0.36,7,,,,,,
河川（国土交通省測定）,40,多摩川,拝島橋,-,-,0.067,-,0.067,0.53,-,-,-,-,-,-
河川（国土交通省測定）,41,多摩川,田園調布堰,-,-,0.069,-,0.069,0.33,-,-,0.067,-,0.067,0.24
河川（国土交通省測定）,42,浅川,高幡橋,-,-,0.068,-,0.068,0.29,-,-,-,-,-,-
河川（国土交通省測定）,-,多摩川,羽村堰,-,-,-,-,-,-,-,-,0.067,-,0.067,0.21
河川（国土交通省測定）,-,多摩川,多摩川原橋,-,-,-,-,-,-,-,-,-,-,-,-
河川（国土交通省測定）,-,多摩川,大師橋,-,-,-,-,-,-,-,-,0.12,-,0.12,4.9
河川（国土交通省測定）,-,浅川,長沼橋,-,-,-,-,-,-,-,-,-,-,-,-
河川（八王子市）,43,谷地川,下田橋下,0.053,-,0.038,-,0.046,0.84,-,-,-,-,-,-
河川（八王子市）,44,浅川,中央道北浅川橋,0.02,-,0.02,-,0.02,0.24,-,-,-,-,-,-
河川（八王子市）,45,湯殿川,春日橋,0.066,-,0.032,-,0.049,0.75,-,-,-,-,-,-
河川（八王子市）,-,城山川,五反田橋,-,-,-,-,-,-,0.07,-,0.064,-,0.067,1.7
河川（八王子市）,-,川口川,川口川橋,-,-,-,-,-,-,0.069,-,0.066,-,0.068,0.44
河川（八王子市）,-,南浅川,横川橋,-,-,-,-,-,-,-,-,-,-,-,-
湖沼,1,小河内ﾀﾞﾑ,ﾀﾞﾑ前定点,0.063,-,0.062,-,0.063,3.6,0.063,-,0.062,-,0.063,4.5
海域,(1),St.５,船の科学館前,0.092,-,0.094,-,0.093,13,0.079,-,0.094,-,0.087,12
海域,(2),St.６,中央防波堤内側,0.08,-,0.074,-,0.077,16,0.066,-,0.072,-,0.069,16
海域,(3),St.８,荒川河口付近,0.12,-,0.36,-,0.24,17,0.18,-,0.35,-,0.27,17
海域,(4),St.２２,浦安沖,0.19,-,0.064,-,0.13,30,0.066,-,0.076,-,0.071,39
海域,(5),St.２３,京浜島東,0.09,-,0.068,-,0.079,12,0.078,-,0.068,-,0.073,4
海域,(6),St.２５,東京灯標際,0.082,-,0.098,-,0.09,16,0.093,-,0.098,-,0.096,16
海域,(7),St.３２,多摩川河口,0.068,-,0.075,-,0.072,12,0.09,-,0.093,-,0.092,10
海域,(8),St.３５,多摩川河口沖,0.07,-,0.064,-,0.067,32,0.068,-,0.072,-,0.07,27
注）単位のpg/gは、乾燥重量あたりの換算濃度です。,,,,,,,,,,,,,,,
