項目名,毒性等価係数,定量下限値（pg/g）,検出下限値（pg/g）,足立清掃工場周辺地区／足立区西伊興4（pg/g）,足立清掃工場周辺地区／足立区花畑4（pg/g）,足立清掃工場周辺地区／足立区竹の塚2（pg/g）,足立清掃工場周辺地区／足立区竹の塚6（pg/g）,足立清掃工場周辺地区／足立区島根4（pg/g）,柳泉園クリーンポート周辺地区／東久留米市下里4（pg/g）,柳泉園クリーンポート周辺地区／東久留米市柳窪1（pg/g）,柳泉園クリーンポート周辺地区／東久留米市滝山5（pg/g）,柳泉園クリーンポート周辺地区／東村山市恩多町1（pg/g）,柳泉園クリーンポート周辺地区／東村山市青葉町1（pg/g）
"1,2,3,4,7,8,9-HpCDF",0.01,2.0,0.6,N.D.,3.5,1.5,4.8,N.D.,13,7.2,7.6,3.1,19
OCDF,0.0003,5,2,3,8,9,19,10,300,32,40,28,92
"3,4,4',5-TeCB(#81)",0.0003,2.0,0.6,2.4,0.6,2.2,1.0,N.D.,0.8,1.8,1.1,N.D.,1.8
"3,3',4,4'-TeCB(#77)",0.0001,2.0,0.6,46,8.6,36,11,5.1,11,25,26,6.3,19
"3,3',4,4',5-PeCB(#126)",0.1,2.0,0.6,3.1,2.6,5.0,2.8,1.2,3.1,5.7,16,3.1,12
"3,3',4,4',5,5'-HxCB(#169)",0.03,2.0,0.6,N.D.,0.7,0.8,N.D.,N.D.,1.0,2.3,3.9,1.2,5.3
"2',3,4,4',5-PeCB(#123)",0.00003,2.0,0.6,10,1.5,4.0,7.3,4.3,2.6,3.3,5.1,1.9,2.9
"2,3',4,4',5-PeCB(#118)",0.00003,2.0,0.6,250,41,120,160,150,71,96,84,37,56
"2,3,3',4,4'-PeCB(#105)",0.00003,2.0,0.6,140,25,67,84,81,40,55,45,17,33
"2,3,4,4',5-PeCB(#114)",0.00003,2.0,0.6,5.4,1.0,3.7,5.8,5.2,1.6,2.3,1.5,0.9,1.5
"2,3',4,4',5,5'-HxCB(#167)",0.00003,2.0,0.6,8.4,4.9,12,25,15,9.1,8.3,22,5.4,9.5
"2,3,3',4,4',5-HxCB(#156)",0.00003,2.0,0.6,18,10,29,54,42,18,19,28,9.7,20
"2,3,3',4,4',5'-HxCB(#157)",0.00003,2.0,0.6,6.8,4.1,9.1,18,12,8.0,5.9,14,4.3,8.7
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,2.0,0.6,1.8,1.6,3.1,4.2,2.1,2.7,3.4,5.6,1.5,7.3
TeCDDs ,,,,9.3,37,34,21,4.0,14,47,41,19,78
PeCDDs ,,,,6.6,31,24,17,3.7,15,57,62,15,110
HxCDDs ,,,,8.8,37,33,21,5.5,75,110,120,35,210
HpCDDs,,,,14,32,36,29,12,450,160,170,73,330
OCDD,,,,110,98,150,490,130,7600,290,360,610,670
Total（PCDDs）,,,,140,230,270,580,160,8100,660,760,760,1400
TeCDFs,,,,13,49,43,120,11,21,77,68,26,120
PeCDFs,,,,11,36,35,110,9.3,33,68,68,22,140
HxCDFs,,,,9.0,32,30,120,8.6,120,100,110,28,250
HpCDFs,,,,7.2,20,19,35,11,260,76,81,37,200
OCDF,,,,3,8,9,19,10,300,32,40,28,92
Total（PCDFs）,,,,43,140,140,410,50,730,350,370,140,800
Total (PCDDs+PCDFs),,,,190,380,410,990,210,8900,1000,1100,900,2200
Total Co-PCBs,,,,490,100,290,380,310,170,230,250,89,180
TEQ Total(PCDDs+PCDFs),,,,0.14,5.3,3.9,18,0.17,13,12,13,3.8,24
TEQ Total Co-PCB,,,,0.33,0.26,0.51,0.29,0.0099,0.32,0.65,1.7,0.31,1.4
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,0.47,5.6,4.4,18,0.17,13,13,14,4.1,26
含水率（％）,,,,0.5,3.4,0.8,1.6,0.9,7.1,2.3,8.5,8.7,4.8
強熱減量（％）,,,,2.3,6.2,2.6,3.7,1.9,15.7,3.8,17.9,13.3,9.2
土色,,,,褐灰,褐灰,褐灰,明褐灰,黄褐,暗赤褐,褐灰,黒褐,暗赤褐,極暗褐
