種類,,,,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量／自己中間処理後量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後再生利用量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後自己最終処分量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託処理量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託直接最終処分量（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量／自己未処理再生利用量（千t）,自己未処理量／自己未処理自己最終処分量（千t）,自己未処理量／自己未処理委託処理量（千t）,自己未処理量／自己未処理委託直接最終処分量（千t）,委託処理量（千t）,委託処理量／委託中間処理量（千t）,委託処理量／委託中間処理量／委託中間処理後量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後再生利用量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後最終処分量（千t）,委託処理量／委託直接最終処分量（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
石綿含有産業廃棄物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ばいじん,,,,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,3,3,3,0,3,0,0,3,0,0,3
紙くず,,,,44,13,31,0,0,0,0,0,0,0,31,0,0,31,0,31,31,25,25,0,0,6,0,25,6,0
木くず,,,,11,0,11,1,0,0,0,0,0,1,10,0,0,10,0,10,10,8,8,0,0,2,0,8,3,0
繊維くず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動植物性残さ,,,,25,2,23,3,0,0,0,0,0,3,20,0,0,20,0,20,20,12,12,0,0,8,0,12,11,0
動物系固形不要物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物のふん尿,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
混合廃棄物,,,,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,3,3,2,2,0,0,1,0,2,1,0
その他,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,,,,16,0,16,3,3,3,0,0,0,0,13,0,0,13,0,13,13,7,7,0,0,6,0,10,6,0
特別管理産業廃棄物,廃油,,,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,1,1,0,0,1,0,1,1,0
特別管理産業廃棄物,廃酸,,,9,0,9,3,3,3,0,0,0,0,6,0,0,6,0,6,6,5,5,0,0,1,0,8,1,0
特別管理産業廃棄物,廃アルカリ,,,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0
特別管理産業廃棄物,感染性廃棄物,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,,,4,0,4,0,0,0,0,0,0,0,4,0,0,4,0,4,4,0,0,0,0,4,0,0,4,0
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,,4,0,4,0,0,0,0,0,0,0,4,0,0,4,0,4,4,0,0,0,0,4,0,0,4,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,0,0,3,0,0,3,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
