項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会橋,22内川／富士見橋,23呑川／夫婦橋,24谷地川／下田橋,25大栗川／向ノ岡大橋,26野川／天神森橋,27恩田川／都橋,28境川／鶴間一号橋,29黒沢川／落合橋,30空堀川／梅坂橋,31黒目川／神宝大橋,32東京湾／St.5,33東京湾／St.6,34東京湾／St.8,35東京湾／St.22,36東京湾／St.23,37東京湾／St.25,38東京湾／St.32,39東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/ｌ,0.23,0.62,4.6,1.3,0.79,0.4,0.21,0.33,0.13,0.19,0,0,2.1,0.72,1.4,0.85,0.64,3.9,0,0,0,0,0.15,0.26,0,0.19,0,0.06,0.4,0.34,0.19,0.32,0.26,0.79,0.25,0.29,0.53,0.15,0.21
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/ｌ,0.85,1.8,13,3.7,2.3,0.71,0.57,0.57,0.29,(0.16),0.2,0.22,6,1.6,2.7,1.6,1.3,9.2,0.21,(0.11),0,0.22,(0.11),0.31,(0.15),(0.10),(0.13),(0.11),0.27,0.22,0.34,0.62,0.53,1.8,0.42,0.96,1.1,0.37,0.31
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/ｌ,1.7,3.7,27,7.7,4.9,1.5,1.1,1.1,0.63,0.34,0.41,0.4,11,3.1,5.2,3.1,2.8,19,0.58,0.26,0.06,0.42,0.23,0.56,0.32,0.21,0.26,0.29,0.57,0.49,0.71,1.2,1.1,3.6,0.87,1.8,2.1,0.87,0.66
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/ｌ,13,33,230,68,34,9.7,6.9,6.5,3.9,1.2,1.8,2.1,52,20,31,20,16,98,2.7,0.8,(0.40),2.2,0.9,1.3,1.6,0.7,0.7,1.4,3.2,1.3,4.2,7.1,6.8,29,5.1,11,15,6.4,4.9
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/ｌ,18,46,320,98,49,15,10,12,7.7,2.3,3.3,3.4,69,30,43,30,22,130,5.4,3.3,0.72,4.4,3.1,3,2.3,1.5,1.6,3.5,5.2,3,5.9,10,9.7,40,7.3,15,21,9,6.5
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/ｌ,0,0,0.12,(0.06),0,(0.07),0,0,(0.03),0,0,0,0.26,0.15,0.17,0.13,0,0.35,0,0,(0.07),(0.05),0,0,0,0,0,0,0,0,0,(0.04),(0.04),(0.05),(0.04),(0.04),(0.03),0,0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/ｌ,0,(0.06),0.23,0,(0.06),(0.09),(0.08),0.1,(0.06),0,(0.04),0,0.11,0.11,(0.09),(0.09),0,0.19,0,0,0,0,(0.04),0,0,0,(0.05),0,0,(0.03),0,0,0,(0.06),0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/ｌ,0,(0.05),0.14,(0.04),0,(0.07),0,0,0,0,0,0,0.28,0.12,0.22,0.11,0,0.35,0,0,(0.07),(0.05),0,0,0,0,0,0,(0.04),(0.05),0,(0.05),(0.05),(0.05),0,(0.04),0,(0.07),0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/ｌ,0.13,0.96,4.2,1.4,0.79,0.7,0.29,0.26,0.23,0,0.12,0,2.5,1.8,2,1.2,0.27,4.2,0,0.15,1.7,0.67,0.19,0.07,0,0.05,0.32,0.07,0.52,0.61,0,0.4,0.33,0.91,0.21,0.34,0.41,0.31,0.24
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/ｌ,0,(0.05),0.17,0,(0.08),0,0,0,0,0,0,0,0.28,0.11,0.16,(0.07),0,0.3,0,0,(0.04),0,(0.03),0,0,0,0,0,(0.05),(0.03),0,(0.03),0,(0.05),0,(0.03),0,0,0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/ｌ,0,0,0.12,0,(0.05),0,0,0,0,0,0,0,0.17,0,0.1,0,0,0.16,0,0,0,0,0,0,0,0,0,0,(0.05),(0.03),0,0,(0.06),(0.05),0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/ｌ,0.09,1,3.3,1,1.5,0.79,0.34,0.37,0.3,0,0.41,0.25,2.9,1.3,2.1,1.3,1.3,3.2,0,0.55,0.42,1.7,0.45,0.04,0,0,0.18,0.14,0.63,0.61,0,1.7,1.8,2.5,2.7,2.2,1.5,3.5,4.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,0,(0.06),0.26,(0.10),(0.11),(0.11),0,0,0,0,0,0,0.38,0,0.25,0,0,0.47,0,0,0,0,0,0,0,0,0,0,(0.09),0,0,0,0,(0.07),0,0,(0.06),0,0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,0,0,0.24,(0.06),(0.09),(0.07),0,0,0,0,0,0,(0.16),0,(0.11),0,0,0.25,0,0,0,0,0,0,0,0,0,0,(0.06),0,0,0,0,0,0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/ｌ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(0.12),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,0,0,0.26,0,0,0,0,0,0,0,0,0,0.21,0,(0.13),0,0,0.32,0,0,0,0,0,(0.08),0,0,0,0,(0.12),0,0,0,(0.10),(0.06),0,0,(0.06),0,0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/ｌ,0,1.2,4,1.4,2,0.84,0.67,0.08,0,0,0.26,0.27,4.9,1.2,2.6,1.6,1.7,5.6,0,0.26,0,2,0.2,0.08,0,0,0.07,0,0.59,0.12,0,2.8,3.2,4.2,5.7,3.8,2.9,7,11
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/ｌ,(0.12),0.36,2.1,0.58,0.4,0.34,0.24,0.22,(0.13),(0.08),(0.12),(0.09),4.2,0.72,1.7,0.85,0.75,5.6,0,(0.06),0,(0.14),0,(0.12),(0.07),(0.06),(0.08),0,0.25,(0.17),0.22,0.28,0.25,0.46,0.22,0.43,0.38,0.2,0.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/ｌ,0,0,0.27,(0.09),0,0,0,0,0,0,0,0,0.39,(0.10),(0.15),(0.11),0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/ｌ,0.25,1,6.1,1.6,1.4,0.87,0.69,0.44,0.25,0.16,0.33,0.31,11,2.2,4.7,2.4,2.5,16,0,0.15,0,0.76,0.07,0.12,0.07,0.06,0.08,0,0.34,0.26,0.39,1.4,1.3,2.3,2.1,2.2,1.5,2.8,3.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/ｌ,(0.30),0.9,5.8,1.4,1.1,0.8,0.8,(0.30),(0.20),0,(0.20),(0.30),16,2.3,5.9,2.6,2.8,20,0,0,0,0,0,0,0,0,0,0,0,0,(0.20),0.8,0.6,1,(0.40),1.6,1.2,0.5,(0.40)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/ｌ,0.77,5.1,23,6.8,6.8,4,2.8,1.5,0.98,0.16,1.3,1.1,37,8.8,17,9.1,8.6,49,0,1.1,2.1,5.1,0.91,0.31,0.07,0.11,0.65,0.21,2.1,1.6,0.59,7.1,7.2,11,11,10,7.5,14,20
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/ｌ,19,51,340,110,55,19,13,14,8.7,2.5,4.6,4.5,110,39,61,39,31,180,5.4,4.4,2.8,9.5,4,3.3,2.4,1.6,2.2,3.7,7.3,4.6,6.5,17,17,51,18,25,28,23,27
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/ｌ,0,(0.15),0.39,(0.13),(0.19),0.28,(0.18),0,(0.08),(0.10),(0.09),(0.11),1,0.46,0.67,0.53,0.33,2.4,(0.09),(0.08),0.23,0.3,(0.07),(0.09),0,0,0,(0.07),0,(0.11),(0.07),(0.18),(0.14),0.2,(0.11),(0.19),(0.17),(0.11),(0.07)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/ｌ,1.1,5,28,8.4,5.9,23,11,10,1.4,3.2,2.7,3.2,40,25,35,26,21,91,2,1.2,4.2,7.1,1.4,1.3,0.94,1,0.95,0.92,1.1,1.4,1.1,6.4,5.8,11,2.3,4.4,5.3,2.9,1.8
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/ｌ,0,(0.13),0.53,(0.19),(0.17),0.26,(0.17),(0.15),0,0,0,(0.12),0.73,0.38,0.58,0.39,0.3,1.8,(0.14),(0.07),0.2,0.23,0,0,0,0,0,(0.08),(0.07),(0.09),(0.08),(0.14),(0.13),(0.14),0,0,(0.14),(0.07),0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/ｌ,0,0,0,0,0,0,0,0,0,0,0,0,(0.07),0,(0.08),0,0,(0.14),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/ｌ,1.1,5.3,29,8.7,6.3,24,11,10,1.5,3.3,2.8,3.4,42,26,36,27,22,95,2.2,1.4,4.6,7.6,1.5,1.4,0.94,1,0.95,1.1,1.2,1.6,1.3,6.7,6.1,11,2.4,4.6,5.6,3.1,1.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/ｌ,0.31,1,1.6,0.6,1,1.1,0.73,0.85,0.24,0.39,0.39,0.6,3,1.9,2.8,2,1.5,8.7,0.66,0.27,2.6,1.3,0.28,0.37,0.3,0.31,0.27,0.24,0.39,0.43,0.2,0.72,0.7,0.74,0.35,0.56,0.96,0.45,0.42
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/ｌ,17,71,83,31,65,70,45,52,15,17,19,36,160,130,180,120,95,460,39,15,140,90,15,22,21,16,16,12,24,28,11,46,47,46,20,36,63,28,26
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/ｌ,6.7,26,29,13,25,20,14,14,5.6,7.4,6.6,13,55,40,56,39,32,160,16,6.1,71,30,5.7,8.8,9.1,6.7,6.3,4.9,10,12,4.6,17,17,16,7.6,12,25,10,10
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/ｌ,0.58,1.8,2.2,0.88,1.5,1.7,1.1,1.1,0.47,0.6,0.52,0.92,3.5,2.8,4,2.9,2.1,12,1,0.43,5.3,1.5,0.45,0.67,0.57,0.5,0.49,0.32,0.68,0.83,0.29,1,1.1,1,0.58,0.96,1.5,0.79,0.65
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/ｌ,0.9,3,2.8,1.2,3.3,1.8,1.2,1.4,0.76,0.59,0.68,1.5,4.7,3.5,5,3.4,3,16,2.1,0.66,4.7,2.6,0.81,1,1.2,0.9,0.66,0.66,1.2,1.6,0.74,1.7,1.8,1.7,0.77,1.2,2.7,1,1.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/ｌ,2.8,9.5,8.6,4.3,10,5.4,3.6,4,2.3,1.7,2.1,4.6,12,10,15,9.4,8.6,43,6.7,2.1,16,6.6,2.2,3.1,3.8,2.5,2,1.8,4.2,4.9,2,4.5,5.3,5,2.3,2.8,8.6,2.7,4.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/ｌ,0.54,2,2,1,2,1.1,0.87,0.91,0.53,0.36,0.43,1,2.7,2.3,3.5,2.2,2,10,1.3,0.46,3.4,1.6,0.51,0.63,0.84,0.69,0.43,0.39,0.86,1.1,0.38,1,1.2,1.2,0.46,0.69,1.9,0.66,0.88
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/ｌ,0,0.37,0.57,0.24,0.53,0.31,(0.18),0.22,(0.14),(0.13),(0.11),0.24,0.8,0.52,0.9,0.5,0.42,2.5,0.24,(0.09),0.34,0.25,(0.11),(0.13),(0.18),0,0,(0.09),(0.19),0.24,(0.13),0.21,0.24,0.25,(0.11),0.22,0.4,(0.13),(0.17)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/ｌ,29,110,130,52,110,100,67,74,25,28,30,58,240,190,270,180,140,710,67,25,240,130,25,37,37,28,26,20,42,49,19,72,74,72,32,54,100,44,44
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/ｌ,30,120,160,61,110,120,78,85,27,31,33,61,280,220,300,210,170,810,69,26,250,140,27,38,38,29,27,21,43,51,21,79,80,83,35,59,110,47,45
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/ｌ,49,170,500,170,170,140,91,98,35,34,37,66,390,260,360,250,200,980,75,31,250,150,31,41,40,30,29,25,50,55,27,96,97,130,53,84,140,70,72
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/ｌ,0.07144,0.09357,0.58354,0.16247,0.12173,0.0919,0.06816,0.06769,0.06468,0.06054,0.06155,0.06157,0.3957,0.10469,0.21437,0.11098,0.08389,0.5721,0.06099,0.05972,0.06475,0.06554,0.0599,0.06747,0.06046,0.05959,0.06009,0.0596,0.09349,0.06702,0.06467,0.07207,0.09077,0.1214,0.0683,0.07838,0.08891,0.06552,0.06444
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/ｌ,0.0048848,0.0178851,0.0607101,0.0223456,0.0217969,0.0323263,0.0210544,0.0191434,0.0048152,0.0050951,0.0050919,0.0149888,0.086651,0.0472686,0.072117,0.048041,0.0374376,0.215386,0.017137,0.0087973,0.0286892,0.0287155,0.0048128,0.005158,0.0051127,0.0048379,0.0047894,0.009625,0.0092646,0.011546,0.0096112,0.0177579,0.0167522,0.0182167,0.0051281,0.0060299,0.0186028,0.0095349,0.0054066
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/ｌ,0.0763248,0.1114551,0.6442501,0.1848156,0.1435269,0.1242263,0.0892144,0.0868334,0.0694952,0.0656351,0.0666419,0.0765588,0.482351,0.1519586,0.286487,0.159021,0.1213276,0.787486,0.078127,0.0685173,0.0934392,0.0942555,0.0647128,0.072628,0.0655727,0.0644279,0.0648794,0.069225,0.1027546,0.078566,0.0742812,0.0898279,0.1075222,0.1396167,0.0734281,0.0844099,0.1075128,0.0750549,0.0698466
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/ｌ,0.079866,0.121122,0.637764,0.179629,0.160155,0.134987,0.097126,0.095659,0.0743636,0.0710379,0.0721708,0.08528,0.530527,0.171103,0.327827,0.176247,0.135135,0.87302,0.08835,0.0739156,0.122984,0.109451,0.0704441,0.079269,0.072492,0.070291,0.0703546,0.0739836,0.117583,0.090289,0.0784424,0.098708,0.125796,0.151736,0.0785247,0.090334,0.11878,0.080984,0.076654
浮遊物質量（SS）,,,,,mg/ｌ,2,5,7,5,4,2,1,3,4,1,1,1,4,6,6,5,4,4,4,2,1,1,1,1 未満,2,1,2,2,1,1,2,6,7,8,5,6,6,6,3
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
