項目名,毒性等価係数,多摩川清掃工場周辺地区／大田区下丸子4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,多摩川清掃工場周辺地区／大田区千鳥3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,多摩川清掃工場周辺地区／大田区池上8／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,多摩川清掃工場周辺地区／大田区東矢口3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,多摩川清掃工場周辺地区／大田区新蒲田3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三鷹市環境ｾﾝﾀｰ周辺地区／三鷹市中原1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三鷹市環境ｾﾝﾀｰ周辺地区／三鷹市北野3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三鷹市環境ｾﾝﾀｰ周辺地区／三鷹市新川5／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三鷹市環境ｾﾝﾀｰ周辺地区／三鷹市中原4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三鷹市環境ｾﾝﾀｰ周辺地区／調布市緑ヶ丘2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
"1,2,3,4,7,8-HxCDF",0.1,0.3,0.09,3.5,0.3,0.08,4.3,0.3,0.08,4.4,0.3,0.09,8.3,0.3,0.08,11,0.3,0.08,7.4,0.3,0.09,5.9,0.3,0.09,3.6,0.3,0.08,9.2,0.3,0.08,5.4
"1,2,3,6,7,8-HxCDF",0.1,0.2,0.05,3.4,0.2,0.05,4.7,0.2,0.05,4.5,0.2,0.05,8.8,0.2,0.05,11,0.2,0.05,9.1,0.2,0.05,6.7,0.2,0.05,3.1,0.2,0.05,11,0.2,0.05,6.2
"1,2,3,7,8,9-HxCDF",0.1,1,0.4,N.D.,1,0.4,(0.4),1,0.4,N.D.,1,0.4,(0.7),1,0.4,(0.9),1,0.4,(0.7),1,0.4,(0.6),1,0.4,N.D.,1,0.4,(0.8),1,0.4,(0.6)
"2,3,4,6,7,8-HxCDF",0.1,0.4,0.1,3.6,0.4,0.1,5.6,0.4,0.1,4.3,0.4,0.1,9.9,0.4,0.1,10,0.4,0.1,12,0.4,0.1,7.3,0.4,0.1,3.3,0.4,0.1,14,0.4,0.1,8.6
"1,2,3,4,6,7,8-HpCDF",0.01,0.5,0.2,20,0.5,0.2,21,0.5,0.2,19,0.6,0.2,39,0.5,0.2,38,0.5,0.2,38,0.6,0.2,32,0.6,0.2,20,0.5,0.2,45,0.5,0.2,28
"1,2,3,4,7,8,9-HpCDF",0.01,2,0.5,2.3,1,0.4,2.9,1,0.4,1.9,2,0.5,4.9,1,0.4,5.1,1,0.4,6.4,2,0.5,4.2,2,0.5,2.8,1,0.4,6.9,1,0.4,4.6
OCDF,0.0003,3,0.7,29,2,0.7,21,2,0.7,17,2,0.7,35,2,0.7,40,2,0.7,34,3,0.8,52,3,0.8,34,2,0.7,40,2,0.7,28
"3,4,4',5-TeCB(#81)",0.0003,0.7,0.2,5.7,0.6,0.2,1.2,0.6,0.2,1.5,0.7,0.2,15,0.7,0.2,6,0.6,0.2,1.6,0.7,0.2,3.4,0.7,0.2,1.6,0.6,0.2,2.2,0.6,0.2,1.3
"3,3',4,4'-TeCB(#77)",0.0001,0.7,0.2,95,0.7,0.2,16,0.7,0.2,29,0.7,0.2,370,0.7,0.2,99,0.7,0.2,22,0.7,0.2,67,0.8,0.2,33,0.7,0.2,25,0.7,0.2,18
"3,3',4,4',5-PeCB(#126)",0.1,0.5,0.1,11,0.4,0.1,6.8,0.4,0.1,13,0.5,0.1,27,0.4,0.1,38,0.4,0.1,9.7,0.5,0.1,6.4,0.5,0.1,16,0.4,0.1,11,0.4,0.1,6.6
"3,3',4,4',5,5'-HxCB(#169)",0.03,2,0.5,(1.4),2,0.5,(1.4),1,0.4,2,2,0.5,2.9,2,0.5,3.5,1,0.4,2.9,2,0.5,2.6,2,0.5,(1.9),1,0.4,3.6,1,0.4,2.1
"2',3,4,4',5-PeCB(#123)",0.00003,0.9,0.3,38,0.9,0.3,7,0.9,0.3,15,0.9,0.3,97,0.9,0.3,41,0.9,0.3,3.2,1,0.3,8.3,1,0.3,37,0.9,0.3,4.2,0.9,0.3,4.3
"2,3',4,4',5-PeCB(#118)",0.00003,0.9,0.3,1200,0.9,0.3,160,0.9,0.3,360,0.9,0.3,1600,0.9,0.3,1200,0.9,0.3,84,0.9,0.3,190,1,0.3,1500,0.9,0.3,100,0.9,0.3,110
"2,3,3',4,4'-PeCB(#105)",0.00003,1,0.3,600,1,0.3,99,1,0.3,180,1,0.3,1200,1,0.3,680,1,0.3,43,1,0.3,110,1,0.3,630,1,0.3,67,1,0.3,56
"2,3,4,4',5-PeCB(#114)",0.00003,1,0.3,31,1,0.3,4,1,0.3,8.8,1,0.3,51,1,0.3,37,1,0.3,1.7,1,0.3,6.4,1,0.4,35,1,0.3,2.3,1,0.3,2.3
"2,3',4,4',5,5'-HxCB(#167)",0.00003,0.8,0.2,94,0.8,0.2,24,0.8,0.2,79,0.8,0.2,77,0.8,0.2,190,0.8,0.2,13,0.8,0.2,14,0.8,0.3,120,0.8,0.2,19,0.8,0.2,16
"2,3,3',4,4',5-HxCB(#156)",0.00003,0.7,0.2,250,0.7,0.2,51,0.7,0.2,140,0.7,0.2,170,0.7,0.2,520,0.7,0.2,26,0.7,0.2,28,0.7,0.2,290,0.7,0.2,34,0.7,0.2,33
"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.7,0.2,70,0.7,0.2,16,0.7,0.2,57,0.7,0.2,66,0.7,0.2,160,0.7,0.2,10,0.8,0.2,9.7,0.8,0.2,86,0.7,0.2,14,0.7,0.2,12
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,0.9,0.3,12,0.9,0.3,8,0.8,0.3,13,0.9,0.3,14,0.9,0.3,36,0.8,0.3,4.1,0.9,0.3,3.5,0.9,0.3,13,0.9,0.3,8.5,0.9,0.3,4.7
TeCDDs ,,,,19,,,25,,,24,,,55,,,49,,,79,,,160,,,130,,,63,,,36
PeCDDs ,,,,15,,,23,,,23,,,46,,,48,,,76,,,76,,,33,,,67,,,35
HxCDDs ,,,,35,,,41,,,33,,,72,,,66,,,110,,,87,,,41,,,94,,,49
HpCDDs,,,,95,,,57,,,43,,,130,,,100,,,120,,,130,,,95,,,130,,,68
OCDD,,,,920,,,210,,,190,,,800,,,390,,,240,,,890,,,790,,,380,,,170
Total（PCDDs）,,,,1100,,,360,,,310,,,1100,,,660,,,630,,,1300,,,1100,,,740,,,360
TeCDFs,,,,38,,,51,,,69,,,110,,,160,,,81,,,68,,,41,,,120,,,69
PeCDFs,,,,35,,,51,,,59,,,100,,,150,,,95,,,68,,,36,,,130,,,69
HxCDFs,,,,38,,,49,,,46,,,92,,,110,,,97,,,73,,,38,,,120,,,70
HpCDFs,,,,38,,,37,,,31,,,69,,,63,,,67,,,68,,,45,,,80,,,52
OCDF,,,,29,,,21,,,17,,,35,,,40,,,34,,,52,,,34,,,40,,,28
Total（PCDFs）,,,,180,,,210,,,220,,,400,,,520,,,370,,,330,,,190,,,490,,,290
Total (PCDDs+PCDFs),,,,1300,,,560,,,530,,,1500,,,1200,,,1000,,,1700,,,1300,,,1200,,,650
Total Co-PCBs,,,,2400,,,400,,,890,,,3800,,,3000,,,220,,,450,,,2800,,,300,,,260
Total (PCDDs+PCDFs+Co-PCBs),,,,3600,,,960,,,1400,,,5300,,,4200,,,1200,,,2100,,,4100,,,1500,,,910
TEQ Total(PCDDs+PCDFs),,,,5.2,,,5.6,,,5.5,,,11,,,13,,,11,,,13,,,5.3,,,13,,,7.2
TEQ Total Co-PCB,,,,1.2,,,0.69,,,1.4,,,2.9,,,4,,,1.1,,,0.74,,,1.7,,,1.2,,,0.73
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,6.3,,,6.3,,,6.9,,,14,,,17,,,12,,,14,,,7,,,14,,,8
含水率（％）,,,,6.4,,,4.8,,,3.9,,,3.7,,,2.8,,,1.8,,,10.3,,,8.2,,,3.6,,,3.8
強熱減量（％）,,,,11.9,,,8,,,7.4,,,8.4,,,7.8,,,4.3,,,20.5,,,14.5,,,7.9,,,7.5
土色,,,,暗褐,,,暗褐,,,暗褐,,,黒褐,,,黒褐,,,黒褐,,,暗褐,,,黒褐,,,黒褐,,,黒褐
*：毒性等量は、実測濃度が定量下限未満の数値は０（ゼロ）として算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
