元号,大正,,大正,,昭和
南葛飾郡／新宿町,2401,南葛飾郡／新宿町,3638,南葛飾郡／新宿町,4848
南葛飾郡／亀戸町,38548,南葛飾郡／亀戸町,57321,南葛飾郡／亀戸町,65174
南葛飾郡／大島町,22333,南葛飾郡／大島町,35420,南葛飾郡／大島町,43140
南葛飾郡／吾嬬町,30660,南葛飾郡／吾嬬町,59921,南葛飾郡／吾嬬町,80985
南葛飾郡／小松川町,8019,南葛飾郡／小松川町,24135,南葛飾郡／小松川町,39928
南葛飾郡／松江村,7655,南葛飾郡／松江村,10998,南葛飾郡／松江町,17112
南葛飾郡／瑞江村,5744,南葛飾郡／瑞江村,6940,南葛飾郡／瑞江村,7836
南葛飾郡／葛西村,7688,南葛飾郡／葛西村,8606,南葛飾郡／葛西村,9326
南葛飾郡／鹿本村,2919,南葛飾郡／鹿本村,3083,南葛飾郡／鹿本村,3768
南葛飾郡／寺島村,19159,南葛飾郡／寺島町,39251,南葛飾郡／寺島町,49457
南葛飾郡／本田村,5875,南葛飾郡／本田村,13156,南葛飾郡／本田町,27390
南葛飾郡／亀青村,3142,南葛飾郡／亀青村,4526,南葛飾郡／亀青村,6159
南葛飾郡／南綾瀬村,4637,南葛飾郡／南綾瀬村,9242,南葛飾郡／南綾瀬町,20354
南葛飾郡／篠崎村,2918,南葛飾郡／篠崎村,3877,南葛飾郡／篠崎村,4153
南葛飾郡／小岩村,4443,南葛飾郡／小岩村,6891,南葛飾郡／小岩町,14848
南葛飾郡／金町村,3324,南葛飾郡／金町,7669,南葛飾郡／金町,10310
南葛飾郡／水元村,2823,南葛飾郡／水元村,3647,南葛飾郡／水元村,4030
南葛飾郡／奥戸村,5459,南葛飾郡／奥戸村,7537,南葛飾郡／奥戸村,11365
南葛飾郡／隅田村,14607,南葛飾郡／隅田町,21290,南葛飾郡／隅田町,25077
南葛飾郡／砂町,12184,南葛飾郡／砂町,20346,南葛飾郡／砂町,34657
北多摩郡,,,,,
北多摩郡／砧村,3680,北多摩郡／砧村,4541,北多摩郡／砧村,7964
北多摩郡／千歳村,4287,北多摩郡／千歳村,5154,北多摩郡／千歳村,8110
