 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,664","1,400","7,567","3,553",217,"1,400",892,"3,553","1,447",-,"6,675",-
,84.6%,125.2%,95.1%,135.3%,82.8%,137.5%,81.5%,140.7%,84.9%,-,97.3%,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"109,553","32,492","562,881","113,930","30,135","32,332","164,661","113,104","79,418",160,"398,220",826
,100.9%,167.4%,97.8%,101.4%,111.0%,167.7%,106.6%,101.5%,97.6%,127.0%,94.6%,97.4%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"9,462","4,942","46,932","24,574","1,984","4,866","11,676","24,113","7,478",76,"35,256",461
,91.4%,99.4%,85.9%,96.6%,77.5%,99.5%,75.5%,96.0%,96.0%,92.7%,89.9%,145.0%
中国(香港含む),"70,395","53,452","331,305","221,592","10,946","53,384","55,264","221,215","59,449",68,"276,041",377
,107.8%,146.4%,95.0%,96.6%,102.8%,146.5%,94.0%,96.7%,108.8%,93.2%,95.2%,73.3%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"17,928","7,620","109,073","75,360","10,420","6,060","58,009","66,633","7,508","1,560","51,064","8,727"
,80.9%,55.6%,99.4%,82.2%,102.6%,54.1%,112.7%,82.0%,62.5%,62.3%,87.6%,83.0%
内航定期計,"14,358","1,527","88,677","12,688","7,649",277,"42,480","5,348","6,709","1,250","46,197","7,340"
,79.1%,30.3%,98.5%,50.3%,95.6%,10.9%,100.5%,36.3%,66.0%,49.9%,96.7%,70.0%
北海道,"6,138",90,"31,594","1,017","2,774",66,"15,333",981,"3,364",24,"16,261",36
,92.9%,15.2%,107.9%,81.5%,83.2%,13.6%,100.9%,86.1%,102.8%,22.2%,115.5%,33.3%
東北,"2,452",271,"19,113","3,411","1,399",139,"9,002","3,219","1,053",132,"10,111",192
,84.1%,35.8%,117.0%,91.4%,102.3%,18.5%,112.1%,93.4%,68.0%,3300.0%,121.7%,67.1%
関東,192,-,192,50,192,-,192,50,-,-,-,-
,-,-,436.4%,35.7%,-,-,-,35.7%,-,-,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,905,62,"7,112",847,311,62,"1,125",611,594,-,"5,987",236
,31.4%,6.1%,63.7%,12.3%,78.9%,6.1%,52.7%,8.9%,23.9%,-,66.3%,1072.7%
近畿,366,-,"2,887",202,252,-,686,196,114,-,"2,201",6
,62.9%,-,45.4%,6.4%,1575.0%,-,138.6%,6.5%,20.1%,-,37.5%,5.5%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,751",39,"13,280",597,799,10,"5,176",259,952,29,"8,104",338
,70.0%,49.4%,109.5%,289.8%,87.8%,500.0%,101.5%,462.5%,59.9%,37.7%,115.2%,225.3%
沖縄,"2,554","1,065","14,499","6,564","1,922",-,"10,966",32,632,"1,065","3,533","6,532"
,95.4%,46.3%,100.6%,66.6%,97.0%,-,98.8%,82.1%,90.8%,46.3%,106.9%,66.6%
内航不定期,"3,570","6,093","20,396","62,672","2,771","5,783","15,529","61,285",799,310,"4,867","1,387"
,89.1%,70.2%,103.3%,94.2%,128.8%,66.7%,169.3%,92.2%,43.1%,-,46.0%,5334.6%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
