品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,品目 5,Item 5,東京（港） Tokyo (Seaport),羽田（空港） Haneda (Airport),羽田（空港） Haneda (Airport),,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,通信機,"Telephony, telegraphy",,,,,…,13548,1799723,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,通信機,"Telephony, telegraphy",（電話機）,(Telephone sets),,,…,…,1166957,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,半導体等電子部品,Semiconductors etc,,,,,428396,50007,1123764,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,半導体等電子部品,Semiconductors etc,（ＩＣ）,(Integrated circuits),,,334403,43127,1020803,,
機械類及び輸送用機器,"Machinery, transport equip.",輸送用機器,Transport equipment,,,,,,,…,130656,…,,
機械類及び輸送用機器,"Machinery, transport equip.",輸送用機器,Transport equipment,航空機類,Aircraft,,,,,…,127896,…,,
雑製品,Miscellaneous articles,,,,,,,,,2721216,156824,1878449,,
雑製品,Miscellaneous articles,バッグ類,Bags,,,,,,,…,30431,…,,
雑製品,Miscellaneous articles,衣類及び同附属品,Clothing and accessories,,,,,,,908623,13880,…,,
雑製品,Miscellaneous articles,衣類及び同附属品,Clothing and accessories,衣類,Clothing,,,,,373300,…,…,,
雑製品,Miscellaneous articles,衣類及び同附属品,Clothing and accessories,メリヤス編み及びクロセ編み衣類,"Clothing, knitted or clothe",,,,,445862,…,…,,
雑製品,Miscellaneous articles,精密機器類,Precision instruments,,,,,,,423659,90728,1001563,,
雑製品,Miscellaneous articles,精密機器類,Precision instruments,科学光学機器,"Scientific, optical inst",,,,,388256,85032,807352,,
雑製品,Miscellaneous articles,その他の雑製品,Miscellaneous articles,,,,,,,750459,15151,413824,,
特殊取扱品,Commodities not classified,,,,,,,,,99470,14784,457189,,
特殊取扱品,Commodities not classified,再輸入品,Re-import goods,,,,,,,…,14674,415901,,
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,
12-7  主要品目別輸出入額 (2) 輸入 (令和2年) 12-7  VALUE OF IMPORTS AND EXPORTS BY SELECTED COMMODITY  (2) IMPORTS ( 2020 ),,,,,,,,,,,,,,
この表は， 輸出入申告書， 積みもどし申告書及び船舶， 航空機の入出港届等を資料として作成されたものである。輸出は本船渡価額 (F.O.B.)，輸入は到着価額 (C.I.F.) である。,,,,,,,,,,,,,,
This table has been prepared in reference to import/export declarations， reshipment declarations， notifications of the seaports/airports of entry/departure， and others. Values of exports and imports are based on F.O.B. and C.I.F. prices， respectively.,,,,,,,,,,,,,,
注) 主要品目のみを掲げたので，各品目の合計と総数は一致しない。 ,,,,,,,,,,,,,,
Note: The sums of each commodity does not add up to the total of all items because data only refer to selected commodities.,,,,,,,,,,,,,,
資料：東京税関 「貿易年表」 Source: Tokyo Customs,,,,,,,,,,,,,,
（単位  価額　百万円）(Value in millions of yen),,,,,,,,,,,,,,
