年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending,,,,,,,,,,,,,,,,,,,
令和3,2021,2,38,相続の放棄の申述の受理,Acceptance of a statement of renunciation of inheritance,25161,1844,23317,23466,22830,16,394,226,1695,,,,,,,,,,,,,,,,,,,
令和3,2021,2,39,相続財産の分離に関する処分,Disposition regarding separation of inherited property,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,40,相続財産管理に関する処分（財産分離）,Disposition regarding the administration of inherited property (separation of property),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,41,相続財産管理人選任等（相続人不分明）,Appointment of an administrator of inherited property， etc. (heirs unknown),3464,208,3256,3273,3150,1,104,18,191,,,,,,,,,,,,,,,,,,,
令和3,2021,2,42,特別縁故者への相続財産の分与,Distribution of inherited property to a person with a special connection,168,63,105,136,84,14,37,1,32,,,,,,,,,,,,,,,,,,,
令和3,2021,2,43,遺言の確認,Confirmation of a will,37,9,28,27,24,-,2,1,10,,,,,,,,,,,,,,,,,,,
令和3,2021,2,44,遺言書の検認,Probate of a will,3544,304,3240,3217,3172,-,29,16,327,,,,,,,,,,,,,,,,,,,
令和3,2021,2,45,遺言執行者の選任,Appointment of an executor,465,36,429,428,393,1,32,2,37,,,,,,,,,,,,,,,,,,,
令和3,2021,2,46,遺言執行者に対する報酬の付与,Grant of remuneration to an executor ,78,4,74,69,68,-,1,-,9,,,,,,,,,,,,,,,,,,,
令和3,2021,2,47,遺言執行者の解任及び辞任,Dismissal and resignation of an executor,47,14,33,30,12,8,10,-,17,,,,,,,,,,,,,,,,,,,
令和3,2021,2,48,遺言の取消し,Rescission of a will,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,49,遺留分の放棄についての許可,Permission for an heir's renunciation of said heir's legally reserved portion  ,158,20,138,141,132,-,8,1,17,,,,,,,,,,,,,,,,,,,
令和3,2021,2,50,任意後見契約に関する法律関係,Legal relationship concerning a voluntary guardianship contract,764,35,729,739,709,7,11,12,25,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち任意後見監督人の選任,(of which) Appointment of a supervisor for a voluntarily appointed guardian,205,23,182,185,162,4,7,12,20,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち任意後見監督処分,(of which) Supervisory disposition of a voluntarily appointed guardianship ,2,1,1,2,2,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち任意後見監督人の辞任,(of which) Resignation of the supervisor of a voluntarily appointed guardian,8,1,7,7,7,-,-,-,1,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち任意後見人等の解任,(of which) Dismissal of a voluntarily appointed guardian， etc.,2,2,-,2,-,2,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち任意後見監督人に対する報酬の付与,(of which) Grant of remuneration to the supervisor of a voluntarily appointed guardian,545,7,538,541,538,-,3,-,4,,,,,,,,,,,,,,,,,,,
令和3,2021,2,51,戸籍法による氏の変更についての許可,Permission for change of surname under the Family Register Act,1421,118,1303,1294,1075,35,178,6,127,,,,,,,,,,,,,,,,,,,
令和3,2021,2,52,戸籍法による名の変更についての許可,Permission for change of first name under the Family Register Act,1045,108,937,920,621,55,241,3,125,,,,,,,,,,,,,,,,,,,
令和3,2021,2,53,就籍についての許可,Permission for the registration of an unregistered person,36,11,25,25,13,5,7,-,11,,,,,,,,,,,,,,,,,,,
令和3,2021,2,54,戸籍の訂正についての許可,Permission for correction of a family register,127,24,103,109,84,4,20,1,18,,,,,,,,,,,,,,,,,,,
令和3,2021,2,55,戸籍事件についての処分に対する不服,Appeal against the disposition of a family register-related case,2,1,1,2,-,1,1,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,56,性同一性障害者の性別の取扱いの特例に関する法律3条1項の事件,Cases under Article 3， Paragraph 1 of the Act on Special Cases in Handling Gender for People with Gender Identity Disorder,104,7,97,98,96,-,1,1,6,,,,,,,,,,,,,,,,,,,
令和3,2021,2,57,児童福祉法28条1項の事件,Cases under Article 28， Paragraph 1 of the Child Welfare Act,99,32,67,69,58,1,10,-,30,,,,,,,,,,,,,,,,,,,
令和3,2021,2,58,児童福祉法28条2項の事件,Cases under Article 28， Paragraph 2 of the Child Welfare Act,25,5,20,19,18,-,1,-,6,,,,,,,,,,,,,,,,,,,
令和3,2021,2,59,生活保護法30条3項の事件,Cases under Article 30， Paragraph 3 of the Public Assistance Act,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,60,心神喪失等の状態で重大な他害行為を行った者の医療及び観察等に関する法律23条の2第2項の事件,Cases under Article 23-2， Paragraph 2 of the Act on Medical Care and Treatment for Persons Who Have Caused Serious Cases Under the Condition of Insanity,6,-,6,4,3,-,1,-,2,,,,,,,,,,,,,,,,,,,
令和3,2021,2,61,破産法61条の事件,Cases under Article 61 of the Bankruptcy Act,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,62,破産法238条の事件,Cases under Article 238 of the Bankruptcy Act,1,-,1,1,1,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,63,中小企業における経営の承継の円滑化に関する法律8条1項の事件,Cases under Article 8， Paragraph 1 of the Act on Facilitation of Succession of Management of Small and Medium Sized Enterprises,8,1,7,8,7,-,-,1,-,,,,,,,,,,,,,,,,,,,
令和3,2021,1,,別表第二審判事件総数,Total number of cases of adjudication of domestic relations under Appended Table 2 of the Domestic Relations Case Procedure Act,4123,1367,2756,2625,1416,309,393,507,1498,,,,,,,,,,,,,,,,,,,
令和3,2021,2,1,夫婦の同居・協力扶助,Cohabitation， cooperation， and mutual assistance between husband and wife,13,4,9,9,1,5,3,-,4,,,,,,,,,,,,,,,,,,,
令和3,2021,2,2,婚姻費用の分担,Sharing of living expenses arising from marriage,804,224,580,563,362,25,53,123,241,,,,,,,,,,,,,,,,,,,
令和3,2021,2,3,子の監護者の指定その他の処分,Designation of a child custodian and other dispositions,2142,794,1348,1254,517,172,284,281,888,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち監護者の指定,(of which) Designation of a child custodian ,636,255,381,370,162,10,110,88,266,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち養育費請求,(of which) Claim for child support payments,439,126,313,275,168,34,21,52,164,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち面会交流,(of which) Visitation and contacts,522,196,326,297,150,36,31,80,225,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち子の引渡し,(of which) Surrender of child custody,528,210,318,300,33,91,115,61,228,,,,,,,,,,,,,,,,,,,
令和3,2021,2,4,財産の分与に関する処分,Disposition regarding the distribution of property,133,64,69,70,36,7,7,20,63,,,,,,,,,,,,,,,,,,,
令和3,2021,2,5,祭祀の承継者の指定,Appointment of a successor of rights relating to rituals,41,19,22,27,18,3,4,2,14,,,,,,,,,,,,,,,,,,,
令和3,2021,2,6,離縁後の親権者の指定,Designation of person who is to have parental authority upon dissolution of adoptive relationship,3,-,3,3,3,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,7,親権者の指定又は変更,Designation or change of person having parental authority,208,55,153,136,76,27,22,11,72,,,,,,,,,,,,,,,,,,,
令和3,2021,2,8,扶養に関する処分,Disposition on support,23,8,15,12,2,5,1,4,11,,,,,,,,,,,,,,,,,,,
令和3,2021,2,9,遺産の分割に関する処分など,Disposition on division of estate， etc. ,361,120,241,227,154,5,13,55,134,,,,,,,,,,,,,,,,,,,
令和3,2021,2,10,寄与分を定める処分,Disposition to determine an heir's contributing portion,98,41,57,72,18,47,1,6,26,,,,,,,,,,,,,,,,,,,
令和3,2021,2,11,請求すべき按分割合に関する処分,Disposition regarding the pro rata share to be requested,283,38,245,238,229,-,5,4,45,,,,,,,,,,,,,,,,,,,
令和3,2021,2,12,生活保護法77条2項の事件,Cases under Article 77， Paragraph 2 of the Public Assistance Act,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,13,推定相続人の廃除及びその取消し（家事審判法第9条乙類）,Disinheritance of a presumptive heir / rescission of such disinheritance (Article 9， Clause 2 of the Domestic Relations Trial Act),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-5  家事審判事件の種類別件数 （令和2， 3年） 20-5  CASES OF ADJUDICATION OF DOMESTIC RELATIONS BY KIND ( 2020 and 2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分　3:内訳),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
