地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated construction cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated construction cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated construction cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated construction cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated construction cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated construction cost
3,13209,9,町田市,Machida-shi,1840,306927,6720545,1568,178353,3034323,1,15,x,18,63247,1824186,244,65069,1861316,-,-,-,9,243,x
3,13210,10,小金井市,Koganei-shi,643,79803,1776499,544,55893,994815,1,763,x,5,4575,x,86,18430,593064,-,-,-,7,142,980
3,13211,11,小平市,Kodaira-shi,1034,211581,4571322,890,90924,1546136,-,-,-,8,80745,2006512,119,39544,1016677,-,-,-,17,368,1997
3,13212,12,日野市,Hino-shi,734,127023,3230987,637,70537,1210324,-,-,-,9,28816,1232700,81,27537,787443,-,-,-,7,133,520
3,13213,13,東村山市,Higashimurayama-shi,828,101097,2050735,762,76763,1332616,-,-,-,7,10935,310750,52,13232,406199,-,-,-,7,167,1170
3,13214,14,国分寺市,Kokubunji-shi,742,92820,1920710,681,71560,1288050,1,6062,x,7,4228,152753,48,10866,319327,-,-,-,5,104,x
3,13215,15,国立市,Kunitachi-shi,340,77455,1742784,290,33250,588119,-,-,-,7,17904,507600,43,26301,647065,-,-,-,-,-,-
3,13218,16,福生市,Fussa-shi,201,35708,844464,178,20880,351409,-,-,-,5,12414,x,17,2399,66648,-,-,-,1,15,x
3,13219,17,狛江市,Komae-shi,320,35711,693461,286,30270,517861,-,-,-,2,1569,x,26,3748,118980,-,-,-,6,124,x
3,13220,18,東大和市,Higashiyamato-shi,227,27330,535303,206,22451,393529,-,-,-,-,-,-,19,4801,x,-,-,-,2,78,x
3,13221,19,清瀬市,Kiyose-shi,360,53428,1352172,308,33918,562319,-,-,-,10,12951,584084,34,6403,204822,-,-,-,8,156,947
3,13222,20,東久留米市,Higashikurume-shi,694,82405,1626199,623,62113,1043926,-,-,-,4,6949,230467,62,13268,350841,-,-,-,5,75,965
3,13223,21,武蔵村山市,Musashimurayama-shi,388,62818,1419795,331,35031,628747,-,-,-,12,24037,x,44,3681,94751,-,-,-,1,69,x
3,13224,22,多摩市,Tama-shi,279,59384,1417976,224,25068,397176,-,-,-,9,26387,x,44,7882,252350,-,-,-,2,47,x
3,13225,23,稲城市,Inagi-shi,456,54295,1032673,432,44485,745610,-,-,-,3,4596,x,19,5184,143831,-,-,-,2,30,x
3,13227,24,羽村市,Hamura-shi,286,38005,633527,255,27187,456118,-,-,-,1,335,x,28,10455,166323,-,-,-,2,28,x
3,13228,25,あきる野市,Akiruno-shi,457,51617,963961,425,46893,850060,-,-,-,-,-,-,31,4681,x,-,-,-,1,43,x
3,13229,26,西東京市,Nishitokyo-shi,866,116987,2470920,742,75031,1244011,-,-,-,8,13792,469939,109,28017,755710,-,-,-,7,147,1260
1,13300,,郡部,All gun,285,76826,1381957,232,25898,438909,-,-,-,1,2065,x,46,48625,868338,-,-,-,6,238,x
1,13350,,島部,All islands,100,14353,544696,62,6154,124849,1,162,x,20,6415,379316,14,1455,35831,-,-,-,3,167,x
2,13360,1,大島支庁,Oshima-shicho,39,6648,327609,29,2985,60385,-,-,-,7,3401,262674,2,170,x,-,-,-,1,92,x
2,13380,2,三宅支庁,Miyake-shicho,8,847,21524,4,370,x,-,-,-,3,266,11303,1,211,x,-,-,-,-,-,-
2,13400,3,八丈支庁,Hachijo-shicho,38,5344,168264,27,2650,53832,1,162,x,5,2014,97782,3,443,12950,-,-,-,2,75,x
2,13420,4,小笠原支庁,Ogasawara-shicho,15,1514,27299,2,149,x,-,-,-,5,734,7557,8,631,x,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-7  地域別構造別着工建築物（令和3年） 3-7  BUILDING CONSTRUCTION STARTS BY DISTRICT AND STRUCTURE ( 2021 ),,,,,,,,,,,,,,,,,,,,,,,,,
資料：都都市整備局市街地建築部建築企画課 Source: Bureau of Urban Development， TMG,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:各支庁　3:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル， 金額　万円）(Space in m2， Value in 10 thousand of yen),,,,,,,,,,,,,,,,,,,,,,,,,
