地域階層,地域コード,項番 Item number,地域,District,総床面積 Total floor space,新設 Newly constructed／総数 Total／戸数 Number,新設 Newly constructed／総数 Total／総床面積 Total floor space,新設 Newly constructed／持家 Owner's dwelling ／戸数 Number,新設 Newly constructed／持家 Owner's dwelling ／総床面積 Total floor space,新設 Newly constructed／貸家 For rent／戸数 Number,新設 Newly constructed／貸家 For rent／総床面積 Total floor space,新設 Newly constructed／給与住宅 Issued dwelling／戸数 Number,新設 Newly constructed／給与住宅 Issued dwelling／総床面積 Total floor space,新設 Newly constructed／分譲住宅 For sale／戸数 Number,新設 Newly constructed／分譲住宅 For sale／総床面積 Total floor space,その他 Others／総数 Total／件数 Number,その他 Others／総数 Total／総床面積 Total floor space,その他 Others／持家 Owner's dwelling ／件数 Number,その他 Others／持家 Owner's dwelling ／総床面積 Total floor space,その他 Others／貸家 For rent／件数 Number,その他 Others／貸家 For rent／総床面積 Total floor space,その他 Others／給与住宅 Issued dwelling／件数 Number,その他 Others／給与住宅 Issued dwelling／総床面積 Total floor space,その他 Others／分譲住宅 For sale／件数 Number,その他 Others／分譲住宅 For sale／総床面積 Total floor space
3,13203,3,武蔵野市,Musashino-shi,76146,989,75719,287,33990,420,19578,5,870,277,21281,17,427,4,177,10,177,3,73,-,-
3,13204,4,三鷹市,Mitaka-shi,78392,967,77632,290,30539,316,17647,1,62,360,29384,26,760,4,143,13,362,9,255,-,-
3,13205,5,青梅市,Ome-shi,57818,649,57321,222,24972,237,12469,3,334,187,19546,24,497,5,190,16,269,3,38,-,-
3,13206,6,府中市,Fuchu-shi,139210,1793,139062,373,40458,526,25830,10,607,884,72167,5,148,5,148,-,-,-,-,-,-
3,13207,7,昭島市,Akishima-shi,60286,790,59975,180,19506,376,17812,-,-,234,22657,12,311,4,103,4,78,4,130,-,-
3,13208,8,調布市,Chofu-shi,118297,1524,117294,400,40604,388,17688,43,2180,693,56822,26,1003,6,247,12,274,8,482,-,-
3,13209,9,町田市,Machida-shi,265684,2970,259227,705,81369,849,38509,8,199,1408,139150,45,6457,14,411,11,271,19,5671,1,104
3,13210,10,小金井市,Koganei-shi,68637,890,68301,249,25857,316,13933,2,375,323,28136,12,336,5,179,6,136,1,21,-,-
3,13211,11,小平市,Kodaira-shi,178978,2115,177075,385,39905,337,14822,1,102,1392,122246,60,1903,6,229,16,315,38,1359,-,-
3,13212,12,日野市,Hino-shi,96466,1135,95474,289,32154,305,14236,-,-,541,49084,19,992,3,174,14,262,2,556,-,-
3,13213,13,東村山市,Higashimurayama-shi,93071,1193,92684,278,28800,312,12508,1,141,602,51235,18,387,2,50,7,175,9,162,-,-
3,13214,14,国分寺市,Kokubunji-shi,83119,971,82840,272,29979,193,7745,-,-,506,45116,9,279,7,236,2,43,-,-,-,-
3,13215,15,国立市,Kunitachi-shi,52198,696,51993,141,16372,313,14740,4,772,238,20109,9,205,1,12,-,-,8,193,-,-
3,13218,16,福生市,Fussa-shi,28060,336,27932,65,7756,101,5832,2,253,168,14091,7,128,3,78,1,15,3,35,-,-
3,13219,17,狛江市,Komae-shi,34151,422,33997,148,15451,98,4350,-,-,176,14196,6,154,1,16,5,138,-,-,-,-
3,13220,18,東大和市,Higashiyamato-shi,23116,266,22970,97,10413,68,2968,-,-,101,9589,4,146,1,99,3,47,-,-,-,-
3,13221,19,清瀬市,Kiyose-shi,41242,536,41069,148,16259,234,9633,1,119,153,15058,8,173,2,68,6,105,-,-,-,-
3,13222,20,東久留米市,Higashikurume-shi,67765,775,66843,299,30008,128,5079,2,178,346,31578,8,922,5,520,1,13,2,389,-,-
3,13223,21,武蔵村山市,Musashimurayama-shi,59747,919,58669,153,16288,592,25736,1,100,173,16545,36,1078,4,128,1,15,31,935,-,-
3,13224,22,多摩市,Tama-shi,47626,590,47537,108,12149,116,4700,-,-,366,30688,5,89,-,-,2,47,3,42,-,-
3,13225,23,稲城市,Inagi-shi,49629,528,49457,138,14826,103,6080,2,315,285,28236,4,172,2,49,1,17,1,106,-,-
3,13227,24,羽村市,Hamura-shi,30804,331,30679,100,11827,73,3240,2,230,156,15382,5,125,1,40,1,12,3,73,-,-
3,13228,25,あきる野市,Akiruno-shi,47610,465,47056,255,27508,44,2586,2,310,164,16652,8,554,7,543,1,11,-,-,-,-
3,13229,26,西東京市,Nishitokyo-shi,94421,1271,94062,329,33124,498,21328,2,118,442,39492,12,359,2,71,8,211,2,77,-,-
1,13300,,郡部,All gun,27162,269,26991,134,14983,44,2763,1,37,90,9208,7,171,5,129,2,42,-,-,-,-
1,13350,,島部,All islands,7660,123,7512,36,3580,72,3257,14,576,1,99,4,148,2,119,-,-,2,29,-,-
2,13360,1,大島支庁,Oshima-shicho,3637,48,3518,18,1938,23,1221,7,359,-,-,2,119,2,119,-,-,-,-,-,-
2,13380,2,三宅支庁,Miyake-shicho,340,3,340,3,340,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13400,3,八丈支庁,Hachijo-shicho,2385,33,2356,11,951,20,1206,1,100,1,99,2,29,-,-,-,-,2,29,-,-
2,13420,4,小笠原支庁,Ogasawara-shicho,1298,39,1298,4,351,29,830,6,117,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-11  地域別着工住宅数（令和3年）3-11  DWELLING  CONSTRUCTION STARTS BY DISTRICT ( 2021 ),,,,,,,,,,,,,,,,,,,,,,,,,
この表は，建築基準法に基づき建築主から知事に届出のあった建築工事届により，着工住宅を工事別に分類したもので，「新設」とは建築物の新築，増築又は改築によって住宅の戸が新たに造られる工事をいい，「その他」とは住宅が増築又は改築されるときで，住宅戸数が新たに増加しない工事をいう。 ,,,,,,,,,,,,,,,,,,,,,,,,,
"This table refers to the number of dwelling constructions started after submission of construction notification to the Governor by the builders as prescribed in the Building Standards Act， which have been classified by type of construction.   ""Newly constructed"" refers to the building of a new dwelling unit through new construction， extension， or reconstruction， and  ""Others"" refers to extension or reconstruction that does not result in an increase of dwelling units.",,,,,,,,,,,,,,,,,,,,,,,,,
資料：都都市整備局市街地建築部建築企画課 Source: Bureau of Urban Development， TMG,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:各支庁　3:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル）(Space in m2),,,,,,,,,,,,,,,,,,,,,,,,,
