年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,高田馬場,Takadanobaba,,25387,15270,10117,24562,15270,9292,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,早稲田,Waseda,,10822,6492,4330,10710,6492,4218,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,神楽坂,Kagurazaka,,5748,3001,2747,5942,3001,2941,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,飯田橋,Iidabashi,◎,7995,4167,3828,7849,4167,3682,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,九段下,Kudanshita,◎,12233,6662,5571,12300,6662,5638,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,竹橋,Takebashi,,6144,3720,2424,6347,3720,2627,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,大手町,Otemachi,◎,19261,11536,7725,19336,11536,7800,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,日本橋,Nihombashi,◎,15633,8820,6813,15569,8820,6749,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,茅場町,Kayabacho,◎,9477,5523,3954,9386,5523,3863,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,門前仲町,Monzen-Nakacho,,15092,8052,7040,15221,8052,7169,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,木場,Kiba,,10936,6891,4045,10995,6891,4104,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,東陽町,Toyocho,,17551,11704,5847,17551,11704,5847,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,南砂町,Minami-Sunamachi,,9080,5459,3621,9098,5459,3639,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,西葛西,Nishi-Kasai,,14431,8580,5851,14643,8580,6063,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,葛西,Kasai,,14899,8891,6008,14855,8891,5964,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,,,※,268488,165573,102915,267192,165573,101619,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,北綾瀬,Kita-Ayase,,6176,4313,1863,6036,4313,1723,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,綾瀬,Ayase,,58615,44371,14244,58858,44371,14487,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,北千住,Kita-Senju,◎,36853,25303,11550,35678,25303,10375,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,町屋,Machiya,,9443,5489,3954,9142,5489,3653,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,西日暮里,Nishi-Nippori,,23141,14110,9031,23779,14110,9669,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,千駄木,Sendagi,,4262,2282,1980,4152,2282,1870,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,根津,Nezu,,3828,2005,1823,3771,2005,1766,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,湯島,Yushima,,5110,2731,2379,5250,2731,2519,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,新御茶ノ水,Shin-Ochanomizu,◎,12655,7638,5017,12788,7638,5150,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,大手町,Otemachi,◎,10508,6438,4070,10505,6438,4067,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,二重橋前（丸の内）,Nijubashimae(Marunouchi),,4114,2271,1843,4362,2271,2091,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,日比谷,Hibiya,◎,6406,2568,3838,6372,2568,3804,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,霞ケ関,Kasumigaseki,◎,7131,5546,1585,7178,5546,1632,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,国会議事堂前,Kokkai-Gijidomae,◎,2545,1501,1044,2577,1501,1076,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,赤坂,Akasaka,,10777,5488,5289,11013,5488,5525,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,乃木坂,Nogizaka,,5423,2210,3213,5674,2210,3464,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,表参道,Omote-Sando,◎,7782,3470,4312,8319,3470,4849,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,明治神宮前（原宿）,Meiji-Jingumae(Harajuku),◎,9595,2996,6599,9466,2996,6470,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,代々木公園,Yoyogi-Koen,,3912,1379,2533,3911,1379,2532,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,千代田線,Chiyoda Line,代々木上原,Yoyogi-Uehara,,40212,23464,16748,38361,23464,14897,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,,,※,210894,120786,90108,210579,120786,89793,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,地下鉄成増,Chikatetsu-Narimasu,,7392,4724,2668,7413,4724,2689,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,地下鉄赤塚,Chikatetsu-Akatsuka,,6098,3802,2296,5982,3802,2180,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,平和台,Heiwadai,,6415,4170,2245,6391,4170,2221,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,氷川台,Hikawadai,,5866,3653,2213,5784,3653,2131,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,小竹向原,Kotake-Mukaihara,◎,14802,9031,5771,14191,9031,5160,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,千川,Senkawa,◎,3155,1554,1601,3113,1554,1559,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,要町,Kanamecho,◎,3395,1422,1973,3155,1422,1733,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,池袋,Ikebukuro,◎,22669,11979,10690,23577,11979,11598,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,東池袋,Higashi-Ikebukuro,,5814,2983,2831,6016,2983,3033,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,護国寺,Gokokuji,,6306,4116,2190,6188,4116,2072,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,江戸川橋,Edogawabashi,,7632,4233,3399,7504,4233,3271,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,飯田橋,Iidabashi,◎,9267,5095,4172,9016,5095,3921,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,市ケ谷,Ichigaya,◎,13791,8452,5339,13506,8452,5054,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,麹町,Kojimachi,,8138,5108,3030,8264,5108,3156,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,永田町,Nagatacho,◎,3752,1941,1811,3552,1941,1611,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,桜田門,Sakuradamon,,2057,1524,533,2040,1524,516,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,有楽町,Yurakucho,◎,18816,10821,7995,19099,10821,8278,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,銀座一丁目,Ginza-Itchome,,5925,2173,3752,6189,2173,4016,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,新富町,Shintomicho,◎,5442,2978,2464,5567,2978,2589,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,月島,Tsukishima,,9729,4680,5049,9513,4680,4833,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,豊洲,Toyosu,,26974,16022,10952,27268,16022,11246,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,辰巳,Tatsumi,,4335,2794,1541,4253,2794,1459,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,新木場,Shin-Kiba,,13124,7531,5593,12998,7531,5467,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,,,※,197018,105399,91619,196808,105399,91409,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,渋谷,Shibuya,◎,67715,38487,29228,66481,38487,27994,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,表参道,Omote-Sando,◎,7636,2744,4892,8655,2744,5911,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,青山一丁目,Aoyama-Itchome,◎,6798,3210,3588,7091,3210,3881,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,永田町,Nagatacho,◎,4381,1875,2506,4264,1875,2389,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,半蔵門,Hanzomon,,10267,5865,4402,10373,5865,4508,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,九段下,Kudanshita,◎,8873,4390,4483,9054,4390,4664,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,神保町,Jimbocho,,11961,6688,5273,11588,6688,4900,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,大手町,Otemachi,◎,6722,3431,3291,6485,3431,3054,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,三越前,Mitsukoshimae,◎,7558,4081,3477,7824,4081,3743,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,水天宮前,Suitengumae,◎,9359,4639,4720,9289,4639,4650,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,清澄白河,Kiyosumi-Shirakawa,,8022,3811,4211,7974,3811,4163,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,住吉,Sumiyoshi,,8132,4362,3770,8061,4362,3699,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,錦糸町,Kinshicho,,14355,7071,7284,14814,7071,7743,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,押上（スカイツリー前）,Oshiage(Skytree),,25239,14745,10494,24855,14745,10110,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,南北線,Namboku Line,,,※,108763,63613,45150,108828,63613,45215,,,,
