年度,Fiscal year,許可，業種1，組織及び資本金階層,Licensor， Contractor classification 1， organization and size of capital,業種2 等,Contractor classification 2 etc，,企業数 Enterprises,完成工事高 Value of construction work completed／元請 Original contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／機械 Machinery,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／機械 Machinery,完成工事高 Value of construction work completed／下請 Subcontract／総数 Total,完成工事高 Value of construction work completed／下請 Subcontract／土木 Civil engineering,完成工事高 Value of construction work completed／下請 Subcontract／建築 Building construction,完成工事高 Value of construction work completed／下請 Subcontract／機械 Machinery
令和2,2020,（再掲）建設業専業会社／組織,(Relisted) Companies exclusively engaged in construction／Organization ,法人,Corporation,21401,17434118,13170485,1986631,10560259,623595,4263633,3026746,1182204,54685,8140775,2213555,5421331,505889
令和2,2020,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,200万円未満 ,Under 2 million yen,602,25820,23929,4876,18441,613,1890,1176,562,153,23793,7342,14243,2208
令和2,2020,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,200万円～500万円未満 ,2-5 million yen,5706,110731,105443,7067,96477,1898,5288,2115,1625,1548,352375,91436,249799,11141
令和2,2020,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,500万円～1000万円未満 ,5-10 million yen,2988,42921,23773,7478,15690,605,19148,13510,5369,268,431309,168839,251965,10506
令和2,2020,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,1000万円～3000万円未満 ,10-30 million yen,9549,888613,603730,45602,488059,70069,284883,138870,139706,6307,1992307,443992,1419346,128968
令和2,2020,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,3000万円～5000万円未満 ,30-50 million yen,1331,947361,753480,36095,688112,29272,193881,114545,73444,5893,673623,185535,415678,72409
令和2,2020,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,5000万円～1億円未満 ,50-100 million yen,817,835199,603114,73056,465444,64614,232084,122184,102223,7677,1060864,320800,605252,134813
令和2,2020,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,1億円～10億円未満 ,100 million yen to 1 billion yen,314,1809198,1491117,237102,1107377,146639,318081,207475,101073,9533,1480632,249994,1140236,90402
令和2,2020,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,10億円～50億円未満 ,1-5 billion yen,46,1875348,1402213,208183,1101555,92476,473135,326064,129411,17660,809535,222424,558707,28404
令和2,2020,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,50億円以上 ,5 billion yen or more,48,10898928,8163686,1367172,6579103,217409,2735243,2100806,628790,5646,1316337,523193,766106,27039
令和2,2020,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,都内元請完成工事高及び施工企業数,Value of original contracts and number of enterprises completing construction work within Tokyo-to ,19710,9571250,7352278,721660,6182312,448306,2218971,1116659,870358,231954,…,…,…,…
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,
3-6  経営組織，業種別による企業数，完成工事高（平成28～令和2年度） 3-6  ENTERPRISES， VALUE OF CONSTRUCTION WORK COMPLETED BY FORM OF ORGANIZATION AND CONTRACTOR CLASSIFICATION ( Fiscal Years 2016-2020 ）,,,,,,,,,,,,,,,,,,,
資料：国土交通省 「建設工事施工統計調査報告」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,
