年次,Year,階層コード,地域コード,地域,District,総数 Total,中国 China,韓国 Rep. of Korea,ベトナム Viet Nam,フィリピン Philippines ,ネパール Nepal,台湾 Taiwan,アメリカ U.S.A.,イ ン ド India,ミャンマー Myanmar,タイ Thailand,その他 Others
令和4,2022,3,13119,板橋区,Itabashi-ku,25663,13188,2982,1658,1502,1334,919,358,117,475,326,2804
令和4,2022,3,13120,練馬区,Nerima-ku,18829,7849,3912,896,1101,793,661,543,118,269,248,2439
令和4,2022,3,13121,足立区,Adachi-ku,33138,14561,6899,2204,3644,624,608,311,150,365,457,3315
令和4,2022,3,13122,葛飾区,Katsushika-ku,21630,10970,2944,1287,1615,964,435,171,119,298,270,2557
令和4,2022,3,13123,江戸川区,Edogawa-ku,35220,14325,3910,2773,2891,1209,636,311,5201,490,454,3020
令和4,2022,1,13200,市部,All shi,86138,30022,12612,7783,8201,3674,2383,3186,969,774,1378,15156
令和4,2022,3,13201,八王子市,Hachioji-shi,12821,5016,1700,1235,1325,511,282,308,141,93,144,2066
令和4,2022,3,13202,立川市,Tachikawa-shi,4723,1964,726,462,379,223,117,144,38,48,46,576
令和4,2022,3,13203,武蔵野市,Musashino-shi,3083,1078,492,114,102,191,167,215,38,17,43,626
令和4,2022,3,13204,三鷹市,Mitaka-shi,3516,1069,625,194,182,77,177,307,51,27,54,753
令和4,2022,3,13205,青梅市,Ome-shi,2037,318,194,362,443,53,82,63,4,16,56,446
令和4,2022,3,13206,府中市,Fuchu-shi,5106,1670,733,371,551,86,177,263,35,53,81,1086
令和4,2022,3,13207,昭島市,Akishima-shi,2736,710,470,323,394,265,44,61,43,46,29,351
令和4,2022,3,13208,調布市,Chofu-shi,4385,1505,932,303,312,112,163,164,45,43,84,722
令和4,2022,3,13209,町田市,Machida-shi,7259,2700,975,616,673,150,195,250,120,34,111,1435
令和4,2022,3,13210,小金井市,Koganei-shi,2687,1073,271,209,133,186,70,192,20,26,57,450
令和4,2022,3,13211,小平市,Kodaira-shi,4838,1635,971,311,287,145,111,107,31,34,106,1100
令和4,2022,3,13212,日野市,Hino-shi,3235,1236,427,374,293,121,62,93,29,38,48,514
令和4,2022,3,13213,東村山市,Higashimurayama-shi,3008,1177,433,181,275,201,66,48,11,34,51,531
令和4,2022,3,13214,国分寺市,Kokubunji-shi,2526,1174,356,129,110,200,71,81,29,16,21,339
令和4,2022,3,13215,国立市,Kunitachi-shi,1657,630,309,138,71,84,52,68,17,15,23,250
令和4,2022,3,13218,福生市,Fussa-shi,3382,505,183,782,367,507,84,101,91,39,114,609
令和4,2022,3,13219,狛江市,Komae-shi,1302,402,202,105,119,92,35,49,17,13,33,235
令和4,2022,3,13220,東大和市,Higashiyamato-shi,1208,365,202,75,257,22,19,25,-,7,20,216
令和4,2022,3,13221,清瀬市,Kiyose-shi,1308,482,144,89,210,43,30,32,8,9,24,237
令和4,2022,3,13222,東久留米市,Higashikurume-shi,2242,710,308,150,258,69,51,215,80,20,37,344
令和4,2022,3,13223,武蔵村山市,Musashimurayama-shi,1786,623,138,332,379,37,21,31,3,3,28,191
令和4,2022,3,13224,多摩市,Tama-shi,2700,1106,493,196,224,85,71,61,46,41,36,341
令和4,2022,3,13225,稲城市,Inagi-shi,1506,491,263,95,154,35,37,39,25,9,24,334
令和4,2022,3,13227,羽村市,Hamura-shi,1402,228,81,159,256,46,17,49,13,2,17,534
令和4,2022,3,13228,あきる野市,Akiruno-shi,1042,156,108,218,142,8,23,64,2,27,28,266
令和4,2022,3,13229,西東京市,Nishitokyo-shi,4643,1999,876,260,305,125,159,156,32,64,63,604
令和4,2022,1,13300,郡部,All gun,1009,125,67,213,232,28,12,52,5,11,27,237
令和4,2022,3,13303,瑞穂町,Mizuho-machi,827,102,48,198,197,21,8,31,5,5,21,191
令和4,2022,3,13305,日の出町,Hinode-machi,121,17,11,13,24,7,4,16,-,-,5,24
令和4,2022,3,13307,檜原村,Hinohara-mura,7,-,2,-,1,-,-,3,-,-,-,1
令和4,2022,3,13308,奥多摩町,Okutama-machi,54,6,6,2,10,-,-,2,-,6,1,21
令和4,2022,1,13350,島部,All islands,290,14,71,32,65,-,2,15,-,8,8,75
令和4,2022,2,13360,大島支庁,Oshima-shicho,127,8,13,18,8,-,1,5,-,6,7,61
令和4,2022,2,13380,三宅支庁,Miyake-shicho,32,-,11,4,14,-,-,-,-,-,-,3
令和4,2022,2,13400,八丈支庁,Hachijo-shicho,104,5,42,1,39,-,1,4,-,2,1,9
令和4,2022,2,13420,小笠原支庁,Ogasawara-shicho,27,1,5,9,4,-,-,6,-,-,-,2
,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,
2-4  地域，国籍別外国人人口（平成30～令和4年） 2-4  FOREIGN RESIDENTS BY DISTRICT AND NATIONALITY ( 2018-2022 ),,,,,,,,,,,,,,,,,
外国人人口とは，住民基本台帳法（昭和42年法律第81号）に基づく外国人数である。各年１月１日現在,,,,,,,,,,,,,,,,,
令和4年１月１日現在で外国人人口の多い順の10か国・地域である。,,,,,,,,,,,,,,,,,
Foreign residents here mean foreign nationals who are registered according to the Basic Resident Registration Act.  As of Jan. 1 of the year stated.,,,,,,,,,,,,,,,,,
Top ten countries and regions in terms of foreign resident population as of Jan. 1， 2022.,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課「外国人人口」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:各支庁　3:区市町村),,,,,,,,,,,,,,,,,
