年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passenger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
令和3,2021,東京急行電鉄,Tokyu Corporation,東横線,Toyoko Line,9,9,1331864,757983,573881
令和3,2021,東京急行電鉄,Tokyu Corporation,目黒線,Meguro Line,7.3,9,409972,241334,168638
令和3,2021,東京急行電鉄,Tokyu Corporation,田園都市線,Den-En-Toshi Line,11.8,10,1580113,1001443,578670
令和3,2021,東京急行電鉄,Tokyu Corporation,大井町線,Oimachi Line,10.4,15,580425,334181,246244
令和3,2021,東京急行電鉄,Tokyu Corporation,池上線,Ikegami Line,10.9,15,281377,171633,109745
令和3,2021,東京急行電鉄,Tokyu Corporation,東急多摩川線,Tokyu Tamagawa Line,5.6,7,143706,90236,53470
令和3,2021,東京急行電鉄,Tokyu Corporation,世田谷線,Setagaya Line,5,10,42301,21594,20707
令和3,2021,京浜急行電鉄,Keikyu Corporation,,,18.3,20,1338787,695879,642908
令和3,2021,京浜急行電鉄,Keikyu Corporation,本線,Main Line,11.8,14,1143303,641775,501528
令和3,2021,京浜急行電鉄,Keikyu Corporation,空港線,Airport Line,6.5,6,195484,54104,141380
令和3,2021,京王電鉄,Keio Corporation,,,77.6,66,5437846,3332932,2104914
令和3,2021,京王電鉄,Keio Corporation,京王線,Keio Line,64.9,50,4611138,2866214,1744924
令和3,2021,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,12.7,17,826708,466718,359990
令和3,2021,京成電鉄,Keisei Electric Railway,,,23.9,19,923229,567495,355734
令和3,2021,京成電鉄,Keisei Electric Railway,本線,Main Line,15.7,12,588758,350622,238136
令和3,2021,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,5.7,6,314740,204208,110532
令和3,2021,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,2.5,3,19731,12665,7066
令和3,2021,東武鉄道,Tobu Railway ,,,28.2,28,2278804,1541235,737569
令和3,2021,東武鉄道,Tobu Railway ,東武ｽｶｲﾂﾘｰﾗｲﾝ,Tobu Skytree Line,13.4,13,1115728,761845,353883
令和3,2021,東武鉄道,Tobu Railway ,大師線,Daishi Line,1,2,4115,2710,1405
令和3,2021,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,3.4,5,25956,16273,9683
令和3,2021,東武鉄道,Tobu Railway ,東上線,Tojo Line,10.4,10,1133005,760407,372598
令和3,2021,北総鉄道,Hokuso Railway,,,2,2,22356,15122,7234
令和3,2021,北総鉄道,Hokuso Railway,北総線,Hokuso Line,2,2,22356,15122,7234
令和3,2021,高尾登山電鉄,Takao Tozan Railway,,,1.9,4,1479,24,1454
令和3,2021,高尾登山電鉄,Takao Tozan Railway,清滝高尾山,Kiyotaki-Takaosan,1,2,785,24,760
令和3,2021,高尾登山電鉄,Takao Tozan Railway,リフト,Chair Lift,0.9,2,694,0,694
令和3,2021,東京モノレール,Tokyo Monorail,,,17.8,11,251568,110776,140792
令和3,2021,御岳登山鉄道,Mitake Tozan Railway,,,1.1,4,471,13,458
令和3,2021,御岳登山鉄道,Mitake Tozan Railway,滝本御岳山,Takimoto-Mitakesan,1,2,409,13,396
令和3,2021,御岳登山鉄道,Mitake Tozan Railway,リフト,Chair Lift,0.1,2,62,-,62
令和3,2021,ゆりかもめ,Yurikamome Inc. ,,,14.7,16,128363,37812,90551
令和3,2021,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit，Inc.,,,12.2,8,320852,166895,153957
令和3,2021,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,16,19,194603,119872,74731
令和3,2021,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,,,13.2,7,710953,492067,218886
,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,
4-12　私鉄の運輸成績 (平成29～令和3年度) 4-12 TRANSPORTATION BY PRIVATE RAILWAYS ( Fiscal Years 2017-2021 ),,,,,,,,,,
この表は東京都内分である。,,,,,,,,,,
Figures refer only to Tokyo Metropolis.,,,,,,,,,,
注) 乗換駅を重複して数えているので， 会社別の駅数と路線別の駅の合計とは必ずしも一致しない。,,,,,,,,,,
Note: Since transit stations are counted in duplicate， the total number of stations by company and by line are not always the same.,,,,,,,,,,
資料：私鉄各社 Source: Private railway companies,,,,,,,,,,
