地域階層,地域コード,項番 Item number,地域,District,出生 Live births／計 Total,出生 Live births／男 Male,出生 Live births／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
2,13362,2,利島村,Toshima-mura,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,0.45,1,1
2,13363,3,新島村,Niijima-mura,11,3,8,52,25,27,-41,-22,-19,-,-,-,-,-,-,-,-,-,1.15,6,1
2,13364,4,神津島村,Kozushima-mura,12,9,3,22,10,12,-10,-1,-9,-,-,-,-,-,-,2,2,-,1.74,8,3
2,13381,5,三宅村,Miyake-mura,15,11,4,42,19,23,-27,-8,-19,-,-,-,-,-,-,-,-,-,1.49,8,1
2,13382,6,御蔵島村,Mikurajima-mura,2,-,2,1,1,-,1,-1,2,-,-,-,-,-,-,-,-,-,0.92,2,-
2,13401,7,八丈町,Hachijo-machi,46,25,21,134,72,62,-88,-47,-41,-,-,-,-,-,-,2,2,-,1.77,21,10
2,13402,8,青ヶ島村,Aogashima-mura,-,-,-,1,1,-,-1,-1,-,-,-,-,-,-,-,-,-,-,-,1,-
2,13421,9,小笠原村,Ogasawara-mura,20,9,11,11,7,4,9,2,7,-,-,-,-,-,-,-,-,-,1.4,11,7
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,,,
2-7  人口動態  (3) 地域，男女別（令和3年）  2-7  VITAL STATISTICS  (3) BY DISTRICT AND GENDER ( 2021 ),,,,,,,,,,,,,,,,,,,,,,,,,
「人口動態調査」 による。 数字は日本における日本人に関するもので， その年に発生し， 翌年1月末 までに届け出のあったものを，住所地により表章した。,,,,,,,,,,,,,,,,,,,,,,,,,
Data are based on the Vital Statistics Survey. Figures are only for Japanese nationals in Japan. Occurrences during the year stated that had been reported by the end of the following January and by place of residence. ,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,
