年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／調停成立 Successful conciliation,既済 Disposed／調停不成立 Unsuccessful conciliation,既済 Disposed／取下 Withdrawal,既済 Disposed／合意に相当する審判 Adjudication equivalent to agreement,既済 Disposed／調停に代わる審判 Adjudication in lieu of conciliation,既済 Disposed／調停をしないもの Non-conciliation,既済 Disposed／その他 Others,未済 Pending,異議 Objection／合意に相当する審判 Adjudication equivalent to agreement,異議 Objection／調停に代わる審判 Adjudication in lieu of conciliation,,,,,,,,,,,,,,
令和3,2021,2,1,婚姻中の夫婦間の事件,Cases between married couple,7648,3113,4535,4931,2023,1740,645,-,376,35,112,2717,-,12,,,,,,,,,,,,,,
令和3,2021,2,2,婚姻外の男女間の事件,Cases between men and women outside of marriage,15,2,13,10,4,3,1,-,-,1,1,5,-,-,,,,,,,,,,,,,,
令和3,2021,2,3,離婚その他男女関係解消に基づく慰謝料,Compensation for divorce or breakup of a male-female relationship,54,19,35,35,12,9,12,-,-,-,2,19,-,-,,,,,,,,,,,,,,
令和3,2021,2,4,親族間の紛争,Dispute among relatives,250,70,180,176,31,84,53,-,3,3,2,74,-,-,,,,,,,,,,,,,,
令和3,2021,2,5,合意に相当する審判事項,Ruling equivalent to agreement,556,175,381,413,2,91,102,195,-,17,6,143,-,-,,,,,,,,,,,,,,
令和3,2021,3,,うち協議離婚無効・取消し,(of which) Invalidation/annulment of divorce by agreement,60,16,44,46,1,20,4,18,-,3,-,14,-,-,,,,,,,,,,,,,,
令和3,2021,3,,うち認知,(of which) Acknowledgement of paternity,239,81,158,168,1,41,47,71,-,5,3,71,-,-,,,,,,,,,,,,,,
令和3,2021,3,,うち嫡出否認,(of which) Rebuttal of presumption of a child in wedlock,71,27,44,57,-,2,5,47,-,1,2,14,-,-,,,,,,,,,,,,,,
令和3,2021,3,,うち親子関係不存在確認,(of which) Clarification of non-existence of a parent-child relationship,101,28,73,74,-,8,23,40,-,3,-,27,-,-,,,,,,,,,,,,,,
令和3,2021,2,6,離縁,Dissolution of an adoptive relationship,141,26,115,105,24,32,28,-,14,-,7,36,-,2,,,,,,,,,,,,,,
令和3,2021,2,7,その他,Others,1050,443,607,681,273,249,122,-,10,7,20,369,-,-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-6 家事調停事件の種類別件数 （令和2， 3年） 20-6  CASES OF CONCILIATION OF DOMESTIC RELATIONS BY KIND ( 2020 and 2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分　3:内訳),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
