年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
令和3,2021,2,13213,13,東村山市,Higashimurayama-shi,34,21,5,-,-,8,1,1,22,138,-,1,6,16390
令和3,2021,2,13214,14,国分寺市,Kokubunji-shi,35,24,2,-,-,9,1,1,24,190,-,2,7,10614
令和3,2021,2,13215,15,国立市,Kunitachi-shi,15,11,-,-,-,4,-,1,8,34,-,-,2,10897
令和3,2021,2,13218,16,福生市,Fussa-shi,21,7,3,-,-,11,1,-,4,251,-,-,7,47395
令和3,2021,2,13219,17,狛江市,Komae-shi,17,8,3,-,-,6,1,-,11,33,-,-,4,11781
令和3,2021,2,13220,18,東大和市,Higashiyamato-shi,20,12,3,-,-,5,1,2,14,56,-,1,4,7820
令和3,2021,2,13221,19,清瀬市,Kiyose-shi,17,13,-,-,-,4,1,-,15,87,-,1,1,14109
令和3,2021,2,13222,20,東久留米市,Higashikurume-shi,37,24,-,-,-,13,2,3,23,343,-,1,7,53029
令和3,2021,2,13223,21,武蔵村山市,Musashimurayama-shi,22,16,1,-,-,5,1,3,18,444,-,1,6,98618
令和3,2021,2,13224,22,多摩市,Tama-shi,43,30,-,-,-,13,3,-,20,47,-,-,12,8316
令和3,2021,2,13225,23,稲城市,Inagi-shi,16,7,2,-,-,7,3,1,12,213,-,-,1,38946
令和3,2021,2,13227,24,羽村市,Hamura-shi,23,18,-,-,-,5,3,4,12,327,-,3,6,60709
令和3,2021,2,13228,25,あきる野市,Akiruno-shi,37,15,2,-,-,20,3,2,10,220,-,1,5,33269
令和3,2021,2,13229,26,西東京市,Nishitokyo-shi,33,28,2,-,-,3,10,1,19,280,-,1,4,33215
令和3,2021,1,13300,,郡部,All gun,28,11,3,-,2,12,2,1,3,536,19,1,6,57782
令和3,2021,2,13303,1,瑞穂町,Mizuho-machi,15,5,1,-,-,9,2,-,1,146,-,1,4,9500
令和3,2021,2,13305,2,日の出町,Hinode-machi ,8,4,1,-,-,3,-,1,2,56,-,-,1,12917
令和3,2021,2,13307,3,檜原村,Hinohara-mura,2,1,-,-,1,-,-,-,-,64,18,-,1,1450
令和3,2021,2,13308,4,奥多摩町,Okutama-machi,3,1,1,-,1,-,-,-,-,270,1,-,-,33915
令和3,2021,1,13350,,島部,All islands,14,7,-,-,-,7,1,-,3,92,-,-,-,1434
令和3,2021,2,13361,1,大島町,Oshima-machi,4,2,-,-,-,2,1,-,-,58,-,-,-,-
令和3,2021,2,13362,2,利島村,Toshima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和3,2021,2,13363,3,新島村,Niijima-mura ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和3,2021,2,13364,4,神津島村,Kozushima-mura,1,1,-,-,-,-,-,-,-,34,-,-,-,-
令和3,2021,2,13381,5,三宅村,Miyake-mura ,3,1,-,-,-,2,-,-,-,-,-,-,-,-
令和3,2021,2,13382,6,御蔵島村,Mikurajima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和3,2021,2,13401,7,八丈町,Hachijo-machi,6,3,-,-,-,3,-,-,3,-,-,-,-,1434
令和3,2021,2,13402,8,青ヶ島村,Aogashima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和3,2021,2,13421,9,小笠原村,Ogasawara-mura ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-17  地域別火災の発生件数 （令和2，3年） 20-17 NUMBER OF FIRES BY DISTRICT ( 2020 and 2021 ),,,,,,,,,,,,,,,,,,,,
注) 死傷者には消防吏員及び消防団員を含む。,,,,,,,,,,,,,,,,,,,,
Note: Firefighter personnel and fire corps volunteers are included in the number of people killed or injured.,,,,,,,,,,,,,,,,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,
