年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興業場 Entertainment places／総数 Total,常設興業場 Entertainment places／映画館 Cinemas,常設興業場 Entertainment places／スポーツ施設 Sports center,常設興業場 Entertainment places／その他 Others,プール Swimming pool
令和3,2021,2,13116,16,豊島区,Toshima-ku,197,940,208,70,19,51,2,348,314,34,-,54,15,-,39,14
令和3,2021,2,13117,17,北区,Kita-ku,214,541,244,54,24,30,-,75,35,40,-,14,1,1,12,77
令和3,2021,2,13118,18,荒川区,Arakawa-ku,141,284,130,28,21,7,2,97,61,36,-,8,-,-,8,46
令和3,2021,2,13119,19,板橋区,Itabashi-ku,300,667,319,53,28,25,5,43,35,8,-,6,2,-,4,110
令和3,2021,2,13120,20,練馬区,Nerima-ku,348,846,369,74,20,54,3,11,10,1,-,7,2,-,5,150
令和3,2021,2,13121,21,足立区,Adachi-ku,442,982,324,44,27,17,2,61,50,11,-,18,11,-,7,134
令和3,2021,2,13122,22,葛飾区,Katsushika-ku,300,675,272,43,24,19,1,116,85,31,-,3,1,-,2,94
令和3,2021,2,13123,23,江戸川区,Edogawa-ku,428,885,349,51,32,19,5,65,59,6,-,10,1,1,8,129
令和3,2021,1,13200,,市部,All shi,2022,5430,1764,313,45,268,46,334,279,55,-,204,92,17,95,841
令和3,2021,2,13201,1,八王子市,Hachioji-shi,299,769,279,38,2,36,11,65,57,8,-,22,9,5,8,28
令和3,2021,2,13202,2,立川市,Tachikawa-shi,91,394,85,16,4,12,2,38,37,1,-,30,21,3,6,62
令和3,2021,2,13203,3,武蔵野市,Musashino-shi,99,511,76,16,3,13,-,13,12,1,-,16,9,-,7,35
令和3,2021,2,13204,4,三鷹市,Mitaka-shi,75,165,69,17,4,13,1,4,3,1,-,4,-,-,4,36
令和3,2021,2,13205,5,青梅市,Ome-shi,97,156,49,12,-,12,6,42,23,19,-,2,1,-,1,42
令和3,2021,2,13206,6,府中市,Fuchu-shi,116,263,114,18,5,13,1,26,26,-,-,18,9,3,6,61
令和3,2021,2,13207,7,昭島市,Akishima-shi,65,128,49,10,3,7,1,12,11,1,-,5,1,-,4,28
令和3,2021,2,13208,8,調布市,Chofu-shi,97,307,124,18,5,13,8,7,7,-,-,24,11,5,8,47
令和3,2021,2,13209,9,町田市,Machida-shi,180,593,178,26,2,24,4,33,30,3,-,14,10,-,4,17
令和3,2021,2,13210,10,小金井市,Koganei-shi,46,125,50,5,1,4,-,3,2,1,-,2,-,-,2,29
令和3,2021,2,13211,11,小平市,Kodaira-shi,99,163,69,14,2,12,2,3,3,-,-,3,-,-,3,42
令和3,2021,2,13212,12,日野市,Hino-shi,74,176,45,3,-,3,-,2,2,-,-,2,-,-,2,42
令和3,2021,2,13213,13,東村山市,Higashimurayama-shi,64,170,67,7,1,6,-,10,10,-,-,1,-,-,1,32
令和3,2021,2,13214,14,国分寺市,Kokubunji-shi,48,168,42,6,1,5,-,10,10,-,-,2,-,-,2,25
令和3,2021,2,13215,15,国立市,Kunitachi-shi,43,129,33,9,1,8,1,6,6,-,-,1,-,-,1,26
令和3,2021,2,13218,16,福生市,Fussa-shi,38,112,23,3,-,3,-,6,4,2,-,1,-,-,1,14
令和3,2021,2,13219,17,狛江市,Komae-shi,37,79,34,5,3,2,-,2,2,-,-,2,-,-,2,19
令和3,2021,2,13220,18,東大和市,Higashiyamato-shi,46,93,29,9,2,7,-,3,3,-,-,2,-,-,2,20
令和3,2021,2,13221,19,清瀬市,Kiyose-shi,39,80,29,3,-,3,-,-,-,-,-,3,-,-,3,22
令和3,2021,2,13222,20,東久留米市,Higashikurume-shi,44,111,58,12,2,10,2,2,2,-,-,1,-,-,1,28
令和3,2021,2,13223,21,武蔵村山市,Musashimurayama-shi,35,68,23,5,1,4,2,2,2,-,-,14,12,-,2,24
令和3,2021,2,13224,22,多摩市,Tama-shi,57,150,51,20,-,20,2,8,8,-,-,20,9,-,11,45
令和3,2021,2,13225,23,稲城市,Inagi-shi,36,73,40,10,-,10,1,3,3,-,-,2,-,-,2,31
令和3,2021,2,13227,24,羽村市,Hamura-shi,42,105,20,5,-,5,-,4,4,-,-,3,-,-,3,16
令和3,2021,2,13228,25,あきる野市,Akiruno-shi,60,96,25,9,-,9,2,27,9,18,-,6,-,-,6,28
令和3,2021,2,13229,26,西東京市,Nishitokyo-shi,95,246,103,17,3,14,-,3,3,-,-,4,-,1,3,42
令和3,2021,1,13300,,郡部,All gun,43,58,21,22,-,22,41,78,31,47,-,10,9,-,1,20
令和3,2021,1,13500,,島部,All islands,32,59,13,26,-,26,36,558,119,439,-,2,-,-,2,43
,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,
19-7  環境衛生営業施設数 (平成29～令和3年度末) 19-7  BUSINESS FACILITIES REGULATED BY THE ENVIRONMENT AND HEALTH ACT( End of Fiscal Years 2017-2021 )   ,,,,,,,,,,,,,,,,,,,,,,
注 1) 平成30年6月の旅館業法改正により，旅館・ホテル営業に統合された。,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Ryokan and hotels were integrated into one category following amendment of the Hotel Business Act in June 2018.,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,
