年次,Year,区分階層,項番Itemnumber,種類,Kind,受理Received／総数Total,受理Received／旧受Previouslyreceived,受理Received／新受Newlyreceived,既済Disposed／総数Total,既済Disposed／認容Granted,既済Disposed／却下Rejected,既済Disposed／取下Withdrawn,既済Disposed／その他Others,未済Pending
平成27,2015,2,21,子の氏の変更についての許可,Permissionforchangingthesurnameofachild,12769,153,12616,12604,12514,2,36,52,165
平成27,2015,2,22,養子をするについての許可,Permissionforadoption,179,49,130,140,95,1,43,1,39
平成27,2015,2,23,離縁をするについての許可,Permissionfordissolutionofadoption,295,10,285,286,276,-,9,1,9
平成27,2015,2,24,特別養子縁組の成立及びその離縁に関する処分,Dispositiononestablishmentanddissolutionofspecialadoption,113,40,73,73,62,1,10,-,40
平成27,2015,3,,うち離縁に関する処分,(ofwhich)Dispositionregardingdissolutionofspecialadoption,-,-,-,-,-,-,-,-,-
平成27,2015,2,25,親権喪失，親権停止又は管理権喪失の審判及びその取消し,Adjudicationonlossorsuspensionofparentalauthorityorlossoftherightofadministrationofproperty／rescissionofsuchadjudication,40,7,33,33,4,5,24,-,7
平成27,2015,3,,うち親権喪失の審判,(ofwhich)Adjudicationonlossofparentalauthority,7,-,7,6,-,1,5,-,1
平成27,2015,3,,うち親権停止の審判,(ofwhich)Adjudicationonsuspensionofparentalauthority,32,7,25,26,4,4,18,-,6
平成27,2015,3,,うち管理権喪失の審判,(ofwhich)Adjudicationonlossoftherightofadministrationofproperty,1,-,1,1,-,-,1,-,-
平成27,2015,2,26,親権・管理権の辞任・回復,Surrenderorrestorationofparentalauthorityortherightofadministrationofproperty,1,-,1,1,1,-,-,-,-
平成27,2015,2,27,扶養義務の設定及びその取消し,Establishmentofanobligationofsupport／rescissionofsuchestablishment,14,-,14,14,13,-,1,-,-
平成27,2015,2,28,推定相続人の廃除及びその取消し,Disinheritanceofpresumptiveheirs／rescissionofsuchdisinheritance,43,13,30,34,12,10,12,-,9
平成27,2015,2,29,推定相続人廃除等に伴う遺産の管理に関する処分,Dispositionregardingadministrationofestatesupondisinheritanceofpresumptiveheirs，etc.,-,-,-,-,-,-,-,-,-
平成27,2015,2,30,相続の承認又は放棄の期間の伸長,Extensionoftheperiodforacceptanceorrenunciationofinheritance,1078,106,972,999,953,-,42,4,79
平成27,2015,2,31,相続財産の保存又は管理に関する処分,Dispositionregardingpreservationormanagementofinheritedproperty,160,11,149,143,136,1,5,1,17
平成27,2015,2,32,相続の限定承認又は放棄の取消し,Rescissionofqualifiedacceptanceorrenunciationofinheritance,11,1,10,10,3,1,6,-,1
平成27,2015,2,33,相続の限定承認の申述受理,Acceptanceofastatementofqualifiedacceptanceofinheritance,131,9,122,123,116,1,6,-,8
平成27,2015,2,34,鑑定人の選任,Appointmentofanappraiser,7,-,7,5,5,-,-,-,2
平成27,2015,2,35,相続の放棄の申述の受理,Acceptanceofastatementofrenunciationofinheritance,20431,1379,19052,18807,18375,19,300,113,1624
平成27,2015,2,36,相続財産の分離に関する処分,Dispositionregardingseparationofinheritedproperty,1,-,1,1,-,-,1,-,-
平成27,2015,2,37,相続財産管理に関する処分（財産分離）,Dispositionregardingtheadministrationofinheritedproperty(separationofproperty),-,-,-,-,-,-,-,-,-
平成27,2015,2,38,相続財産管理人選任等（相続人不分明）,Appointmentofanadministratorofinheritedproperty，etc.(heirsunknown),2289,119,2170,2144,2052,-,70,22,145
平成27,2015,2,39,特別縁故者への相続財産の分与,Distributionofinheritedpropertytoapersonwithaspecialconnection,178,44,134,115,85,13,16,1,63
平成27,2015,2,40,遺言の確認,Confirmationofawill,30,8,22,25,20,1,4,-,5
平成27,2015,2,41,遺言書の検認,Probateofawill,2896,276,2620,2615,2580,1,22,12,281
平成27,2015,2,42,遺言執行者の選任,Appointmentofanexecutor,426,28,398,400,388,2,10,-,26
平成27,2015,2,43,遺言執行者に対する報酬の付与,Grantofremunerationtoanexecutor,63,4,59,56,55,-,1,-,7
平成27,2015,2,44,遺言執行者の解任及び辞任,Dismissalandresignationofanexecutor,55,9,46,43,27,6,10,-,12
平成27,2015,2,45,遺言の取消し,Rescissionofawill,-,-,-,-,-,-,-,-,-
平成27,2015,2,46,遺留分の放棄についての許可,Permissionforanheir'srenunciationofsaidheir'slegallyreservedportion,273,20,253,251,237,4,7,3,22
平成27,2015,2,47,任意後見契約に関する法律関係,Legalrelationshipconcerningavoluntaryguardianshipcontract,627,51,576,589,566,8,9,6,38
平成27,2015,3,,うち任意後見監督人の選任,(ofwhich)Appointmentofasupervisorforavoluntarilyappointedguardian,169,22,147,148,130,6,8,4,21
平成27,2015,3,,うち任意後見監督処分,(ofwhich)Supervisorydispositionofavoluntarilyappointedguardianship,16,1,15,15,15,-,-,-,1
平成27,2015,3,,うち任意後見監督人の辞任,(ofwhich)Resignationofthesupervisorofavoluntarilyappointedguardian,5,1,4,5,3,1,-,1,-
平成27,2015,3,,うち任意後見人等の解任,(ofwhich)Dismissalofavoluntarilyappointedguardian，etc.,4,3,1,3,1,1,-,1,1
平成27,2015,3,,うち任意後見監督人に対する報酬の付与,(ofwhich)Grantofremunerationtothesupervisorofavoluntarilyappointedguardian,431,22,409,416,415,-,1,-,15
平成27,2015,2,48,戸籍法による氏の変更についての許可,PermissionforchangeofsurnameundertheFamilyRegisterAct,1678,81,1597,1555,1330,36,183,6,123
平成27,2015,2,49,戸籍法による名の変更についての許可,PermissionforchangeoffirstnameundertheFamilyRegisterAct,1149,92,1057,1058,734,52,265,7,91
平成27,2015,2,50,就籍についての許可,Permissionfortheregistrationofanunregisteredperson,83,38,45,56,40,3,12,1,27
平成27,2015,2,51,戸籍の訂正についての許可,Permissionforcorrectionofafamilyregister,170,30,140,144,109,7,24,4,26
平成27,2015,2,52,戸籍事件についての処分に対する不服,Appealagainstthedispositionofafamilyregister-relatedcase,5,1,4,2,-,-,2,-,3
平成27,2015,2,53,性同一性障害者の性別の取扱いの特例に関する法律3条1項の事件,CasesunderArticle3，Paragraph1oftheActonSpecialCasesinHandlingGenderforPeoplewithGenderIdentityDisorder,142,11,131,132,130,-,1,1,10
平成27,2015,2,54,児童福祉法28条1項の事件,CasesunderArticle28，Paragraph1oftheChildWelfareAct,39,11,28,20,15,-,5,-,19
平成27,2015,2,55,児童福祉法28条2項の事件,CasesunderArticle28，Paragraph2oftheChildWelfareAct,23,4,19,18,16,-,2,-,5
平成27,2015,2,56,生活保護法30条3項の事件,CasesunderArticle30，Paragraph3ofthePublicAssistanceAct,-,-,-,-,-,-,-,-,-
平成27,2015,2,57,心神喪失等の状態で重大な他害行為を行った者の医療及び観察等に関する法律23条の2第2項ただし書の事件,CasesundertheprovisoofArticle23-2，Paragraph2oftheActonMedicalCareandTreatmentforPersonsWhoHaveCausedSeriousCasesUndertheConditionofInsanity,3,1,2,2,1,-,1,-,1
平成27,2015,2,58,破産法61条の事件,CasesunderArticle61oftheBankruptcyAct,-,-,-,-,-,-,-,-,-
平成27,2015,2,59,破産法238条の事件,CasesunderArticle238oftheBankruptcyAct,2,-,2,2,2,-,-,-,-
平成27,2015,2,60,中小企業における経営の承継の円滑化に関する法律8条1項の事件,CasesunderArticle8，Paragraph1oftheActonFacilitationofSuccessionofManagementofSmallandMediumSizedEnterprises,4,1,3,2,2,-,-,-,2
平成27,2015,1,,別表第二審判事件総数,TotalnumberofcasesofadjudicationofdomesticrelationsunderAppendedTable2oftheDomesticRelationsCaseProcedureAct,3376,1191,2185,2177,993,215,370,599,1199
平成27,2015,2,1,夫婦の同居・協力扶助,Cohabitation，cooperation，andmutualassistancebetweenhusbandandwife,7,-,7,2,-,1,1,-,5
平成27,2015,2,2,婚姻費用の分担,Sharingoflivingexpensesarisingfrommarriage,605,184,421,423,265,24,35,99,182
平成27,2015,2,3,子の監護者の指定その他の処分,Designationofachildcustodianandotherdispositions,1640,590,1050,959,308,117,253,281,681
平成27,2015,3,,うち監護者の指定,(ofwhich)Designationofachildcustodian,476,173,303,256,59,35,93,69,220
平成27,2015,3,,うち養育費請求,(ofwhich)Claimforchildsupportpayments,355,109,246,251,138,25,15,73,104
平成27,2015,3,,うち面会交流,(ofwhich)Visitationandcontacts,434,164,270,235,92,13,32,98,199
平成27,2015,3,,うち子の引渡し,(ofwhich)Surrenderofchildcustody,375,144,231,217,19,44,113,41,158
平成27,2015,2,4,財産の分与に関する処分,Dispositionregardingthedistributionofproperty,103,55,48,51,21,1,5,24,52
平成27,2015,2,5,祭祀の承継者の指定,Appointmentofasuccessorofrightsrelatingtorituals,33,20,13,28,18,3,1,6,5
平成27,2015,2,6,離縁後の親権者の指定,Designationofpersonwhoistohaveparentalauthorityupondissolutionofadoptiverelationship,-,-,-,-,-,-,-,-,-
平成27,2015,2,7,親権者の指定又は変更,Designationorchangeofpersonhavingparentalauthority,250,56,194,178,84,20,41,33,72
平成27,2015,2,8,扶養に関する処分,Dispositiononsupport,35,13,22,24,5,10,4,5,11
平成27,2015,2,9,遺産の分割に関する処分など,Dispositionondivisionofestate，etc.,387,176,211,269,128,10,19,112,118
平成27,2015,2,10,寄与分を定める処分,Dispositiontodetermineanheir'scontributingportion,103,52,51,71,13,29,3,26,32
平成27,2015,2,11,請求すべき按分割合に関する処分,Dispositionregardingtheproratasharetoberequested,212,44,168,172,151,-,8,13,40
平成27,2015,2,12,生活保護法77条2項の事件,CasesunderArticle77，Paragraph2ofthePublicAssistanceAct,-,-,-,-,-,-,-,-,-
平成27,2015,2,13,推定相続人の廃除及びその取消し（家事審判法第9条乙類）,Disinheritanceofapresumptiveheir／rescissionofsuchdisinheritance(Article9，Clause2oftheDomesticRelationsTrialAct),1,1,-,-,-,-,-,-,1
,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYOSTATISTICALYEARBOOK(2015)20司法・警察・消防20JUSTICE，POLICE，ANDFIREFIGHTINGSERVICES,,,,,,,,,,,,,,
20-5家事審判事件の種類別件数（平成26，27年）20-5CASESOFADJUDICATIONOFDOMESTICRELATIONSBYKIND(2014and2015),,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課Source:TokyoFamilyCourt,,,,,,,,,,,,,,
区分階層(0:総数1:区分2:区分内訳),,,,,,,,,,,,,,
