年度,Fiscal Year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self Employed,就職状況 Placement／就職率 Employment Rate (%)
令和27,2015,福祉調理,Cooking for welfare institutions,58,54,44,-,81.5
令和27,2015,福祉用具,Assistive equipment,30,28,24,-,85.7
令和27,2015,介護福祉用具,Nursing care equipment,27,25,19,-,76
令和27,2015,マンション改修施工,Condominium renovation,45,37,26,6,86.5
令和27,2015,造園土木施工,Gardening and landscape construction,39,34,32,2,100
令和27,2015,三次元ＣＡＤ,3D CAD,110,94,53,2,58.5
令和27,2015,マンション維持管理,Condominium maintenance and management,63,57,54,-,94.7
令和27,2015,パソコン実践,Computer operations,306,295,117,1,40
令和27,2015,インテリアリフォーム,Interior renovation,60,60,40,3,71.7
令和27,2015,ビル管理,Building management,151,134,117,2,88.8
令和27,2015,電気設備管理,Electrical facility management,62,45,40,-,88.9
令和27,2015,電気設備管理（高年齢者向）,Electrical facility management (for elderly people),71,69,55,-,79.7
令和27,2015,電気設備保全,Electrical facility maintenance,52,52,34,-,65.4
令和27,2015,経営管理実務,Business management,72,65,22,-,33.8
令和27,2015,ビジネス経理,Business accounting,41,37,13,2,40.5
令和27,2015,庭園施工管理,Gardening,57,56,41,15,100
令和27,2015,ホテル・レストランサービス,Hotel and restaurant services,56,48,38,1,81.3
令和27,2015,設備保全,Facility maintenance,42,40,27,-,67.5
令和27,2015,板金溶接,Sheet metal welding,23,18,17,1,100
令和27,2015,施　設　警　備,Security services for facilities,31,29,27,-,93.1
令和27,2015,自動車運転（城東）,Vehicle driving (Joto),-,-,-,-,-
,,,,,,,,
7-2  都立職業能力開発センター(職業訓練校)修了者就職状況 (平成26，27年度) ,,,,,,,,
PLACEMENT OF TRAINEES OF ＴMG VOCATIONAL SKILLS DEVELOPMENT CENTERS ,,,,,,,,
( VOCATIONAL TRAINING FACILITIES ) ( Fiscal Years 2014 and 2015 ) ,,,,,,,,
この表の数字には， 2ケ月以下の訓練，障害者訓練，高年齢者向け夜間訓練及び受託訓練を含まない。 ,,,,,,,,
Figures do not include training courses of two months or less， those for the disabled， night courses for the elderly， or courses commissioned by others.,,,,,,,,
資料：都産業労働局雇用就業部能力開発課,,,,,,,,
Source: Bureau of Industrial and Labor Affairs， TMG,,,,,,,,
