地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost
5,13123,23,江戸川区,Edogawa-ku,1893,389236,8849313,1439,169710,2948174,-,-,-,70,114227,3322217,374,105021,2575926,2,96,x,8,182,x
2,13200,,市部,All shi,18850,3633341,77433141,14945,1644865,28035668,20,113826,3438190,492,957759,25486009,3339,915440,20463249,2,27,500,52,1424,9525
5,13201,1,八王子市,Hachioji-shi,2271,522558,10238561,1590,190400,3297669,5,7557,165950,74,138038,2980252,594,186375,3792870,-,-,-,8,188,1820
5,13202,2,立川市,Tachikawa-shi,885,223822,5405948,644,71476,1187373,-,-,-,36,96336,x,204,55998,1304492,-,-,-,1,12,x
5,13203,3,武蔵野市,Musashino-shi,555,110522,2644888,364,46862,872355,1,576,x,32,25467,692521,156,37565,1062512,-,-,-,2,52,x
5,13204,4,三鷹市,Mitaka-shi,847,150960,3258757,660,71420,1301393,4,209,x,22,18693,681560,159,60589,1271994,-,-,-,2,49,x
5,13205,5,青梅市,Ome-shi,638,92083,1701720,548,64547,1026614,-,-,-,5,13289,x,83,14217,322702,-,-,-,2,30,x
5,13206,6,府中市,Fuchu-shi,1043,240507,5460144,819,86827,1519111,2,58310,x,27,35771,909691,192,59494,1229212,-,-,-,3,105,x
5,13207,7,昭島市,Akishima-shi,472,160024,4417907,362,39248,639739,1,35692,x,24,46643,x,85,38441,1108368,-,-,-,-,-,-
5,13208,8,調布市,Chofu-shi,1071,207609,4450217,834,83193,1447118,1,1100,x,35,82839,1937055,200,40464,1020994,-,-,-,1,13,x
5,13209,9,町田市,Machida-shi,1827,296496,5618015,1516,172631,2841443,3,4129,118600,53,67369,1611737,252,52242,1044665,-,-,-,3,125,1570
5,13210,10,小金井市,Koganei-shi,669,101344,2086834,542,55730,1052404,-,-,-,21,24414,x,105,21186,506644,-,-,-,1,14,x
5,13211,11,小平市,Kodaira-shi,1201,217817,4427022,983,101690,1742662,1,2569,x,24,59283,1637200,179,53692,945140,1,14,x,13,569,1820
5,13212,12,日野市,Hino-shi,980,146577,2603856,796,90701,1484820,-,-,-,11,11780,304541,169,44028,814385,-,-,-,4,68,110
5,13213,13,東村山市,Higashimurayama-shi,711,99235,1693483,634,64200,1081540,-,-,-,9,22555,359400,68,12480,252543,-,-,-,-,-,-
5,13214,14,国分寺市,Kokubunji-shi,607,192951,5016965,478,50177,860767,-,-,-,13,116986,3498192,116,25788,658006,-,-,-,-,-,-
5,13215,15,国立市,Kunitachi-shi,374,69688,1563248,267,31635,573057,-,-,-,14,18945,x,91,19078,477692,-,-,-,2,30,x
5,13218,16,福生市,Fussa-shi,257,40337,720333,213,24031,394167,-,-,-,4,10741,206060,40,5565,120106,-,-,-,-,-,-
5,13219,17,狛江市,Komae-shi,443,60407,1217323,371,37950,660897,-,-,-,6,7026,174282,64,15405,381829,1,13,x,1,13,x
5,13220,18,東大和市,Higashiyamato-shi,333,54036,931443,286,32083,532737,-,-,-,1,3008,x,45,18919,339406,-,-,-,1,26,x
5,13221,19,清瀬市,Kiyose-shi,441,79879,1798126,363,38196,602210,-,-,-,10,26188,x,66,15467,367506,-,-,-,2,28,x
5,13222,20,東久留米市,Higashikurume-shi,471,70828,1385183,412,42664,693627,-,-,-,5,13917,385584,54,14247,305972,-,-,-,-,-,-
5,13223,21,武蔵村山市,Musashimurayama-shi,353,44299,742900,303,34261,592987,-,-,-,2,511,x,48,9527,x,-,-,-,-,-,-
5,13224,22,多摩市,Tama-shi,382,112079,2670265,283,32507,571403,-,-,-,19,53999,1428796,76,25499,669946,-,-,-,4,74,120
5,13225,23,稲城市,Inagi-shi,366,85549,2091735,279,32489,570244,1,993,x,16,19879,x,70,32188,895652,-,-,-,-,-,-
5,13227,24,羽村市,Hamura-shi,283,45781,882403,235,26107,421745,-,-,-,3,3665,85000,45,16009,375658,-,-,-,-,-,-
5,13228,25,あきる野市,Akiruno-shi,481,59983,1043306,423,49150,806426,1,2691,x,6,761,14221,50,7365,202629,-,-,-,1,16,x
5,13229,26,西東京市,Nishitokyo-shi,889,147970,3362559,740,74690,1261160,-,-,-,20,39656,x,128,33612,868278,-,-,-,1,12,x
3,13300,,郡部,All gun,332,51930,978519,270,30487,492799,1,1630,x,5,8575,205000,55,11223,190677,-,-,-,1,15,x
3,13350,,島部,All islands,85,12786,336904,47,4856,100034,-,-,-,7,4145,x,28,3673,100070,3,112,x,-,-,-
4,13360,1,大島支庁,Oshima-shicho,22,2419,44710,14,1616,32150,-,-,-,1,125,x,7,678,x,-,-,-,-,-,-
4,13380,2,三宅支庁,Miyake-shicho,10,766,22370,4,438,8800,-,-,-,-,-,-,6,328,13570,-,-,-,-,-,-
4,13400,3,八丈支庁,Hachijo-shicho,34,5220,124024,25,2282,44084,-,-,-,2,2008,x,4,818,x,3,112,x,-,-,-
4,13420,4,小笠原支庁,Ogasawara-shicho,19,4381,145800,4,520,15000,-,-,-,4,2012,70500,11,1849,60300,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-7  地 域 別 構 造 別 着 工 建 築 物 (平成27年） ,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル， 金額　万円） ,,,,,,,,,,,,,,,,,,,,,,,,,
　　資料：都都市整備局市街地建築部建築企画課 ,,,,,,,,,,,,,,,,,,,,,,,,,
3-7  BUILDING CONSTRUCTION STARTＳ BY DISTRICT AND STRUCTURE（ 2015 ） ,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　(Space in m2， Value in 10 thousand yen),,,,,,,,,,,,,,,,,,,,,,,,,
　　Source: Bureau of Urban Development，TMG,,,,,,,,,,,,,,,,,,,,,,,,,
