年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 Subsidies to municipalities where national facilities are located,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成27,2015,13229,26,西東京市,Nishitokyo-shi,75832,31419,264,218,520,4263,-,-,119,139,3697,19,604,577,412,11541,-,8372,324,160,2426,1429,426,8902
平成25,2013,13300,,郡部,All gun,32906,10278,162,53,83,698,-,-,100,41,4041,15,224,249,202,2647,753,8312,217,12,1242,946,1394,1238
平成26,2014,13300,,郡部,All gun,33545,10520,155,53,122,862,-,-,52,41,3744,13,211,253,273,2354,751,8794,231,14,1842,1083,1314,863
平成27,2015,13300,,郡部,All gun,33233,10466,162,45,107,1471,-,-,73,40,4007,14,190,253,271,2771,752,8418,227,16,789,885,1285,990
平成27,2015,13303,1,瑞穂町,Mizuho-machi,13812,6703,79,27,64,861,-,-,36,26,51,8,65,74,153,1607,752,2006,21,1,480,341,126,330
平成27,2015,13305,2,日の出町,Hinode-machi,9117,2816,43,13,31,409,-,-,19,14,878,3,102,48,84,760,-,1893,134,1,114,263,1067,425
平成27,2015,13307,3,檜原村,Hinohara-mura,3657,207,11,1,3,60,-,-,5,0,1338,1,6,24,8,165,-,1554,13,7,70,79,32,75
平成27,2015,13308,4,奥多摩町,Okutama-machi,6647,740,30,4,9,141,-,-,13,0,1740,2,18,107,26,239,-,2966,59,7,125,202,61,160
平成25,2013,13350,,島部,All islands,39034,3369,188,25,40,316,1,-,111,4,11594,11,48,901,250,2629,143,11652,203,1059,1818,1028,798,2846
平成26,2014,13350,,島部,All islands,39371,3375,181,25,59,394,1,-,57,4,11768,9,49,928,492,3813,142,12295,136,49,1866,1066,824,1838
平成27,2015,13350,,島部,All islands,38990,3375,193,22,52,675,1,-,81,4,10995,10,61,938,258,2932,144,12086,180,70,1476,1123,868,3448
平成27,2015,13361,1,大島町,Oshima-machi,10663,953,61,6,14,201,1,-,26,2,2120,3,25,163,84,1533,-,3401,18,8,612,157,228,1047
平成27,2015,13362,2,利島村,Toshima-mura,1141,44,2,0,1,9,-,-,1,0,342,-,-,17,0,47,-,541,4,0,0,45,70,17
平成27,2015,13363,3,新島村,Niijima-mura,4701,329,18,2,5,72,-,-,8,0,1401,1,-,105,13,272,14,1507,32,0,213,175,67,466
平成27,2015,13364,4,神津島村,Kozushima-mura,2797,224,9,1,3,47,-,-,4,0,902,1,1,35,8,128,-,1186,3,1,55,47,59,84
平成27,2015,13381,5,三宅村,Miyake-mura,4581,348,19,2,5,65,-,-,8,0,1372,1,0,67,119,100,-,1216,61,1,83,326,53,731
平成27,2015,13382,6,御蔵島村,Mikurajima-mura,1550,46,1,0,1,9,-,-,1,-,456,-,1,18,0,71,-,376,3,0,201,67,124,173
平成27,2015,13401,7,八丈町,Hachijo-machi,7642,931,72,6,13,196,-,-,27,1,2511,4,10,215,17,376,-,2234,15,54,12,73,82,794
平成27,2015,13402,8,青ヶ島村,Aogashima-mura,1226,34,4,0,1,5,-,-,2,-,395,-,-,11,0,45,-,453,2,0,15,164,96,-
平成27,2015,13421,9,小笠原村,Ogasawara-mura,4688,465,7,4,9,71,-,-,3,1,1495,-,24,306,16,361,129,1171,43,5,285,70,87,135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,   ,,,,,,,,
21-6 市町村普通会計決算額 (1) 歳入 (平成25～27年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (1) REVENUE ( Fiscal Years 2013-2015 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課「市町村決算状況調査結果」Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
