地域階層,地域コード,項番 Item number,地域,District,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
2,13221,19,清瀬市,Kiyose-shi,531,285,246,754,406,348,-223,-121,-102,0,0,0,0,0,0,9,4,5,1.32,354,115
2,13222,20,東久留米市,Higashikurume-shi,836,428,408,1012,558,454,-176,-130,-46,2,2,0,1,1,0,16,7,9,1.34,414,190
2,13223,21,武蔵村山市,Musashimurayama-shi,525,260,265,616,338,278,-91,-78,-13,0,0,0,0,0,0,12,1,11,1.42,297,159
2,13224,22,多摩市,Tama-shi,1009,522,487,1148,623,525,-139,-101,-38,0,0,0,0,0,0,16,6,10,1.2,579,208
2,13225,23,稲城市,Inagi-shi,751,386,365,532,297,235,219,89,130,0,0,0,0,0,0,21,10,11,1.44,446,120
2,13227,24,羽村市,Hamura-shi,373,201,172,446,227,219,-73,-26,-47,0,0,0,0,0,0,9,4,5,1.29,271,118
2,13228,25,あきる野市,Akiruno-shi,557,274,283,832,388,444,-275,-114,-161,1,0,1,0,0,0,9,6,3,1.41,303,142
2,13229,26,西東京市,Nishitokyo-shi,1558,806,752,1657,870,787,-99,-64,-35,4,4,0,2,2,0,31,14,17,1.29,978,291
1,13300,,郡部,All gun,344,186,158,901,405,496,-557,-219,-338,1,1,0,0,0,0,7,6,1,1.28,216,96
2,13303,1,瑞穂町,Mizuho-machi,207,112,95,343,163,180,-136,-51,-85,1,1,0,0,0,0,6,5,1,1.23,142,61
2,13305,2,日の出町,Hinode-machi,121,67,54,331,134,197,-210,-67,-143,0,0,0,0,0,0,1,1,0,1.5,50,28
2,13307,3,檜原村,Hinohara-mura,10,3,7,56,27,29,-46,-24,-22,0,0,0,0,0,0,0,0,0,1.76,8,3
2,13308,4,奥多摩町,Okutama-machi,6,4,2,171,81,90,-165,-77,-88,0,0,0,0,0,0,0,0,0,0.42,16,4
1,13350,,島部,All islands,201,110,91,425,226,199,-224,-116,-108,1,1,0,1,1,0,4,0,4,1.8,139,52
2,13361,1,大島町,Oshima-machi,43,23,20,125,65,60,-82,-42,-40,0,0,0,0,0,0,2,0,2,1.58,34,10
2,13362,2,利島村,Toshima-mura,6,2,4,1,1,0,5,1,4,0,0,0,0,0,0,0,0,0,3.16,2,0
2,13363,3,新島村,Niijima-mura,13,8,5,54,19,35,-41,-11,-30,0,0,0,0,0,0,0,0,0,1.06,10,3
2,13364,4,神津島村,Kozushima-mura,21,9,12,27,15,12,-6,-6,0,0,0,0,0,0,0,0,0,0,2.78,8,6
2,13381,5,三宅村,Miyake-mura,18,11,7,66,37,29,-48,-26,-22,0,0,0,0,0,0,1,0,1,1.65,17,8
2,13382,6,御蔵島村,Mikurajima-mura,4,3,1,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,1.38,6,0
2,13401,7,八丈町,Hachijo-machi,57,32,25,142,82,60,-85,-50,-35,1,1,0,1,1,0,0,0,0,1.86,36,20
2,13402,8,青ヶ島村,Aogashima-mura,1,1,0,2,2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.83,2,0
2,13421,9,小笠原村,Ogasawara-mura,38,21,17,7,4,3,31,17,14,0,0,0,0,0,0,1,0,1,2.07,24,5
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,,,
2-7  人口動態  (3) 地域，男女別（平成27年）  2-7  VITAL STATISTICS  (3) BY DISTRICT AND GENDER ( 2015 ),,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,
