地域階層,地域コード,地域,District,昼間人口Daytime population／昭和55年1980,昼間人口Daytime population／昭和60年1985,昼間人口Daytime population／平成 2年1990,昼間人口Daytime population／平成 7年1995,昼間人口Daytime population／平成 12年2000,昼間人口Daytime population／平成 17年2005,昼間人口Daytime population／平成22年2010,昼間人口Daytime population／平成22年2010／男Male,昼間人口Daytime population／平成22年2010／女Female,夜間人口Nighttime population／昭和55年1980,夜間人口Nighttime population／昭和60年1985,夜間人口Nighttime population／平成2年1990,夜間人口Nighttime population／平成7年1995,夜間人口Nighttime population／平成12年2000,夜間人口Nighttime population／平成17年2005,夜間人口Nighttime population／平成22年2010,夜間人口Nighttime population／平成22年2010／男Male,夜間人口Nighttime population／平成22年2010／女Female
2,13109,品川区,Shinagawa-ku,401839,419261,455826,462609,478529,505034,527019,304863,222156,346052,357286,344163,325180,322682,344888,365302,180246,185056
2,13110,目黒区,Meguro-ku,265370,265786,267235,269947,267322,271320,293382,145561,147821,273128,268931,247036,241676,239489,248749,268330,125509,142821
2,13111,大田区,Ota-ku,655332,660188,653517,647545,655573,657209,684451,362152,322299,660081,662719,646265,634844,650323,664027,693373,347876,345497
2,13112,世田谷区,Setagaya-ku,686659,683539,671354,688081,706522,736040,812810,380710,432100,795426,810760,785633,780798,796874,820320,877138,419671,457467
2,13113,渋谷区,Shibuya-ku,461728,508815,547216,536851,549715,542803,520698,280810,239888,246719,242416,201562,188235,196337,199280,204492,97265,107227
2,13114,中野区,Nakano-ku,272369,267237,257848,261174,272250,285636,289176,144923,144253,345294,335500,311790,304379,309513,310392,314750,157204,157546
2,13115,杉並区,Suginami-ku,420260,417998,412985,411526,427162,439379,480172,224820,255352,540895,538589,525843,508004,520095,522582,549569,263837,285732
2,13116,豊島区,Toshima-ku,368817,383925,425691,424002,408802,378475,422995,224057,198938,287855,277558,256654,243919,248201,233141,284678,143806,140872
2,13117,北区,Kita-ku,353925,338454,322529,318682,308653,307317,321581,161626,159955,386332,367399,351119,333004,326671,330345,335544,166104,169440
2,13118,荒川区,Arakawa-ku,195086,185355,178567,175354,176358,184021,191626,98792,92834,197874,190029,183895,176833,180441,191163,203296,100801,102495
2,13119,板橋区,Itabashi-ku,462807,466179,461364,461963,470917,456425,493747,244847,248900,497003,505494,513438,509578,512459,507799,535824,265665,270159
2,13120,練馬区,Nerima-ku,442139,451541,461017,476777,507286,530628,588243,276406,311837,563274,587475,614646,630366,654150,643687,716124,350647,365477
2,13121,足立区,Adachi-ku,541313,533447,523152,530895,535321,539309,608632,302638,305994,619096,622613,627817,621347,616064,622500,683426,344195,339231
2,13122,葛飾区,Katsushika-ku,364945,354432,345385,347157,345365,343039,376235,183202,193033,419805,418972,423853,423951,421496,424823,442586,222034,220552
2,13123,江戸川区,Edogawa-ku,425958,431828,450889,475854,502598,534942,570877,277487,293390,494285,513951,561195,587999,619121,653805,678967,343701,335266
2,13199,境界未定地,Unattached land,37,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-
1,13200,市部,All shi,2802592,2956053,3109739,3291809,3455698,3604881,3776318,1801467,1974851,3176548,3383090,3570667,3706417,3837093,3976006,4127128,2056315,2070813
2,13201,八王子市,Hachioji-shi,385771,418428,463705,506317,537132,549417,578039,288721,289318,387013,426563,464261,503130,535473,556808,580053,293462,286591
2,13202,立川市,Tachikawa-shi,147166,152834,164788,175523,182157,193465,203252,101275,101977,142407,146454,151434,157506,163987,172563,179668,89470,90198
2,13203,武蔵野市,Musashino-shi,140035,143994,152586,153379,152425,154448,153267,71901,81366,136506,138598,138109,134510,135730,137513,138734,66406,72328
2,13204,三鷹市,Mitaka-shi,133973,136347,133919,138934,152435,148458,166284,81309,84975,163874,166185,163653,164961,171346,166767,186083,91997,94086
2,13205,青梅市,Ome-shi,91023,102410,111098,121953,128691,127176,127303,61818,65485,98965,110818,125637,137202,141352,142028,139339,69742,69597
2,13206,府中市,Fuchu-shi,176585,188753,195642,210521,221456,236133,246380,127979,118401,191392,201962,207563,216126,226647,245292,255506,131558,123948
2,13207,昭島市,Akishima-shi,81886,88501,92256,95218,96560,100508,100273,49434,50839,89273,97539,104466,107284,106485,110054,112297,56320,55977
2,13208,調布市,Chofu-shi,153499,159377,162753,169321,178626,186275,195986,91264,104722,179834,191034,195544,198532,204752,215809,223593,110805,112788
2,13209,町田市,Machida-shi,260327,279624,298974,315906,330651,364091,388575,174092,214483,294956,320989,343608,359461,376808,404449,426987,209580,217407
2,13210,小金井市,Koganei-shi,83693,84641,82560,89545,93522,95195,102683,49532,53151,102078,104601,104791,109116,111670,111033,118852,59515,59337
2,13211,小平市,Kodaira-shi,139137,143536,143638,150473,154079,160499,166106,77791,88315,154464,158671,162565,172771,178597,183775,187035,92886,94149
2,13212,日野市,Hino-shi,126916,133061,138546,142774,144265,154114,158452,78456,79996,145408,156001,165632,166443,167933,176527,180052,91236,88816
2,13213,東村山市,Higashimurayama-shi,93701,95490,100671,104038,111681,115046,125378,56657,68721,119252,123459,133421,134896,141635,144402,153557,75461,78096
2,13214,国分寺市,Kokubunji-shi,71035,72602,75186,82127,88559,95649,100798,47804,52994,90820,95398,100163,105165,111244,115238,120650,59967,60683
2,13215,国立市,Kunitachi-shi,58381,59675,62919,65464,71484,71295,73597,35405,38192,63984,64744,64600,66533,72183,72574,75510,37525,37985
2,13218,福生市,Fussa-shi,43892,44832,48040,50461,51891,52442,51582,24638,26944,48563,51363,57716,61018,61425,61045,59796,29986,29810
2,13219,狛江市,Komae-shi,49410,49217,47952,49741,53540,57386,58983,27071,31912,70801,73760,73406,74642,75705,78314,78751,38825,39926
2,13220,東大和市,Higashiyamato-shi,51608,54125,55576,58926,60927,64274,65959,29703,36256,65498,69863,74812,76343,77193,79228,83068,41070,41998
2,13221,清瀬市,Kiyose-shi,50138,51076,51225,53263,57390,60733,61802,26311,35491,61852,65013,67126,67350,68020,73506,74104,35595,38509
2,13222,東久留米市,Higashikurume-shi,80083,79952,78123,79944,86312,90315,93335,42367,50968,106458,109897,113213,111083,112862,115023,116546,57613,58933
2,13223,武蔵村山市,Musashimurayama-shi,55575,58093,58084,59270,59053,59591,64590,30603,33987,57102,60834,65201,66966,66015,66368,70053,34944,35109
2,13224,多摩市,Tama-shi,72591,88725,109413,121918,126570,137622,145569,65702,79867,95205,122101,143223,147673,145857,145877,147648,73083,74565
2,13225,稲城市,Inagi-shi,40553,42030,46499,49117,55521,58913,67517,30701,36816,48135,50764,58380,62371,69209,76394,84835,43285,41550
2,13227,羽村市,Hamura-shi,40547,47003,50283,52603,54044,55966,53221,28209,25012,41983,47201,51828,55084,55868,56452,57032,29161,27871
2,13228,あきる野市,Akiruno-shi,49515,53093,55840,59218,65697,67814,70137,33435,36702,62805,66508,71685,75339,78240,79581,80868,40386,40482
2,13229,西東京市,Nishitokyo-shi,125552,128634,129463,135855,141030,148056,157250,69289,87961,157920,162770,168630,174912,180857,189386,196511,96437,100074
1,13300,郡部,All gun,44047,49619,53254,56289,58099,58824,60275,30679,29596,50686,56100,59885,61215,60252,59088,58750,29320,29430
2,13303,瑞穂町,Mizuho-machi,21424,26623,31210,33658,34871,36088,36272,19479,16793,22795,27028,30896,32714,32790,33476,33497,16945,16552
2,13305,日の出町,Hinode-machi,10850,12053,11634,12487,13579,13965,15959,7290,8669,13853,15787,16432,16684,16631,15941,16650,8200,8450
2,13307,檜原村,Hinohara-mura,3418,3113,2975,2926,2842,2566,2297,1068,1229,4230,4012,3807,3560,3256,2930,2558,1241,1317
2,13308,奥多摩町,Okutama-machi,8355,7830,7435,7218,6807,6205,5747,2842,2905,9808,9273,8750,8257,7575,6741,6045,2934,3111
1,13350,島部,All islands,33792,33799,32554,32366,27967,29176,28000,14582,13418,33674,33587,32325,32077,27640,28737,27815,14425,13390
2,13361,大島町,Oshima-machi,10758,10413,10056,9770,9292,8789,8490,4258,4232,10734,10377,10004,9693,9224,8701,8461,4230,4231
2,13362,利島村,Toshima-mura,291,302,326,332,325,327,348,210,138,278,297,315,317,302,308,341,205,136
2,13363,新島村,Niijima-mura,3696,3663,3516,3180,3176,3199,2890,1400,1490,3684,3653,3505,3163,3147,3161,2883,1395,1488
2,13364,神津島村,Kouzushima-mura,2220,2286,2326,2283,2159,2076,1895,955,940,2210,2281,2314,2276,2144,2068,1889,949,940
2,13381,三宅村,Miyake-mura,4230,4199,3922,3853,-,2519,2711,1523,1188,4228,4167,3911,3831,-,2439,2676,1490,1186
2,13382,御蔵島村,Mikurajima-mura,238,270,306,282,330,312,355,193,162,225,260,293,275,308,292,348,187,161
2,13401,八丈町,Hachijo-machi,10261,10089,9472,9550,9569,8927,8258,4108,4150,10244,10024,9420,9476,9488,8833,8231,4089,4142
2,13402,青ヶ島村,Aogashima-mura,199,230,217,245,228,245,209,135,74,192,225,203,237,203,214,201,128,73
2,13421,小笠原村,Ogasawara-mura,1899,2347,2413,2871,2888,2782,2844,1800,1044,1879,2303,2360,2809,2824,2721,2785,1752,1033
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,
2-11 地域別昼・夜間人口の推移　（昭和55～平成22年） 2-11 CHANGES IN DAYTIME AND NIGHTTIME POPULATION BY DISTRICT ( 1980-2010 ) ,,,,,,,,,,,,,,,,,,,,,
注 1) 各年10月1日現在の「国勢調査」による。,,,,,,,,,,,,,,,,,,,,,
2) 平成 17年以前の昼・夜間人口には年齢不詳を含まないが，平成22年の昼・夜間人口には年齢・労働力不詳及び15歳未満就業者を含む。,,,,,,,,,,,,,,,,,,,,,
Note: 1) Data are based on the Population Census taken as of October 1 of the year stated.,,,,,,,,,,,,,,,,,,,,,
2) Data for 2005 and earlier years exclude those of unknown age. Data for 2010 include those of unknown age and unknown labor force status， and workers under 15 years old. ,,,,,,,,,,,,,,,,,,,,,
資料：総務省統計局 「国勢調査報告」 Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,
