地域階層,地域コード,項番 Item number,地域,District,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,15歳～19歳 15-19years old／計 Total,15歳～19歳 15-19years old／男 Male,15歳～19歳 15-19years old／女 Female,20歳～24歳 20-24years old／計 Total,20歳～24歳 20-24years old／男 Male,20歳～24歳 20-24years old／女 Female,25歳～29歳 25-29years old／計 Total,25歳～29歳 25-29years old／男 Male,25歳～29歳 25-29years old／女 Female,30歳～34歳 30-34years old／計 Total,30歳～34歳 30-34years old／男 Male,30歳～34歳 30-34years old／女 Female,35歳～39歳 35-39years old／計 Total,35歳～39歳 35-39years old／男 Male,35歳～39歳 35-39years old／女 Female,40歳～44歳 40-44years old／計 Total,40歳～44歳 40-44years old／男 Male,40歳～44歳 40-44years old／女 Female,45歳～49歳 45-49years old／計 Total,45歳～49歳 45-49years old／男 Male,45歳～49歳 45-49years old／女 Female,50歳～54歳 50-54years old／計 Total,50歳～54歳 50-54years old／男 Male,50歳～54歳 50-54years old／女 Female,55歳～59歳 55-59years old／計 Total,55歳～59歳 55-59years old／男 Male,55歳～59歳 55-59years old／女 Female,60歳～64歳 60-64years old／計 Total,60歳～64歳 60-64years old／男 Male,60歳～64歳 60-64years old／女 Female,65歳～69歳 65-69years old／計 Total,65歳～69歳 65-69years old／男 Male,65歳～69歳 65-69years old／女 Female,70歳～74歳 70-74years old／計 Total,70歳～74歳 70-74years old／男 Male,70歳～74歳 70-74years old／女 Female,75歳～79歳 75-79years old／計 Total,75歳～79歳 75-79years old／男 Male,75歳～79歳 75-79years old／女 Female,80歳～84歳 80-84years old／計 Total,80歳～84歳 80-84years old／男 Male,80歳～84歳 80-84years old／女 Female,85歳以上 85years old and over／計 Total,85歳以上 85years old and over／男 Male,85歳以上 85years old and over／女 Female
2,13211,11,小平市,Kodaira-shi,379,232,147,-,-,-,1,1,-,4,3,1,11,10,1,9,8,1,10,8,2,16,11,5,30,19,11,41,26,15,66,39,27,36,22,14,52,34,18,31,15,16,38,18,20,34,18,16
2,13212,12,日野市,Hino-shi,239,148,91,1,-,1,-,-,-,4,3,1,2,2,-,5,5,-,5,3,2,6,4,2,17,9,8,25,17,8,28,16,12,40,29,11,32,18,14,28,15,13,31,18,13,15,9,6
2,13213,13,東村山市,Higashimurayama-shi,350,208,142,-,-,-,-,-,-,5,4,1,13,9,4,16,12,4,20,16,4,23,14,9,19,13,6,34,16,18,52,30,22,39,25,14,33,17,16,40,20,20,36,23,13,20,9,11
2,13214,14,国分寺市,Kokubunji-shi,326,205,121,-,-,-,2,1,1,9,8,1,8,8,-,9,8,1,17,14,3,18,14,4,29,17,12,40,28,12,45,26,19,32,18,14,30,20,10,31,15,16,29,15,14,27,13,14
2,13215,15,国立市,Kunitachi-shi,92,64,28,-,-,-,1,1,-,3,3,-,4,2,2,4,4,-,1,1,-,2,2,-,10,8,2,4,3,1,8,5,3,14,11,3,13,8,5,11,6,5,11,8,3,6,2,4
2,13218,16,福生市,Fussa-shi,23,18,5,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,1,2,2,-,3,3,-,3,2,1,4,3,1,3,3,-,-,-,-,4,2,2,2,2,-
2,13219,17,狛江市,Komae-shi,126,82,44,-,-,-,1,1,-,4,4,-,5,4,1,5,5,-,8,5,3,4,4,-,10,7,3,12,10,2,13,8,5,18,13,5,12,5,7,10,4,6,10,7,3,14,5,9
2,13220,18,東大和市,Higashiyamato-shi,149,93,56,-,-,-,-,-,-,4,2,2,1,1,-,5,5,-,4,3,1,12,10,2,13,6,7,15,11,4,15,9,6,17,12,5,21,8,13,14,9,5,13,6,7,15,11,4
2,13221,19,清瀬市,Kiyose-shi,388,217,171,-,-,-,5,4,1,10,9,1,17,13,4,17,11,6,21,14,7,20,13,7,43,21,22,54,32,22,38,20,18,44,23,21,42,19,23,31,16,15,29,11,18,17,11,6
2,13222,20,東久留米市,Higashikurume-shi,373,217,156,-,-,-,1,1,-,8,8,-,14,8,6,7,6,1,16,11,5,25,15,10,36,21,15,47,28,19,59,34,25,32,21,11,35,17,18,42,21,21,33,17,16,18,9,9
2,13223,21,武蔵村山市,Musashimurayama-shi,253,159,94,-,-,-,-,-,-,5,4,1,3,3,-,5,4,1,9,5,4,14,12,2,18,13,5,18,11,7,28,21,7,26,15,11,39,17,22,42,25,17,34,18,16,12,11,1
2,13224,22,多摩市,Tama-shi,47,30,17,-,-,-,-,-,-,-,-,-,1,1,-,2,2,-,1,-,1,2,2,-,3,1,2,4,2,2,6,4,2,8,6,2,4,2,2,6,4,2,4,2,2,6,4,2
2,13225,23,稲城市,Inagi-shi,327,196,131,-,-,-,-,-,-,5,4,1,6,6,-,3,2,1,13,10,3,22,15,7,21,13,8,36,21,15,31,18,13,46,25,21,44,24,20,41,21,20,34,20,14,25,17,8
2,13227,24,羽村市,Hamura-shi,97,64,33,-,-,-,-,-,-,1,1,-,-,-,-,2,2,-,5,4,1,8,5,3,10,7,3,6,4,2,8,6,2,9,7,2,8,3,5,15,7,8,14,9,5,11,9,2
2,13228,25,あきる野市,Akiruno-shi,265,168,97,-,-,-,1,-,1,4,4,-,1,1,-,-,-,-,14,11,3,12,6,6,10,6,4,11,4,7,25,15,10,30,22,8,44,24,20,58,37,21,32,22,10,23,16,7
2,13229,26,西東京市,Nishitokyo-shi,340,196,144,-,-,-,-,-,-,8,5,3,6,6,-,7,5,2,13,9,4,19,12,7,33,23,10,49,26,23,38,24,14,29,13,16,42,23,19,46,23,23,29,15,14,21,12,9
1,13300,,郡部,All gun,275,185,90,-,-,-,1,1,-,2,2,-,2,2,-,8,5,3,7,6,1,12,9,3,17,11,6,19,11,8,45,27,18,47,31,16,31,23,8,35,24,11,27,18,9,22,15,7
2,13303,1,瑞穂町,Mizuho-machi,200,130,70,-,-,-,1,1,-,2,2,-,2,2,-,8,5,3,4,3,1,11,8,3,15,11,4,16,9,7,37,21,16,34,22,12,20,14,6,19,13,6,19,12,7,12,7,5
2,13305,2,日の出町,Hinode-machi,64,48,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,1,-,1,2,2,-,7,5,2,11,8,3,8,7,1,16,11,5,7,5,2,9,7,2
2,13307,3,檜原村,Hinohara-mura,6,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,2,1,1,1,1,-,-,-,-,-,-,-,1,1,-
2,13308,4,奥多摩町,Okutama-machi,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,1,1,-,-,-,-
1,13350,,島部,All islands,705,426,279,-,-,-,2,1,1,8,7,1,6,3,3,10,8,2,17,12,5,15,10,5,37,24,13,44,28,16,82,47,35,132,72,60,94,57,37,121,67,54,102,68,34,35,22,13
2,13361,1,大島町,Oshima-machi,103,65,38,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,2,-,2,1,1,7,6,1,5,3,2,7,4,3,12,6,6,16,11,5,24,10,14,21,16,5,6,5,1
2,13362,2,利島村,Toshima-mura,48,24,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,1,1,-,4,3,1,12,6,6,7,4,3,9,3,6,9,5,4,3,1,2
2,13363,3,新島村,Niijima-mura,9,6,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,2,1,1,1,1,-,2,2,-,1,-,1,1,1,-
2,13364,4,神津島村,Kozushima-mura,27,10,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,1,-,1,4,1,3,2,1,1,2,2,-,6,2,4,9,4,5,1,-,1
2,13381,5,三宅村,Miyake-mura,60,34,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,4,4,-,11,7,4,7,5,2,4,-,4,16,7,9,11,7,4,6,3,3
2,13382,6,御蔵島村,Mikurajima-mura,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,-,-,-,-,1,-,1,-,-,-
2,13401,7,八丈町,Hachijo-machi,413,260,153,-,-,-,2,1,1,6,6,-,6,3,3,7,5,2,7,5,2,8,7,1,25,16,9,26,16,10,51,30,21,90,50,40,59,35,24,62,42,20,47,33,14,17,11,6
2,13402,8,青ヶ島村,Aogashima-mura,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
2,13421,9,小笠原村,Ogasawara-mura,36,21,15,-,-,-,-,-,-,2,1,1,-,-,-,2,2,-,8,5,3,3,2,1,-,-,-,4,2,2,3,-,3,5,2,3,4,3,1,2,1,1,2,2,-,1,1,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-2  地域， 年齢及び男女別基幹的農業従事者数 （平成27年2月1日） 9-2  CORE PERSONS MAINLY ENGAGED IN FARMING BY DISTRICT， AGE， AND GENDER ( Feb. 1， 2015 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は農林業センサスによる。 農家とは経営耕地面積が10アール以上又は経営耕地面積が10アール未満であっても過去1年間（平成26年2月1日～27年1月31日） の農産物販売金額が15万円以上かのいずれかに該当する世帯である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data are based on the Census of Agriculture and Forestry. Farm households refer to households managing cultivated land of 10 ares or more， or had total sales of at least 150000 yen over the past year (from Feb. 1， 2014 to Jan. 31， 2015) if the managed cultivated land is under 10 ares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：農林水産省 「2015年農林業センサス」，都総務局統計部産業統計課 「2015年農林業センサス　東京都調査結果報告」 Source: Ministry of Agriculture， Forestry and Fisheries; Bureau of General Affairs， TMG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
