年度末,End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
平成27,2015,5,13219,狛江市,Komae-shi,-, - , - ,156114,12676,143438,690,2507,65,83
平成27,2015,5,13220,東大和市,Higashiyamato-shi,-,1, - ,245651,17043,228608,833,3532,133,122
平成27,2015,5,13221,清瀬市,Kiyose-shi,-, - , - ,165449,11977,153472,513,1846,98,86
平成27,2015,5,13222,東久留米市,Higashikurume-shi,-, - ,1,263961,18780,245181,1065,3506,164,120
平成27,2015,5,13223,武蔵村山市,Musashimurayama-shi,-, - ,1,220796,16865,203931,639,2757,123,60
平成27,2015,5,13224,多摩市,Tama-shi,-,3,1,218500,7567,210933,930,3103,103,106
平成27,2015,5,13225,稲城市,Inagi-shi,-,2,-,179648,2075,177573,922,2609,100,41
平成27,2015,5,13228,あきる野市,Akiruno-shi,-,3,1,386640,22018,364622,1346,5230,440,189
平成27,2015,5,13229,西東京市,Nishitokyo-shi,-, - , - ,365990,26945,339045,1630,5258,194,79
平成27,2015,5,13303,瑞穂町,Mizuho-machi,-,1, - ,201877,18268,183609,757,2339,111,56
平成27,2015,5,13305,日の出町,Hinode-machi,-,1, - ,112663,4634,108029,249,1432,186,135
平成28,2016,2,13308,奥多摩町,Okutama-machi,-, - , - ,113192,0,113192,360,993,199,11
平成28,2016,2,,多摩ﾆｭｰﾀｳﾝ,Tama New Town,-, - , - ,396146,55249,340898,1915,5390,559,212
平成28,2016,2,,その他,Others,2,1, - ,15886,15632,254,0,19,33,25
平成28,2016,1,99999,都外,Outside Tokyo-to,3, - , - ,10822,10704,118,1,17,29,20
,,,,,,,,,,,,,,,
6-5  地域別上水道施設及び付属設備 （平成23～27年度末） ,,,,,,,,,,,,,,,
WATERWORKS FACILITIES AND EQUIPMENT BY DISTRICT ,,,,,,,,,,,,,,,
(End of Fiscal Years 2011～2015) ,,,,,,,,,,,,,,,
この表は， 都水道局の事業実績である。 区部及び多摩地区26市町に給水するほか， 武蔵野， 昭島， 羽村の 3市に分水している。 ,,,,,,,,,,,,,,,
The table shows business activities of the Bureau of Waterworks,,,,,,,,,,,,,,,
26 cities and towns in the Tama area. Water is also shared with Musashino,,,,,,,,,,,,,,,
　資料：都水道局総務部調査課　　　Source : Bureau of  Waterworks,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市町村部　2:市部・町村部　5:区市町村）,,,,,,,,,,,,,,,
