品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位,Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類（含周辺機器））,(Computers (including peripheral devices)),100万台,1mil.units,56,1551788,30,601458,26,950330
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,,,,,,,,6715975,,2163857,,4552118
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,重電機器,Heavy electrical power machinery,,,,,,278076,,178450,,99626
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,音響・映像機器（含部品）,Audio／visual apparatuses (including parts),,,,,,627150,,395279,,231871
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,通信機,Communication instruments,,,,,,2022486,,234917,,1787569
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,家庭用電気機器,Domestic electrical equipment,,,,,,236408,,236408,,-
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,半導体等電子部品,Semiconductors and other electronic parts,,,,,,1822484,,478469,,1344015
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,半導体等電子部品,Semiconductors and other electronic parts,(IC）,(Integrated circuits),1，000万個,10 mil. units,1265,1476916,166,267429,1100,1209488
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,電気計測機器,Electrical measuring and instruments,,,,,,461493,,117220,,344274
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,,,,,,,,779615,,232109,,547506
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車の部分品,Parts of motor vehicles,,,1，000t,,149,185420,138,134391,11,51029
雑製品,Miscellaneous manufactured goods,,,,,,,,,,5077729,,2887090,,2190639
雑製品,Miscellaneous manufactured goods,バッグ類,Bags,,,,,1，000t,,74,370812,67,182637,7,188175
雑製品,Miscellaneous manufactured goods,衣類及び同付属品,Clothing and accessories,,,,,,,,1261369,,937678,,323691
雑製品,Miscellaneous manufactured goods,はき物,Footwear,,,,,1，000t,,138,369183,131,310331,6,58852
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,,,,,,,,1496525,,387522,,1109003
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,科学光学機器,Scientific and optical instruments,,,,,,1162751,,350737,,812015
雑製品,Miscellaneous manufactured goods,プラスチック製品,Plastics products,,,,,1，000t,,466,301320,457,248790,9,52530
雑製品,Miscellaneous manufactured goods,がん具及び遊戯用具,Toy and indoor games,,,,,1，000t,,85,234028,85,234028,-,-
特殊取扱品,Special commodities,,,,,,,,,,653883,,116567,,537317
特殊取扱品,Special commodities,再輸入品,Re-import goods,,,,,,,,596494,,109241,,487253
,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,
12-7  主要品目別輸出入数量及び金額 (2)輸入 (平成27年) 12-7  QUANTITY AND VALUE OF IMPORTS AND EXPORTS BY SELECTED COMMODITY (2) IMPORTS ( 2015 ),,,,,,,,,,,,,,,
この表は， 輸出入申告書， 積みもどし申告書及び船舶， 航空機の入出港届等を資料として作成されたものである。輸出は本船渡金額 (F.O.B.)，輸入は到着金額 (C.I.F.) である。 なお，「海上」 は東京税関管内の「東京港」であり，「航空」は「東京国際空港(羽田)」 と「成田国際空港」分を合計したものである。,,,,,,,,,,,,,,,
"This table has been prepared in reference to import／export declarations， reshipment declarations， notifications of the seaports／airports of entry／departure， and others. Values of exports and imports are based on F.O.B. and C.I.F. prices， respectively.""By sea"" refers to the values of imports／exports passing through the Port of Tokyo， Tokyo Customs， and ""By air"" refers to the value of trade (import／export) through the Tokyo International Airport (Haneda Airport) and Narita International Airport.  ",,,,,,,,,,,,,,,
注) 主要品目のみを掲げたので，各品目の合計と総数は一致しない。 ,,,,,,,,,,,,,,,
Note: The sums of each commodity does not add up to the total of all items because data only refer to selected commodities.,,,,,,,,,,,,,,,
資料：東京税関 「貿易年表」 Source: Tokyo Customs,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,
