"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F","選択肢G","選択肢H"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","居住地区別","芝地区","94","55","9","6","15","4","4","1","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","居住地区別","麻布地区","88","57","7","1","14","1","5","2","1"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","居住地区別","赤坂地区","91","48","10","8","13","5","5","0","2"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","居住地区別","高輪地区","152","92","19","9","24","4","3","0","1"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","居住地区別","芝浦港南地区","153","80","26","9","25","3","7","3","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","居住地区別","無回答","21","3","1","0","5","1","0","1","10"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","住居形態別","持家（一戸建）","71","39","7","6","11","3","3","1","1"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","住居形態別","持家（マンション）","282","163","35","12","47","9","12","2","2"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","住居形態別","借家（一戸建）","10","5","3","0","1","0","1","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","住居形態別","民間の賃貸マンション・アパート","161","92","19","12","25","4","5","4","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","住居形態別","都営住宅・区営住宅・区立住宅","34","12","7","2","9","1","3","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","9","1","0","1","0","0","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","住居形態別","社宅・公務員宿舎","10","8","0","1","1","0","0","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","住居形態別","寮・寄宿舎・住み込み・間借り","4","3","0","0","1","0","0","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","住居形態別","その他","5","4","0","0","0","1","0","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","住居形態別","無回答","11","0","0","0","0","0","0","0","11"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","定住意向別","ずっと住み続けていたい","299","176","28","14","51","8","13","2","7"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","定住意向別","当分は住んでいたい","215","121","30","13","33","6","6","3","3"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","53","26","10","2","7","1","4","1","2"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","2","0","0","1","1","1","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","定住意向別","近いうちに区外に転居する予定である","14","8","1","1","3","0","0","0","1"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","定住意向別","わからない","10","1","3","2","1","2","0","1","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","定住意向別","無回答","3","1","0","1","0","0","0","0","1"

"第33回港区民世論調査クロス集計表・防犯カメラの設置Q31","Ver202203",,,,,,,,,,,,
