にこにこ実施施設一覧（3年度）,,,,,
名称,住所,電話,実施曜日,団体利用実施曜日,
旭町小にこにこ,練馬区旭町2-29-1(同小ねりっこ学童クラブ内),03-3975-5438,火・水・木・金,なし,
光が丘第八小にこにこ,練馬区光が丘1-4-1(同小ねりっこ学童クラブ内),03-3930-1223,月・水・木・金,なし,
光が丘しいのきにこにこ,練馬区光が丘2-10-4-201(光が丘しいのき学童クラブ内),03-5998-3088,火・木,なし,
光が丘コスモスにこにこ,練馬区光が丘3-3-4-105(光が丘コスモス学童クラブ内),03-3976-4575,火・水・金,なし,
光が丘どんぐりにこにこ,練馬区光が丘3-8-12(光が丘どんぐり学童クラブ内),03-3939-8568,火・水・木・金,なし,
光が丘すみれにこにこ,練馬区光が丘5-2-5-104(光が丘すみれ学童クラブ内),03-3976-8231,月・火・木・金,なし,
光が丘あさがおにこにこ,練馬区光が丘5-5-5(光が丘あさがお学童クラブ内),03-3976-6345,火・木,なし,
土支田にこにこ,練馬区土支田2-32-8(土支田児童館学童クラブ内),03-3925-4794,火・水・木,月・金,
八坂小にこにこ,練馬区土支田4-47-15(同小ねりっこ学童クラブ内),03-5387-0712,月・火・木・金,なし,
谷原小にこにこ　,練馬区谷原2-9-26(同小ねりっこ学童クラブ内),03-3904-2605,月・火・木・金,なし,
北原小にこにこ,練馬区谷原4-9-1(同小ねりっこ学童クラブ内),03-3904-5739,月・火・木・金,なし,
谷原あおぞらにこにこ,練馬区谷原5-6-5(谷原あおぞら学童クラブ内),03-3996-9500,火・水・木・金,なし,
富士見台小にこにこ,練馬区富士見台4-16-10(同小ねりっこ学童クラブ内),03-3970-5065,火・水・木・金,なし,
南が丘小にこにこ,練馬区南田中2-13-1(同小学童クラブ内),03-3995-7138,月・火・水・金,なし,
石神井東小にこにこ,練馬区南田中3-9-1(同小ねりっこ学童クラブ内),03-3995-6561,火・水・木・金,なし,
南田中にこにこ,練馬区南田中5-15-25(南田中児童館学童クラブ内),03-3995-5534,火・水・木・金,月,
三原台にこにこ　 ,練馬区三原台2-11-29(三原台児童館学童クラブ内),03-3924-8796,月・火・木,水・金,
泉新小にこにこ,練馬区三原台3-18-30(同小学童クラブ内),03-5387-0775,月・火・木・金,なし,
下石神井地区区民館にこにこ,練馬区下石神井6-8-15(同館学童クラブ内),03-3904-5062,火・金,なし,
上石神井にこにこ,練馬区上石神井1-5-2(上石神井児童館学童クラブ内),03-3929-6943,月・火・水・木,水,
上石神井小にこにこ,練馬区上石神井4-10-4(同小ねりっこ学童クラブ内),03-3928-4640,火・水・木・金,なし,
石神井台にこにこ,練馬区石神井台2-18-13(石神井台児童館学童クラブ内),03-3995-8267,火・木・金,水,
石神井台けやきにこにこ,練馬区石神井台6-2-10(石神井台けやき学童クラブ内),03-3924-1882,火・水・木,なし,
石神井台小にこにこ,練馬区石神井台8-6-33(同小ねりっこ学童クラブ内),03-3929-4926,火・水・木・金,なし,
石神井にこにこ,練馬区石神井町7-28-21(石神井児童館学童クラブ内),03-3996-3800,火・金,水・木,
石神井町にこにこ,練馬区石神井町8-1-10(石神井町学童クラブ内),03-3995-8424,月・火・木・金,なし,
石神井西小にこにこ,練馬区関町北1-1-5(同小学童クラブ内),03-3594-8020,火・水・木・金,なし,
関町小にこにこ,練馬区関町北3-23-34(同小ねりっこ学童クラブ内),03-3929-0311,月・火・水・木,なし,
関町北地区区民館にこにこ,練馬区関町北4-12-21(同館学童クラブ内),03-3594-2604,月・水,なし,
関町北にこにこ,練馬区関町北5-4-12(関町北学童クラブ内),03-3929-3290,火・木,なし,
立野小にこにこ,練馬区立野町17-6(同小ねりっこ学童クラブ内),03-3920-2154,火・水・木・金,なし,
関町にこにこ,練馬区関町南4-15-7-102(関町児童館学童クラブ内),03-3920-1601,水・木,火・金,
大泉東小にこにこ,練馬区東大泉1-22-1(同小第二学童クラブ内),03-3922-0672,火・水・木・金,なし,
東大泉地区区民館にこにこ,練馬区東大泉3-53-1(同館学童クラブ内),03-3921-8299,火・水・木,なし,
東大泉にこにこ,練馬区東大泉7-20-1(東大泉児童館第一学童クラブ内),03-3921-8100,火・水・木・金,月,
大泉西小にこにこ,練馬区西大泉4-25-2(同小学童クラブ内),03-3925-8755,火・木,なし,
大泉第二小にこにこ,練馬区南大泉4-29-11(同小学童クラブ内),03-3924-8771,火・水・木・金,なし,
大泉第六小にこにこ,練馬区南大泉5-25-29(同小ねりっこ学童クラブ内),03-3978-0326,火・水・木・金,なし,
大泉北小にこにこ,練馬区大泉町4-28-22(同小学童クラブ内),03-3925-2690,月・火・木・金,なし,
大泉第三小にこにこ,練馬区大泉学園町3-22-2(同小ねりっこ学童クラブ内),03-3921-7937,月・火・水・木,なし,
大泉学園小にこにこ,練馬区大泉学園町4-7-8(同小ねりっこ学童クラブ内),03-3867-3561,火・水・木・金,なし,
大泉学園緑小にこにこ,練馬区大泉学園町5-11-37(同小ねりっこ学童クラブ内),03-3922-8662,月・火・水・木,なし,
西大泉地区区民館にこにこ,練馬区西大泉5-3-32(同館学童クラブ内),03-3921-6494,火・木,なし,
光が丘春の風小にこにこ,練馬区光が丘7-3-3-102(同小ねりっこ学童クラブ内）,03-5997-7171,火・水・木・金,なし,
大泉桜学園にこにこ,練馬区大泉学園町9-2-12(同小学童クラブ内）,03-3924-8411,月・火・木・金,なし,
