年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち小中一貫教育校 Combined elementary ／ junior high schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high ／ senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
平成28,2016,1,公立 ,Public,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),6,-,-,-,878,458,420,150,149,1
平成28,2016,1,公立 ,Public,小学校,Elementary schools,1280,-,8,-,565145,291528,273617,36320,31795,4525
平成28,2016,1,公立 ,Public,中学校,Junior high schools,614,1,8,15,229731,120002,109729,19229,15064,4165
平成28,2016,1,公立 ,Public,義務教育学校,Compulsory education schools,6,-,6,-,5439,2848,2591,397,330,67
平成28,2016,1,公立 ,Public,高等学校,Senior high schools,186,-,-,11,137759,69136,68623,12304,9452,2852
平成28,2016,1,公立 ,Public,中等教育学校,Secondary education schools,6,-,-,6,5607,2704,2903,541,434,107
平成28,2016,1,公立 ,Public,大学,Colleges and universities,2,-,-,-,9401,6073,3328,…,713,…
平成28,2016,1,公立 ,Public,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-,-
平成28,2016,1,公立 ,Public,高等専門学校,Colleges of technology,1,-,-,-,1557,1414,143,…,133,…
平成28,2016,1,公立 ,Public,特別支援学校,Special needs schools,63,-,-,-,12372,8101,4271,6164,5662,502
平成28,2016,1,公立 ,Public,高等学校通信制,Senior high school correspondence course,3,-,-,-,1474,718,756,74,44,30
平成28,2016,1,公立 ,Public,専修学校,Specialized training schools,8,-,-,-,1921,249,1672,991,173,818
平成28,2016,1,公立 ,Public,各種学校,Miscellaneous schools,-,-,-,-,-,-,-,-,-,-
平成28,2016,1,私立 ,Private,総数,Total,2055,-,-,235,1266003,635154,630849,…,78032,…
平成28,2016,1,私立 ,Private,幼稚園,Kindergartens,827,-,-,-,147915,74725,73190,11626,9969,1657
平成28,2016,1,私立 ,Private,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),15,-,-,-,3455,1711,1744,519,421,98
平成28,2016,1,私立 ,Private,小学校,Elementary schools,53,-,-,-,25153,10410,14743,1874,1441,433
平成28,2016,1,私立 ,Private,中学校,Junior high schools,188,-,-,117,74322,34180,40142,8946,4184,4762
平成28,2016,1,私立 ,Private,義務教育学校,Compulsory education schools,-,-,-,-,-,-,-,-,-,-
平成28,2016,1,私立 ,Private,高等学校,Senior high schools,237,-,-,118,177328,85248,92080,17382,9602,7780
平成28,2016,1,私立 ,Private,中等教育学校,Secondary education schools,-,-,-,-,-,-,-,-,-,-
平成28,2016,1,私立 ,Private,大学,Colleges and universities,138,-,-,-,645237,341629,303608,…,42136,…
平成28,2016,1,私立 ,Private,短期大学,Junior colleges,38,-,-,-,14241,1211,13030,3550,843,2707
平成28,2016,1,私立 ,Private,高等専門学校,Colleges of technology,1,-,-,-,882,741,141,…,53,…
平成28,2016,1,私立 ,Private,特別支援学校,Special needs schools,4,-,-,-,243,143,100,118,102,16
平成28,2016,1,私立 ,Private,高等学校通信制,Senior high school correspondence course,9,-,-,-,9540,5540,4000,926,221,705
平成28,2016,1,私立 ,Private,専修学校,Specialized training schools,393,-,-,-,143649,67704,75945,23227,7233,15994
平成28,2016,1,私立 ,Private,各種学校,Miscellaneous schools,152,-,-,-,24038,11912,12126,3228,1827,1401
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,
17-1  学校数，在学者数及び教員数 (平成26～28年度) 17-1  NUMBERS OF SCHOOLS， ENROLLED STUDENTS， AND TEACHERS ( Fiscal Years 2014～2016 ),,,,,,,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」，都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」  Source: Ministry of Education， Culture， Sports， Science and Technology; Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
設置階層（0：総数　1:国立・公立・私立）,,,,,,,,,,,,,,,,
