指定者,公職の種類,政治団体の名称,事務所の所在地,緯度,経度,座標系
浅井邦夫,区議会議員,浅井くにおの会,杉並区上井草４－２４－１３,35.721466,139.598102,座標系（JGD2011）
浅川喜文,区議会議員,浅川喜文後援会,荒川区南千住６－５７－１５,35.736158,139.794946,座標系（JGD2011）
浅倉成樹,市議会議員,浅倉しげきを励ます会,小平市学園東町１－３－１１,35.722864,139.481050,座標系（JGD2011）
浅古充久,区議会議員,浅古みつひさ後援会,足立区中央本町５－４－１１,35.777541,139.804687,座標系（JGD2011）
浅田保雄,区議会議員,浅田やすお後援会,文京区千駄木３－３７－１７,35.725012,139.763683,座標系（JGD2011）
浅沼敏幸,区議会議員,幸友会,練馬区春日町４－２４－４,35.755383,139.641436,座標系（JGD2011）
浅野高司,市議会議員,高友会,西東京市東町３－１１－２２,35.747600,139.564503,座標系（JGD2011）
浅野浩之,区議会議員,浅野浩之後援会,品川区平塚３－９－１７,35.613775,139.712630,座標系（JGD2011）
浅見美子,市議会議員,あさみ美子後援会,町田市小川１２２２－１,35.525666,139.473297,座標系（JGD2011）
東一良,市議会議員,東一良後援会,国立市北３－７－２,35.699014,139.430184,座標系（JGD2011）
渥美和也,市長,渥美和也後援会（明日を創る会）,三鷹市新川２－１０－２６,35.677988,139.575481,座標系（JGD2011）
渥美典尚,市議会議員,あつみのりひさと歩む会,三鷹市新川４－２４－７,35.675860,139.572732,座標系（JGD2011）
阿南育子,市議会議員,あなみ育子とわくわく会議,福生市熊川１６８５,35.723047,139.347341,座標系（JGD2011）
虻川浩,市議会議員,あぶかわ浩を励ます会,小平市美園町２－３－１５,35.737808,139.489001,座標系（JGD2011）
阿部浩子,区議会議員,阿部浩子を育てる会,港区麻布十番２－４－１,35.656148,139.734071,座標系（JGD2011）
阿部裕行,市長,阿部ひろゆきと多摩の未来をつなぐ会,多摩市和田１５４８,35.646175,139.432319,座標系（JGD2011）
阿部美知子,市議会議員,あべ美知子と子どもの未来をひらく会,国立市中１－１９－１０,35.696209,139.441351,座標系（JGD2011）
阿部利恵子,市議会議員,あべ利恵子励ます会,東久留米市神宝町２－４－７,35.765307,139.546562,座標系（JGD2011）
阿部力也,区議会議員,あべ力也後援会,世田谷区岡本１－３８－１４,35.628000,139.617371,座標系（JGD2011）
尼野照雄,区長,新党千代田,千代田区一番町１１－１,35.686941,139.741983,座標系（JGD2011）
天野久,区議会議員,あまのひさし後援会,板橋区蓮沼町４－１１,35.767216,139.703891,座標系（JGD2011）
天野正昭,市議会議員,天野まさあき後援会,あきる野市小和田１２３,35.722800,139.220945,座標系（JGD2011）
天目石要一郎,市議会議員,あまめいし要一郎後援会,武蔵村山市大南４－２１－３１,35.734223,139.409246,座標系（JGD2011）
荒井彰一,区議会議員,荒井彰一後援会,葛飾区立石４－１２－２,35.741379,139.846834,座標系（JGD2011）
新井克尚,市議会議員,新井よしなお後援会,町田市玉川学園８－１８－２３,35.558393,139.464258,座標系（JGD2011）
荒木秀樹,区議会議員,荒木ひでき後援会,大田区山王３－１－１３,35.585643,139.725805,座標系（JGD2011）
荒谷隆見,市議会議員,荒谷たかみ友の会,多摩市諏訪２－２,35.626101,139.451049,座標系（JGD2011）
荒幡伸一,市議会議員,あらはた伸一と市民の会,東大和市高木２－１２６－１７,35.752556,139.433402,座標系（JGD2011）
有馬俊郎,区議会議員,有馬俊郎後援会,新宿区中落合２－１２－２６,35.719895,139.690433,座標系（JGD2011）
安齋昭,区議会議員,安斉あきら後援会,杉並区上井草４－１６－８,35.720081,139.596708,座標系（JGD2011）
安西俊一,区議会議員,安西俊一後援会,葛飾区金町６－７－１４,35.768320,139.873287,座標系（JGD2011）
安東太郎,市議会議員,安東太郎後援会,立川市柴崎町２－２１－９,35.693944,139.408196,座標系（JGD2011）
飯倉昭二,区議会議員,飯倉昭二後援会,足立区千住３－９８,35.751900,139.804898,座標系（JGD2011）
飯島和代,区議会議員,いいじま和代を励ます会,目黒区中町１－１６－１７,35.631894,139.696124,座標系（JGD2011）
飯島文彦,市議会議員,いいじま文彦後援会,多摩市和田９６,35.644229,139.432159,座標系（JGD2011）
五十嵐京子,市長,五十嵐京子を支援する会,小金井市本町３－８－９,35.706270,139.508221,座標系（JGD2011）
五十嵐みさ,市議会議員,五十嵐みさ後援会,福生市福生２３４３,35.737828,139.337307,座標系（JGD2011）
五十嵐泰子,区議会議員,五十嵐やす子と未来へ,板橋区常盤台４－６－２,35.764113,139.681830,座標系（JGD2011）
生田大五郎,区議会議員,生田大五郎と練馬の未来をつくる会,練馬区旭町２－１０－１８,35.770928,139.625279,座標系（JGD2011）
生田尚史,区議会議員,生田なおふみ後援会,杉並区阿佐谷北１－３９－９,35.708887,139.637668,座標系（JGD2011）
井口かづ子,区議会議員,井口和子後援会,杉並区清水３－１６－２,35.717007,139.614829,座標系（JGD2011）
池座俊子,市議会議員,池座俊子とまちづくりの会,狛江市東和泉１－１－２５,35.633853,139.580305,座標系（JGD2011）
池尻成二,区議会議員,いけじり成二と練馬区政を語る会,練馬区三原台３－５－２５,35.752517,139.600705,座標系（JGD2011）
井下田栄一,区議会議員,いげた栄一後援会,新宿区南元町４－１７,35.681292,139.724196,座標系（JGD2011）
池田和正,市議会議員,池田和正と歩む会,三鷹市下連雀３－２３－１２,35.700713,139.561615,座標系（JGD2011）
池田啓子,市議会議員,池田けい子友の会,多摩市永山６－７－６,35.615438,139.444878,座標系（JGD2011）
池田幸司,区議会議員,池田こうじ後援会,港区六本木５－１７－１６,35.661077,139.736434,座標系（JGD2011）
池田武,区議会議員,池田たけし後援会,港区芝４－６－４,35.649449,139.751401,座標系（JGD2011）
池田久義,区議会議員,池田ひさよし後援会,葛飾区小菅２－６－２３,35.750618,139.822545,座標系（JGD2011）
池田博一,区議会議員,博友会,北区赤羽北１－３－１,35.785437,139.716489,座標系（JGD2011）
池田陽一,区議会議員,池田陽一「ともの会」,練馬区南田中４－２６－１４,35.735361,139.609542,座標系（JGD2011）
井沢邦夫,市長,井沢邦夫と「わくわくする市政」をめざす会,国分寺市東恋ケ窪４－２０－１,35.710934,139.471325,座標系（JGD2011）
伊沢桂子,市議会議員,伊沢けい子後援会,三鷹市下連雀３－９－１２,35.698341,139.563494,座標系（JGD2011）
石井功,市議会議員,石井いさお後援会,狛江市元和泉１－１６－３,35.632047,139.573339,座標系（JGD2011）
石居尚郎,市議会議員,いしい尚郎励ます会,羽村市小作台３－１８－１,35.776434,139.300282,座標系（JGD2011）
石井葉子,市議会議員,石井めぐみ後援会,国立市富士見台２－３７－４,35.686822,139.444907,座標系（JGD2011）
石川修,町議会議員,石川修後援会,西多摩郡瑞穂町南平２－２６－１０,35.764389,139.337102,座標系（JGD2011）
石川和広,市議会議員,石川かずひろ友の会,狛江市中和泉１－２７－６,35.633186,139.572811,座標系（JGD2011）
石川邦夫,区議会議員,石川邦夫後援会,江東区大島２－６－３,35.692258,139.821231,座標系（JGD2011）
石川公彌子,区議会議員,育ち合い都市・世田谷をつくる会,世田谷区赤堤３－９－１５,35.657901,139.640928,座標系（JGD2011）
石川大我,区議会議員,石川大我と虹色としまの会,豊島区西巣鴨３－２１－１１,35.742307,139.728970,座標系（JGD2011）
石黒照久,市議会議員,石黒てるひさ励ます会,武蔵村山市大南５－７２－５,35.741050,139.410846,座標系（JGD2011）
石毛航太郎,市議会議員,石毛航太郎友の会,小平市花小金井１－２９－９,35.730175,139.515049,座標系（JGD2011）
石阪丈一,市長,石阪会,町田市鶴川２－１４－１２,35.590116,139.468476,座標系（JGD2011）
石坂龍史,区議会議員,石坂わたると多様性のある中野をつくる会,中野区南台２－５１－７,35.685001,139.669432,座標系（JGD2011）
石島秀起,区議会議員,石島ひでき後援会,中央区日本橋人形町１－１１－９,35.684153,139.783381,座標系（JGD2011）
石田圭一郎,区議会議員,いしだ圭一郎を励ます会,板橋区仲町２６－４,35.752605,139.697212,座標系（JGD2011）
石田慎吾,区議会議員,石田しんご後援会,品川区西五反田８－２－６,35.622754,139.721258,座標系（JGD2011）
石塚陽一,市議会議員,石塚陽一後援会,国立市東３－３０－４,35.692889,139.456834,座標系（JGD2011）
石橋尚樹,区議会議員,石橋なおき政策研究会,荒川区町屋７－１９－５,35.748930,139.789097,座標系（JGD2011）
石橋光明,市議会議員,いしばし光明励ます会,東村山市栄町２－３８－１３,35.749526,139.470115,座標系（JGD2011）
石森孝志,市長,石森孝志後援会,八王子市尾崎町４５,35.680426,139.344714,座標系（JGD2011）
磯田久美子,区議会議員,いそだ久美子後援会,世田谷区成城４－２３－１３,35.639289,139.591542,座標系（JGD2011）
磯野繁夫,区議会議員,いそのしげお後援会,江東区亀戸４－１２－３,35.701156,139.829276,座標系（JGD2011）
磯山亮,市議会議員,磯山亮後援会,小平市花小金井南町１－１８－３９,35.724555,139.512514,座標系（JGD2011）
板井斎,区議会議員,いたいひとし後援会,世田谷区玉堤１－１６－２８,35.598011,139.653539,座標系（JGD2011）
板津道也,区議会議員,板津道也後援会,江東区扇橋１－４－２,35.682496,139.811549,座標系（JGD2011）
市川一徳,市議会議員,市川一徳後援会,府中市四谷２－６６－３,35.663951,139.447375,座標系（JGD2011）
市川潔史,市議会議員,市川潔史後援会,八王子市丹木町３－１８２－１０,35.695371,139.324408,座標系（JGD2011）
市川正人,市議会議員,あやめ会,町田市山崎町１１５９－８,35.578076,139.444356,座標系（JGD2011）
一木重夫,村議会議員,小笠原未来創造塾,小笠原村父島字清瀬清瀬都住７,27.101387,142.198939,座標系（JGD2011）
市来伴子,区議会議員,市来とも子とともに歩む会,杉並区本天沼３－３４－３８,35.715693,139.623009,座標系（JGD2011）
市瀬寿子,市議会議員,市瀬ひさ子友の会,稲城市大丸６０－１２,35.641771,139.500217,座標系（JGD2011）
市橋綾子,区議会議員,市橋あや子とあしたの市民,杉並区阿佐谷南１－１５－６,35.699559,139.635767,座標系（JGD2011）
井筒宣弘,区議会議員,井筒宣弘後援会,港区麻布十番４－３－１,35.654388,139.737244,座標系（JGD2011）
出井良輔,区議会議員,まちの未来をみんなで考える会,中野区本町１－４－６,35.692507,139.682443,座標系（JGD2011）
伊藤和弘,区議会議員,伊藤和弘後援会,大田区大森北１－１４－４,35.585486,139.729173,座標系（JGD2011）
伊藤志織,区議会議員,伊藤志織後援会,港区南青山７－１４－３,35.656780,139.717737,座標系（JGD2011）
伊藤眞一,市議会議員,いとう真一励ます会,東村山市久米川町４－４６－７,35.764982,139.468499,座標系（JGD2011）
伊藤大輔,市議会議員,伊藤大輔後援会勝栄会,立川市砂川町８－１８－２５,35.732288,139.400357,座標系（JGD2011）
伊藤毅志,区議会議員,渋谷新時代研究会,渋谷区神宮前５－３８－８,35.663510,139.706044,座標系（JGD2011）
伊藤忠之,市議会議員,武山会,八王子市中山４４６,35.628129,139.364194,座標系（JGD2011）
伊藤千賀子,市議会議員,伊藤ちかこ後援会,稲城市平尾３－７－５,35.608815,139.489445,座標系（JGD2011）
伊藤照子,区議会議員,伊藤照子後援会,江戸川区中葛西５－２－７,35.662963,139.864491,座標系（JGD2011）
伊藤俊明,市議会議員,いとう俊明後援会,三鷹市北野１－６－１７,35.676367,139.583848,座標系（JGD2011）
伊藤ひとみ,区議会議員,伊藤ひとみと碧い地球を守る会,江戸川区東小松川３－３５－１３,35.693103,139.867496,座標系（JGD2011）
伊藤正信,区議会議員,伊藤正信後援会,中野区本町４－１１－１,35.694207,139.672883,座標系（JGD2011）
伊藤幸秀,市議会議員,伊藤幸秀後援会,立川市高松町２－２６－１４,35.703964,139.419937,座標系（JGD2011）
伊藤喜昭,区議会議員,伊藤よしあき後援会,目黒区碑文谷１－２３－１９,35.620302,139.689164,座標系（JGD2011）
稲垣浩,区議会議員,稲垣浩後援会,北区浮間２－１０－７,35.790703,139.698996,座標系（JGD2011）
稲垣米子,市議会議員,いながき米子後援会,昭島市田中町１－２－２５,35.708920,139.356156,座標系（JGD2011）
稲川貴之,区議会議員,いながわ貴之後援会,品川区旗の台４－９－５,35.602334,139.703214,座標系（JGD2011）
稲葉孝彦,市長,稲葉孝彦後援会,小金井市緑町５－３－３１,35.701565,139.513586,座標系（JGD2011）
稲橋裕美子,市議会議員,いなはしゆみ子とはじめの一歩,立川市砂川町７－２１－１３,35.733374,139.408326,座標系（JGD2011）
戌亥宗和,区議会議員,Ｏｎｅｋｉｔａ－ｋｕ,北区王子３－１３－２,35.759732,139.737095,座標系（JGD2011）
犬伏秀一,区議会議員,つばさ政治経済研究会,大田区蒲田５－３２－６,35.560211,139.718732,座標系（JGD2011）
井上耕志,市議会議員,井上耕志を応援する会,調布市佐須町１－２２－１４,35.662141,139.552288,座標系（JGD2011）
井上ノエミ,区議会議員,井上ノエミ後援会,墨田区石原２－２８－８,35.701440,139.800808,座標系（JGD2011）
井上八重子,区議会議員,井上八重子と元気な市民,品川区二葉１－１０－１１,35.607841,139.728867,座標系（JGD2011）
井上勇一郎,区議会議員,井上勇一郎後援会,練馬区向山３－１－３２,35.741446,139.647073,座標系（JGD2011）
猪爪陸斗,区議会議員,いのつめ陸斗後援会,北区赤羽北１－１６－２,35.788005,139.710580,座標系（JGD2011）
今井健二,区議会議員,今井健二後援会,板橋区仲町４０－３,35.754029,139.696238,座標系（JGD2011）
今井洋,区議会議員,今井ひろし後援会,杉並区高井戸東２－３－４,35.677228,139.615901,座標系（JGD2011）
今井れい子,区議会議員,れい子と歩む会,目黒区目黒本町４－１３－１,35.624464,139.695361,座標系（JGD2011）
岩佐綾子,区議会議員,イワサと進もう会,千代田区飯田橋２－１３－２,35.698948,139.750081,座標系（JGD2011）
岩崎美奈子,市議会議員,岩崎みなこと生き活き会議,多摩市乞田１２２７－１,35.633748,139.443558,座標系（JGD2011）
岩田一仁,区議会議員,岩田かずひと後援会,千代田区一番町１８－１,35.688299,139.741983,座標系（JGD2011）
岩田祐樹,市議会議員,岩田ゆうき後援会,八王子市上壱分方町３２６－１０,35.681778,139.288930,座標系（JGD2011）
岩永久佳,市議会議員,岩永ひさかとゆめ・まち会議,多摩市諏訪２－２,35.626101,139.451049,座標系（JGD2011）
岩永康代,市議会議員,岩永やす代と虹色なかま,国分寺市戸倉１－８－４３,35.709493,139.461947,座標系（JGD2011）
岩見大三,市議会議員,岩見大三を応援する会,三鷹市上連雀５－１－３１,35.698979,139.553927,座標系（JGD2011）
岩本博子,市議会議員,さくらんぼの会,小平市学園西町２－１５－２,35.723115,139.478719,座標系（JGD2011）
上野孝典,市議会議員,上野孝典後援会,町田市南成瀬１－３－２,35.536426,139.471429,座標系（JGD2011）
上野博巳,区議会議員,政経同志会,練馬区田柄４－３６－３４,35.766613,139.637887,座標系（JGD2011）
上原有美江,区議会議員,上原有美江後援会,葛飾区立石３－１０－１６,35.741321,139.842750,座標系（JGD2011）
鵜飼雅彦,区議会議員,うかい雅彦後援会,港区高輪１－２６－１８,35.637278,139.733256,座標系（JGD2011）
宇佐美正記,区議会議員,うさみ正記を応援する会,千代田区四番町２－４,35.689811,139.738816,座標系（JGD2011）
鵜澤悦子,区議会議員,うざわ悦子後援会,江戸川区東葛西６－４－１４,35.663093,139.874911,座標系（JGD2011）
牛山正,区議会議員,牛山正後援会,葛飾区お花茶屋２－３－９,35.750308,139.841750,座標系（JGD2011）
薄井浩一,区議会議員,うすい浩一後援会,足立区千住緑町３－２６－２０,35.746623,139.789543,座標系（JGD2011）
臼井伸介,市議会議員,うすい伸介後援会,昭島市拝島町１－１８－１３,35.708344,139.343881,座標系（JGD2011）
薄井民男,区議会議員,うすい民男後援会,練馬区貫井２－２１－４,35.740678,139.632518,座標系（JGD2011）
宇田稔,区議会議員,内外情報調査会,千代田区鍛冶町２－５－４,35.692134,139.772320,座標系（JGD2011）
宇田川麗華,区議会議員,倉田れいか後援会,練馬区三原台２－４－７,35.756084,139.606898,座標系（JGD2011）
内田啓典,区議会議員,内田ひろのり励ます会,練馬区旭町３－３－１３,35.774726,139.627657,座標系（JGD2011）
内野大三郎,区議会議員,内野大三郎後援会,中野区中野２－１３－２１,35.704952,139.668822,座標系（JGD2011）
内山真吾,市議会議員,内山真吾を育てる会,昭島市緑町１－３－１３,35.710221,139.354944,座標系（JGD2011）
臺英明,区議会議員,うてな英明後援会,葛飾区堀切５－４８－５,35.750711,139.829293,座標系（JGD2011）
有働巧,区議会議員,港働研究会,港区台場２－２－２,35.630068,139.780601,座標系（JGD2011）
生方裕一,市議会議員,生方ゆういち後援会,国立市富士見台２－３２－８,35.684782,139.444044,座標系（JGD2011）
梅沢五十六,区議会議員,梅沢五十六後援会,葛飾区立石８－６－１,35.737661,139.851305,座標系（JGD2011）
梅田俊幸,市議会議員,梅田俊幸後援会,日野市豊田３－３０－６,35.657928,139.383621,座標系（JGD2011）
梅田久恵,区議会議員,梅田ひさえを育てる会,杉並区和田１－３１－６,35.692017,139.664653,座標系（JGD2011）
瓜生正高,区議会議員,うりう正高後援会,中央区佃１－９－１０,35.666275,139.783351,座標系（JGD2011）
江口和雄,市議会議員,江口和雄後援会,日野市富士町１,35.659791,139.376104,座標系（JGD2011）
江口寿美,区議会議員,江口ひさみ後援会,葛飾区奥戸８－１１－７,35.737577,139.862166,座標系（JGD2011）
江副亮一,区議会議員,えぞえ亮一後援会,江戸川区南篠崎町５－１２－２,35.693034,139.908768,座標系（JGD2011）
榎澤誠,市議会議員,えのさわ誠後援会,青梅市本町１３０－２４,35.789243,139.258485,座標系（JGD2011）
榎本茂,区議会議員,みなと区民会議,港区台場１－３－４,35.631378,139.779499,座標系（JGD2011）
榎本久春,市議会議員,稲城春風の会,稲城市坂浜４７３－４,35.624951,139.489810,座標系（JGD2011）
海老澤敬子,区議会議員,えびさわけいこ「ひまわり会」,文京区春日１－９－２７,35.708867,139.746130,座標系（JGD2011）
遠田宗雄,市議会議員,遠田むねお後援会,府中市晴見町１－２３－２７,35.681878,139.477312,座標系（JGD2011）
遠藤源太郎,市議会議員,遠藤源太郎後援会,西東京市向台町４－１５－３４,35.719887,139.535179,座標系（JGD2011）
遠藤千尋,市議会議員,多摩市の明日を考える会,多摩市東寺方１－１－１０,35.649421,139.446062,座標系（JGD2011）
遠藤政雄,市議会議員,遠藤まさお励ます会,武蔵村山市学園３－３０－１４,35.745987,139.405308,座標系（JGD2011）
遠藤明子,市議会議員,遠藤明子＆ほっと会議,多摩市一ノ宮４－４０－３,35.651319,139.438261,座標系（JGD2011）
及川妙子,市議会議員,及川妙子後援会,国分寺市泉町３－３２－５,35.698397,139.465867,座標系（JGD2011）
大石富已夫,市議会議員,若羽の会,立川市羽衣町１－２４－１１,35.694120,139.424826,座標系（JGD2011）
大泉泰政,区議会議員,大泉やすまさ後援会,杉並区永福２－５１－１４,35.675424,139.643306,座標系（JGD2011）
大内慎吾,区議会議員,大内しんごの会,中野区野方６－２２－３,35.722360,139.651556,座標系（JGD2011）
大河巳渡子,市議会議員,大河みとことなかまの会,調布市深大寺北町１－３１－１,35.675260,139.549152,座標系（JGD2011）
大菊健太,市議会議員,大菊けんた事務所,調布市布田１－１－１,35.654854,139.544714,座標系（JGD2011）
大串博康,区議会議員,大串ひろやす後援会,千代田区麹町２－１４,35.700340,139.753142,座標系（JGD2011）
大久保盛久,市議会議員,大久保もりひさ励ます会,稲城市大丸６１－１０,35.641282,139.500238,座標系（JGD2011）
大倉朗子,市議会議員,大倉あき子友の会,三鷹市野崎２－１６－３０,35.685722,139.546146,座標系（JGD2011）
大越勝広,区議会議員,おおこし勝広励ます会,墨田区八広１－９－３,35.721930,139.823430,座標系（JGD2011）
大澤純一,市議会議員,大沢じゅんいち励ます会,立川市一番町４－３５－２１,35.729190,139.383295,座標系（JGD2011）
大澤真一,区議会議員,大沢真一後援会,品川区小山３－２５－９,35.619086,139.704139,座標系（JGD2011）
大澤敬,区議会議員,大沢たかし後援会,北区赤羽西１－５－１,35.777258,139.720419,座標系（JGD2011）
大嶋博,市議会議員,大島ひろし後援会,昭島市宮沢町５１５－１２,35.715155,139.374607,座標系（JGD2011）
大島実,区議会議員,大島実後援会,北区堀船２－３１－２,35.755861,139.745492,座標系（JGD2011）
太田公弘,区議会議員,太田公弘後援会,江戸川区平井６－３２－２,35.709984,139.841390,座標系（JGD2011）
太田久美子,市議会議員,太田久美子後援会,狛江市中和泉１－２－１８,35.634450,139.577019,座標系（JGD2011）
大田博,区議会議員,大田ひろしを励ます会,板橋区成増１－１８－１４,35.773227,139.630095,座標系（JGD2011）
太田雅久,区議会議員,太田まさひさ元気塾,台東区東上野６－３－４,35.712007,139.783441,座標系（JGD2011）
大竹小夜子,区議会議員,大竹さよこ後援会,足立区加賀１－１９－１６,35.789534,139.760476,座標系（JGD2011）
大嶽貴恵,市議会議員,おおたけ貴恵とエコにこ会議,昭島市昭和町２－７－１４,35.713482,139.358791,座標系（JGD2011）
大谷俊樹,市議会議員,大谷としき後援会,国立市富士見台３－２－４,35.687580,139.439765,座標系（JGD2011）
大谷洋子,区議会議員,大谷洋子とともに拓く会,豊島区駒込３－５－２,35.736338,139.744642,座標系（JGD2011）
大塚恵美子,市議会議員,大塚恵美子とまちづくりカフェ,東村山市栄町２－１９－３,35.749633,139.470357,座標系（JGD2011）
大塚智和,市議会議員,おおつか智和励ます会,日野市程久保１－１９－３２,35.654238,139.411559,座標系（JGD2011）
大槻城一,区議会議員,おおつき城一後援会,杉並区成田西３－９－１２,35.693574,139.630884,座標系（JGD2011）
大西洋平,区議会議員,大西洋平後援会,江戸川区篠崎町２－１－１０,35.704666,139.905876,座標系（JGD2011）
大野聰,市議会議員,大野あきら後援会,福生市加美平３－３７－６,35.749380,139.319038,座標系（JGD2011）
大野厚子,市議会議員,大野あつ子友の会,武蔵野市八幡町４－４－６,35.719210,139.555640,座標系（JGD2011）
大野悦子,市議会議員,大野悦子後援会,福生市加美平３－３１－１５,35.749719,139.321683,座標系（JGD2011）
大橋武司,区議会議員,大橋たけし後援会,大田区大森西２－２５－５,35.575757,139.730513,座標系（JGD2011）
大林光昭,市議会議員,大林みつあき励ます会,西東京市芝久保町１－１２－６６,35.724262,139.527360,座標系（JGD2011）
岡崎義顕,区議会議員,岡崎よしあきを励ます会,文京区本郷３－２３－５,35.705806,139.764194,座標系（JGD2011）
岡本宣子,区議会議員,岡本のぶ子後援会,世田谷区桜丘４－２５－１７,35.638813,139.620648,座標系（JGD2011）
岡元由美,区議会議員,岡元由美後援会,大田区山王１－４１－５,35.592061,139.721792,座標系（JGD2011）
岡安隆,区議会議員,岡安隆後援会,足立区青井３－６－３,35.770469,139.819353,座標系（JGD2011）
小川暁男,市議会議員,小川あきお後援会,府中市若松町２－１１－６,35.672790,139.498400,座標系（JGD2011）
小川亜希子,市議会議員,小川あきこ後援会,立川市曙町２－３４－６,35.701829,139.414805,座標系（JGD2011）
小川幸治,区議会議員,小川こうじ後援会,練馬区石神井台８－１８－３４,35.735548,139.577843,座標系（JGD2011）
小川龍美,町議会議員,小川たつみ励ます会,西多摩郡瑞穂町南平２－４３－８,35.764763,139.339604,座標系（JGD2011）
小川宏美,市議会議員,小川ひろみとまちを耕すひとびと,国立市中１－１９－１０,35.696209,139.441351,座標系（JGD2011）
荻田米蔵,市議会議員,おぎた米蔵後援会,八王子市大和田町３－７－１６,35.662130,139.354293,座標系（JGD2011）
沖野清子,市議会議員,おきの清子後援会,武蔵村山市中藤５－６７－１５,35.759834,139.407960,座標系（JGD2011）
荻野稔,区議会議員,おぎの稔後援会,大田区矢口２－１１－２６,35.563150,139.691373,座標系（JGD2011）
沖山仁,区議会議員,沖山仁後援会,墨田区京島１－５３－１３,35.717350,139.822913,座標系（JGD2011）
荻原知康,区議会議員,文京区民の生命と財産を守る会,文京区千駄木４－２３－２０,35.730929,139.761874,座標系（JGD2011）
奥栄一,市議会議員,奥栄一後援会,町田市三輪町２０２－２,35.580726,139.497164,座標系（JGD2011）
奥秋利郎,市議会議員,奥秋利郎後援会,あきる野市五日市３８５,35.730403,139.222093,座標系（JGD2011）
奥田雅子,区議会議員,奥田雅子とポレポレ倶楽部,杉並区阿佐谷南１－１５－６,35.699559,139.635767,座標系（JGD2011）
奥谷浩一,市議会議員,奥谷浩一後援会,東村山市栄町１－２４－１,35.751194,139.472430,座標系（JGD2011）
奥山妙子,区議会議員,奥山たえこと杉並を耕す会,杉並区高円寺南３－６２－１０,35.704907,139.646305,座標系（JGD2011）
小倉里枝子,区議会議員,小倉里枝子後援会,港区麻布十番１－８－７,35.655888,139.735722,座標系（JGD2011）
尾崎保夫,市長,尾崎保夫の会,東大和市高木２－１３５－１,35.753135,139.436025,座標系（JGD2011）
尾作義明,市議会議員,おざく義明を応援する会,国分寺市南町３－９－１５,35.698969,139.480699,座標系（JGD2011）
長村敏明,市議会議員,おさむら敏明後援会,町田市鶴間４３６－９,35.506683,139.474569,座標系（JGD2011）
小澤佳奈子,区議会議員,やまだ加奈子後援会,北区西ケ原３－５７－９,35.743505,139.738319,座標系（JGD2011）
