,参議院議員選挙/調査数,参議院議員選挙/テレビ・ラジオの選挙報道,参議院議員選挙/新聞・雑誌などの選挙報道,参議院議員選挙/選挙公報,参議院議員選挙/投票所入場（整理）券,参議院議員選挙/テレビ・ラジオの政見放送・経歴放送,参議院議員選挙/候補者等の新聞広告,参議院議員選挙/候補者等のポスター,参議院議員選挙/候補者等の街頭演説,参議院議員選挙/候補者等の選挙運動用自動車からの連呼,参議院議員選挙/候補者の個人演説会,参議院議員選挙/候補者等のはがき・ビラ,参議院議員選挙/各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,参議院議員選挙/候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,参議院議員選挙/政党、候補者の後援会などからの推薦,参議院議員選挙/家族、友人、知人からの勧め,参議院議員選挙/その他,参議院議員選挙/どれにも接していない,参議院議員選挙/わからない、忘れた,東京都知事選挙/調査数,東京都知事選挙/テレビ・ラジオの選挙報道,東京都知事選挙/新聞・雑誌などの選挙報道,東京都知事選挙/選挙公報,東京都知事選挙/投票所入場（整理）券,東京都知事選挙/テレビ・ラジオの政見放送・経歴放送,東京都知事選挙/候補者等の新聞広告,東京都知事選挙/候補者等のポスター,東京都知事選挙/候補者等の街頭演説,東京都知事選挙/候補者等の選挙運動用自動車からの連呼,東京都知事選挙/候補者の個人演説会,東京都知事選挙/候補者等のはがき・ビラ,東京都知事選挙/候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,東京都知事選挙/政党、候補者の後援会などからの推薦,東京都知事選挙/家族、友人、知人からの勧め,東京都知事選挙/その他,東京都知事選挙/どれにも接していない,東京都知事選挙/わからない、忘れた
年齢別20歳代,164,125,47,32,20,18,12,54,12,14,3,8,4,8,1,8,-,9,21,164,126,48,35,22,17,12,55,18,15,3,8,8,-,11,-,9,20
年齢別20歳代,100.0,76.2,28.7,19.5,12.2,11.0,7.3,32.9,7.3,8.5,1.8,4.9,2.4,4.9,0.6,4.9,-,5.5,12.8,100.0,76.8,29.3,21.3,13.4,10.4,7.3,33.5,11.0,9.1,1.8,4.9,4.9,-,6.7,-,5.5,12.2
年齢別30歳代,257,228,108,74,74,60,49,131,36,35,5,30,23,23,6,19,-,9,5,257,235,110,76,73,51,50,137,55,39,5,26,26,3,13,-,6,5
年齢別30歳代,100.0,88.7,42.0,28.8,28.8,23.3,19.1,51.0,14.0,13.6,1.9,11.7,8.9,8.9,2.3,7.4,-,3.5,1.9,100.0,91.4,42.8,29.6,28.4,19.8,19.5,53.3,21.4,15.2,1.9,10.1,10.1,1.2,5.1,-,2.3,1.9
年齢別40歳代,398,360,196,150,129,109,90,227,65,64,5,44,30,22,5,29,1,8,7,398,357,197,157,128,89,90,236,84,72,7,45,22,3,23,1,10,6
年齢別40歳代,100.0,90.5,49.2,37.7,32.4,27.4,22.6,57.0,16.3,16.1,1.3,11.1,7.5,5.5,1.3,7.3,0.3,2.0,1.8,100.0,89.7,49.5,39.4,32.2,22.4,22.6,59.3,21.1,18.1,1.8,11.3,5.5,0.8,5.8,0.3,2.5,1.5
年齢別50歳代,311,282,202,159,74,94,84,169,33,51,3,35,21,13,8,21,-,9,4,311,282,202,160,71,85,86,173,62,56,4,32,15,6,10,-,8,3
年齢別50歳代,100.0,90.7,65.0,51.1,23.8,30.2,27.0,54.3,10.6,16.4,1.0,11.3,6.8,4.2,2.6,6.8,-,2.9,1.3,100.0,90.7,65.0,51.4,22.8,27.3,27.7,55.6,19.9,18.0,1.3,10.3,4.8,1.9,3.2,-,2.6,1.0
年齢別60歳代,337,298,215,164,62,108,61,162,40,42,3,24,13,8,9,16,1,17,4,337,302,215,168,61,96,62,166,55,51,5,25,9,7,14,-,14,2
年齢別60歳代,100.0,88.4,63.8,48.7,18.4,32.0,18.1,48.1,11.9,12.5,0.9,7.1,3.9,2.4,2.7,4.7,0.3,5.0,1.2,100.0,89.6,63.8,49.9,18.1,28.5,18.4,49.3,16.3,15.1,1.5,7.4,2.7,2.1,4.2,-,4.2,0.6
年齢別70歳代,231,201,142,105,29,68,44,91,20,30,2,20,11,3,10,9,-,7,8,231,204,142,106,32,66,44,93,33,33,2,19,3,6,6,-,9,9
年齢別70歳代,100.0,87.0,61.5,45.5,12.6,29.4,19.0,39.4,8.7,13.0,0.9,8.7,4.8,1.3,4.3,3.9,-,3.0,3.5,100.0,88.3,61.5,45.9,13.9,28.6,19.0,40.3,14.3,14.3,0.9,8.2,1.3,2.6,2.6,-,3.9,3.9
年齢別80歳以上,98,76,50,34,10,15,14,29,5,6,1,8,5,1,4,4,1,9,7,98,77,51,33,10,16,14,26,5,6,1,8,1,3,5,1,9,7
年齢別80歳以上,100.0,77.6,51.0,34.7,10.2,15.3,14.3,29.6,5.1,6.1,1.0,8.2,5.1,1.0,4.1,4.1,1.0,9.2,7.1,100.0,78.6,52.0,33.7,10.2,16.3,14.3,26.5,5.1,6.1,1.0,8.2,1.0,3.1,5.1,1.0,9.2,7.1
性/年齢別男性18歳,1,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
性/年齢別男性18歳,100.0,100.0,100.0,-,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,-,100.0,100.0,100.0,-,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-
性/年齢別男性19歳,12,9,4,3,-,-,-,2,-,1,-,-,-,-,-,1,-,-,-,12,8,4,2,-,-,-,3,-,1,-,-,-,-,1,-,-,-
性/年齢別男性19歳,100.0,75.0,33.3,25.0,-,-,-,16.7,-,8.3,-,-,-,-,-,8.3,-,-,-,100.0,66.7,33.3,16.7,-,-,-,25.0,-,8.3,-,-,-,-,8.3,-,-,-
性/年齢別男性20歳代,83,64,22,13,13,8,4,24,8,6,2,3,2,6,1,5,-,4,9,83,64,22,16,13,7,3,26,10,6,2,4,6,-,6,-,4,9
性/年齢別男性20歳代,100.0,77.1,26.5,15.7,15.7,9.6,4.8,28.9,9.6,7.2,2.4,3.6,2.4,7.2,1.2,6.0,-,4.8,10.8,100.0,77.1,26.5,19.3,15.7,8.4,3.6,31.3,12.0,7.2,2.4,4.8,7.2,-,7.2,-,4.8,10.8
性/年齢別男性30歳代,122,108,55,40,43,30,30,74,22,21,3,18,17,16,3,6,-,5,2,122,112,55,41,42,25,31,76,29,21,3,17,17,2,5,-,3,2
性/年齢別男性30歳代,100.0,88.5,45.1,32.8,35.2,24.6,24.6,60.7,18.0,17.2,2.5,14.8,13.9,13.1,2.5,4.9,-,4.1,1.6,100.0,91.8,45.1,33.6,34.4,20.5,25.4,62.3,23.8,17.2,2.5,13.9,13.9,1.6,4.1,-,2.5,1.6
性/年齢別男性40歳代,170,153,87,73,56,53,38,96,30,30,4,22,17,14,3,7,1,2,3,170,152,87,73,56,39,37,100,36,32,5,21,15,2,5,1,3,3
性/年齢別男性40歳代,100.0,90.0,51.2,42.9,32.9,31.2,22.4,56.5,17.6,17.6,2.4,12.9,10.0,8.2,1.8,4.1,0.6,1.2,1.8,100.0,89.4,51.2,42.9,32.9,22.9,21.8,58.8,21.2,18.8,2.9,12.4,8.8,1.2,2.9,0.6,1.8,1.8
性/年齢別男性50歳代,152,140,112,83,42,51,41,84,13,22,3,17,12,12,3,8,-,3,2,152,140,111,84,41,47,42,87,27,28,4,16,13,3,4,-,3,2
性/年齢別男性50歳代,100.0,92.1,73.7,54.6,27.6,33.6,27.0,55.3,8.6,14.5,2.0,11.2,7.9,7.9,2.0,5.3,-,2.0,1.3,100.0,92.1,73.0,55.3,27.0,30.9,27.6,57.2,17.8,18.4,2.6,10.5,8.6,2.0,2.6,-,2.0,1.3
性/年齢別男性60歳代,157,142,106,79,31,56,31,79,23,22,2,13,6,6,3,6,1,7,2,157,143,105,80,29,51,32,78,26,23,2,14,7,3,3,-,7,2
性/年齢別男性60歳代,100.0,90.4,67.5,50.3,19.7,35.7,19.7,50.3,14.6,14.0,1.3,8.3,3.8,3.8,1.9,3.8,0.6,4.5,1.3,100.0,91.1,66.9,51.0,18.5,32.5,20.4,49.7,16.6,14.6,1.3,8.9,4.5,1.9,1.9,-,4.5,1.3
性/年齢別男性70歳代,107,93,72,52,16,30,25,39,12,11,2,10,7,1,4,2,-,3,5,107,94,71,51,16,29,25,38,14,11,1,11,1,3,1,-,4,6
性/年齢別男性70歳代,100.0,86.9,67.3,48.6,15.0,28.0,23.4,36.4,11.2,10.3,1.9,9.3,6.5,0.9,3.7,1.9,-,2.8,4.7,100.0,87.9,66.4,47.7,15.0,27.1,23.4,35.5,13.1,10.3,0.9,10.3,0.9,2.8,0.9,-,3.7,5.6
性/年齢別男性80歳以上,48,35,26,16,5,7,9,13,1,1,1,5,5,1,3,2,1,6,3,48,36,27,16,5,8,9,12,1,1,1,5,1,3,2,1,6,3
性/年齢別男性80歳以上,100.0,72.9,54.2,33.3,10.4,14.6,18.8,27.1,2.1,2.1,2.1,10.4,10.4,2.1,6.3,4.2,2.1,12.5,6.3,100.0,75.0,56.3,33.3,10.4,16.7,18.8,25.0,2.1,2.1,2.1,10.4,2.1,6.3,4.2,2.1,12.5,6.3
性/年齢別女性18歳,6,5,2,1,-,1,-,4,1,1,1,-,-,-,-,1,-,-,1,6,5,2,1,-,1,-,4,2,1,-,-,-,-,1,-,-,1
性/年齢別女性18歳,100.0,83.3,33.3,16.7,-,16.7,-,66.7,16.7,16.7,16.7,-,-,-,-,16.7,-,-,16.7,100.0,83.3,33.3,16.7,-,16.7,-,66.7,33.3,16.7,-,-,-,-,16.7,-,-,16.7
性/年齢別女性19歳,8,6,1,-,2,-,1,2,1,1,-,-,1,1,-,-,-,2,-,8,6,1,-,2,-,1,3,1,1,-,-,1,-,1,-,2,-
性/年齢別女性19歳,100.0,75.0,12.5,-,25.0,-,12.5,25.0,12.5,12.5,-,-,12.5,12.5,-,-,-,25.0,-,100.0,75.0,12.5,-,25.0,-,12.5,37.5,12.5,12.5,-,-,12.5,-,12.5,-,25.0,-
性/年齢別女性20歳代,81,61,25,19,7,10,8,30,4,8,1,5,2,2,-,3,-,5,12,81,62,26,19,9,10,9,29,8,9,1,4,2,-,5,-,5,11
性/年齢別女性20歳代,100.0,75.3,30.9,23.5,8.6,12.3,9.9,37.0,4.9,9.9,1.2,6.2,2.5,2.5,-,3.7,-,6.2,14.8,100.0,76.5,32.1,23.5,11.1,12.3,11.1,35.8,9.9,11.1,1.2,4.9,2.5,-,6.2,-,6.2,13.6
性/年齢別女性30歳代,135,120,53,34,31,30,19,57,14,14,2,12,6,7,3,13,-,4,3,135,123,55,35,31,26,19,61,26,18,2,9,9,1,8,-,3,3
性/年齢別女性30歳代,100.0,88.9,39.3,25.2,23.0,22.2,14.1,42.2,10.4,10.4,1.5,8.9,4.4,5.2,2.2,9.6,-,3.0,2.2,100.0,91.1,40.7,25.9,23.0,19.3,14.1,45.2,19.3,13.3,1.5,6.7,6.7,0.7,5.9,-,2.2,2.2
性/年齢別女性40歳代,228,207,109,77,73,56,52,131,35,34,1,22,13,8,2,22,-,6,4,228,205,110,84,72,50,53,136,48,40,2,24,7,1,18,-,7,3
性/年齢別女性40歳代,100.0,90.8,47.8,33.8,32.0,24.6,22.8,57.5,15.4,14.9,0.4,9.6,5.7,3.5,0.9,9.6,-,2.6,1.8,100.0,89.9,48.2,36.8,31.6,21.9,23.2,59.6,21.1,17.5,0.9,10.5,3.1,0.4,7.9,-,3.1,1.3
性/年齢別女性50歳代,159,142,90,76,32,43,43,85,20,29,-,18,9,1,5,13,-,6,2,159,142,91,76,30,38,44,86,35,28,-,16,2,3,6,-,5,1
性/年齢別女性50歳代,100.0,89.3,56.6,47.8,20.1,27.0,27.0,53.5,12.6,18.2,-,11.3,5.7,0.6,3.1,8.2,-,3.8,1.3,100.0,89.3,57.2,47.8,18.9,23.9,27.7,54.1,22.0,17.6,-,10.1,1.3,1.9,3.8,-,3.1,0.6
性/年齢別女性60歳代,180,156,109,85,31,52,30,83,17,20,1,11,7,2,6,10,-,10,2,180,159,110,88,32,45,30,88,29,28,3,11,2,4,11,-,7,-
性/年齢別女性60歳代,100.0,86.7,60.6,47.2,17.2,28.9,16.7,46.1,9.4,11.1,0.6,6.1,3.9,1.1,3.3,5.6,-,5.6,1.1,100.0,88.3,61.1,48.9,17.8,25.0,16.7,48.9,16.1,15.6,1.7,6.1,1.1,2.2,6.1,-,3.9,-
性/年齢別女性70歳代,124,108,70,53,13,38,19,52,8,19,-,10,4,2,6,7,-,4,3,124,110,71,55,16,37,19,55,19,22,1,8,2,3,5,-,5,3
性/年齢別女性70歳代,100.0,87.1,56.5,42.7,10.5,30.6,15.3,41.9,6.5,15.3,-,8.1,3.2,1.6,4.8,5.6,-,3.2,2.4,100.0,88.7,57.3,44.4,12.9,29.8,15.3,44.4,15.3,17.7,0.8,6.5,1.6,2.4,4.0,-,4.0,2.4
性/年齢別女性80歳以上,50,41,24,18,5,8,5,16,4,5,-,3,-,-,1,2,-,3,4,50,41,24,17,5,8,5,14,4,5,-,3,-,-,3,-,3,4
性/年齢別女性80歳以上,100.0,82.0,48.0,36.0,10.0,16.0,10.0,32.0,8.0,10.0,-,6.0,-,-,2.0,4.0,-,6.0,8.0,100.0,82.0,48.0,34.0,10.0,16.0,10.0,28.0,8.0,10.0,-,6.0,-,-,6.0,-,6.0,8.0
未・既婚別未婚,344,270,115,76,41,56,27,126,30,29,6,24,14,16,5,23,-,23,25,344,269,116,77,42,49,25,128,41,31,5,19,16,3,20,-,24,24
未・既婚別未婚,100.0,78.5,33.4,22.1,11.9,16.3,7.8,36.6,8.7,8.4,1.7,7.0,4.1,4.7,1.5,6.7,-,6.7,7.3,100.0,78.2,33.7,22.4,12.2,14.2,7.3,37.2,11.9,9.0,1.5,5.5,4.7,0.9,5.8,-,7.0,7.0
未・既婚別既婚（死別・離別を含む）,1479,1321,853,646,359,417,328,745,183,217,17,145,94,63,38,85,3,47,32,1479,1334,857,661,357,372,334,768,274,245,22,144,69,25,65,2,43,29
未・既婚別既婚（死別・離別を含む）,100.0,89.3,57.7,43.7,24.3,28.2,22.2,50.4,12.4,14.7,1.1,9.8,6.4,4.3,2.6,5.7,0.2,3.2,2.2,100.0,90.2,57.9,44.7,24.1,25.2,22.6,51.9,18.5,16.6,1.5,9.7,4.7,1.7,4.4,0.1,2.9,2.0
子供の有無別子供はいない,404,322,146,97,58,78,40,147,42,37,7,25,17,31,5,27,-,24,25,404,322,145,98,56,70,39,153,54,39,7,18,31,2,21,-,25,24
子供の有無別子供はいない,100.0,79.7,36.1,24.0,14.4,19.3,9.9,36.4,10.4,9.2,1.7,6.2,4.2,7.7,1.2,6.7,-,5.9,6.2,100.0,79.7,35.9,24.3,13.9,17.3,9.7,37.9,13.4,9.7,1.7,4.5,7.7,0.5,5.2,-,6.2,5.9
子供の有無別未就学（～６歳）,114,97,44,35,31,27,21,68,16,23,2,18,15,9,4,8,-,4,3,114,102,48,34,31,27,22,70,24,23,1,16,11,3,9,-,3,2
子供の有無別未就学（～６歳）,100.0,85.1,38.6,30.7,27.2,23.7,18.4,59.6,14.0,20.2,1.8,15.8,13.2,7.9,3.5,7.0,-,3.5,2.6,100.0,89.5,42.1,29.8,27.2,23.7,19.3,61.4,21.1,20.2,0.9,14.0,9.6,2.6,7.9,-,2.6,1.8
子供の有無別小・中・高校生,394,359,207,150,135,105,94,221,62,65,5,43,30,16,6,33,-,9,7,394,358,207,156,136,84,96,230,88,73,8,46,17,3,23,-,9,7
子供の有無別小・中・高校生,100.0,91.1,52.5,38.1,34.3,26.6,23.9,56.1,15.7,16.5,1.3,10.9,7.6,4.1,1.5,8.4,-,2.3,1.8,100.0,90.9,52.5,39.6,34.5,21.3,24.4,58.4,22.3,18.5,2.0,11.7,4.3,0.8,5.8,-,2.3,1.8
子供の有無別大学生・大学院生・短大生・専門学校生,144,130,88,80,42,41,34,80,18,28,1,12,6,6,-,11,-,1,5,144,129,90,82,41,34,34,82,28,33,2,14,6,1,8,-,1,4
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,90.3,61.1,55.6,29.2,28.5,23.6,55.6,12.5,19.4,0.7,8.3,4.2,4.2,-,7.6,-,0.7,3.5,100.0,89.6,62.5,56.9,28.5,23.6,23.6,56.9,19.4,22.9,1.4,9.7,4.2,0.7,5.6,-,0.7,2.8
子供の有無別学校教育終了,791,704,491,379,157,240,184,390,81,105,10,78,45,21,28,30,1,33,21,791,711,495,387,158,223,187,399,133,121,11,77,23,19,24,1,29,19
子供の有無別学校教育終了,100.0,89.0,62.1,47.9,19.8,30.3,23.3,49.3,10.2,13.3,1.3,9.9,5.7,2.7,3.5,3.8,0.1,4.2,2.7,100.0,89.9,62.6,48.9,20.0,28.2,23.6,50.4,16.8,15.3,1.4,9.7,2.9,2.4,3.0,0.1,3.7,2.4
子供の有無別その他,60,48,35,18,5,12,7,15,6,2,-,4,1,2,2,4,2,1,-,60,51,33,18,5,11,6,13,4,2,1,3,2,1,4,1,2,-
子供の有無別その他,100.0,80.0,58.3,30.0,8.3,20.0,11.7,25.0,10.0,3.3,-,6.7,1.7,3.3,3.3,6.7,3.3,1.7,-,100.0,85.0,55.0,30.0,8.3,18.3,10.0,21.7,6.7,3.3,1.7,5.0,3.3,1.7,6.7,1.7,3.3,-
職業別自営業（計）,133,108,78,56,23,46,28,53,16,18,5,17,14,7,4,5,2,3,4,133,114,83,56,22,47,30,54,18,18,3,17,7,4,6,1,3,3
職業別自営業（計）,100.0,81.2,58.6,42.1,17.3,34.6,21.1,39.8,12.0,13.5,3.8,12.8,10.5,5.3,3.0,3.8,1.5,2.3,3.0,100.0,85.7,62.4,42.1,16.5,35.3,22.6,40.6,13.5,13.5,2.3,12.8,5.3,3.0,4.5,0.8,2.3,2.3
職業別農林漁業,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
職業別農林漁業,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-
職業別商工・サービス業,42,33,24,17,8,14,9,13,4,5,2,2,2,3,1,2,1,-,2,42,36,26,16,7,13,10,12,3,6,-,2,3,1,3,1,-,1
職業別商工・サービス業,100.0,78.6,57.1,40.5,19.0,33.3,21.4,31.0,9.5,11.9,4.8,4.8,4.8,7.1,2.4,4.8,2.4,-,4.8,100.0,85.7,61.9,38.1,16.7,31.0,23.8,28.6,7.1,14.3,-,4.8,7.1,2.4,7.1,2.4,-,2.4
職業別その他自由業,90,75,54,39,15,32,19,40,12,13,3,15,12,4,3,3,1,2,2,90,78,57,40,15,34,20,42,15,12,3,15,4,3,3,-,2,2
職業別その他自由業,100.0,83.3,60.0,43.3,16.7,35.6,21.1,44.4,13.3,14.4,3.3,16.7,13.3,4.4,3.3,3.3,1.1,2.2,2.2,100.0,86.7,63.3,44.4,16.7,37.8,22.2,46.7,16.7,13.3,3.3,16.7,4.4,3.3,3.3,-,2.2,2.2
職業別お勤め（計）,821,719,403,291,225,204,168,433,113,107,13,95,66,60,12,47,-,28,28,821,724,407,299,224,175,171,451,159,123,17,91,64,9,34,-,24,25
職業別お勤め（計）,100.0,87.6,49.1,35.4,27.4,24.8,20.5,52.7,13.8,13.0,1.6,11.6,8.0,7.3,1.5,5.7,-,3.4,3.4,100.0,88.2,49.6,36.4,27.3,21.3,20.8,54.9,19.4,15.0,2.1,11.1,7.8,1.1,4.1,-,2.9,3.0
職業別経営・管理職,74,66,48,30,23,27,25,50,11,12,1,9,9,12,2,5,-,1,1,74,65,47,31,22,27,26,50,16,14,1,8,15,1,2,-,-,1
職業別経営・管理職,100.0,89.2,64.9,40.5,31.1,36.5,33.8,67.6,14.9,16.2,1.4,12.2,12.2,16.2,2.7,6.8,-,1.4,1.4,100.0,87.8,63.5,41.9,29.7,36.5,35.1,67.6,21.6,18.9,1.4,10.8,20.3,1.4,2.7,-,-,1.4
職業別専門職・技術職,196,178,101,93,69,63,47,124,34,34,4,28,21,19,7,10,-,3,4,196,179,99,92,67,51,47,125,45,37,4,25,20,4,4,-,4,4
職業別専門職・技術職,100.0,90.8,51.5,47.4,35.2,32.1,24.0,63.3,17.3,17.3,2.0,14.3,10.7,9.7,3.6,5.1,-,1.5,2.0,100.0,91.3,50.5,46.9,34.2,26.0,24.0,63.8,23.0,18.9,2.0,12.8,10.2,2.0,2.0,-,2.0,2.0
職業別事務職,221,195,116,70,51,42,34,90,25,22,4,20,15,15,2,13,-,8,7,221,197,119,72,52,39,35,99,37,26,6,19,15,3,12,-,7,6
職業別事務職,100.0,88.2,52.5,31.7,23.1,19.0,15.4,40.7,11.3,10.0,1.8,9.0,6.8,6.8,0.9,5.9,-,3.6,3.2,100.0,89.1,53.8,32.6,23.5,17.6,15.8,44.8,16.7,11.8,2.7,8.6,6.8,1.4,5.4,-,3.2,2.7
職業別労務職・技能職,61,55,31,23,23,17,21,38,7,6,3,14,6,3,-,1,-,2,1,61,55,31,24,23,17,21,39,10,8,4,13,3,-,1,-,2,1
職業別労務職・技能職,100.0,90.2,50.8,37.7,37.7,27.9,34.4,62.3,11.5,9.8,4.9,23.0,9.8,4.9,-,1.6,-,3.3,1.6,100.0,90.2,50.8,39.3,37.7,27.9,34.4,63.9,16.4,13.1,6.6,21.3,4.9,-,1.6,-,3.3,1.6
職業別販売・サービス職,269,225,107,75,59,55,41,131,36,33,1,24,15,11,1,18,-,14,15,269,228,111,80,60,41,42,138,51,38,2,26,11,1,15,-,11,13
職業別販売・サービス職,100.0,83.6,39.8,27.9,21.9,20.4,15.2,48.7,13.4,12.3,0.4,8.9,5.6,4.1,0.4,6.7,-,5.2,5.6,100.0,84.8,41.3,29.7,22.3,15.2,15.6,51.3,19.0,14.1,0.7,9.7,4.1,0.4,5.6,-,4.1,4.8
職業別その他（計）,869,764,487,375,152,223,159,385,84,121,5,57,28,12,27,56,1,39,25,869,765,483,383,153,199,158,391,138,135,7,55,14,15,45,1,40,25
職業別その他（計）,100.0,87.9,56.0,43.2,17.5,25.7,18.3,44.3,9.7,13.9,0.6,6.6,3.2,1.4,3.1,6.4,0.1,4.5,2.9,100.0,88.0,55.6,44.1,17.6,22.9,18.2,45.0,15.9,15.5,0.8,6.3,1.6,1.7,5.2,0.1,4.6,2.9
職業別生徒・学生,47,37,14,10,5,6,1,12,1,7,2,2,1,2,-,4,-,4,4,47,36,13,8,5,4,1,13,2,7,1,2,2,-,5,-,4,4
職業別生徒・学生,100.0,78.7,29.8,21.3,10.6,12.8,2.1,25.5,2.1,14.9,4.3,4.3,2.1,4.3,-,8.5,-,8.5,8.5,100.0,76.6,27.7,17.0,10.6,8.5,2.1,27.7,4.3,14.9,2.1,4.3,4.3,-,10.6,-,8.5,8.5
職業別専業主婦（夫）,395,366,227,186,93,114,90,212,52,66,1,26,15,3,12,34,-,6,3,395,364,223,195,92,96,91,216,87,77,4,26,4,6,26,-,6,3
職業別専業主婦（夫）,100.0,92.7,57.5,47.1,23.5,28.9,22.8,53.7,13.2,16.7,0.3,6.6,3.8,0.8,3.0,8.6,-,1.5,0.8,100.0,92.2,56.5,49.4,23.3,24.3,23.0,54.7,22.0,19.5,1.0,6.6,1.0,1.5,6.6,-,1.5,0.8
職業別その他,25,21,11,8,2,7,1,6,1,1,-,2,-,1,1,2,-,2,1,25,21,11,8,2,8,1,7,2,2,-,1,2,-,1,-,2,1
職業別その他,100.0,84.0,44.0,32.0,8.0,28.0,4.0,24.0,4.0,4.0,-,8.0,-,4.0,4.0,8.0,-,8.0,4.0,100.0,84.0,44.0,32.0,8.0,32.0,4.0,28.0,8.0,8.0,-,4.0,8.0,-,4.0,-,8.0,4.0
