氏名,公職の種類,政治団体の名称,区分,事務所の所在地,緯度,経度,座標系,代表者
高木陽介,衆議院議員,公明党衆議院小選挙区東京第２１総支部,1,立川市錦町１－４－４,35.696545,139.417120,座標系（JGD2011）,高木陽介
高木陽介,衆議院議員,高木陽介後援会,１・2,立川市錦町１－４－４,35.696545,139.417120,座標系（JGD2011）,高木陽介
多ヶ谷亮,衆議院議員,生活の党と山本太郎となかまたち東京都第１０区総支部,1,豊島区西池袋５－５－２１,35.731888,139.705138,座標系（JGD2011）,多ヶ谷亮
多ヶ谷亮,衆議院議員,亮友会,2,豊島区西池袋５－５－２１,35.731888,139.705138,座標系（JGD2011）,樋口紀子
竹田光明,衆議院議員,民主党東京都第２０総支部,1,東村山市栄町２－３１－１,35.749298,139.469844,座標系（JGD2011）,竹田光明
竹田光明,衆議院議員,竹田光明後援会,１・2,東村山市栄町２－３１－１,35.749298,139.469844,座標系（JGD2011）,竹田光明
武見敬三,参議院議員,自由民主党東京都参議院選挙区第三支部,1,中央区新富２－１５－６,35.671058,139.775143,座標系（JGD2011）,武見敬三
竹谷とし子,参議院議員,公明党参議院東京選挙区第１総支部,1,千代田区平河町２－１２－１７,35.680817,139.741550,座標系（JGD2011）,竹谷とし子
竹谷とし子,参議院議員,竹谷とし子励ます会,１・2,千代田区平河町２－１２－１７,35.680817,139.741550,座標系（JGD2011）,竹谷とし子
田中勝義,参議院議員,田中勝義政治経済塾,１・2,台東区台東３－３４－８,35.705454,139.779693,座標系（JGD2011）,田中勝義
田畑毅,衆議院議員,自由民主党東京都ふるさと創生支部,1,江東区猿江１－１９－７,35.687213,139.811649,座標系（JGD2011）,田畑毅
田畑毅,衆議院議員,毅友会,１・2,江東区猿江１－１９－７,35.687213,139.811649,座標系（JGD2011）,田畑毅
田畑毅,衆議院議員,行政書士による田畑毅後援会,2,江東区猿江１－１９－７,35.687213,139.811649,座標系（JGD2011）,辻隆明
田母神俊雄,衆議院議員,日本のこころを大切にする党衆議院東京都第十二支部,1,千代田区紀尾井町３－３３,35.681180,139.738096,座標系（JGD2011）,田母神俊雄
辻清人,衆議院議員,自由民主党東京都第二選挙区支部,1,台東区日本堤２－２３－１３,35.728061,139.796905,座標系（JGD2011）,辻清人
辻清人,衆議院議員,辻清人後援会,１・2,台東区日本堤２－２３－１３,35.728061,139.796905,座標系（JGD2011）,辻清人
辻惠,衆議院議員,つじ恵東京後援会,2,港区東新橋２－１０－７,35.661041,139.756268,座標系（JGD2011）,平賀俊行
土屋正忠,衆議院議員,自由民主党東京都第十八選挙区支部,1,武蔵野市中町２－６－５,35.709179,139.562330,座標系（JGD2011）,土屋正忠
土屋正忠,衆議院議員,正栄会,１・2,武蔵野市中町２－５－２３,35.707423,139.561877,座標系（JGD2011）,土屋正忠
土屋正忠,衆議院議員,土屋正忠後援会,2,武蔵野市中町２－５－２３,35.707423,139.561877,座標系（JGD2011）,秋本正
手塚仁雄,衆議院議員,民主党東京都第５区総支部,1,目黒区上目黒１－１７－６,35.645515,139.697988,座標系（JGD2011）,手塚仁雄
手塚仁雄,衆議院議員,手塚よしお後援会,１・2,目黒区上目黒１－１７－６,35.645515,139.697988,座標系（JGD2011）,手塚仁雄
寺田稔,衆議院議員,構造改革フォーラム,1,杉並区高円寺南２－１９－１,35.698012,139.648431,座標系（JGD2011）,寺田稔
中川雅治,参議院議員,自由民主党東京都参議院選挙区第二支部,1,港区南青山２－２－１５,35.671503,139.723818,座標系（JGD2011）,中川雅治
中川雅治,参議院議員,中川雅治懇話会,１・2,千代田区永田町２－１－１,35.676618,139.742487,座標系（JGD2011）,中川雅治
長坂康正,衆議院議員,長坂康正政策研究会,2,渋谷区西原１－４９－１０,35.675365,139.683850,座標系（JGD2011）,佐々木昭雄
長島昭久,衆議院議員,民主党東京都第２１区総支部,1,立川市錦町２－２－５,35.695614,139.416633,座標系（JGD2011）,長島昭久
長島昭久,衆議院議員,長島昭久を育てる会,１・2,立川市錦町２－２－５,35.695614,139.416633,座標系（JGD2011）,長島昭久
中津川博郷,参議院議員,なかひろ会,１・2,江戸川区南篠崎町１－２２－２,35.695368,139.907055,座標系（JGD2011）,中津川博郷
長妻昭,衆議院議員,民主党東京都第７区総支部,1,中野区中央４－１１－１３,35.699506,139.670742,座標系（JGD2011）,長妻昭
長妻昭,衆議院議員,民主党東京都第１２区総支部,1,北区神谷１－２８－８,35.768176,139.731224,座標系（JGD2011）,長妻昭
長妻昭,衆議院議員,昭尽会,１・2,中野区中央４－１１－１３,35.699506,139.670742,座標系（JGD2011）,長妻昭
長妻昭,衆議院議員,ながつま昭を応援する会,2,中野区中央４－１１－１３,35.699506,139.670742,座標系（JGD2011）,嶋村勲
中村喜四郎,衆議院議員,日比谷政治経済研究会,2,大田区田園調布１－４６－１,35.592532,139.672864,座標系（JGD2011）,中村勇太
西村啓聡,衆議院議員,西村けいと東京後援会,2,新宿区四谷３－２－１,35.688218,139.723159,座標系（JGD2011）,吉成昌之
野沢哲夫,衆議院議員,生活の党と山本太郎となかまたち東京都第１区総支部,1,港区浜松町１－１４－１０,35.658418,139.757314,座標系（JGD2011）,野沢哲夫
野沢哲夫,衆議院議員,のざわ哲夫政経研究会,１・2,港区浜松町１－１４－１０,35.658418,139.757314,座標系（JGD2011）,野沢哲夫
萩生田光一,衆議院議員,自由民主党東京都第二十四選挙区支部,1,八王子市明神町４－１－２,35.659033,139.344182,座標系（JGD2011）,萩生田光一
萩生田光一,衆議院議員,はぎうだ光一後援会,１・2,八王子市明神町４－１－２,35.659033,139.344182,座標系（JGD2011）,萩生田光一
萩生田光一,衆議院議員,萩生田光一を支える税理士の会,2,八王子市北野町５５６－１１,35.645914,139.357532,座標系（JGD2011）,谷口健吉
白眞勲,参議院議員,税理士による白眞勲後援会,2,文京区本郷５－３０－２０,35.711844,139.759493,座標系（JGD2011）,酒寄正行
橋本岳,衆議院議員,岳を囲む会,2,文京区後楽１－１－１０,35.702558,139.753687,座標系（JGD2011）,富田和宏
初鹿明博,衆議院議員,維新の党衆議院東京都第１６選挙区支部,1,江戸川区平井３－１０－１０,35.704531,139.841400,座標系（JGD2011）,初鹿明博
初鹿明博,衆議院議員,税理士による初鹿明博後援会,2,江戸川区瑞江２－４０－１４,35.696724,139.896360,座標系（JGD2011）,岩間秀一
初鹿明博,衆議院議員,東京鹿優会,１・2,江戸川区平井３－１０－１０,35.704533,139.841398,座標系（JGD2011）,初鹿明博
平沢勝栄,衆議院議員,自由民主党東京都第十七選挙区支部,1,葛飾区立石８－６－１,35.737661,139.851305,座標系（JGD2011）,平沢勝栄
平沢勝栄,衆議院議員,葛栄会,2,葛飾区立石８－６－１,35.737654,139.851301,座標系（JGD2011）,加瀬武雄
平沢勝栄,衆議院議員,くじらの会,2,葛飾区立石８－６－１,35.737661,139.851305,座標系（JGD2011）,齊藤徳好
平沢勝栄,衆議院議員,平沢勝榮後援会,2,葛飾区立石８－６－１,35.737661,139.851305,座標系（JGD2011）,須藤祐司
福村隆,衆議院議員,福村隆後援会,１・2,新宿区西五軒町５－１３,35.706556,139.737547,座標系（JGD2011）,福村隆
藤田憲彦,衆議院議員,民主党東京都第４区総支部,1,大田区西蒲田７－５－３,35.563907,139.715203,座標系（JGD2011）,藤田憲彦
藤田憲彦,衆議院議員,藤田のりひこ後援会,１・2,大田区西蒲田７－５－３,35.563907,139.715203,座標系（JGD2011）,藤田憲彦
前川恵,衆議院議員,自由民主党東京都衆議院比例区第四支部,1,渋谷区千駄ケ谷１－８－１１,35.678771,139.710624,座標系（JGD2011）,前川恵
増子輝彦,参議院議員,ニュー政治経済研究会,2,千代田区九段北４－３－２６,35.694555,139.739872,座標系（JGD2011）,寺島邦夫
又吉光雄,衆議院議員,世界経済共同体党,１・2,新宿区下落合１－３－１９,35.715735,139.703091,座標系（JGD2011）,又吉光雄
松島みどり,衆議院議員,自由民主党東京都第十四選挙区支部,1,墨田区押上１－２４－２,35.709945,139.814458,座標系（JGD2011）,松島みどり
松田公太,参議院議員,日本を元気にする会参議院東京都支部,1,新宿区四谷４－１,35.687275,139.718227,座標系（JGD2011）,松田公太
松田公太,参議院議員,ＫＭＦＭＡＮＡＧＥＭＥＮＴ,１・2,千代田区永田町２－１－１,35.676618,139.742487,座標系（JGD2011）,松田公太
松浪健太,衆議院議員,道州研,１・2,千代田区永田町２－２－１,35.674373,139.743111,座標系（JGD2011）,松浪健太
松原仁,衆議院議員,民主党東京都第３区総支部,1,品川区東大井５－１７－４,35.606693,139.735802,座標系（JGD2011）,松原仁
松原仁,衆議院議員,民主党東京都第６区総支部,1,千代田区永田町１－１１－１,35.678919,139.742990,座標系（JGD2011）,松原仁
松原仁,衆議院議員,民主党東京都第９区総支部,1,練馬区春日町４－１８－８,35.754383,139.638338,座標系（JGD2011）,松原仁
松原仁,衆議院議員,民主党東京都第１０総支部,1,豊島区池袋３－３－１１,35.734154,139.700170,座標系（JGD2011）,松原仁
松原仁,衆議院議員,民主党東京都第１１区総支部,1,板橋区幸町５１－９,35.742379,139.695874,座標系（JGD2011）,松原仁
松原仁,衆議院議員,民主党東京都第１３区総支部,1,足立区梅島１－１２－６,35.772551,139.798079,座標系（JGD2011）,松原仁
松原仁,衆議院議員,民主党東京都第１４総支部,1,荒川区東日暮里４－２０－７,35.725992,139.780764,座標系（JGD2011）,松原仁
松原仁,衆議院議員,民主党東京都第１５区総支部,1,江東区森下１－５－５,35.686665,139.798035,座標系（JGD2011）,松原仁
松原仁,衆議院議員,民主党東京都第１６区総支部,1,江戸川区松江３－１２－３,35.697737,139.867946,座標系（JGD2011）,松原仁
松原仁,衆議院議員,民主党東京都第１７区総支部,1,葛飾区東金町１－１９－６,35.771359,139.868676,座標系（JGD2011）,松原仁
松原仁,衆議院議員,東京未来の会,１・2,品川区東大井５－１７－４,35.606693,139.735802,座標系（JGD2011）,松原仁
松原仁,衆議院議員,まつばら仁後援会,2,品川区東大井５－１７－４,35.606693,139.735802,座標系（JGD2011）,関根勉
松本文明,衆議院議員,自由民主党東京都第七選挙区支部,1,中野区本町４－４８－１７,35.697138,139.667775,座標系（JGD2011）,松本文明
松本文明,衆議院議員,松本文明後援会,2,中野区本町４－４８－１７,35.697138,139.667775,座標系（JGD2011）,河原井守
松本洋平,衆議院議員,自由民主党東京都第十九選挙区支部,1,小平市花小金井南町２－１７－４,35.723311,139.513986,座標系（JGD2011）,松本洋平
松本洋平,衆議院議員,洋々会,１・2,小平市花小金井南町２－１７－４,35.723311,139.513986,座標系（JGD2011）,松本洋平
真山勇一,参議院議員,ゆういちの会,１・2,調布市小島町３－１５－３４,35.649727,139.537977,座標系（JGD2011）,真山勇一
三谷英弘,衆議院議員,三谷英弘後援会,１・2,目黒区柿の木坂１－３２－１７,35.619887,139.675287,座標系（JGD2011）,三谷英弘
村田蓮舫,参議院議員,民主党東京都参議院選挙区第３総支部,1,世田谷区北沢１－２４－２１,35.663970,139.673011,座標系（JGD2011）,村田蓮舫
村田蓮舫,参議院議員,蓮舫後援会,１・2,千代田区永田町２－１－１,35.676618,139.742487,座標系（JGD2011）,村田蓮舫
山口那津男,参議院議員,公明党参議院東京選挙区第２総支部,1,港区虎ノ門１－１－１１,35.670169,139.751323,座標系（JGD2011）,山口那津男
山崎順子,衆議院議員,民主党東京都第８区総支部,1,杉並区上荻１－１５－６,35.705461,139.618081,座標系（JGD2011）,山崎順子
山崎順子,衆議院議員,新政策フォーラム,1,杉並区上荻１－１５－６,35.705461,139.618081,座標系（JGD2011）,山崎順子
山下容子,衆議院議員,民主党東京都第２５区総支部,1,羽村市五ノ神１－８－６,35.757781,139.316750,座標系（JGD2011）,山下容子
山下容子,衆議院議員,緑の地球ナンバーワンの会,１・2,青梅市河辺町５－２９－２６,35.783299,139.287591,座標系（JGD2011）,山下容子
山田美樹,衆議院議員,自由民主党東京都第一選挙区支部,1,新宿区四谷２－８,35.687172,139.724969,座標系（JGD2011）,山田美樹
山田美樹,衆議院議員,ねんりんの会,１・2,千代田区永田町２－１－２,35.675505,139.742871,座標系（JGD2011）,山田美樹
山花郁夫,衆議院議員,民主党東京都第２２区総支部,1,調布市布田２－３０－４,35.652303,139.547335,座標系（JGD2011）,山花郁夫
山花郁夫,衆議院議員,山花いくお後援会,１・2,調布市布田２－３０－４,35.652303,139.547335,座標系（JGD2011）,山花郁夫
山本太郎,参議院議員,生活の党と山本太郎となかまたち東京都参議院選挙区第１総支部,1,世田谷区桜丘２－８－１,35.643562,139.627849,座標系（JGD2011）,山本太郎
吉田公一,参議院議員,新生政経会,１・2,練馬区中村北４－１０－１,35.736143,139.636433,座標系（JGD2011）,吉田公一
吉田康一郎,衆議院議員,日本のこころを大切にする党衆議院東京都第七支部,1,中野区新井１－１－１６,35.710235,139.669971,座標系（JGD2011）,吉田康一郎
吉田康一郎,衆議院議員,都市政治経済フォーラム,１・2,中野区新井１－１－１６,35.710235,139.669971,座標系（JGD2011）,吉田康一郎
吉田康一郎,衆議院議員,吉田康一郎後援会,2,中野区新井１－１－１６,35.710235,139.669971,座標系（JGD2011）,新川由樹
若狭勝,衆議院議員,自由民主党東京都衆議院比例区第三支部,1,足立区青井３－７－１９,35.770339,139.819902,座標系（JGD2011）,若狭勝
若宮健嗣,衆議院議員,自由民主党東京都第五選挙区支部,1,目黒区八雲１－３－４,35.618974,139.674680,座標系（JGD2011）,若宮健嗣
若宮健嗣,衆議院議員,若宮けんじ後援会,１・2,千代田区永田町２－１－２,35.675505,139.742871,座標系（JGD2011）,若宮健嗣
渡辺浩一郎,衆議院議員,生活の党と山本太郎となかまたち東京都第１９区総支部,1,小平市美園町３－１４－１１,35.739669,139.489942,座標系（JGD2011）,渡辺浩一郎
