地域,No,対象区市町村の町丁名,標本数
区部東部・北部エリア,49,板橋区徳丸３丁目、４丁目,15
区部東部・北部エリア,50,板橋区高島平２丁目,15
区部東部・北部エリア,51,板橋区成増５丁目,15
区部東部・北部エリア,52,板橋区徳丸８丁目,15
区部東部・北部エリア,53,板橋区島根３丁目,15
区部東部・北部エリア,54,足立区梅田７丁目,15
区部東部・北部エリア,55,足立区西新井栄町３丁目,15
区部東部・北部エリア,56,足立区入谷５丁目,15
区部東部・北部エリア,57,足立区六月２丁目,15
区部東部・北部エリア,58,足立区北加平町,15
区部東部・北部エリア,59,足立区東綾瀬１丁目,15
区部東部・北部エリア,60,足立区千住３丁目,15
区部東部・北部エリア,61,足立区千住桜木１丁目,15
区部東部・北部エリア,62,足立区神明３丁目,15
区部東部・北部エリア,63,葛飾区東四つ木２丁目,15
区部東部・北部エリア,64,葛飾区堀切８丁目,15
区部東部・北部エリア,65,葛飾区亀有３丁目,15
区部東部・北部エリア,66,葛飾区東金町２丁目,15
区部東部・北部エリア,67,葛飾区高砂３丁目,15
区部東部・北部エリア,68,葛飾区新小岩１丁目,15
区部東部・北部エリア,69,葛飾区金町４丁目,15
区部東部・北部エリア,70,江戸川区東小松川４丁目,15
区部東部・北部エリア,71,江戸川区一之江４丁目,15
区部東部・北部エリア,72,江戸川区平井６丁目,15
区部東部・北部エリア,73,江戸川区東小岩４丁目,15
区部東部・北部エリア,74,江戸川区南篠崎町１丁目,15
区部東部・北部エリア,75,江戸川区春江町５丁目,15
区部東部・北部エリア,76,江戸川区北葛西５丁目,15
区部東部・北部エリア,77,江戸川区中葛西６丁目,15
区部東部・北部エリア,78,江戸川区篠崎町６丁目,15
区部西部・南部エリア,79,品川区南品川２丁目,15
区部西部・南部エリア,80,品川区北品川２丁目,15
区部西部・南部エリア,81,品川区戸越４丁目,15
区部西部・南部エリア,82,品川区中延３丁目,15
区部西部・南部エリア,83,品川区小山６丁目,15
区部西部・南部エリア,84,品川区南大井４丁目,15
区部西部・南部エリア,85,目黒区青葉台３丁目,15
区部西部・南部エリア,86,目黒区下目黒３丁目,15
区部西部・南部エリア,87,目黒区鷹番２丁目,15
区部西部・南部エリア,88,目黒区大岡山１丁目,15
区部西部・南部エリア,89,目黒区八雲１丁目,15
区部西部・南部エリア,90,大田区大森中１丁目,15
区部西部・南部エリア,91,大田区南馬込２丁目,15
区部西部・南部エリア,92,大田区田園調布本町,15
区部西部・南部エリア,93,大田区久が原５丁目,15
区部西部・南部エリア,94,大田区南千束１丁目,15
区部西部・南部エリア,95,大田区西六郷３丁目,15
区部西部・南部エリア,96,大田区矢口３丁目,15
区部西部・南部エリア,97,大田区蒲田５丁目,15
区部西部・南部エリア,98,大田区西蒲田７丁目,15
区部西部・南部エリア,99,世田谷区南烏山６丁目,15
区部西部・南部エリア,100,世田谷区上祖師谷７丁目,15
区部西部・南部エリア,101,世田谷区大蔵１丁目,15
区部西部・南部エリア,102,世田谷区赤堤４丁目,15
区部西部・南部エリア,103,世田谷区代田５丁目,15
区部西部・南部エリア,104,世田谷区豪徳寺２丁目,15
区部西部・南部エリア,105,世田谷区弦巻４丁目,15
区部西部・南部エリア,106,世田谷区三軒茶屋１丁目,15
区部西部・南部エリア,107,世田谷区上馬２丁目,15
区部西部・南部エリア,108,世田谷区用賀１丁目,15
区部西部・南部エリア,109,世田谷区野毛１丁目,15
区部西部・南部エリア,110,世田谷区奥沢１丁目,15
区部西部・南部エリア,111,世田谷区北沢２丁目,15
区部西部・南部エリア,112,中野区南台３丁目,15
区部西部・南部エリア,113,中野区本町６丁目,15
区部西部・南部エリア,114,中野区中野３丁目,15
区部西部・南部エリア,115,中野区沼袋１丁目,15
区部西部・南部エリア,116,中野区野方６丁目,15
区部西部・南部エリア,117,中野区上鷺宮４丁目,15
区部西部・南部エリア,118,杉並区高円寺南４丁目,15
区部西部・南部エリア,119,杉並区成田東５丁目,15
区部西部・南部エリア,120,杉並区宮前２丁目,15
区部西部・南部エリア,121,杉並区西荻北３丁目,15
区部西部・南部エリア,122,杉並区井草３丁目,15
区部西部・南部エリア,123,杉並区本天沼２丁目,15
区部西部・南部エリア,124,杉並区和田２丁目,15
区部西部・南部エリア,125,杉並区下高井戸２丁目,15
区部西部・南部エリア,126,杉並区西荻南３丁目,15
区部西部・南部エリア,127,練馬区豊玉中２丁目,15
区部西部・南部エリア,128,練馬区旭丘１丁目,15
区部西部・南部エリア,129,練馬区平和台３丁目,15
区部西部・南部エリア,130,練馬区貫井４丁目,15
区部西部・南部エリア,131,練馬区高松３丁目,15
区部西部・南部エリア,132,練馬区土支田３丁目,15
区部西部・南部エリア,133,練馬区上石神井４丁目,15
区部西部・南部エリア,134,練馬区大泉町２丁目,15
区部西部・南部エリア,135,練馬区南大泉２丁目,15
区部西部・南部エリア,136,練馬区豊玉上２丁目,15
区部西部・南部エリア,137,練馬区桜台５丁目,15
区部系,,137地点,2055
多摩東部エリア,138,武蔵野市緑町２丁目,15
多摩東部エリア,139,武蔵野市中町２丁目,15
多摩東部エリア,140,武蔵野市緑町２丁目,15
多摩東部エリア,141,三鷹市新川４丁目,15
多摩東部エリア,142,三鷹市牟礼４丁目,15
多摩東部エリア,143,三鷹市野崎４丁目,15
多摩東部エリア,144,調布市国領町８丁目,15
多摩東部エリア,145,調布市菊野台３丁目,15
多摩東部エリア,146,調布市入間町２丁目,15
多摩東部エリア,147,小金井市中町４丁目,15
多摩東部エリア,148,小金井市前原町５丁目,15
多摩東部エリア,149,小平市小川西町２丁目,15
多摩東部エリア,150,小平市花小金井１丁目,15
多摩東部エリア,151,小平市上水本町５丁目,15
多摩東部エリア,152,東村山市野口町３丁目,15
多摩東部エリア,153,東村山市秋津町５丁目,15
多摩東部エリア,154,国分寺市本多４丁目,15
多摩東部エリア,155,国分寺市光町１丁目,15
多摩東部エリア,156,狛江市岩戸南１丁目,15
多摩東部エリア,157,清瀬市梅園１丁目,15
多摩東部エリア,158,東久留米市滝山６丁目,15
多摩東部エリア,159,西東京市南町５丁目,15
多摩東部エリア,160,西東京市緑町２丁目,15
多摩東部エリア,161,西東京市下保谷３丁目,15
多摩中央部北エリア,162,立川市西砂町５丁目,15
多摩中央部北エリア,163,立川市若葉町２丁目,15
多摩中央部北エリア,164,立川市錦町５丁目,15
多摩中央部北エリア,165,昭島市緑町２丁目,15
多摩中央部北エリア,166,昭島市玉川町２丁目,15
多摩中央部北エリア,167,福生市大字福生,15
多摩中央部北エリア,168,東大和市奈良橋４丁目,15
多摩中央部北エリア,169,武蔵村山市大南５丁目,15
多摩中央部北エリア,170,羽村市羽中３丁目,15
多摩中央部南エリア,171,八王子市元本郷町２丁目,15
多摩中央部南エリア,172,八王子市台町３丁目,15
多摩中央部南エリア,173,八王子市犬目町,15
多摩中央部南エリア,174,八王子市元八王子町３丁目,15
多摩中央部南エリア,175,八王子市散田町２丁目,15
多摩中央部南エリア,176,八王子市片倉町,15
多摩中央部南エリア,177,八王子市東中野,15
多摩中央部南エリア,178,八王子市平岡町,15
多摩中央部南エリア,179,八王子市鑓水２丁目,15
多摩中央部南エリア,180,府中市緑町２丁目,15
多摩中央部南エリア,181,府中市清水が丘２丁目,15
多摩中央部南エリア,182,府中市新町,15
多摩中央部南エリア,183,府中市住吉町２丁目,15
多摩中央部南エリア,184,町田市図師町,15
多摩中央部南エリア,185,町田市山崎町,15
多摩中央部南エリア,186,町田市玉川学園８丁目,15
多摩中央部南エリア,187,町田市南大谷,15
多摩中央部南エリア,188,町田市南つくし野,15
多摩中央部南エリア,189,町田市図師町,15
多摩中央部南エリア,190,国立市富士見台３丁目,15
多摩中央部南エリア,191,国立市北３丁目,15
多摩中央部南エリア,192,国立市谷保,15
多摩中央部南エリア,193,国立市泉3丁目,15
多摩中央部南エリア,194,多摩市関戸５丁目,15
多摩中央部南エリア,195,多摩市豊ケ丘６丁目,15
多摩中央部南エリア,196,稲城市大丸,15
多摩西部エリア,197,青梅市勝沼１丁目,15
多摩西部エリア,198,青梅市新町２丁目,15
多摩西部エリア,199,青梅市大柳町,15
多摩西部エリア,200,あきる野市引田,15
市郡部計,,63地点,945
合計（区部市郡部）200地点,,,3000
