NO.,政治団体の名称,事務所の所在地,座標L(経度),座標B(緯度),座標系,代表者,会計責任者,設立届出日,国会議員関係1,国会議員関係2,資金管理
68,浅草税理士政治連盟,台東区蔵前３－４－５,139.790828,35.703755,座標系（JGD2011）,大重拓朗,辻富世,S57.10.27,,,
69,浅草薬業政治連盟,台東区蔵前４－３４－９,139.789653,35.706084,座標系（JGD2011）,秦千津子,平田幸子,H21.4.1,,,
70,浅倉しげきを励ます会,小平市学園東町１－３－１１,139.481050,35.722864,座標系（JGD2011）,浅倉成樹,船橋誠治,H7.2.9,,,
71,朝倉泰忠後援会,多摩市東寺方５６２,139.438395,35.645036,座標系（JGD2011）,朝倉泰行,朝倉モト子,H28.6.2,,,
72,朝倉れい子後援会,中野区東中野１－５０－２,139.686428,35.705644,座標系（JGD2011）,朝倉玲子,中條千恵子,R1.5.10,1・2,参,
73,浅子けい子後援会,足立区興野１－４－１,139.783222,35.769792,座標系（JGD2011）,白石勝之,奥村辰之,H19.1.11,,,
74,浅田やすお後援会,文京区千駄木３－３７－１７,139.763683,35.725012,座標系（JGD2011）,浅田保雄,湊睦弘,H19.3.30,,,有
75,あさの清美後援会,墨田区立花４－２７－１４,139.833020,35.707473,座標系（JGD2011）,星野雅子,斉藤敬子,H26.9.19,,,
76,浅野たかしの会,西東京市東町３－１１－２２,139.564503,35.747600,座標系（JGD2011）,高橋俊男,本橋文直,H2.11.27,,,
77,浅野のりひろを応援する会,西東京市東町３－１１－２２,139.564503,35.747600,座標系（JGD2011）,高橋俊男,浅野徳宏,H30.7.18,,,
78,麻の実会,新宿区下落合４－９－２８,139.698197,35.718709,座標系（JGD2011）,麻生輝久,楠本浩子,S54.8.25,,,
79,麻布税理士政治連盟,港区元麻布３－２－２１,139.727459,35.657689,座標系（JGD2011）,千田喜之,佐々木康貴,S51.4.13,,,
80,あざみ民栄後援会,新宿区住吉町２－１８,139.721579,35.692120,座標系（JGD2011）,松本和美,大平玲子,H11.1.26,,,
81,明日につなぐ東久留米の底力の会,東久留米市神宝町２－６－６,139.545880,35.766422,座標系（JGD2011）,並木宏之,並木操子,H21.11.24,,,
82,あしたの会,港区芝浦４－１３－２３,139.748010,35.640200,座標系（JGD2011）,加藤紀彦,鈴木英之,H10.11.26,,,
83,明日を応援する会,渋谷区南平台町６－７,139.697412,35.654335,座標系（JGD2011）,橘高薫子,細倉結衣,H27.2.23,,,
84,明日の小平政策プロジェクト,小平市仲町５０－１１,139.481080,35.735229,座標系（JGD2011）,竹井庸子,竹井庸子,H26.12.8,,,
85,明日の品川を拓く会,品川区中延４－１６－１７,139.709181,35.604475,座標系（JGD2011）,井上裕之,古里兌夫,H18.8.8,,,
86,明日の千代田を拓く会,千代田区神田岩本町４－１４,139.774659,35.694335,座標系（JGD2011）,笹間芳彦,小山隆太郎,H4.10.27,,,
87,明日の豊島をつくる会,豊島区西池袋５－８－９,139.704875,35.732275,座標系（JGD2011）,長谷川清,松崎由美子,H23.4.13,,,
88,明日の西東京を創る会,西東京市新町２－５－１５,139.542348,35.713785,座標系（JGD2011）,石田秀世,児玉一江,H24.10.29,,,
89,明日の府中を考える会,府中市晴見町３－４－１２,139.478254,35.683088,座標系（JGD2011）,春藤美奈子,山田真佐子,H17.1.28,,,
90,明日の府中を考えるみんなの会,府中市南町４－５－３,139.465370,35.657648,座標系（JGD2011）,高野律雄,北谷豪,H23.11.18,,,有
91,明日のまち三鷹をつくる会,三鷹市下連雀３－２２－１３,139.562064,35.700281,座標系（JGD2011）,田中順子,亀谷二男,H31.2.20,,,
92,あぜ上三和子後援会,江東区千石２－８－１６,139.815779,35.679129,座標系（JGD2011）,酒井利夫,鶴岡清作,H22.3.18,,,
93,麻生輝久を育てる会,新宿区下落合４－９－２８,139.698197,35.718709,座標系（JGD2011）,河野洋平,麻生良久,S56.2.9,,,
94,麻生渡を励ます会,港区芝浦４－４－２７,139.744712,35.640173,座標系（JGD2011）,角田義之,角田義之,H7.1.18,,,
95,あたたかい市政をつくるみんなの会,東久留米市中央町２－４－３８,139.522237,35.754474,座標系（JGD2011）,井口信治,岩崎達夫,H13.12.20,,,
96,新しいあきる野を創る会,あきる野市菅生１４５６,139.285826,35.754331,座標系（JGD2011）,村木明美,宮崎直美,R1.9.13,,,
97,新しい大島をめざす町民の会,大島町岡田字新開６１－１,139.374441,34.788500,座標系（JGD2011）,山下明,三間伊織,H23.3.1,,,
98,新しい風千代田,千代田区九段北１－５－５,139.751794,35.696549,座標系（JGD2011）,堀田康彦,高山肇,H12.12.15,,,
99,新しい風の会,羽村市羽東３－１８－１,139.311600,35.754891,座標系（JGD2011）,島田清四郎,並木太一,H12.9.11,,,
100,新しい江東区をつくる会,江東区南砂２－２８－１５,139.823050,35.675240,座標系（JGD2011）,武田茂治,望月千秋,H19.3.19,,,
101,新しい市政を市民がともにつくる会,東村山市諏訪町２－３４－８,139.463622,35.769927,座標系（JGD2011）,岩間弘,松尾雄三,H30.11.20,,,
102,新しい市政を創る会,東久留米市南沢５－１８－５０,139.525455,35.743616,座標系（JGD2011）,篠宮孝,中村幸夫,H29.11.6,,,
103,新しい渋谷をつくる会,渋谷区初台１－１８－４,139.685447,35.678898,座標系（JGD2011）,東陽一,東陽一,H19.2.16,,,
104,新しい渋谷をはじめる会,渋谷区本町３－１０－３,139.682801,35.688749,座標系（JGD2011）,太田桂子,太田桂子,S63.12.27,,,
105,新しい島の風,小笠原村父島字吹上谷,142.211322,27.076617,座標系（JGD2011）,高橋研史,高橋浩子,H19.6.6,,,
106,新しい時代に新しい区長を！オール大田の会,大田区蒲田１－１８－１,139.721798,35.565529,座標系（JGD2011）,福石満,野本春吉,H31.2.4,,,
107,新しい政治のあり方を,稲城市矢野口２２６１－１１,139.515891,35.634330,座標系（JGD2011）,土居範洋,佐藤常記,H31.3.25,,,
108,新しい千代田,千代田区飯田橋１－３－４,139.749678,35.697949,座標系（JGD2011）,河合良郎,早尾恭一,H23.2.10,,,
109,あたらしい党,北区上十条２－２５－１４,139.721144,35.760488,座標系（JGD2011）,音喜多駿,高橋元気,H30.10.12,1,参,
110,新しい瑞穂町をつくる会,西多摩郡瑞穂町大字箱根ケ崎４６１－３,139.345605,35.773528,座標系（JGD2011）,柚木克也,柚木祐美子,H29.9.7,,,
111,足立革新区政をつくる会,足立区西新井栄町２－１３－８,139.787085,35.777837,座標系（JGD2011）,黒岩哲彦,小林弘子,S63.7.11,,,
112,足立区日本共産党後援会,足立区梅島２－１６－２,139.798927,35.776403,座標系（JGD2011）,鈴木重助,花渕洋,S59.4.13,,,
113,足立区のニューリーダーを誕生させる会,足立区古千谷本町１－９－４,139.774014,35.801810,座標系（JGD2011）,馬場信男,馬場重雄,H30.10.17,,,
114,足立区まちづくり研究会,足立区栗原４－５－１,139.785608,35.783467,座標系（JGD2011）,米山泰志,米山泰志,H25.12.18,,,
115,足立さわやか会,足立区綾瀬３－１７－２５,139.823999,35.764497,座標系（JGD2011）,湯川貴子,湯川貴子,H18.10.16,,,有
116,足立・生活者ネットワーク,足立区綾瀬１－３２－３,139.823512,35.761326,座標系（JGD2011）,木下ひろみ,小杉あけみ,H6.7.25,,,
117,足立税理士政治連盟,足立区千住１－３７－７,139.802571,35.747038,座標系（JGD2011）,立田彰,大谷安弘,S51.8.4,,,
118,足立創生政策研究会,足立区梅島２－４－１０,139.802138,35.776396,座標系（JGD2011）,近藤弥生,仙波健雄,H20.2.22,,,有
119,あだちの未来を創る会,足立区千住仲町１１－１２,139.800277,35.745246,座標系（JGD2011）,中島晃一郎,中島晃一郎,H30.12.5,,,有
120,あつみのりひさと歩む会,三鷹市新川４－２４－７,139.572732,35.675860,座標系（JGD2011）,渥美典尚,渥美橘,H22.6.11,,,有
121,あとう和之後援会,墨田区押上２－１９－５,139.813647,35.713737,座標系（JGD2011）,石橋正夫,伊藤善康,H16.12.8,,,
122,あなたと創る明日の中野の会,中野区若宮１－１５－９,139.649942,35.718057,座標系（JGD2011）,酒井直人,菊地亮太,H30.2.19,,,有
123,あぶかわ浩を励ます会,小平市美園町２－３－１５,139.489001,35.737808,座標系（JGD2011）,虻川浩,佐藤信,H18.12.7,,,有
124,あべきみこ後援会,墨田区立花４－１－８,139.829056,35.710845,座標系（JGD2011）,三科菊男,出井正子,H15.2.13,,,
125,阿部浩子を育てる会,港区麻布十番２－４－１,139.734071,35.656148,座標系（JGD2011）,阿部浩子,渡辺美喜夫,H29.6.30,,,有
126,あべ弘幸後援会,世田谷区下馬３－１６－１３,139.675059,35.636091,座標系（JGD2011）,原田不二雄,安部由美子,H22.7.1,,,
127,阿部ひろゆきと多摩の未来をつなぐ会,多摩市和田１５４８,139.432319,35.646175,座標系（JGD2011）,阿部裕行,阿部祐子,H22.2.5,,,有
128,阿部光利後援会,台東区下谷２－２３－４,139.784924,35.722895,座標系（JGD2011）,阿部光利,阿部弘子,H22.11.11,,,
129,あべ祐美子後援会,品川区北品川５－５－２７,139.730271,35.622708,座標系（JGD2011）,阿部祐美子,阿部亮一,H24.4.3,,,有
130,あべよしひろ後援会,青梅市河辺町７－２２－３,139.296963,35.779620,座標系（JGD2011）,阿部悦博,阿部ちづる,H22.12.13,,,
131,あべ利恵子励ます会,東久留米市神宝町２－４－７,139.546557,35.765301,座標系（JGD2011）,阿部利恵子,南部彰男,H19.2.20,,,有
132,あべ力也後援会,世田谷区岡本１－３８－１４,139.617371,35.628000,座標系（JGD2011）,阿部力也,阿部力也,H10.8.26,,,有
133,天沼明後援会,青梅市新町５－１－１０,139.303574,35.788471,座標系（JGD2011）,山下望,天沼ハルミ,H27.2.16,,,
134,天野まさあき後援会,あきる野市小和田１２３,139.220945,35.722800,座標系（JGD2011）,天野正昭,天野久江,H25.1.9,,,有
135,あまの友太後援会,葛飾区高砂３－１－４５,139.868186,35.745635,座標系（JGD2011）,天野友太,鈴木和美,H29.8.28,,,
136,あまめいし要一郎後援会,武蔵村山市大南４－２１－３１,139.409246,35.734223,座標系（JGD2011）,天目石要一郎,天目石一也,H29.4.24,,,有
137,雨宮武彦後援会,新宿区大京町２９,139.715492,35.682199,座標系（JGD2011）,坂本彬,井田征一,H2.12.28,,,
138,鮎川ゆうすけ後援会,調布市染地３－１－１０５,139.562115,35.638544,座標系（JGD2011）,鮎川有祐,土屋功,H30.5.28,,,有
139,歩む会,中央区晴海３－１３－１,139.777811,35.655008,座標系（JGD2011）,渡部恵子,渡部峰夫,H23.2.4,,,有
140,あらい健後援会,稲城市平尾２－３－１,139.494962,35.610495,座標系（JGD2011）,志村寛,山口由記子,H23.2.28,,,
141,新井ともはる後援会,日野市旭が丘６－８－１０,139.364898,35.660204,座標系（JGD2011）,新井智陽,新井美知子,H20.11.18,,,有
142,荒井のりよし後援会,青梅市大柳町１５４１,139.249984,35.786096,座標系（JGD2011）,浜中武夫,荒井洋子,H18.10.13,,,
143,荒井ひろゆき後援会,昭島市中神町１－９－１０,139.372588,35.702400,座標系（JGD2011）,石川忠男,関根良長,H6.11.17,,,
144,新井よしなお後援会,町田市玉川学園８－１８－２３,139.464258,35.558393,座標系（JGD2011）,新井克尚,新井克尚,H13.11.30,,,有
145,あらお大介後援会,大田区西蒲田６－３４－７,139.711542,35.564590,座標系（JGD2011）,和田正子,駒木根智行,H27.3.16,,,
146,荒川から維新の風を,荒川区南千住２－１０－８,139.795187,35.730443,座標系（JGD2011）,高岡明広,荒川和宣,H25.4.2,,,
147,荒川区歯科医師連盟,荒川区荒川４－２－２１,139.781005,35.736127,座標系（JGD2011）,山田幸男,角譲,S51.7.5,,,
148,荒川区日本共産党後援会,荒川区荒川７－３７－１,139.780414,35.741188,座標系（JGD2011）,野口淳,高月昭,S57.10.19,,,
149,あらかわ元気クラブ,荒川区町屋７－５－１３,139.787223,35.751907,座標系（JGD2011）,河内ひとみ,河内ひとみ,H14.12.18,,,有
150,荒川税理士政治連盟,荒川区西日暮里６－７－６,139.772597,35.737018,座標系（JGD2011）,渡辺信一,木田正幸,S53.5.24,,,
151,荒川なお後援会,板橋区坂下１－２６－１１,139.689044,35.781737,座標系（JGD2011）,岩本清太郎,田島静子,H23.3.16,,,
152,荒川民社協会,荒川区西日暮里２－２８－８,139.771666,35.730537,座標系（JGD2011）,清水啓史,清水友美,H18.9.15,,,
153,あらかわゆいの会,荒川区西尾久７－６０－１０,139.750466,35.750609,座標系（JGD2011）,竹内明浩,花澤昭信,H30.7.18,,,
154,荒木ひでき後援会,大田区山王３－１－１３,139.725805,35.585643,座標系（JGD2011）,荒木秀樹,富永浩司,H2.10.25,,,有
155,荒谷たかみ友の会,多摩市諏訪２－２,139.451049,35.626101,座標系（JGD2011）,荒谷隆見,日達正一,H22.11.8,,,有
156,あらはた伸一と市民の会,東大和市高木２－１２６－１７,139.433402,35.752556,座標系（JGD2011）,荒幡伸一,荒幡正子,H26.10.31,,,有
157,有里真穂後援会,豊島区長崎６－２３－１０,139.682164,35.734807,座標系（JGD2011）,清水良浩,有里英一,H26.4.4,,,
158,有馬俊郎後援会,新宿区中落合２－１２－２６,139.690433,35.719895,座標系（JGD2011）,有馬俊郎,有馬万里子,H15.2.28,,,有
159,有馬豊後援会,練馬区石神井町１－１７－１４,139.610607,35.741044,座標系（JGD2011）,井賀真一,山田滋,H14.10.17,,,
160,あるがさんと共に日野・市民自治の町をめざす会,日野市多摩平５－３－７,139.377135,35.668207,座標系（JGD2011）,有賀精一,有賀精一,H27.11.26,,,
161,安斉あきら後援会,杉並区上井草４－１６－８,139.596708,35.720081,座標系（JGD2011）,安齋昭,安齋昭,H18.7.5,,,有
162,安斉きみ子後援会,多摩市貝取１－１４－６,139.442242,35.630100,座標系（JGD2011）,新田孝,滝沢幸子,H15.2.25,,,
163,安西俊一後援会,葛飾区金町６－７－１４,139.873268,35.768319,座標系（JGD2011）,安西俊一,進藤カズヱ,H13.7.11,,,有
164,安心と文化を育む会,国立市中１－１０－２,139.445271,35.698066,座標系（JGD2011）,新田國夫,桂耕史,H23.3.29,,,
165,安全・安心・活力ある葛飾区を実現する集い,葛飾区鎌倉２－３１－１２,139.879188,35.744865,座標系（JGD2011）,会田馨弓,西川泰彦,H21.8.28,,,
166,安全安心な社会を創る政治の会,府中市若松町２－１１－６,139.498400,35.672790,座標系（JGD2011）,小川暁男,大河弘,H22.2.15,,,
167,安藤修三後援会,八王子市散田町１－７－２,139.316493,35.653850,座標系（JGD2011）,安藤修三,安藤工,H22.11.11,,,有
168,安藤みつる後援会,大田区羽田３－１－２,139.744652,35.548713,座標系（JGD2011）,佃善治,田村宝,H14.4.24,,,
169,安保法制の廃止と立憲主義の回復を求める市民連合,千代田区神田三崎町３－３－３,139.752617,35.700022,座標系（JGD2011）,廣渡清吾,佐藤学,H28.4.1,,,
170,飯倉昭二後援会,足立区千住３－９８,139.804898,35.751900,座標系（JGD2011）,飯倉昭二,石渡良昌,H18.8.2,,,有
171,いいじま和代を励ます会,目黒区中町１－１６－１７,139.696124,35.631894,座標系（JGD2011）,飯島和代,草尾松寿,H22.11.30,,,有
172,いいじま文彦後援会,多摩市和田９６,139.432159,35.644229,座標系（JGD2011）,飯島文彦,飯島博幸,H27.2.12,,,有
173,五十嵐京子を支援する会,小金井市本町３－８－９,139.508221,35.706270,座標系（JGD2011）,五十嵐京子,能勢富美子,H24.9.20,,,有
174,五十嵐ひろゆき後援会,立川市カヤ町１－９－１３,139.407792,35.714148,座標系（JGD2011）,木村文治郎,工藤てい子,H30.4.9,,,
175,五十嵐みさ後援会,福生市福生２３４３,139.337307,35.737828,座標系（JGD2011）,五十嵐みさ,早田大作,H22.11.11,,,有
176,五十嵐やす子と未来へ,板橋区常盤台４－６－２,139.681830,35.764113,座標系（JGD2011）,五十嵐泰子,松本光子,H22.11.18,,,有
177,イキイキ足立を創る会,足立区梅島２－４－１０,139.802138,35.776396,座標系（JGD2011）,秋山啓司,國井孝重,H19.3.14,,,
178,いきいきと輝くまち三鷹市民の会,三鷹市井の頭１－１４－２３,139.589486,35.690924,座標系（JGD2011）,清原慶子,佐野耕一,H15.2.27,,,
179,生きやすい街をつくる会,中央区月島３－２４－８,139.778651,35.663244,座標系（JGD2011）,石田太朗,石田節子,H30.11.16,,,有
180,「生きる権利を市民の手で！」の会,国立市西２－１１－３２,139.437210,35.693940,座標系（JGD2011）,三井俊明,田島すみ子,H31.1.17,,,
181,育児支援と防災緑地と平らな歩道の中野を創る会,中野区新井１－１－１６,139.669971,35.710235,座標系（JGD2011）,吉田康一郎,岩田真,H30.4.10,,,
182,生田大五郎と練馬の未来をつくる会,練馬区旭町２－１０－１８,139.625279,35.770928,座標系（JGD2011）,生田大五郎,生田大五郎,H27.6.1,,,有
183,井口和子後援会,杉並区清水３－１６－２,139.614829,35.717007,座標系（JGD2011）,井口かづ子,石原直幸,H14.5.9,,,有
184,池内沙織後援会,北区中十条２－１１－６,139.726618,35.762603,座標系（JGD2011）,岩垂健,野村寿乃,H20.1.4,,,
185,池座俊子とまちづくりの会,狛江市東和泉１－１－２５,139.580305,35.633853,座標系（JGD2011）,池座俊子,中西和子,H14.10.15,,,有
186,いけじり成二と練馬区政を語る会,練馬区三原台３－５－２５,139.600705,35.752517,座標系（JGD2011）,池尻成二,池尻成二,H10.6.18,,,有
187,池田英司後援会,稲城市矢野口５５－２,139.513411,35.644077,座標系（JGD2011）,池田英司,長坂朋弘,H27.2.6,,,
188,池田けい子友の会,多摩市永山６－７－６,139.444878,35.615438,座標系（JGD2011）,池田啓子,長井紀佳,H22.11.8,,,有
189,池田こうじ後援会,港区六本木５－１７－１６,139.736434,35.661077,座標系（JGD2011）,池田幸司,池田恭子,H14.9.12,,,有
190,池田公三後援会,福生市志茂１１５,139.333024,35.736513,座標系（JGD2011）,島田治,松山千恵子,H22.12.10,,,
191,池田政策研究所,世田谷区奥沢７－３３－２,139.661286,35.605961,座標系（JGD2011）,池田健三郎,池田正典,H23.4.28,,,
