,政党支部の名称,事務所の所在地,緯度,経度,座標系,代表者,会計責任者,設立届出日,国会議員関係
37,自由民主党東京都港区第二十一支部,港区六本木３－４－５,35.664679,139.736658,座標系（JGD2011）,池田幸司,池田恭子,H18.10.5,
38,自由民主党東京都港区第二十二支部,港区高輪１－２６－１８,35.637278,139.733256,座標系（JGD2011）,鵜飼雅彦,鵜飼良彦,H18.9.25,
39,自由民主党東京都港区第二十三支部,港区南青山４－１－１１,35.667151,139.719666,座標系（JGD2011）,結城公美子,結城光江,H18.11.8,
40,自由民主党東京都港区第二十五支部,港区三田５－７－１２,35.645985,139.739317,座標系（JGD2011）,二島豊司,押見裕司,H18.11.24,
41,自由民主党東京都港区第二十七支部,港区白金３－１８－１２,35.644089,139.729694,座標系（JGD2011）,清原和幸,三ヶ田雄一,H20.12.22,
42,自由民主党東京都港区第二十八支部,港区芝大門１－１１－３,35.658299,139.753067,座標系（JGD2011）,土屋準,土屋ゆき,H23.12.19,
43,自由民主党東京都港区第二十九支部,港区芝２－１２－１６,35.651620,139.752510,座標系（JGD2011）,鈴木孝弥,塚田宣文,H23.3.28,
44,自由民主党東京都港区第三十二支部,港区南青山４－８－６,35.666757,139.719223,座標系（JGD2011）,有働巧,佐野久仁子,H27.1.13,
45,自由民主党東京都港区第三十三支部,港区南麻布１－４－２１,35.652257,139.733514,座標系（JGD2011）,小倉里枝子,横山健治,H26.9.1,
46,自由民主党東京都港区第三十五支部,港区白金台４－１２－８,35.638005,139.724486,座標系（JGD2011）,広瀬康令,河又麻里子,H26.9.8,
47,自由民主党東京都港区第三十六支部,港区港南２－４－７,35.628654,139.744682,座標系（JGD2011）,黒崎祐一,川畑博,H26.9.11,
48,自由民主党東京都港区第三十七支部,港区芝浦４－２０－２,35.639814,139.752001,座標系（JGD2011）,柳澤亜紀,川中浩平,H27.3.25,
49,自由民主党新宿総支部,新宿区新宿３－２２－１２,35.693105,139.701817,座標系（JGD2011）,小倉利彦,宮坂俊文,S51.2.17,
50,自由民主党東京都参議院選挙区第四支部,新宿区四谷１－２１,35.685454,139.728722,座標系（JGD2011）,大塚珠代,三浦基広,H19.6.6,参
51,自由民主党東京都第一選挙区支部,新宿区四谷２－８,35.687172,139.724969,座標系（JGD2011）,山田美樹,吉澤昌樹,H22.4.16,衆
52,自由民主党東京都新宿区第三支部,新宿区西新宿４－１１－１３,35.689285,139.686292,座標系（JGD2011）,秋田一郎,秋田勝也,H13.6.7,
53,自由民主党東京都新宿区第四支部,新宿区歌舞伎町２－４２－３,35.697698,139.701404,座標系（JGD2011）,下村治生,下村優子,H16.11.12,
54,自由民主党東京都新宿区第七支部,新宿区四谷１－３,35.686224,139.729077,座標系（JGD2011）,小倉利彦,小倉照子,H14.10.21,
55,自由民主党東京都新宿区第九支部,新宿区矢来町１０３,35.703237,139.734048,座標系（JGD2011）,吉住栄郎,長森祐一郎,H14.12.16,
56,自由民主党東京都新宿区第十四支部,新宿区西新宿８－１－８,35.694761,139.693941,座標系（JGD2011）,桑原羊平,桑原初美,H12.11.7,
57,自由民主党東京都新宿区第十六支部,新宿区若松町６－１５,35.699562,139.721926,座標系（JGD2011）,吉住健一,吉住裕子,H14.9.25,
58,自由民主党東京都新宿区第十七支部,新宿区高田馬場３－２３－１,35.712251,139.698552,座標系（JGD2011）,樋山真一,磯崎督男,H19.1.26,
59,自由民主党東京都新宿区第十八支部,新宿区西早稲田１－１８－１５,35.711143,139.719529,座標系（JGD2011）,佐原勇,佐原朋子,H18.8.10,
60,自由民主党東京都新宿区第十九支部,新宿区下落合３－７－１１,35.719937,139.700625,座標系（JGD2011）,末木亮,宮内正光,H27.3.13,
61,自由民主党東京都新宿区第二十支部,新宿区山吹町３３３,35.707630,139.730307,座標系（JGD2011）,田所龍次郎,安井彰,H27.2.27,
62,自由民主党東京都新宿区第二十一支部,新宿区富久町２３－１１,35.694657,139.716131,座標系（JGD2011）,渡邉清人,斉藤広之,H27.1.27,
63,自由民主党東京都新宿区第二十二支部,新宿区北新宿４－２３－２,35.708051,139.691783,座標系（JGD2011）,池田大介,西野敏夫,H23.4.12,
64,自由民主党東京都新宿区第二十四支部,新宿区新宿５－１２－１０,35.694100,139.707661,座標系（JGD2011）,大門幸恵,柴田里子,H27.4.17,
65,自由民主党文京総支部,文京区白山２－２４－７,35.716193,139.750923,座標系（JGD2011）,中屋文孝,名取顕一,S51.3.5,
66,自由民主党東京都文京区第二支部,文京区白山２－２４－７,35.716193,139.750923,座標系（JGD2011）,中屋文孝,稲見正治,H13.6.13,
67,自由民主党東京都文京区第五支部,文京区小石川５－３４－６,35.719740,139.740786,座標系（JGD2011）,橋本直和,橋本由紀子,H12.5.29,
68,自由民主党東京都文京区第十二支部,文京区千石４－１８－２,35.730545,139.737347,座標系（JGD2011）,名取顕一,新保松雄,H26.10.24,
69,自由民主党東京都文京区第十五支部,文京区本郷４－３５－２,35.709354,139.756553,座標系（JGD2011）,田中利周,田中友康,H18.11.13,
70,自由民主党東京都文京区第十六支部,文京区春日１－９－２７,35.708867,139.746130,座標系（JGD2011）,海老澤敬子,山際美智代,H19.1.22,
71,自由民主党東京都文京区第十九支部,文京区本駒込５－３９－４,35.733028,139.753548,座標系（JGD2011）,市村泰敏,米田孝雄,H27.3.19,
72,自由民主党東京都文京区第二十支部,文京区小日向２－１０－１９,35.713492,139.733844,座標系（JGD2011）,山田浩子,根岸学子,H27.4.10,
73,自由民主党東京都文京区第二十一支部,文京区根津１－１－８,35.717355,139.765320,座標系（JGD2011）,佐藤豪一,井上慶太,H27.4.13,
74,自由民主党台東総支部,台東区日本堤２－２３－１３,35.728061,139.796905,座標系（JGD2011）,深谷隆司,太田雅久,S51.2.25,
75,自由民主党東京都衆議院第五十一支部,台東区日本堤２－２３－１３,35.728061,139.796905,座標系（JGD2011）,深谷隆司,宮元亮一,H7.1.4,
76,自由民主党東京都第二選挙区支部,台東区日本堤２－２３－１３,35.728061,139.796905,座標系（JGD2011）,辻清人,稲見正治,H23.11.2,衆
77,自由民主党東京都台東区第３支部,台東区谷中３－７－１３,35.726368,139.764776,座標系（JGD2011）,服部征夫,有賀弘,H11.12.28,
78,自由民主党東京都台東区第五支部,台東区東上野１－２０－６,35.708777,139.778408,座標系（JGD2011）,田口治喜,田口治喜,H15.1.23,
79,自由民主党東京都台東区第七支部,台東区上野１－１７－４,35.706870,139.771672,座標系（JGD2011）,保坂三蔵,川上昭栄,H23.3.7,
80,自由民主党東京都台東区第八支部,台東区橋場２－１０－２,35.727023,139.805645,座標系（JGD2011）,寺井康芳,寺井勝子,H15.4.14,
81,自由民主党東京都台東区第十六支部,台東区東上野６－３－４,35.712007,139.783441,座標系（JGD2011）,太田雅久,太田恵子,H15.4.14,
82,自由民主党東京都台東区第十七支部,台東区今戸２－３－８,35.721108,139.806643,座標系（JGD2011）,和泉浩司,和泉かほる,H15.4.14,
83,自由民主党東京都台東区第十八支部,台東区東上野３－７－９,35.710161,139.780769,座標系（JGD2011）,高森喜美子,相原洋一,H18.6.28,
84,自由民主党東京都台東区第十九支部,台東区雷門２－１－１１,35.710000,139.797753,座標系（JGD2011）,石川義弘,野原肇,H18.7.11,
85,自由民主党東京都台東区第二十二支部,台東区日本堤２－１８－２,35.727216,139.795276,座標系（JGD2011）,石塚猛,稲見正治,H17.4.1,
86,自由民主党東京都台東区第二十三支部,台東区日本堤２－１９－２,35.727361,139.795475,座標系（JGD2011）,村上健市,金子博文,H22.12.10,
87,自由民主党東京都台東区第二十五支部,台東区浅草３－２２－１１,35.716961,139.796795,座標系（JGD2011）,鈴木純,鈴木多美子,H22.12.8,
88,自由民主党東京都台東区第二十六支部,台東区鳥越２－８－９,35.703031,139.784848,座標系（JGD2011）,望月元美,望月建治,H23.2.1,
89,自由民主党東京都台東区第二十七支部,台東区池之端２－５－３４,35.716706,139.765630,座標系（JGD2011）,保坂真宏,清水和栄,H27.3.9,
90,自由民主党東京都台東区第二十八支部,台東区下谷３－２－８,35.723704,139.785122,座標系（JGD2011）,小島智史,大野晴弘,H27.3.9,
91,自由民主党東京都台東区第二十九支部,台東区三筋１－１２－１２,35.704238,139.785694,座標系（JGD2011）,藤目裕久,和久幹夫,H27.3.9,
92,自由民主党墨田総支部,墨田区向島３－１８－１０,35.714610,139.810160,座標系（JGD2011）,坂下修,樋口敏郎,S55.4.15,
93,自由民主党東京都第十四選挙区支部,墨田区押上１－２４－２,35.709945,139.814458,座標系（JGD2011）,松島みどり,山中みどり,H7.1.4,衆
94,自由民主党東京都墨田区第三支部,墨田区石原３－４－８,35.699157,139.804703,座標系（JGD2011）,川松真一朗,大室喜代松,H25.6.13,
95,自由民主党東京都墨田区第六支部,墨田区墨田５－３３－４,35.737228,139.820184,座標系（JGD2011）,瀧澤良仁,滝沢泰世,H13.3.7,
96,自由民主党東京都墨田区第十二支部,墨田区向島３－１８－１０,35.714610,139.810160,座標系（JGD2011）,坂下修,坂下千枝子,H13.2.22,
97,自由民主党東京都墨田区第十四支部,墨田区本所２－１４－３,35.704140,139.800594,座標系（JGD2011）,木内清,猪又健一,H27.1.20,
98,自由民主党東京都墨田区第十五支部,墨田区八広４－１１－１９,35.722308,139.827107,座標系（JGD2011）,出羽邦夫,岩井義治,H13.2.22,
99,自由民主党東京都墨田区第十八支部,墨田区八広１－３９－１７,35.721190,139.824559,座標系（JGD2011）,田中邦友,田中節子,H13.2.22,
100,自由民主党東京都墨田区第十九支部,墨田区京島１－５３－１３,35.717350,139.822913,座標系（JGD2011）,沖山仁,沖山邦彦,H13.3.7,
101,自由民主党東京都墨田区第二十支部,墨田区江東橋１－８－７,35.694332,139.809212,座標系（JGD2011）,林恒雄,林千穂,H13.3.7,
102,自由民主党東京都墨田区第二十一支部,墨田区立花５－３－１,35.711328,139.829309,座標系（JGD2011）,桜井浩之,桜井房子,H13.2.22,
103,自由民主党東京都墨田区第二十三支部,墨田区八広３－６－３,35.720701,139.825936,座標系（JGD2011）,樋口敏郎,樋口潤,H16.5.28,
104,自由民主党東京都墨田区第二十五支部,墨田区向島５－４２－３,35.718852,139.812262,座標系（JGD2011）,山本亨,白土大輔,H18.12.27,
105,自由民主党東京都墨田区第二十六支部,墨田区業平４－５－１６,35.706869,139.815905,座標系（JGD2011）,福田はるみ,福田桂二,H20.12.18,
106,自由民主党東京都墨田区第二十七支部,墨田区東駒形２－２－４,35.705534,139.800530,座標系（JGD2011）,坂井香,鳥居鋭一,H27.1.28,
107,自由民主党東京都墨田区第二十八支部,墨田区京島３－１８－４,35.715770,139.823590,座標系（JGD2011）,佐藤篤,佐藤加奈,H23.2.21,
108,自由民主党東京都墨田区第二十九支部,墨田区八広６－３－３,35.729410,139.826525,座標系（JGD2011）,畠知里,栗原伸行,H27.3.13,
109,自由民主党東京都墨田区第三十支部,墨田区緑１－２－１２,35.692650,139.798220,座標系（JGD2011）,加藤拓,加藤瑞穂,H23.3.24,
110,自由民主党東京都墨田区第三十一支部,墨田区堤通１－５－９,35.723204,139.811815,座標系（JGD2011）,中澤英美里,中澤敬子,H23.5.12,
111,自由民主党東京都墨田区第三十二支部,墨田区亀沢４－２２－８,35.699060,139.806767,座標系（JGD2011）,門みどり,安藤隆夫,H26.11.18,
112,自由民主党東京都墨田区第三十三支部,墨田区太平３－５－８,35.700077,139.813741,座標系（JGD2011）,松本久,大塚正博,H27.2.2,
113,自由民主党東京都墨田区第三十四支部,墨田区東向島５－４２－１,35.729058,139.823279,座標系（JGD2011）,宇??行弥,峯村裕介,H27.2.27,
114,自由民主党江東総支部,江東区東陽３－７－１１,35.669521,139.809704,座標系（JGD2011）,堀川幸志,榎本雄一,S51.2.28,
115,自由民主党東京都第十五選挙区支部,江東区東陽５－３１－２２,35.672525,139.815532,座標系（JGD2011）,秋元司,川地晃弘,H23.6.17,衆
116,自由民主党東京都江東区第２支部,江東区南砂１－７－４,35.679762,139.823107,座標系（JGD2011）,山崎孝明,中村照彦,H11.12.28,
117,自由民主党東京都江東区第十支部,江東区東陽３－７－１１,35.669521,139.809704,座標系（JGD2011）,堀川幸志,堀川昌裕,H14.9.27,
118,自由民主党東京都江東区第十七支部,江東区大島３－７－１３,35.693171,139.828151,座標系（JGD2011）,榎本雄一,諸伏恵一,H14.9.27,
119,自由民主党東京都江東区第十八支部,江東区東砂３－２７－２,35.679205,139.844029,座標系（JGD2011）,星野博,内山ハルエ,H14.9.27,
120,自由民主党東京都江東区第二十支部,江東区住吉２－１４－２,35.690296,139.813637,座標系（JGD2011）,佐藤信夫,鈴木良金,H14.9.27,
121,自由民主党東京都江東区第二十二支部,江東区冬木２１－２２,35.675409,139.801673,座標系（JGD2011）,山本香代子,久保洋子,H24.5.29,
122,自由民主党東京都江東区第二十四支部,江東区亀戸６－３０－４,35.696347,139.828014,座標系（JGD2011）,高橋恵海,高橋重光,H19.1.25,
123,自由民主党東京都江東区第二十五支部,江東区永代２－３７－２４,35.674876,139.792685,座標系（JGD2011）,竹田将英,児玉昇,H19.1.25,
124,自由民主党東京都江東区第二十六支部,江東区亀戸５－１７－４,35.699973,139.826447,座標系（JGD2011）,豊島成彦,新井康友,H27.2.23,
125,自由民主党東京都江東区第二十七支部,江東区南砂４－１９－９,35.672253,139.832364,座標系（JGD2011）,中嶋雅樹,高橋道夫,H27.2.5,
126,自由民主党東京都江東区第三十支部,江東区大島４－１７－１５,35.687707,139.832351,座標系（JGD2011）,若林茂,若林ミイ,H19.1.25,
127,自由民主党東京都江東区第三十二支部,江東区東陽５－３１－２１,35.672584,139.815798,座標系（JGD2011）,米沢和裕,米沢佐知子,H19.2.6,
128,自由民主党東京都江東区第三十三支部,江東区南砂２－２８－１５,35.675222,139.823057,座標系（JGD2011）,山崎一輝,田中正勝,H21.1.29,
129,自由民主党東京都江東区第三十四支部,江東区扇橋３－２１－１０,35.684007,139.819672,座標系（JGD2011）,釼先美彦,釼先知子,H23.4.7,
130,自由民主党東京都江東区第三十五支部,江東区森下４－２４－１,35.687879,139.803537,座標系（JGD2011）,庄野剛志,庄野景子,H23.4.7,
131,自由民主党東京都江東区第三十六支部,江東区東雲１－８－１６,35.645079,139.800602,座標系（JGD2011）,重松佳幸,坂口優,H23.4.14,
132,自由民主党東京都江東区第三十七支部,江東区豊洲４－９－１３,35.655230,139.800370,座標系（JGD2011）,西垣誠,鈴木由希子,H27.3.12,
133,自由民主党品川総支部,品川区大井１－２２－５,35.606592,139.732676,座標系（JGD2011）,石原宏高,鈴木真澄,S51.2.26,
134,自由民主党東京都第三選挙区支部,品川区大井１－２２－５,35.606592,139.732676,座標系（JGD2011）,石原宏高,湯澤一貴,H7.1.4,衆
135,自由民主党東京都品川区第九支部,品川区豊町１－４－１７,35.614415,139.722083,座標系（JGD2011）,松澤利行,松澤麗子,H14.11.15,
136,自由民主党東京都品川区第十四支部,品川区南大井５－１３－５,35.595950,139.734509,座標系（JGD2011）,伊藤昌宏,伊藤香代美,H14.10.7,
137,自由民主党東京都品川区第十五支部,品川区大崎２－１－２,35.617797,139.726793,座標系（JGD2011）,本多健信,本多恵,H15.4.17,
138,自由民主党東京都品川区第十六支部,品川区南品川５－１１－３３,35.607646,139.738508,座標系（JGD2011）,鈴木真澄,鈴木由美子,H14.8.26,
139,自由民主党東京都品川区第十七支部,品川区北品川１－３０－４,35.620527,139.742081,座標系（JGD2011）,石田秀男,石田京子,H15.4.17,
140,自由民主党東京都品川区第十八支部,品川区大井１－１１－６,35.607505,139.732595,座標系（JGD2011）,田中豪,田中みか,H14.7.2,
141,自由民主党東京都品川区第二十支部,品川区小山３－２５－９,35.619102,139.704139,座標系（JGD2011）,大澤真一,市川郁雄,H15.5.30,
142,自由民主党東京都品川区第二十一支部,品川区平塚１－１３－１０,35.613056,139.715555,座標系（JGD2011）,山内晃,岡名浩一,H18.9.12,
143,自由民主党東京都品川区第二十二支部,品川区戸越４－１１－７,35.610862,139.720191,座標系（JGD2011）,渡辺裕一,山岡秀輝,H19.4.13,
144,自由民主党東京都品川区第二十四支部,品川区大井５－２８－５,35.597958,139.725827,座標系（JGD2011）,沢田洋和,沢田洋,H22.7.27,
145,自由民主党東京都品川区第二十五支部,品川区西中延２－１７－２,35.609098,139.707627,座標系（JGD2011）,渡部茂,角只彦,H26.6.5,
146,自由民主党東京都品川区第二十六支部,品川区荏原５－４－７,35.614673,139.704769,座標系（JGD2011）,吉田征四郎,吉田恵子,H23.3.16,
147,自由民主党東京都品川区第二十七支部,品川区小山５－２５－１６,35.614710,139.700955,座標系（JGD2011）,横山由香理,喜谷聡子,H26.9.16,
148,自由民主党東京都品川区第二十八支部,品川区旗の台３－５－１４,35.605014,139.707864,座標系（JGD2011）,高橋伸明,戸張司,H27.3.5,
149,自由民主党東京都品川区第三十支部,品川区豊町５－７－４,35.605649,139.720150,座標系（JGD2011）,吉田あつみ,小池美知江,H27.3.31,
150,自由民主党東京都品川区第三十一支部,品川区西中延３－１５－２,35.606686,139.708200,座標系（JGD2011）,杉山錠士,田澤悟郎,H27.3.13,
151,自由民主党東京都品川区第三十二支部,品川区東品川３－１４－３４,35.614334,139.745274,座標系（JGD2011）,宮城啓太,石垣宏治,H27.3.3,
152,自由民主党目黒総支部,目黒区大橋２－２４－１,35.651256,139.685091,座標系（JGD2011）,鈴木隆道,佐藤昇,S51.2.17,
153,自由民主党東京都第五選挙区支部,目黒区八雲１－３－４,35.618974,139.674680,座標系（JGD2011）,若宮健嗣,砂川卓一,H22.3.15,衆
154,自由民主党東京都目黒区第十一支部,目黒区鷹番１－５－７,35.625553,139.688857,座標系（JGD2011）,橋本欣一,川村美智子,H14.1.21,
155,自由民主党東京都目黒区第十七支部,目黒区自由が丘２－６－１９,35.612316,139.666805,座標系（JGD2011）,栗山芳士,栗山加奈子,H15.3.31,
156,自由民主党東京都目黒区第十九支部,目黒区大橋２－２４－１,35.651256,139.685091,座標系（JGD2011）,鈴木隆道,鈴木幸子,H13.3.28,
157,自由民主党東京都目黒区第二十三支部,目黒区目黒本町４－１３－１,35.624464,139.695361,座標系（JGD2011）,今井礼子,今井礼子,H14.9.26,
158,自由民主党東京都目黒区第二十四支部,目黒区碑文谷１－２３－１９,35.620302,139.689164,座標系（JGD2011）,伊藤喜昭,浅賀総治,H15.3.7,
159,自由民主党東京都目黒区第二十六支部,目黒区上目黒３－２１－２８,35.644940,139.693821,座標系（JGD2011）,磯野弘三,磯野明子,H15.3.31,
160,自由民主党東京都目黒区第二十七支部,目黒区祐天寺２－１９－１０,35.635770,139.692277,座標系（JGD2011）,赤城裕,飯田幹雄,H19.3.5,
161,自由民主党東京都目黒区第二十九支部,目黒区大岡山１－２７－８,35.612660,139.681681,座標系（JGD2011）,飯田美惠子,林レイ子,H18.8.14,
162,自由民主党東京都目黒区第三十一支部,目黒区中央町１－３－７,35.629147,139.695186,座標系（JGD2011）,佐藤昇,佐藤美紀,H19.3.8,
163,自由民主党東京都目黒区第三十二支部,目黒区五本木２－６－９,35.635400,139.687450,座標系（JGD2011）,宗田次郎,宗田光恵,H19.1.24,
164,自由民主党東京都目黒区第三十四支部,目黒区上目黒４－２１－８,35.641870,139.691294,座標系（JGD2011）,小野瀬康裕,小野瀬早苗,H19.3.7,
165,自由民主党東京都目黒区第三十五支部,目黒区平町２－１６－４,35.614143,139.680443,座標系（JGD2011）,田島憲二,田中克治,H19.3.9,
166,自由民主党東京都目黒区第三十六支部,目黒区八雲２－２５－１２,35.616790,139.669075,座標系（JGD2011）,宮沢宏行,宮沢信男,H23.7.14,
167,自由民主党東京都目黒区第三十七支部,目黒区下目黒４－１０－２９,35.631585,139.705985,座標系（JGD2011）,佐藤光伸,丹生剛太,H27.2.9,
168,自由民主党東京都目黒区第三十八支部,目黒区碑文谷２－７－２０,35.622475,139.688370,座標系（JGD2011）,河野陽子,中島恭子,H27.2.2,
169,自由民主党東京都目黒区第三十九支部,目黒区駒場１－３４－１０,35.657813,139.685065,座標系（JGD2011）,鈴木理志,高澤俊也,H27.2.27,
170,自由民主党東京都目黒区第四十支部,目黒区自由が丘２－１１－８,35.607356,139.667771,座標系（JGD2011）,西村千帆,中山絵里子,H27.2.12,
171,自由民主党東京都目黒区第四十一支部,目黒区目黒本町５－２７－１７,35.619907,139.698879,座標系（JGD2011）,小林佳奈子,杉岡哲也,H27.4.9,
172,自由民主党大田総支部,大田区蒲田５－３０－１５,35.561831,139.719644,座標系（JGD2011）,浅井隆,岸田哲治,S54.3.10,
173,自由民主党東京都第四選挙区支部,大田区蒲田５－３０－１５,35.561831,139.719644,座標系（JGD2011）,平将明,山森寛之,H15.10.17,衆
174,自由民主党東京都大田区第３支部,大田区池上３－３０－１０,35.574314,139.703351,座標系（JGD2011）,松原忠義,小野隆士郎,H11.12.28,
175,自由民主党東京都大田区第七支部,大田区西糀谷４－１６－１７,35.554836,139.731441,座標系（JGD2011）,神林茂,藤田秀実,H12.6.2,
176,自由民主党東京都大田区第八支部,大田区北千束１－１３－３,35.609452,139.690063,座標系（JGD2011）,岸田哲治,土屋昌寿,H12.6.2,
177,自由民主党東京都大田区第十支部,大田区西蒲田６－１０－３,35.567153,139.710145,座標系（JGD2011）,田中吉一,衣笠かほる,H19.3.13,
178,自由民主党東京都大田区第十五支部,大田区大森西５－１０－５,35.571999,139.730600,座標系（JGD2011）,鈴木晶雅,稲田龍介,H12.6.2,
179,自由民主党東京都大田区第十九支部,大田区池上５－１－３,35.574565,139.710357,座標系（JGD2011）,松原秀典,井上忠男,H12.6.2,
180,自由民主党東京都大田区第二十支部,大田区西馬込２－３１－３,35.584736,139.704034,座標系（JGD2011）,高瀬三徳,須恵忠義,H19.6.5,
181,自由民主党東京都大田区第二十一支部,大田区中央２－２２－１８,35.576993,139.721188,座標系（JGD2011）,鈴木章浩,先崎正孝,H19.1.5,
182,自由民主党東京都大田区第二十二支部,大田区羽田３－１－２,35.548713,139.744652,座標系（JGD2011）,安藤充,田村宝,H15.3.24,
183,自由民主党東京都大田区第二十三支部,大田区大森北１－１４－４,35.585486,139.729173,座標系（JGD2011）,伊藤和弘,伊藤和弘,H19.1.5,
184,自由民主党東京都大田区第二十四支部,大田区東蒲田１－１２－１６,35.564863,139.728608,座標系（JGD2011）,大森昭彦,柳町忠,H15.3.24,
