指定者,公職の種類,政治団体の名称,事務所の所在地,緯度,経度,座標系
小松久子,都議会議員,小松久子とキラリ☆市民倶楽部,杉並区阿佐谷南１－１５－６,35.699559,139.635767,座標系（JGD2011）
小山有彦,都議会議員,小山くにひこ後援会,府中市宮町１－９－１,35.670259,139.480602,座標系（JGD2011）
近藤充,都議会議員,充政会,八王子市元本郷町３－１７－１２,35.665626,139.315015,座標系（JGD2011）
西条庄治,都議会議員,西条庄治後援会,文京区大塚２－１７－８,35.720673,139.732309,座標系（JGD2011）
齊藤敦,都議会議員,斉藤あつしと頑張る会,小平市小川町２－２０３３－１４,35.731928,139.467059,座標系（JGD2011）
齋藤泰宏,都議会議員,泰平会,目黒区鷹番３－４－１１,35.627298,139.684964,座標系（JGD2011）
酒井大史,都議会議員,酒井大史後援会,立川市曙町２－３４－６,35.701827,139.414788,座標系（JGD2011）
崎山知尚,都議会議員,崎山知尚後援会,荒川区西尾久３－２０－３,35.750718,139.762152,座標系（JGD2011）
桜井浩之,都議会議員,桜井ひろゆき後援会,墨田区立花５－３－１,35.711316,139.829309,座標系（JGD2011）
佐藤由美,都議会議員,さとう由美とともに創る会,葛飾区西新小岩１－６－３,35.718881,139.856702,座標系（JGD2011）
塩村文夏,都議会議員,塩村あやか後援会,世田谷区用賀４－１１－１７,35.627896,139.633676,座標系（JGD2011）
篠塚元,都議会議員,しのづか元を育てる会,多摩市聖ケ丘３－２－８,35.632146,139.463124,座標系（JGD2011）
柴崎幹男,都議会議員,しばざき幹男の会,練馬区関町北１－２４－５,35.727077,139.578379,座標系（JGD2011）
島崎義司,都議会議員,島崎義司後援会,武蔵野市境５－１３－２,35.702757,139.535058,座標系（JGD2011）
島田幸成,都議会議員,都政一新！島田幸成とあゆむ会,羽村市五ノ神１－８－６,35.757781,139.316750,座標系（JGD2011）
清水孝治,都議会議員,清水こうじ後援会,立川市若葉町２－２１－２,35.718302,139.442347,座標系（JGD2011）
鈴木晶雅,都議会議員,菜の花の会,大田区大森西５－１０－５,35.571999,139.730600,座標系（JGD2011）
鈴木勝博,都議会議員,鈴木かつひろ後援会,足立区鹿浜３－２４－６,35.782231,139.752303,座標系（JGD2011）
鈴木貫太郎,都議会議員,川の手２１懇話会,荒川区町屋３－１６－１５,35.748452,139.781306,座標系（JGD2011）
鈴木隆道,都議会議員,次世代政経研究会,目黒区大橋２－２４－１,35.651256,139.685091,座標系（JGD2011）
関口太一,都議会議員,関口太一後援会,世田谷区宇奈根２－５－２,35.621124,139.598576,座標系（JGD2011）
高木啓,都議会議員,高木啓後援会,北区王子本町１－１４－９,35.753601,139.733382,座標系（JGD2011）
高倉良生,都議会議員,高倉良生後援会,中野区上高田１－２６－１,35.708538,139.678641,座標系（JGD2011）
高島直樹,都議会議員,新声経友会,足立区千住４－９－７,35.753939,139.801327,座標系（JGD2011）
高椙健一,都議会議員,高椙健一友の会,国分寺市日吉町４－１１－８,35.706495,139.461963,座標系（JGD2011）
瀧口学,都議会議員,たきぐち学後援会,荒川区東日暮里４－２０－７,35.725992,139.780764,座標系（JGD2011）
滝沢景一,都議会議員,滝沢景一後援会,八王子市八幡町１－３,35.659707,139.328072,座標系（JGD2011）
田島和明,都議会議員,新政会,江戸川区鹿骨１－３８－１５,35.707078,139.888551,座標系（JGD2011）
田代博嗣,都議会議員,博友会,世田谷区羽根木１－１９－２５,35.663341,139.659316,座標系（JGD2011）
橘正剛,都議会議員,たちばな正剛を励ます会,板橋区赤塚新町１－１０－７,35.769383,139.648328,座標系（JGD2011）
田中英二,都議会議員,東京諸島の未来を考える会,新島村本村６－６－１０,34.371651,139.253262,座標系（JGD2011）
田中健,都議会議員,田中健後援会,大田区南雪谷３－２－９,35.592805,139.685175,座標系（JGD2011）
田中豪,都議会議員,田中たけし後援会,品川区大井１－１１－６,35.607513,139.732594,座標系（JGD2011）
谷村孝彦,都議会議員,谷村たかひこ後援会,東村山市廻田町１－２２－５７,35.757528,139.452226,座標系（JGD2011）
角田豊治,都議会議員,角田統領後援会,西多摩郡瑞穂町大字武蔵１８３－３,35.765553,139.352976,座標系（JGD2011）
友利春久,都議会議員,友利春久後援会,足立区舎人５－８－１１,35.810466,139.765940,座標系（JGD2011）
中嶋義雄,都議会議員,２１世紀ヒューマンネットワーク研究会,世田谷区松原３－８－１０,35.664162,139.644262,座標系（JGD2011）
中谷祐二,都議会議員,祐進会,練馬区田柄２－３４－３,35.766944,139.644178,座標系（JGD2011）
長橋桂一,都議会議員,長橋桂一後援会,豊島区上池袋３－２５－１１,35.740016,139.719272,座標系（JGD2011）
中村明彦,都議会議員,中村あきひこ後援会,台東区池之端４－２６－３１,35.719986,139.769539,座標系（JGD2011）
中村洋,都議会議員,中村ひろしを支える会,三鷹市下連雀３－２２－５,35.700998,139.562120,座標系（JGD2011）
中屋文孝,都議会議員,ＨＯＭＥＴＯＷＮ東京２１クラブ創造政策研究会,文京区白山２－２４－７,35.716193,139.750923,座標系（JGD2011）
中山信行,都議会議員,中山信行政策研究会,足立区梅田７－１０－１６,35.767822,139.800130,座標系（JGD2011）
中山寛進,都議会議員,中山ひろゆき後援会,台東区浅草１－１－７,35.711474,139.797152,座標系（JGD2011）
西岡真一郎,都議会議員,西岡真一郎を育てる会,小金井市中町４－１２－１１,35.696529,139.506108,座標系（JGD2011）
西崎光子,都議会議員,わくわく会議,世田谷区豪徳寺１－２０－７,35.652469,139.647421,座標系（JGD2011）
西澤郁子,都議会議員,田の上いくこと共に立ち上がる会,江戸川区宇喜田町１１２６,35.678444,139.861413,座標系（JGD2011）
西澤圭太,都議会議員,圭太会,中野区本町５－３９－１０,35.692286,139.668672,座標系（JGD2011）
野上純子,都議会議員,野上純子後援会,葛飾区高砂１－２５－２３,35.744875,139.860687,座標系（JGD2011）
野副秀樹,都議会議員,笑顔の東京,八王子市上柚木３－５－４,35.616622,139.373279,座標系（JGD2011）
野田数,都議会議員,脱藩議員の会,東村山市野口町１－４６,35.760174,139.465333,座標系（JGD2011）
花輪智史,都議会議員,花輪ともふみ後援会,世田谷区南烏山６－４－１２,35.668863,139.599704,座標系（JGD2011）
馬場裕子,都議会議員,馬場裕子後援会,品川区東大井２－６－１０,35.602637,139.742579,座標系（JGD2011）
浜田浩樹,都議会議員,浜田ひろきを応援する会,渋谷区恵比寿１－２２－３,35.646295,139.712966,座標系（JGD2011）
早坂義弘,都議会議員,東京の「いのち」を守る会,杉並区上荻１－１１－５,35.704520,139.616459,座標系（JGD2011）
林田武,都議会議員,林田武後援会,福生市福生１１３０,35.743319,139.323181,座標系（JGD2011）
原田大,都議会議員,原田大後援会,北区王子本町１－２２－３,35.753985,139.733697,座標系（JGD2011）
東村邦浩,都議会議員,東村くにひろ後援会,八王子市元本郷町４－２０－２５,35.665989,139.314819,座標系（JGD2011）
藤井一,都議会議員,藤井一後援会,大田区北糀谷１－２０－９,35.561436,139.737081,座標系（JGD2011）
舟坂誓生,都議会議員,舟坂ちかお後援会誓勝会,葛飾区奥戸４－１７－１９,35.728150,139.867276,座標系（JGD2011）
發地易隆,都議会議員,都政隆友会,足立区千住旭町４－１８,35.749258,139.807495,座標系（JGD2011）
堀宏道,都議会議員,ほりこうどう後援会,豊島区西池袋４－９－５,35.728450,139.701059,座標系（JGD2011）
堀部康,都議会議員,堀部やすし・東京ルネサンス,杉並区阿佐谷北６－２３－５,35.715017,139.636108,座標系（JGD2011）
増子博樹,都議会議員,ますこひろき後援会,文京区大塚５－２０－５,35.721905,139.729408,座標系（JGD2011）
舛添要一,知事,泰山会,世田谷区代田３－４８－１,35.656480,139.656696,座標系（JGD2011）
松井比呂美,都議会議員,未来都市東京を考える会,目黒区目黒本町４－２－１,35.622883,139.698330,座標系（JGD2011）
松浦威明,都議会議員,松浦威明を応援する会,杉並区高円寺南１－３２－６,35.701090,139.658054,座標系（JGD2011）
松葉多美子,都議会議員,松葉多美子後援会,杉並区清水３－６－１３,35.715976,139.616428,座標系（JGD2011）
両角穣,都議会議員,もろずみみのる後援会,八王子市元本郷町１－１８－２,35.664252,139.323027,座標系（JGD2011）
柳ヶ瀬裕文,都議会議員,やながせ裕文後援会,大田区千鳥２－３５－５,35.568673,139.694498,座標系（JGD2011）
山内玲子,都議会議員,山内れい子とひまわり会議,国立市中１－１９－１０,35.696209,139.441351,座標系（JGD2011）
山口拓,都議会議員,山口拓後援会,世田谷区太子堂３－１８－３,35.648384,139.668666,座標系（JGD2011）
山崎一輝,都議会議員,やまざき一輝後援会,江東区南砂２－２８－１５,35.675217,139.823055,座標系（JGD2011）
山下太郎,都議会議員,山下太郎と明日をつくる会,東久留米市金山町１－１－４,35.766311,139.538919,座標系（JGD2011）
山田忠昭,都議会議員,山田忠昭後援会,西東京市中町２－３－２,35.743199,139.559501,座標系（JGD2011）
吉倉正美,都議会議員,よしくら正美後援会,新宿区高田馬場４－３０－７,35.709532,139.698297,座標系（JGD2011）
吉原修,都議会議員,吉原修連合後援会,町田市中町１－１１－６,35.548473,139.444488,座標系（JGD2011）
和田宗春,都議会議員,和田宗春君を育てる会,北区神谷１－２８－８,35.768176,139.731224,座標系（JGD2011）
