地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost
5,13120,20,練馬区,Nerima-ku,3144,618311,13351398,2359,263730,4716849,5,583,8850,166,224899,5747335,584,128052,2867158,-,-,-,30,1047,11206
5,13121,21,足立区,Adachi-ku,2746,603827,12305146,2149,241890,4075703,2,205,x,95,160709,3837865,471,199290,4359100,1,114,x,28,1619,25618
5,13122,22,葛飾区,Katsushika-ku,1817,439173,8933378,1376,153022,2636619,1,736,x,52,189214,4116179,357,95404,2150707,-,-,-,31,797,x
5,13123,23,江戸川区,Edogawa-ku,2060,432159,8500090,1594,186997,3232996,3,4751,97000,81,135872,3086196,364,104238,2082186,-,-,-,18,301,1712
2,13200,,市部,All shi,20152,4062214,77731910,16124,1718653,28779906,23,242910,6764401,524,833492,19455011,3300,1262317,22698179,5,94,1700,176,4748,32713
5,13201,1,八王子市,Hachioji-shi,2317,456136,9361066,1705,194206,3190268,3,16564,x,85,110140,2684862,497,134783,2876225,1,16,x,26,427,1691
5,13202,2,立川市,Tachikawa-shi,914,374194,6575327,692,74318,1217693,3,130704,3175000,22,55033,958475,179,113851,1223368,-,-,-,18,288,791
5,13203,3,武蔵野市,Musashino-shi,568,119652,2900120,362,44872,858386,4,9246,371275,36,21028,538240,161,44335,1129592,-,-,-,5,171,2627
5,13204,4,三鷹市,Mitaka-shi,929,227468,4877705,705,71183,1245431,-,-,-,47,111778,2833472,154,42951,786394,-,-,-,23,1556,12408
5,13205,5,青梅市,Ome-shi,658,112932,2115875,556,63547,1015115,-,-,-,11,30824,761000,86,18464,339550,-,-,-,5,97,210
5,13206,6,府中市,Fuchu-shi,1189,244904,5581995,939,94802,1620019,2,56496,x,32,44709,1115455,212,48820,1094619,-,-,-,4,77,x
5,13207,7,昭島市,Akishima-shi,560,162050,2493688,425,46150,735833,1,86,x,16,33218,601860,111,82484,1154481,-,-,-,7,112,x
5,13208,8,調布市,Chofu-shi,977,171473,3345789,790,81128,1431438,2,4374,x,30,37448,919279,152,48462,857892,-,-,-,3,61,x
5,13209,9,町田市,Machida-shi,2032,326566,6559639,1686,187009,2992441,-,-,-,62,61253,1688327,272,77962,1874866,-,-,-,12,342,4005
5,13210,10,小金井市,Koganei-shi,717,134541,3022118,555,56053,1002805,1,2036,x,22,32350,906155,136,44048,1062933,-,-,-,3,54,x
5,13211,11,小平市,Kodaira-shi,1551,198434,3780485,1311,132394,2236901,-,-,-,23,22966,591431,207,42906,950947,2,30,x,8,138,x
5,13212,12,日野市,Hino-shi,938,372939,5325390,729,78621,1256713,1,181,x,16,16739,432880,177,276951,3624546,-,-,-,15,447,x
5,13213,13,東村山市,Higashimurayama-shi,806,104065,2024545,714,72860,1264631,-,-,-,5,13245,336200,81,17853,423014,-,-,-,6,107,700
5,13214,14,国分寺市,Kokubunji-shi,644,105103,2270057,531,54824,974902,1,9842,x,14,17740,509808,95,22615,434797,-,-,-,3,82,x
5,13215,15,国立市,Kunitachi-shi,345,84218,1574217,243,26420,452165,-,-,-,12,37894,684600,85,19685,436519,1,12,x,4,207,x
5,13218,16,福生市,Fussa-shi,247,31410,497798,222,23462,338288,-,-,-,6,1747,41000,19,6201,118510,-,-,-,-,-,-
5,13219,17,狛江市,Komae-shi,286,59740,1422577,226,23072,411354,4,10839,243400,9,13868,422752,43,11900,344731,-,-,-,4,61,340
5,13220,18,東大和市,Higashiyamato-shi,361,49006,929140,306,32157,529053,-,-,-,6,8972,220900,49,7877,179187,-,-,-,-,-,-
5,13221,19,清瀬市,Kiyose-shi,497,61693,1075107,442,47710,756507,-,-,-,1,258,x,53,13698,311800,-,-,-,1,27,x
5,13222,20,東久留米市,Higashikurume-shi,709,138382,2357914,562,55489,918739,-,-,-,21,49701,x,125,33162,564456,-,-,-,1,30,x
5,13223,21,武蔵村山市,Musashimurayama-shi,383,48402,833030,319,33580,553109,-,-,-,4,1352,26200,55,13404,253525,-,-,-,5,66,196
5,13224,22,多摩市,Tama-shi,349,109371,2377491,284,30083,491415,-,-,-,11,34560,x,52,44682,1114416,-,-,-,2,46,x
5,13225,23,稲城市,Inagi-shi,458,148112,2340715,358,42220,715167,-,-,-,13,59370,1122270,76,46327,501918,-,-,-,11,195,1360
5,13227,24,羽村市,Hamura-shi,235,32256,524109,188,20976,326971,-,-,-,1,1360,x,42,9848,166043,1,36,x,3,36,115
5,13228,25,あきる野市,Akiruno-shi,446,55095,963480,398,47285,772056,-,-,-,1,197,x,46,7599,184174,-,-,-,1,14,x
5,13229,26,西東京市,Nishitokyo-shi,1036,134072,2602533,876,84232,1472506,1,2542,x,18,15742,369936,135,31449,689676,-,-,-,6,107,x
3,13300,,郡部,All gun,372,68322,1390142,295,35827,577882,-,-,-,4,2977,x,66,29278,791797,5,184,2730,2,56,x
3,13350,,島部,All islands,136,26196,639102,82,8030,139635,-,-,-,28,13318,x,25,4834,89724,-,-,-,1,14,x
4,13360,1,大島支庁,Oshima-shicho,61,15571,365363,37,3700,71997,-,-,-,15,10083,262256,8,1774,x,-,-,-,1,14,x
4,13380,2,三宅支庁,Miyake-shicho,7,1102,15120,4,597,x,-,-,-,-,-,-,3,505,x,-,-,-,-,-,-
4,13400,3,八丈支庁,Hachijo-shicho,48,5044,138361,34,2524,40744,-,-,-,11,1899,82757,3,621,14860,-,-,-,-,-,-
4,13420,4,小笠原支庁,Ogasawara-shicho,20,4479,120258,7,1209,x,-,-,-,2,1336,x,11,1934,37984,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-7  地 域 別 構 造 別 着 工 建 築 物 (平成26年） ,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル， 金額　万円） ,,,,,,,,,,,,,,,,,,,,,,,,,
　　資料：都都市整備局市街地建築部建築企画課 ,,,,,,,,,,,,,,,,,,,,,,,,,
3-7  BUILDING CONSTRUCTION STARTＳ BY DISTRICT AND STRUCTURE（ 2014 ） ,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　(Space in m2， Value in 10 thousand yen),,,,,,,,,,,,,,,,,,,,,,,,,
　　Source: Bureau of Urban Development， TMG,,,,,,,,,,,,,,,,,,,,,,,,,
