年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,特別区税 Ku taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,ゴルフ場利用税交付金 Golf facilities tax allocations,地方消費税交付金 Local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,特別区財政調整交付金 Finance adjustment grants for ku,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成26,2014,13108,8,江東区,Koto-ku,181169,46718,633,707,1656,21,7522,213,337,56632,44,3101,2993,745,28908,10416,293,1293,10307,4136,2720,1774
平成26,2014,13109,9,品川区,Shinagawa-ku,143753,43821,516,676,1575,-,6851,172,150,37933,32,1548,4944,609,25620,9834,584,115,501,3345,4925,-
平成26,2014,13110,10,目黒区,Meguro-ku,92200,43600,349,649,1511,-,3818,116,72,15666,29,970,2426,457,9850,4608,735,8,2323,3762,761,490
平成26,2014,13111,11,大田区,Ota-ku,251467,70592,1752,1111,2575,-,9907,317,372,71327,69,2527,6965,1114,45574,15053,451,85,7832,7501,4544,1800
平成26,2014,13112,12,世田谷区,Setagaya-ku,265943,113280,1148,1846,4289,-,10659,382,310,46251,90,1661,6126,1309,36861,19163,1206,456,2224,7531,8430,2720
平成26,2014,13113,13,渋谷区,Shibuya-ku,91892,45611,384,670,1570,-,6164,128,43,7107,34,773,3433,701,9589,3760,454,81,-,9541,1033,816
平成26,2014,13114,14,中野区,Nakano-ku,132377,32275,391,499,1159,-,4112,130,105,35961,24,635,1986,515,21822,9353,3019,835,2105,2892,1476,13083
平成26,2014,13115,15,杉並区,Suginami-ku,172912,60804,691,1018,2362,-,6818,230,177,42718,56,776,3984,770,23757,10442,221,21,5257,7449,1587,3776
平成26,2014,13116,16,豊島区,Toshima-ku,132058,30229,416,442,1034,-,5253,138,98,30309,25,905,3005,635,19607,6684,272,59,27793,49,2040,3063
平成26,2014,13117,17,北区,Kita-ku,131432,26492,432,419,973,9,4468,144,160,49904,27,1371,3023,543,23703,7040,455,9,4721,2888,3308,1342
平成26,2014,13118,18,荒川区,Arakawa-ku,90632,15820,261,242,565,-,2745,87,122,37166,18,1068,1958,341,16258,4802,284,7,1610,2474,1799,3005
平成26,2014,13119,19,板橋区,Itabashi-ku,197574,43274,739,684,1588,4,6991,246,340,66691,56,2844,3764,794,42323,11612,475,29,2600,5294,2394,4832
平成26,2014,13120,20,練馬区,Nerima-ku,249989,62986,964,1024,2377,-,8515,321,352,82154,71,1043,3866,821,46152,17220,1233,131,8862,2647,3443,5808
平成26,2014,13121,21,足立区,Adachi-ku,272069,45299,988,679,1579,2,8638,330,544,101926,78,2260,4518,830,59075,16872,809,23,10292,4830,10507,1992
平成26,2014,13122,22,葛飾区,Katsushika-ku,177310,31871,624,492,1144,-,5546,208,348,70927,50,1617,2587,516,33200,10522,294,33,3027,7475,4186,2641
平成26,2014,13123,23,江戸川区,Edogawa-ku,245281,50405,995,788,1832,-,8252,332,454,89165,70,2398,4117,815,50128,13025,545,147,3937,12719,3652,1506
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (1) 歳入 (平成24～26年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (1) REVENUE ( Fiscal Years 2012-2014 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課「特別区決算状況」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,
