地域階層,地域コード,項番 Item number,地域,District,農家数 Farm households／総数 Total,農家数 Farm households／自給的農家数 Non-commercial farm households,農家数 Farm households／販売農家数 Commercial farm households,農家数 Farm households／販売農家数 Commercial farm households／専業農家 Fulltime,農家数 Farm households／販売農家数 Commercial farm households／兼業農家 Parttime,農家数 Farm households／販売農家数 Commercial farm households／兼業農家 Parttime／第1種 Mainly farming,農家数 Farm households／販売農家数 Commercial farm households／兼業農家 Parttime／第2種 Mainly other jobs,農家人口（販売農家） Farm Population(commercial)／総数 Total,農家人口（販売農家） Farm Population(commercial)／主に仕事 Mainly engaged in work／自営農業が主の人 a),農家人口（販売農家） Farm Population(commercial)／主に仕事 Mainly engaged in work／勤務が主の人 b),農家人口（販売農家） Farm Population(commercial)／主に仕事 Mainly engaged in work／農業以外の自営業が主の人 c),農家人口（販売農家） Farm Population(commercial)／主に家事・育児 が主の人 d),農家人口（販売農家） Farm Population(commercial)／その他 1) Others,経営耕地面積(農業経営体） Managed cultivated land area／田 Paddy-fields／経営体数 Number of management entities,経営耕地面積(農業経営体） Managed cultivated land area／田 Paddy-fields／面積 Planted area,経営耕地面積(農業経営体） Managed cultivated land area／畑 Fields／経営体数 Number of management entities,経営耕地面積(農業経営体） Managed cultivated land area／畑 Fields／面積 Planted area,経営耕地面積(農業経営体） Managed cultivated land area／樹園地 Orchards／経営体数 Number of management entities,経営耕地面積(農業経営体） Managed cultivated land area／樹園地 Orchards／面積 Planted area
2,13111,11,大田区,Ota-ku,11,2,9,4,5,1,4,30,16,2,-,5,7,-,-,8,345,3,368
2,13112,12,世田谷区,Setagaya-ku,418,196,222,55,167,38,129,952,396,136,37,167,216,3,74,231,7512,106,2731
2,13113,13,渋谷区,Shibuya-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13114,14,中野区,Nakano-ku,16,12,4,1,3,1,2,10,3,2,2,2,1,-,-,8,197,1,200
2,13115,15,杉並区,Suginami-ku,119,52,67,18,49,10,39,282,107,29,18,49,79,-,-,68,2654,33,1032
2,13116,16,豊島区,Toshima-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x
2,13117,17,北区,Kita-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13118,18,荒川区,Arakawa-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13119,19,板橋区,Itabashi-ku,82,43,39,10,29,2,27,162,60,27,17,20,38,5,272,41,1187,17,270
2,13120,20,練馬区,Nerima-ku,516,164,352,89,263,93,170,1557,642,235,72,179,429,15,664,368,17592,147,3505
2,13121,21,足立区,Adachi-ku,224,108,116,34,82,23,59,562,248,92,24,52,146,26,1690,126,4698,4,71
2,13122,22,葛飾区,Katsushika-ku,140,44,96,24,72,13,59,454,200,73,17,51,113,43,4485,89,3946,6,75
2,13123,23,江戸川区,Edogawa-ku,220,71,149,62,87,23,64,648,320,79,23,65,161,21,1171,157,5906,14,758
1,13200,,市部,All shi,9208,4426,4782,1510,3272,741,2531,19841,7613,3201,783,2752,5492,817,21087,4712,240218,2583,92540
2,13201,1,八王子市,Hachioji-shi,1320,829,491,178,313,58,255,1807,697,322,74,260,454,136,3390,471,23412,250,6407
2,13202,2,立川市,Tachikawa-shi,377,102,275,95,180,54,126,1233,494,167,40,176,356,4,62,241,17697,140,11173
2,13203,3,武蔵野市,Musashino-shi,79,18,61,12,49,15,34,268,110,30,12,42,74,1,290,59,3320,26,928
2,13204,4,三鷹市,Mitaka-shi,297,75,222,100,122,26,96,990,332,127,39,174,318,3,155,205,9738,128,6228
2,13205,5,青梅市,Ome-shi,835,565,270,64,206,49,157,964,215,220,37,145,347,95,1859,267,13498,186,6920
2,13206,6,府中市,Fuchu-shi,365,178,187,75,112,25,87,825,353,120,27,90,235,101,3933,170,6341,68,2286
2,13207,7,昭島市,Akishima-shi,177,94,83,-,83,8,75,345,123,71,11,48,92,31,760,82,2776,45,1110
2,13208,8,調布市,Chofu-shi,295,111,184,57,127,22,105,806,333,110,35,123,205,34,606,176,8223,87,5043
2,13209,9,町田市,Machida-shi,988,528,460,152,308,34,274,1791,539,363,52,291,546,89,2864,527,24879,275,5609
2,13210,10,小金井市,Koganei-shi,169,57,112,48,64,6,58,452,188,53,28,69,114,3,113,99,4168,73,4132
2,13211,11,小平市,Kodaira-shi,368,102,266,114,152,23,129,1101,421,175,58,131,316,1,135,265,13543,152,4454
2,13212,12,日野市,Hino-shi,348,179,169,49,120,17,103,677,265,120,38,83,171,76,1763,157,5409,84,2402
2,13213,13,東村山市,Higashimurayama-shi,319,108,211,43,168,47,121,958,367,146,37,131,277,7,89,226,10593,147,4333
2,13214,14,国分寺市,Kokubunji-shi,234,51,183,59,124,32,92,839,361,133,27,99,219,2,60,164,12556,93,5358
2,13215,15,国立市,Kunitachi-shi,133,57,76,23,53,7,46,304,110,43,15,55,81,42,1231,77,3008,27,590
2,13218,16,福生市,Fussa-shi,50,32,18,2,16,2,14,71,25,14,3,16,13,1,10,20,746,11,106
2,13219,17,狛江市,Komae-shi,129,65,64,5,59,3,56,291,125,36,19,45,66,-,-,62,2846,30,487
2,13220,18,東大和市,Higashiyamato-shi,193,94,99,17,82,13,69,412,143,77,10,66,116,-,-,102,3819,58,1443
2,13221,19,清瀬市,Kiyose-shi,290,82,208,84,124,67,57,916,463,114,22,73,244,-,-,210,18132,46,1207
2,13222,20,東久留米市,Higashikurume-shi,299,79,220,77,143,42,101,959,445,143,36,94,241,-,-,234,13109,92,3961
2,13223,21,武蔵村山市,Musashimurayama-shi,351,170,181,59,122,29,93,759,279,129,28,114,209,2,37,188,11291,98,3320
2,13224,22,多摩市,Tama-shi,107,74,33,10,23,3,20,118,61,21,4,11,21,7,191,33,1612,26,905
2,13225,23,稲城市,Inagi-shi,280,90,190,52,138,52,86,793,340,120,23,104,206,40,685,154,3225,172,6065
2,13227,24,羽村市,Hamura-shi,123,56,67,17,50,9,41,283,102,38,17,42,84,22,411,67,3049,23,422
2,13228,25,あきる野市,Akiruno-shi,806,553,253,48,205,57,148,974,309,200,51,176,238,119,2373,260,11323,157,3904
2,13229,26,西東京市,Nishitokyo-shi,276,77,199,70,129,41,88,905,413,109,40,94,249,1,70,196,11905,89,3747
1,13300,,郡部,All gun,988,691,297,68,229,48,181,1125,321,283,63,173,285,10,119,300,15263,137,6185
2,13303,1,瑞穂町,Mizuho-machi,452,249,203,55,148,33,115,774,252,180,33,117,192,-,-,193,11079,78,4507
2,13305,2,日の出町,Hinode-machi,267,193,74,9,65,13,52,279,60,86,19,44,70,6,73,84,3355,52,1539
2,13307,3,檜原村,Hinohara-mura,188,178,10,2,8,1,7,36,5,7,8,7,9,2,35,13,559,5,74
2,13308,4,奥多摩町,Okutama-machi,81,71,10,2,8,1,7,36,4,10,3,5,14,2,11,10,270,2,65
1,13350,,島部,All islands,1136,467,669,374,295,82,213,1568,753,219,110,190,296,1,24,614,32766,438,34396
2,13361,1,大島町,Oshima-machi,194,107,87,48,39,17,22,195,128,22,4,17,24,-,-,96,8192,18,1126
2,13362,2,利島村,Toshima-mura,39,-,39,6,33,10,23,116,48,22,24,4,18,-,-,3,130,38,13096
2,13363,3,新島村,Niijima-mura,131,122,9,2,7,3,4,19,13,2,2,-,2,-,-,11,607,1,30
2,13364,4,神津島村,Kozushima-mura,61,26,35,16,19,7,12,95,55,17,7,3,13,-,-,39,1170,2,17
2,13381,5,三宅村,Miyake-mura,118,73,45,33,12,1,11,83,59,9,2,3,10,-,-,70,2418,10,58
2,13382,6,御蔵島村,Mikurajima-mura,34,12,22,5,17,-,17,49,5,15,13,4,12,-,-,29,1095,4,55
2,13401,7,八丈町,Hachijo-machi,489,100,389,247,142,37,105,899,396,117,50,147,189,1,24,319,16560,331,18956
2,13402,8,青ヶ島村,Aogashima-mura,13,6,7,4,3,1,2,12,6,3,-,-,3,-,-,8,616,1,130
2,13421,9,小笠原村,Ogasawara-mura,57,21,36,13,23,6,17,100,43,12,8,12,25,-,-,39,1978,33,928
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,,,,,,,,,,,,,,,,,,
9-1  地域別農家数， 農家人口及び経営耕地面積 （平成22年2月1日） 9-1 FARM HOUSEHOLDS，  POPULATION AND SIZE OF MANAGED CULTIVATED LAND AREA BY DISTRICT( Feb. 1，  2010 ）,,,,,,,,,,,,,,,,,,,,,,,
この表は農林業センサスによる。 農家とは経営耕地面積が10アール以上又は経営耕地面積が10アール未満であっても過去1年間（平成21年2月1日～22年1月31日） の農産物販売金額が15万円以上かのいずれかに該当する世帯である。,,,,,,,,,,,,,,,,,,,,,,,
Data are based on the Census of Agriculture and Forestry. Farm households refer to households managing cultivated land of 10 ares or more， or had total sales of at least 150000 yen over the past year (from Feb. 1， 2009 to Jan. 31， 2010) if the managed cultivated land is under 10 ares.,,,,,,,,,,,,,,,,,,,,,,,
a) Primary occupation is a self-managed farm b) Mainly employed c) Mainly self-employed in business other than agriculture d) Mainly engaged in housekeeping or child-rearing,,,,,,,,,,,,,,,,,,,,,,,
注 1) 農家人口の 「その他」 は非就業者及び14歳以下の世帯員である。,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Farm population “Others” refer to household members who are not working and those who are 14 years old and under. ,,,,,,,,,11,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「2010年世界農林業センサス　東京都調査結果報告」 Source: Bureau of General Affairs， TMG ,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　アール） (Area in ares),,,,,,,,,,,,,,,,,,,,,,,
