地域階層,地域コード,地域,District,農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／総数 Total(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／販売なし Not for sale(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／50未満 less than 50(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／50～100未満 less than 50～100(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／100～200未満 less than 100～200(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／200～300未満 less than 200～300(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／300～500未満 less than 300～500(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／500～700未満 less than 500～700(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／700～1000未満 less than 700～1000(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／1000～1500未満 less than 1000～1500(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／1500～以上 1500 and over(万円 In ten thousands of yen)
2,13222,東久留米市,Higashikurume-shi,251,9,83,39,29,27,30,15,10,4,5
2,13223,武蔵村山市,Musashimurayama-shi,197,44,47,26,24,17,15,10,6,6,2
2,13224,多摩市,Tama-shi,34,5,12,8,2,4,3,-,-,-,-
2,13225,稲城市,Inagi-shi,207,16,32,27,29,21,28,18,16,14,6
2,13227,羽村市,Hamura-shi,69,7,16,10,12,6,7,6,1,3,1
2,13228,あきる野市,Akiruno-shi,274,89,62,34,28,13,17,12,6,5,8
2,13229,西東京市,Nishitokyo-shi,212,5,56,31,38,25,23,12,11,6,5
1,13300,郡部,All gun,321,128,73,29,25,6,19,4,12,7,18
2,13303,瑞穂町,Mizuho-machi,205,70,48,20,17,4,14,4,7,4,17
2,13305,日の出町,Hinode-machi,90,47,19,7,4,2,5,-,5,1,-
2,13307,檜原村,Hinohara-mura,14,6,6,-,-,-,-,-,-,2,-
2,13308,奥多摩町,Okutama-machi,12,5,-,2,4,-,-,-,-,-,1
1,13350,島部,All islands,777,105,136,168,134,89,70,32,27,8,8
2,13361,大島町,Oshima-machi,97,11,17,15,14,12,14,6,4,2,2
2,13362,利島村,Toshima-mura,39,-,8,9,18,4,-,-,-,-,-
2,13363,新島村,Niijima-mura,11,-,2,4,1,2,-,2,-,-,-
2,13364,神津島村,Kozushima-mura,39,2,5,8,10,7,7,-,-,-,-
2,13381,三宅村,Miyake-mura,70,42,6,7,11,-,1,2,1,-,-
2,13382,御蔵島村,Mikurajima-mura,29,25,3,1,-,-,-,-,-,-,-
2,13401,八丈町,Hachijo-machi,442,21,82,121,72,53,42,19,21,5,6
2,13402,青ヶ島村,Aogashima-mura,9,3,3,-,1,2,-,-,-,-,-
2,13421,小笠原村,Ogasawara-mura,41,1,10,3,7,9,6,3,1,1,-
,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,,,,,,,,,
9-3  地域，農産物販売金額規模別経営体数 (平成22年2月1日）9-3 MANAGEMENT ENTITIES BY DISTRICT AND PRODUCE SELLING PRICE ( Feb. 1， 2010 ),,,,,,,,,,,,,,
この表は農林業センサスによる。 農家とは経営耕地面積が10アール以上又は経営耕地面積が10アール未満であっても過去1年間（平成21年2月1日～22年1月31日） の農産物販売金額が15万円以上かのいずれかに該当する世帯である。 「基幹的農業従事者」 とは， ふだん自営農業に従事することを主としている人をいう。,,,,,,,,,,,,,,
Data are based on the Census of Agriculture and Forestry. Farm households refer to households managing cultivated land of 10 ares or more， or had total sales of at least 150000 yen over the past year (from Feb. 1， 2014 to Jan. 31， 2015) if the managed cultivated land is under 10 ares.,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「2010年世界農林業センサス　東京都調査結果報告」 Source: Bureau of General Affairs， TMG ,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
（単位　経営体数） (Number of management entities),,,,,,,,,,,,,,
