年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成26,2014,13303,1,瑞穂町,Mizuho-machi,13886,172,1881,4761,1428,132,80,73,1840,579,2453,-,486,-
平成26,2014,13305,2,日の出町,Hinode-machi,8833,144,1094,3553,676,85,240,107,706,416,1156,45,613,-
平成26,2014,13307,3,檜原村,Hinohara-mura,3528,75,783,628,250,50,434,96,474,146,440,62,92,-
平成26,2014,13308,4,奥多摩町,Okutama-machi,6413,96,815,1020,537,65,754,1131,915,224,517,72,268,-
平成24,2012,13350,,島部,All islands,35070,455,9198,5139,5315,476,1813,1981,2929,1563,2863,74,3175,89
平成25,2013,13350,,島部,All islands,37968,449,7855,6076,8158,488,1739,1696,2978,1613,3215,548,3044,110
平成26,2014,13350,,島部,All islands,38249,445,7581,5636,8930,441,2290,1784,3603,1297,2876,480,2762,125
平成26,2014,13361,1,大島町,Oshima-machi,13620,87,2212,1672,5079,103,529,536,1041,527,726,406,702,-
平成26,2014,13362,2,利島村,Toshima-mura,1070,20,307,162,150,30,145,101,31,20,56,8,41,-
平成26,2014,13363,3,新島村,Niijima-mura,3607,56,645,550,287,63,280,205,478,63,699,-,280,-
平成26,2014,13364,4,神津島村,Kozushima-mura,2582,44,539,474,328,70,320,251,232,48,184,-,90,-
平成26,2014,13381,5,三宅村,Miyake-mura,3899,48,1114,435,539,47,218,275,337,258,293,16,288,32
平成26,2014,13382,6,御蔵島村,Mikurajima-mura,1167,15,524,107,90,-,68,44,181,10,83,-,46,-
平成26,2014,13401,7,八丈町,Hachijo-machi,7328,94,763,1448,1396,128,566,205,1079,280,536,9,732,93
平成26,2014,13402,8,青ヶ島村,Aogashima-mura,935,16,473,73,74,-,74,16,40,11,74,42,44,0
平成26,2014,13421,9,小笠原村,Ogasawara-mura,4040,65,1005,715,987,-,89,151,184,79,225,-,540,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,   ,
21-6  市町村普通会計決算額 (2) 歳出 (平成24～平成26年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (2) EXPENDITURE ( Fiscal Years 2012-2014 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課「市町村決算状況調査結果」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
