年次,Year,産業 (大分類) Industry (Division),産業 (大分類),Industry (Division),総数 Total 1),300万円未満 Under 3 mil. yen,300万円～500万円未満 3mil. yen - under 5mil. yen,500万円～1000万円未満 5mil. yen - under 10mil. yen,1000万円～3000万円未満 10mil. yen - under 30mil. yen,3000万円～5000万円未満30mil. yen - under 50mil. yen,5000万円～1億円未満 50mil. yen - under 100mil. yen,1億円～3億円未満 100mil. yen - under 300mil. yen,3億円～10億円未満300mil. yen - under 1 bil.yen,10億円～50億円未満 1 bil. yen - under 5 bil.yen,50億円以上 5 bil. yen or more
平成26,2014,N,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,12769,931,4479,1244,3214,379,415,191,56,39,16
平成26,2014,O,教育，学習支援業,Education， learning support,3658,353,1069,343,1047,113,104,57,20,8,-
平成26,2014,P,医療，福祉,Medical， health care and welfare,4900,697,1697,574,815,103,99,55,22,7,5
平成26,2014,Q,複合サービス事業,Compound services,6,-,2,1,2,-,-,-,-,-,1
平成26,2014,R,サービス業 (他に分類されないもの),Services， n.e.c.,13854,691,3658,1034,5483,767,738,382,164,46,26
平成24,2012,,全国,Japan,1706470,74885,609711,214636,587021,69905,45294,14793,7877,3801,2159
平成26,2014,,全国,Japan,1750071,109009,605406,224896,578309,71154,48014,16125,7893,3685,2234
平成26,2014,A，B,農業，林業・漁業,Agriculture， forestry and fisheries,19449,1861,8998,3732,3445,482,395,102,31,10,3
平成26,2014,C,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,1318,30,289,161,587,85,64,22,7,19,25
平成26,2014,D,建設業,Construction,303805,11919,106719,50059,102881,16290,6212,1270,409,157,98
平成26,2014,E,製造業,Manufacturing,270509,8931,79842,32372,108741,14825,11467,3775,2242,1191,808
平成26,2014,F,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,1019,67,113,67,255,74,117,113,104,41,38
平成26,2014,G,情報通信業,Information and communications,43522,4603,10770,3433,15984,2247,2092,1264,808,341,115
平成26,2014,H,運輸業，郵便業,Transport and postal activities,55217,1492,10825,8715,24576,3597,2484,874,375,200,107
平成26,2014,I,卸売業，小売業,Wholesale and retail trade,448343,25899,155916,57273,155271,16126,11146,3551,1750,677,307
平成26,2014,J,金融業，保険業,Finance and insurance,23971,3011,10376,1904,5219,536,674,485,372,216,312
平成26,2014,K,不動産業，物品賃貸業,Real estate and goods rental and leasing,171183,9780,65113,19797,57620,5970,4886,1640,600,310,97
平成26,2014,L,学術研究，専門・技術サービス業,Scientific research， professional and technical services,86735,8994,31888,8646,28621,2214,1704,713,347,213,216
平成26,2014,M,宿泊業，飲食サービス業,Accommodations， eating and drinking services,108772,9947,43020,14152,20389,2460,1837,584,201,112,36
平成26,2014,N,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,69422,5791,25632,8192,16211,2152,1950,719,251,77,29
平成26,2014,O,教育，学習支援業,Education， learning support,17840,2243,6077,1862,4299,484,368,130,48,19,1
平成26,2014,P,医療，福祉,Medical， health care and welfare,39187,8077,15555,4467,5345,619,433,142,57,16,8
平成26,2014,Q,複合サービス事業,Compound services,86,14,31,8,14,1,-,1,-,-,1
平成26,2014,R,サービス業 (他に分類されないもの),Services， n.e.c.,89693,6350,34242,10056,28851,2992,2185,740,291,86,33
,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,,,,,,,
8-4  産業 (大分類)，資本金階級別企業数 (平成24，26年) 8-4  ENTERPRISES BY INDUSTRY  ( DIVISION ) AND CAPITAL SIZE ( 2012 and 2014 ),,,,,,,,,,,,,,,
注 1) 資本金額が不詳の企業が含まれるため，各資本金階級の合計が総数に一致しない場合がある。,,,,,,,,,,,,,,,
Note: 1) The capital size may not add up to the total figure because the total figure includes enterprises with unknown capital.,,,,,,,,,,,,,,,
資料：総務省統計局・経済産業省，都総務局統計部産業統計課 「平成24年経済センサス-活動調査報告」，総務省統計局「平成26年経済センサス-基礎調査報告」 Source: Statistics Bureau， Ministry of Internal Affairs and Communications; Ministry of Economy， Trade and Industry; Bureau of General Affairs， TMG ,,,,,,,,,,,,,,,
