年度,Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Inhabitant tax (millions yen)／計 Total,住民税負担額 (百万円) Inhabitant tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Inhabitant tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Tax levied per capita (yen)／計 Total,1人当たり負担額 (円) Tax levied per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Tax levied per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Tax levied per household (yen)／計 Total,1世帯当たり負担額 (円) Tax levied per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Tax levied per household (yen)／市町村民税分 Municipal
平成25,2013,2,13218,福生市,Fussa-shi,5622,2231,3391,95933,38065,57868,197821,78494,119328
平成25,2013,2,13219,狛江市,Komae-shi,9877,3927,5950,124695,49579,75116,246265,97916,148349
平成25,2013,2,13220,東大和市,Higashiyamato-shi,8382,3328,5054,100094,39744,60351,237735,94396,143339
平成25,2013,2,13221,清瀬市,Kiyose-shi,7011,2782,4228,94548,37521,57027,219032,86923,132109
平成25,2013,2,13222,東久留米市,Higashikurume-shi,12059,4789,7270,103927,41273,62654,239474,95104,144370
平成25,2013,2,13223,武蔵村山市,Musashimurayama-shi,5837,2316,3521,82636,32788,49847,206612,81980,124632
平成25,2013,2,13224,多摩市,Tama-shi,16862,6703,10158,115219,45804,69415,255747,101669,154078
平成25,2013,2,13225,稲城市,Inagi-shi,10760,4278,6481,124262,49408,74854,295538,117510,178028
平成25,2013,2,13227,羽村市,Hamura-shi,5777,2306,3471,102720,41001,61718,236762,94506,142256
平成25,2013,2,13228,あきる野市,Akiruno-shi,7360,2927,4433,90991,36183,54809,239452,95218,144234
平成25,2013,2,13229,西東京市,Nishitokyo-shi,23587,9368,14219,118639,47117,71522,259760,103163,156597
平成25,2013,1,13300,郡部,All gun,4866,1926,2939,83807,33179,50628,224710,88963,135747
平成25,2013,2,13303,瑞穂町,Mizuho-machi,2948,1167,1781,89011,35226,53785,229394,90782,138612
平成25,2013,2,13305,日の出町,Hinode-machi,1395,553,842,81588,32332,49257,239911,95071,144840
平成25,2013,2,13307,檜原村,Hinohara-mura,138,55,83,59006,23369,35636,155222,61476,93745
平成25,2013,2,13308,奥多摩町,Okutama-machi,385,152,233,69911,27660,42252,183322,72529,110793
平成25,2013,1,13350,島部,All islands,2350,937,1412,87113,34744,52369,171286,68316,102970
平成25,2013,2,13361,大島町,Oshima-machi,604,239,365,74469,29497,44973,147574,58453,89121
平成25,2013,2,13362,利島村,Toshima-mura,36,14,22,107694,42745,64949,172931,68638,104293
平成25,2013,2,13363,新島村,Niijima-mura,213,85,129,77669,30788,46880,173256,68680,104576
平成25,2013,2,13364,神津島村,Kozushima-mura,140,56,85,75425,29859,45566,175143,69336,105808
平成25,2013,2,13381,三宅村,Miyake-mura,247,103,145,95385,39549,55837,155106,64310,90796
平成25,2013,2,13382,御蔵島村,Mikurajima-mura,34,14,20,97284,39436,57849,171103,69359,101744
平成25,2013,2,13401,八丈町,Hachijo-machi,604,240,364,76229,30296,45933,149571,59444,90127
平成25,2013,2,13402,青ヶ島村,Aogashima-mura,29,12,17,154932,61665,93267,231779,92251,139528
平成25,2013,2,13421,小笠原村,Ogasawara-mura,441,175,266,154134,61272,92862,309565,123060,186505
,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,
21-8  地域別個人住民税負担額 (平成21～平成25年度) 21-8  INHABITANT TAX ON INDIVIDUALS LEVIED BY DISTRICT ( Fiscal Years 2009-2013 ),,,,,,,,,,,,,,
この表の住民負担額のうち特別区の区域分は都民税及び特別区民税の収入額，その他の区域分は都民税及び市町村税の収入額による。また，負担額の算出に用いた人口及び世帯数は各年度とも10月1日現在のものである。,,,,,,,,,,,,,,
The individual inhabitant tax for the ku area is revenue from the metropolitan and municipal ku inhabitant taxes， and for the other districts is revenue from the metropolitan and municipal shi， machi， mura inhabitant taxes. The populations and houshold numbers used to calculate the levied amounts are as of Oct. 1 of the fiscal years stated.,,,,,,,,,,,,,,
資料：都主税局税制部歳入課「東京都税務統計年報」Source: Bureau of Taxation， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市町村部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,
