年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 Subsidies to municipalities where national facilities are located,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成26,2014,13228,25,あきる野市,Akiruno-shi,30619,10645,162,79,183,983,53,-,54,61,4076,12,359,140,270,4365,-,5338,112,8,721,686,277,2037
平成26,2014,13229,26,西東京市,Nishitokyo-shi,68529,31107,260,254,591,2333,-,-,86,142,4204,19,367,574,406,10472,-,8108,249,19,2629,1692,389,4627
平成24,2012,13300,,郡部,All gun,32098,10147,170,42,27,704,-,-,103,41,4265,15,227,244,182,2052,692,8641,302,24,1012,859,1039,1312
平成25,2013,13300,,郡部,All gun,32906,10278,162,53,83,698,-,-,100,41,4041,15,224,249,202,2647,753,8312,217,12,1242,946,1394,1238
平成26,2014,13300,,郡部,All gun,33545,10520,155,53,122,862,-,-,52,41,3744,13,211,253,273,2354,751,8794,231,14,1842,1083,1314,863
平成26,2014,13303,1,瑞穂町,Mizuho-machi,14227,6693,76,32,73,511,-,-,25,26,68,8,82,81,144,1349,751,2222,12,1,1219,538,126,190
平成26,2014,13305,2,日の出町,Hinode-machi,9096,2853,41,15,35,236,-,-,14,14,840,3,106,43,99,613,-,2034,154,4,234,236,1089,434
平成26,2014,13307,3,檜原村,Hinohara-mura,3607,209,10,2,3,34,-,-,3,0,1231,1,6,22,8,263,-,1476,12,5,50,159,39,74
平成26,2014,13308,4,奥多摩町,Okutama-machi,6615,765,28,4,10,81,-,-,9,0,1604,2,17,107,22,130,-,3061,52,4,340,150,61,165
平成24,2012,13350,,島部,All islands,36198,3388,196,20,12,319,1,-,113,4,10672,13,48,941,349,2051,143,10764,117,19,2045,2079,999,1905
平成25,2013,13350,,島部,All islands,39034,3369,188,25,40,316,1,-,111,4,11594,11,48,901,250,2629,143,11652,203,1059,1818,1028,798,2846
平成26,2014,13350,,島部,All islands,39371,3375,181,25,59,394,1,-,57,4,11768,9,49,928,492,3813,142,12295,136,49,1866,1066,824,1838
平成26,2014,13361,1,大島町,Oshima-machi,13776,940,57,7,16,116,1,-,19,2,3422,3,30,148,262,2539,-,4003,6,41,879,238,234,813
平成26,2014,13362,2,利島村,Toshima-mura,1115,44,2,0,1,5,-,-,1,0,345,-,-,18,0,23,-,457,4,0,128,21,49,16
平成26,2014,13363,3,新島村,Niijima-mura,3782,325,17,2,5,42,-,-,6,0,1277,1,-,102,14,187,14,1286,45,0,87,97,78,194
平成26,2014,13364,4,神津島村,Kozushima-mura,2628,229,8,2,4,28,-,-,3,0,814,1,1,40,49,95,-,1088,3,1,61,59,76,68
平成26,2014,13381,5,三宅村,Miyake-mura,4225,333,18,3,6,38,-,-,6,0,1356,1,0,66,136,78,-,1309,14,1,458,143,47,212
平成26,2014,13382,6,御蔵島村,Mikurajima-mura,1235,47,1,0,1,5,-,-,0,-,436,-,1,18,0,29,-,369,1,-,160,29,117,21
平成26,2014,13401,7,八丈町,Hachijo-machi,7401,954,67,6,15,113,-,-,19,1,2344,4,16,215,16,472,-,2416,4,1,26,232,70,410
平成26,2014,13402,8,青ヶ島村,Aogashima-mura,1099,35,4,0,1,3,-,-,1,-,368,-,-,12,0,14,-,399,10,-,0,158,94,-
平成26,2014,13421,9,小笠原村,Ogasawara-mura,4110,468,7,5,11,42,-,-,2,0,1407,-,0,309,14,377,128,969,50,5,67,89,58,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,   ,,,,,,,,
21-6 市町村普通会計決算額 (1) 歳入 (平成24～26年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (1) REVENUE ( Fiscal Years 2012-2014 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課「市町村決算状況調査結果」Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
