年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成26,2014,2,13113,渋谷区,Shibuya-ku,33,19,14,3003,1610,1393,3021,1674,1347
平成26,2014,2,13114,中野区,Nakano-ku,38,22,16,3748,2212,1536,3685,2176,1509
平成26,2014,2,13115,杉並区,Suginami-ku,62,43,19,6039,4016,2023,5990,4034,1956
平成26,2014,2,13116,豊島区,Toshima-ku,34,23,11,3400,2391,1009,3477,2420,1057
平成26,2014,2,13117,北区,Kita-ku,64,42,22,6092,4370,1722,5776,4172,1604
平成26,2014,2,13118,荒川区,Arakawa-ku,35,24,11,4145,2801,1344,4061,2828,1233
平成26,2014,2,13119,板橋区,Itabashi-ku,96,41,55,8834,3883,4951,8955,3860,5095
平成26,2014,2,13120,練馬区,Nerima-ku,105,60,45,10442,6585,3857,10208,6371,3837
平成26,2014,2,13121,足立区,Adachi-ku,94,52,42,9431,5388,4043,9378,5324,4054
平成26,2014,2,13122,葛飾区,Katsushika-ku,83,43,40,8839,4832,4007,8426,4565,3861
平成26,2014,2,13123,江戸川区,Edogawa-ku,85,40,45,10087,4437,5650,9992,4365,5627
平成26,2014,1,13200,市部,All shi,660,180,480,68109,17897,50212,69120,17784,51336
平成26,2014,2,13201,八王子市,Hachioji-shi,91,16,75,9877,1430,8447,10211,1427,8784
平成26,2014,2,13202,立川市,Tachikawa-shi,29,9,20,3325,943,2382,3346,826,2520
平成26,2014,2,13203,武蔵野市,Musashino-shi,16,4,12,1494,400,1094,1563,438,1125
平成26,2014,2,13204,三鷹市,Mitaka-shi,33,19,14,2632,1582,1050,2658,1605,1053
平成26,2014,2,13205,青梅市,Ome-shi,31,-,31,3155,-,3155,3143,3,3140
平成26,2014,2,13206,府中市,Fuchu-shi,42,16,26,4518,1754,2764,4520,1790,2730
平成26,2014,2,13207,昭島市,Akishima-shi,20,2,18,2485,200,2285,2534,197,2337
平成26,2014,2,13208,調布市,Chofu-shi,37,12,25,3489,1175,2314,3629,1211,2418
平成26,2014,2,13209,町田市,Machida-shi,67,5,62,6041,527,5514,6130,514,5616
平成26,2014,2,13210,小金井市,Koganei-shi,13,5,8,1399,544,855,1448,566,882
平成26,2014,2,13211,小平市,Kodaira-shi,25,10,15,2434,1157,1277,2451,1203,1248
平成26,2014,2,13212,日野市,Hino-shi,31,11,20,2929,1135,1794,3124,1150,1974
平成26,2014,2,13213,東村山市,Higashimurayama-shi,19,7,12,1991,710,1281,2224,795,1429
平成26,2014,2,13214,国分寺市,Kokubunji-shi,21,7,14,2119,755,1364,1982,662,1320
平成26,2014,2,13215,国立市,Kunitachi-shi,12,4,8,1180,421,759,1189,396,793
平成26,2014,2,13218,福生市,Fussa-shi,13,-,13,1280,-,1280,1268,-,1268
平成26,2014,2,13219,狛江市,Komae-shi,11,6,5,1070,643,427,1043,648,395
平成26,2014,2,13220,東大和市,Higashiyamato-shi,16,1,15,1900,105,1795,1895,97,1798
平成26,2014,2,13221,清瀬市,Kiyose-shi,15,8,7,1314,558,756,1191,458,733
平成26,2014,2,13222,東久留米市,Higashikurume-shi,17,9,8,1731,929,802,1742,930,812
平成26,2014,2,13223,武蔵村山市,Musashimurayama-shi,13,1,12,2002,146,1856,1948,125,1823
平成26,2014,2,13224,多摩市,Tama-shi,21,2,19,2475,247,2228,2538,230,2308
平成26,2014,2,13225,稲城市,Inagi-shi,13,5,8,1581,504,1077,1589,493,1096
平成26,2014,2,13227,羽村市,Hamura-shi,12,1,11,1234,100,1134,1276,80,1196
平成26,2014,2,13228,あきる野市,Akiruno-shi,15,3,12,1783,200,1583,1747,175,1572
平成26,2014,2,13229,西東京市,Nishitokyo-shi,27,17,10,2671,1732,939,2731,1765,966
平成26,2014,1,13300,郡部,All gun,14,2,12,1310,230,1080,1309,233,1076
平成26,2014,1,13350,島部,All islands,15,13,2,1087,987,100,692,550,142
,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-4  地域別保育所の状況（平成22～26年） 18-4  CHILDREN DAY CARE CENTERS BY DISTRICT ( 2010-2014 ) ,,,,,,,,,,,,,,
各年4月1日現在。休止中の施設を除く。 ,,,,,,,,,,,,,,
As of April 1 of the year noted．Figures exclude facilities currently inactive.,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
