年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B／A) Coverage rate (%) 
平成26,2014,2,13206,6,府中市,Fuchu-shi,※,259456,7,14246,259456, - , - , - ,258984, - , - , - , - , - ,7,14246,472,100
平成26,2014,2,13207,7,昭島市,Akishima-shi,,112826,5,123790,113096,12564,1,120800,112824,12564, - , - , - , - ,4,2990,272,100
平成26,2014,2,13208,8,調布市,Chofu-shi,※,226855,5,13444,226855, - , - , - ,226728, - , - , - , - , - ,5,13444,127,100
平成26,2014,2,13209,9,町田市,Machida-shi,※,428977,3, - ,428942, - , - , - ,428942, - , - , - , - , - ,3, - , - ,99.99
平成26,2014,2,13210,10,小金井市,Koganei-shi,※,121172,3,13016,121172, - , - , - ,112191, - , - , - , - , - ,3,13016,8981,100
平成26,2014,2,13211,11,小平市,Kodaira-shi,※,190147,8,8690,190147, - , - , - ,188214, - , - , - , - , - ,8,8690,1933,100
平成26,2014,2,13212,12,日野市,Hino-shi,※,184288,9,599,184288, - , - , - ,183920, - , - , - , - , - ,9,599,368,100
平成26,2014,2,13213,13,東村山市,Higashimurayama-shi,※,151272,5,1948,151272, - , - , - ,150692, - , - , - , - , - ,5,1948,580,100
平成26,2014,2,13214,14,国分寺市,Kokubunji-shi,※,122404,3,10050,122404, - , - , - ,122404, - , - , - , - , - ,3,10050, - ,100
平成26,2014,2,13215,15,国立市,Kunitachi-shi,※,75433,4,8937,75433, - , - , - ,75433, - , - , - , - , - ,4,8937, - ,100
平成26,2014,2,13218,16,福生市,Fussa-shi,※,58290,2, - ,58290, - , - , - ,58290, - , - , - , - , - ,2, - , - ,100
平成26,2014,2,13219,17,狛江市,Komae-shi,※,80853, - , - ,80853, - , - , - ,80853, - , - , - , - , - , - , - , - ,100
平成26,2014,2,13220,18,東大和市,Higashiyamato-shi,※,85232, - , - ,85232, - , - , - ,85232, - , - , - , - , - , - , - , - ,100
平成26,2014,2,13221,19,清瀬市,Kiyose-shi,※,74315,5,3705,74315, - , - , - ,74315, - , - , - , - , - ,5,3705, - ,100
平成26,2014,2,13222,20,東久留米市,Higashikurume-shi,※,116371,2,2000,116371, - , - , - ,115845, - , - , - , - , - ,2,2000,526,100
平成26,2014,2,13223,21,武蔵村山市,Musashimurayama-shi,※,70426,2,1059,70426, - , - , - ,70426, - , - , - , - , - ,2,1059, - ,100
平成26,2014,2,13224,22,多摩市,Tama-shi,※,147689,3,1600,147689, - , - , - ,146448, - , - , - , - , - ,3,1600,1241,100
平成26,2014,2,13225,23,稲城市,Inagi-shi,※,87343, - , - ,87343, - , - , - ,87343, - , - , - , - , - , - , - , - ,100
平成26,2014,2,13227,24,羽村市,Hamura-shi,,56412,2,60000,56318,6546,1,60000,56318,6546, - , - , - , - ,1, - , - ,99.83
平成26,2014,2,13228,25,あきる野市,Akiruno-shi,※,80635,2, - ,80635, - , - , - ,80635, - , - , - , - , - ,2, - , - ,100
平成26,2014,2,13229,26,西東京市,Nishitokyo-shi,※,199563,1,7000,199563, - , - , - ,199563, - , - , - , - , - ,1,7000, - ,100
平成26,2014,1,13300,,郡部,All gun,,57801,4,3400,57624,363, - , - ,55369, - ,1,3400,2255,363,3, - , - ,99.69
平成26,2014,2,13303,1,瑞穂町,Mizuho-machi,※,32933,1, - ,32933, - , - , - ,32933, - , - , - , - , - ,1, - , - ,100
平成26,2014,2,13305,2,日の出町,Hinode-machi,※,17206, - , - ,17206, - , - , - ,17206, - , - , - , - , - , - , - , - ,100
平成26,2014,2,13307,3,檜原村,Hinohara-mura,,2373,2,3400,2255,363, - , - , - , - ,1,3400,2255,363,1, - , - ,95.03
平成26,2014,2,13308,4,奥多摩町,Okutama-machi,※,5289,1, - ,5230, - , - , - ,5230, - , - , - , - , - ,1, - , - ,98.88
平成26,2014,1,13350,,島部,All islands,,26397,12,35730,26308,4343,2,15750,11678,2200,9,19980,14630,2143,1, - , - ,99.66
平成26,2014,2,13361,1,大島町,Oshima-machi,,8057,2,10650,8036,1317,1,6450,5497,912,1,4200,2539,405, - , - , - ,99.74
平成26,2014,2,13362,2,利島村,Toshima-mura,,304,1,350,304,45, - , - , - , - ,1,350,304,45, - , - , - ,100
平成26,2014,2,13363,3,新島村,Niijima-mura,,2837,1,3100,2837,393, - , - , - , - ,1,3100,2837,393, - , - , - ,100
平成26,2014,2,13364,4,神津島村,Kozushima-mura,,1895,1,2150,1891,302, - , - , - , - ,1,2150,1891,302, - , - , - ,99.79
平成26,2014,2,13381,5,三宅村,Miyake-mura,,2607,1,3920,2607,316, - , - , - , - ,1,3920,2607,316, - , - , - ,100
平成26,2014,2,13382,6,御蔵島村,Mikurajima-mura,,288,1,500,288,55, - , - , - , - ,1,500,288,55, - , - , - ,100
平成26,2014,2,13401,7,八丈町,Hachijo-machi,,7757,2,11930,7714,1582,1,9300,6181,1288,1,2630,1533,294, - , - , - ,99.45
平成26,2014,2,13402,8,青ヶ島村,Aogashima-mura,,160,1,300,160,31, - , - , - , - ,1,300,160,31, - , - , - ,100
平成26,2014,2,13421,9,小笠原村,Ogasawara-mura,,2492,2,2830,2471,302, - , - , - , - ,1,2830,2471,302,1, - , - ,99.16
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　6  電気・上下水道 ６  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,,,,,,,,,,
6-４  地域別水道の普及状況（平成22～平成26年度末） 6-４  ＷATER SUPPLY BY DISTRICT ( End of Fiscal Years 2010-2014 ),,,,,,,,,,,,,,,,,,,,,,,,
注 1) ※印を付した市町の上水道の施設数・計画給水人口及び給水量については，東京都水道局が経営しているため区部に含めた。,,,,,,,,,,,,,,,,,,,,,,,,
2) 専用水道は自己水源によるもののみである。 ,,,,,,,,,,,,,,,,,,,,,,,,
3) 「給水量」は有効水量と無効水量を合わせた配水量である。,,,,,,,,,,,,,,,,,,,,,,,,
4) 総数の計画給水人口には，専用水道の確認時給水人口を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Shi and machi marked with ※ are included in the total for all ku because their waterworks are operated by the Bureau of Waterworks， TMG.,,,,,,,,,,,,,,,,,,,,,,,,
2) “Private waterworks” are only those that have their own water sources．,,,,,,,,,,,,,,,,,,,,,,,,
3) Total population planned to be served includes the population to be served noted in the application for private waterworks. ,,,,,,,,,,,,,,,,,,,,,,,,
4)  “Water supply” is the total water， both revenue and non-revenue water， provided.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局健康安全部環境保健衛生課 Source: Bureau of Social Welfare and Public Health， TMG               ,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
