地域階層,地域コード,項番 Item number,地域,District,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
2,13113,13,渋谷区,Shibuya-ku,1993,1017,976,1545,801,744,448,216,232,-,-,-,-,-,-,59,28,31,1.02,2198,432
2,13114,14,中野区,Nakano-ku,2510,1296,1214,2651,1372,1279,-141,-76,-65,2,2,-,-,-,-,61,27,34,0.99,2779,565
2,13115,15,杉並区,Suginami-ku,4514,2317,2197,4311,2159,2152,203,158,45,10,6,4,2,1,1,87,39,48,0.99,4359,833
2,13116,16,豊島区,Toshima-ku,2055,1059,996,2314,1166,1148,-259,-107,-152,6,2,4,5,2,3,56,24,32,1,2247,482
2,13117,17,北区,Kita-ku,2683,1369,1314,3442,1839,1603,-759,-470,-289,8,5,3,6,3,3,72,40,32,1.2,2321,547
2,13118,18,荒川区,Arakawa-ku,1799,937,862,2052,1157,895,-253,-220,-33,4,1,3,1,-,1,38,22,16,1.34,1363,400
2,13119,19,板橋区,Itabashi-ku,4400,2295,2105,4813,2588,2225,-413,-293,-120,6,4,2,4,3,1,103,38,65,1.16,3587,1024
2,13120,20,練馬区,Nerima-ku,6076,3115,2961,5501,2945,2556,575,170,405,8,4,4,1,1,-,127,71,56,1.21,4142,1213
2,13121,21,足立区,Adachi-ku,5326,2727,2599,6524,3504,3020,-1198,-777,-421,15,7,8,8,4,4,126,59,67,1.37,3823,1404
2,13122,22,葛飾区,Katsushika-ku,3575,1832,1743,4311,2340,1971,-736,-508,-228,8,2,6,2,1,1,100,45,55,1.37,2472,926
2,13123,23,江戸川区,Edogawa-ku,5831,2946,2885,5435,3041,2394,396,-95,491,13,8,5,6,4,2,143,59,84,1.39,4003,1387
1,13200,,市部,All shi,31648,16153,15495,34019,18090,15929,-2371,-1937,-434,52,32,20,22,15,7,704,326,378,1.28,20099,6593
2,13201,1,八王子市,Hachioji-shi,3685,1911,1774,4839,2583,2256,-1154,-672,-482,6,4,2,4,4,-,99,40,59,1.19,2311,983
2,13202,2,立川市,Tachikawa-shi,1395,717,678,1467,804,663,-72,-87,15,4,3,1,3,3,-,25,11,14,1.26,972,334
2,13203,3,武蔵野市,Musashino-shi,1299,646,653,1114,562,552,185,84,101,1,1,-,1,1,-,31,18,13,1.17,975,200
2,13204,4,三鷹市,Mitaka-shi,1511,763,748,1426,694,732,85,69,16,2,-,2,2,-,2,35,17,18,1.16,1112,239
2,13205,5,青梅市,Ome-shi,880,436,444,1581,786,795,-701,-350,-351,1,1,-,-,-,-,22,2,20,1.27,530,234
2,13206,6,府中市,Fuchu-shi,2234,1111,1123,1899,1004,895,335,107,228,2,1,1,-,-,-,50,25,25,1.34,1362,395
2,13207,7,昭島市,Akishima-shi,895,443,452,1015,558,457,-120,-115,-5,2,-,2,-,-,-,23,12,11,1.37,563,211
2,13208,8,調布市,Chofu-shi,2076,1047,1029,1675,869,806,401,178,223,2,1,1,1,1,-,30,18,12,1.31,1379,349
2,13209,9,町田市,Machida-shi,2944,1517,1427,3438,1898,1540,-494,-381,-113,6,3,3,2,-,2,71,25,46,1.24,1762,678
2,13210,10,小金井市,Koganei-shi,1100,577,523,924,486,438,176,91,85,-,-,-,-,-,-,17,8,9,1.34,710,149
2,13211,11,小平市,Kodaira-shi,1580,823,757,1515,817,698,65,6,59,2,1,1,-,-,-,38,22,16,1.4,814,271
2,13212,12,日野市,Hino-shi,1457,720,737,1425,761,664,32,-41,73,5,4,1,1,1,-,35,20,15,1.35,993,268
2,13213,13,東村山市,Higashimurayama-shi,1077,546,531,1426,775,651,-349,-229,-120,-,-,-,-,-,-,20,10,10,1.26,591,242
2,13214,14,国分寺市,Kokubunji-shi,933,485,448,805,445,360,128,40,88,2,2,-,1,1,-,14,7,7,1.17,747,175
2,13215,15,国立市,Kunitachi-shi,570,315,255,573,303,270,-3,12,-15,2,2,-,1,1,-,11,5,6,1.24,364,109
2,13218,16,福生市,Fussa-shi,419,200,219,582,307,275,-163,-107,-56,1,-,1,-,-,-,12,5,7,1.33,333,129
2,13219,17,狛江市,Komae-shi,664,327,337,656,350,306,8,-23,31,-,-,-,-,-,-,17,8,9,1.19,470,122
2,13220,18,東大和市,Higashiyamato-shi,682,369,313,668,368,300,14,1,13,1,1,-,1,1,-,9,7,2,1.37,478,145
2,13221,19,清瀬市,Kiyose-shi,479,235,244,745,371,374,-266,-136,-130,-,-,-,-,-,-,16,8,8,1.16,302,129
2,13222,20,東久留米市,Higashikurume-shi,901,464,437,1030,559,471,-129,-95,-34,2,1,1,-,-,-,18,6,12,1.43,465,190
2,13223,21,武蔵村山市,Musashimurayama-shi,521,253,268,591,321,270,-70,-68,-2,1,1,-,-,-,-,13,5,8,1.38,289,149
2,13224,22,多摩市,Tama-shi,1068,541,527,1087,583,504,-19,-42,23,4,2,2,3,1,2,21,14,7,1.22,653,213
2,13225,23,稲城市,Inagi-shi,742,393,349,561,301,260,181,92,89,-,-,-,-,-,-,14,6,8,1.41,401,119
2,13227,24,羽村市,Hamura-shi,414,227,187,495,243,252,-81,-16,-65,-,-,-,-,-,-,10,5,5,1.38,230,93
2,13228,25,あきる野市,Akiruno-shi,598,298,300,941,485,456,-343,-187,-156,3,2,1,1,1,-,17,8,9,1.43,328,154
2,13229,26,西東京市,Nishitokyo-shi,1524,789,735,1541,857,684,-17,-68,51,3,2,1,1,-,1,36,14,22,1.25,965,313
1,13300,,郡部,All gun,374,190,184,985,495,490,-611,-305,-306,-,-,-,-,-,-,13,2,11,1.34,223,81
2,13303,1,瑞穂町,Mizuho-machi,222,112,110,358,207,151,-136,-95,-41,-,-,-,-,-,-,6,2,4,1.29,135,55
2,13305,2,日の出町,Hinode-machi,132,64,68,353,160,193,-221,-96,-125,-,-,-,-,-,-,5,-,5,1.54,69,17
2,13307,3,檜原村,Hinohara-mura,6,5,1,82,38,44,-76,-33,-43,-,-,-,-,-,-,1,-,1,0.84,6,2
2,13308,4,奥多摩町,Okutama-machi,14,9,5,192,90,102,-178,-81,-97,-,-,-,-,-,-,1,-,1,0.94,13,7
1,13350,,島部,All islands,184,86,98,393,221,172,-209,-135,-74,1,-,1,-,-,-,2,2,-,1.61,120,61
2,13361,1,大島町,Oshima-machi,44,18,26,116,66,50,-72,-48,-24,1,-,1,-,-,-,-,-,-,1.38,27,18
2,13362,2,利島村,Toshima-mura,3,1,2,-,-,-,3,1,2,-,-,-,-,-,-,-,-,-,1.96,4,2
2,13363,3,新島村,Niijima-mura,17,2,15,48,25,23,-31,-23,-8,-,-,-,-,-,-,-,-,-,1.43,11,2
2,13364,4,神津島村,Kozushima-mura,7,4,3,31,18,13,-24,-14,-10,-,-,-,-,-,-,-,-,-,0.74,9,3
2,13381,5,三宅村,Miyake-mura,20,10,10,41,25,16,-21,-15,-6,-,-,-,-,-,-,-,-,-,1.86,20,9
2,13382,6,御蔵島村,Mikurajima-mura,5,2,3,1,1,-,4,1,3,-,-,-,-,-,-,-,-,-,1.58,2,4
2,13401,7,八丈町,Hachijo-machi,54,32,22,144,78,66,-90,-46,-44,-,-,-,-,-,-,-,-,-,2.07,24,17
2,13402,8,青ヶ島村,Aogashima-mura,-,-,-,2,1,1,-2,-1,-1,-,-,-,-,-,-,-,-,-,-,3,-
2,13421,9,小笠原村,Ogasawara-mura,34,17,17,10,7,3,24,10,14,-,-,-,-,-,-,2,2,-,1.82,20,6
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,,,
2-7  人口動態  (3) 地域，男女別（平成26年）  2-7  VITAL STATISTICS  (3) BY DISTRICT AND GENDER ( 2014 ),,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,
