年次及び種類,Year and kind,月次,Month,製造工業 Manufacturing,製造工業 Manufacturing／鉄鋼業 Iron and steel,製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,製造工業 Manufacturing／金属製品工業 Fabricated metals,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／汎用機械工業 General-purpose machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／生産用機械工業 Production machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／業務用機械工業 Business use machinery,製造工業 Manufacturing／電子部品・デバイス工業 Electronic parts and devices,製造工業 Manufacturing／電気機械工業 Electrical machinery,製造工業 Manufacturing／情報通信機械工業 Information and communications equipment,製造工業 Manufacturing／輸送機械工業 Transport equipment,製造工業 Manufacturing／窯業・土石製品工業 Ceramics， stone and clay products,製造工業 Manufacturing／化学工業 Chemicals,製造工業 Manufacturing／プラスチック製品工業 Plastic products,製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,製造工業 Manufacturing／繊維工業 Textiles,製造工業 Manufacturing／食料品工業 Foods,製造工業 Manufacturing／印刷業 Printing,製造工業 Manufacturing／その他工業 Other manufacturing,製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products,電気・ガス事業 Electricity and Gas,産業総合（製造工業、電気・ガス事業） Industries(Manufacturing，Electricity and Gas)
平成26,2014,4,Apr.,104.2,89,68.2,102.5,87.4,122.3,80.7,76.8,90.8,89.2,165.3,135,98.1,130.2,108.6,93.6,99.6,100.2,85.4,65.7,36.7,66.4,103.4,110.9,72.5,107.8,104.3
平成26,2014,5,May,105.3,92.8,71.3,100.1,79.5,121.8,65.8,75.5,91.8,96.3,134.8,143,95.5,135.5,111.1,91.2,107.2,115.9,83.2,70.8,37.8,66.1,96.1,109,97.3,107.2,105.4
平成26,2014,6,June,105.6,90.4,69.4,96.9,93.7,121.9,90,79.2,90.3,95,129,138.7,93.9,150.6,112.1,88.8,100.8,105,88.2,71.1,36.8,63.7,97,102.7,100.8,115.3,105.8
平成26,2014,7,July,105,91.7,72.9,96,94.9,126.7,95.3,72.4,82.3,98.2,123.6,143.4,97.7,126.7,111.8,83.8,96,110.2,87.5,71.7,38.6,63.7,89.4,93.9,101.4,102,105
平成26,2014,8,Aug.,100.2,90.8,65.2,87.9,86.9,118.9,89.5,61.3,85.9,98.8,110.7,146.7,97.9,119.9,99.7,92.4,99.7,98.1,87.6,69.3,40.6,55,76.2,94.8,100,94.2,100
平成26,2014,9,Sept.,102.2,91,71.4,92.5,92.2,120.1,96.5,69.7,84,97.2,101.5,141.8,96.5,125.4,98.9,92.6,102.4,97.7,91.2,72.9,37.3,57.6,97.6,113.9,101.2,81.7,102
平成26,2014,10,Oct.,103,90.6,73.1,90.3,97.1,120.6,106.5,72.6,83.5,100.7,124,140.9,99.1,115.9,96.1,93.6,99.9,101.2,89.3,67.6,37.6,55,80.4,87.3,96.5,71.2,102.7
平成26,2014,11,Nov.,102,92,76.5,86.7,91.9,122.5,93.8,72.6,83,91.5,125.4,146.2,96.5,114.9,96.8,92.7,96.6,100.4,89.4,68.8,33.4,55.1,98.6,93.9,95.2,94.1,101.9
平成26,2014,12,Dec.,99.7,96,78.5,83.5,88.7,123.3,82.4,76,76.4,95,116.8,142.2,97.8,109.5,97.3,91.1,96.8,103.3,89.1,66.7,31.5,52.1,77.5,97.2,98.3,107.4,99.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 11 工業 11 MANUFACTURING INDUSTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-2 工業指数（1）生産指数 （平成22～26年） 11-２ INDUSTRIAL INDICES (１) INDICES OF INDUSTRIAL PRODUCTION ( 2010-2014 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)  ウェイト………平成 22年の付加価値額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  算式………固定ウェイトによる加重算術平均式  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)　Weight  ……… Added value in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)　Formula……… Weighted arithmetic mean by commodity based upon fixed weight.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 月別の値は，季節調整済みである。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 暦年の値は月別原指数の平均値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Monthly figures are seasonally adjusted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Yearly figures are the averages of the original monthly indices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「東京都工業指数年報」 Source: Bureau of General Affairs，T.M.G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(平成 22年平均＝100.0) (2010  Average=100.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
