地域階層,地域コード,項番 Item number,地域,District,登録自動車 Motor vehicles registered／総数 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／計 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／普通車 Ordinary,登録自動車 Motor vehicles registered／貨物自動車 Trucks／小型車 Small,登録自動車 Motor vehicles registered／貨物自動車 Trucks／被けん引車 Trailers,登録自動車 Motor vehicles registered／乗用車 Passenger cars／計 Total,登録自動車 Motor vehicles registered／乗用車 Passenger cars／普通車 Ordinary,登録自動車 Motor vehicles registered／乗用車 Passenger cars／小型車 Small,登録自動車 Motor vehicles registered／乗合自動車 Buses,登録自動車 Motor vehicles registered／特種用途車 Special use motor vehicles,登録自動車 Motor vehicles registered／大型特殊車 Heavy special type motor vehicles,1)小型二輪車（検査） Light two-wheeled motor vehicles ( Inspected ),2)課税登録台数軽自動車(四輪車) Light four-wheeled motor vehicles registered,有料駐車場 Pay parking lots／駐車場数 Quantity,有料駐車場 Pay parking lots／収容台数 Capacity,,
5,13121,21,足立区,Adachi-ku,184937,33912,13976,19784,152,142198,74158,68040,1171,6733,923,8522,41944,34,7139,,
5,13122,22,葛飾区,Katsushika-ku,105044,14783,4847,9831,105,86096,45240,40856,514,2891,760,5464,20960,18,3812,,
5,13123,23,江戸川区,Edogawa-ku,173963,31581,14017,16667,897,133644,73490,60154,1065,6013,1660,8364,29962,21,2967,,
2,13200,,市部,All shi,1154236,98373,31338,66585,450,1023072,500038,523034,5181,24310,3300,54644,353846,312,63276,,
5,13201,1,八王子市,Hachioji-shi,178530,17204,6107,11008,89,155244,74540,80704,1112,4408,562,8817,63229,63,13084,,
5,13202,2,立川市,Tachikawa-shi,54508,5737,1429,4300,8,46792,22246,24546,241,1573,165,2445,17997,30,6338,,
5,13203,3,武蔵野市,Musashino-shi,27665,1578,333,1245,-,25217,14479,10738,332,471,67,1322,4221,25,2805,,
5,13204,4,三鷹市,Mitaka-shi,42044,3535,1023,2504,8,37655,20378,17277,66,703,85,2362,8130,5,615,,
5,13205,5,青梅市,Ome-shi,48428,4248,1559,2599,90,42772,19132,23640,200,1006,202,2430,25985,4,376,,
5,13206,6,府中市,Fuchu-shi,65963,6475,2126,4329,20,57408,28825,28583,265,1600,215,3224,15917,12,3361,,
5,13207,7,昭島市,Akishima-shi,33701,3203,1175,2019,9,29481,13590,15891,144,726,147,1507,11833,6,842,,
5,13208,8,調布市,Chofu-shi,52915,4641,1441,3197,3,46751,25106,21645,288,1070,165,2524,10293,31,5003,,
5,13209,9,町田市,Machida-shi,129410,9110,2788,6308,14,117293,57820,59473,687,2070,250,5370,37680,33,7349,,
5,13210,10,小金井市,Koganei-shi,25306,1319,292,1025,2,23485,12058,11427,73,369,60,1304,4937,7,1017,,
5,13211,11,小平市,Kodaira-shi,48942,3791,1086,2700,5,43774,21319,22455,186,1004,187,2370,11992,2,96,,
5,13212,12,日野市,Hino-shi,49671,2974,738,2232,4,45338,21976,23362,191,1036,132,2372,13615,9,2289,,
5,13213,13,東村山市,Higashimurayama-shi,40428,3402,1106,2292,4,35934,16656,19278,116,886,90,1789,12446,4,646,,
5,13214,14,国分寺市,Kokubunji-shi,28255,1664,291,1372,1,26042,13139,12903,84,405,60,1334,5870,4,1039,,
5,13215,15,国立市,Kunitachi-shi,19959,2485,1133,1322,30,16741,9021,7720,31,612,90,801,4138,5,319,,
5,13218,16,福生市,Fussa-shi,25978,1653,486,1162,5,23766,9827,13939,91,386,82,1230,8752,12,1840,,
5,13219,17,狛江市,Komae-shi,17443,1621,396,1223,2,15365,8082,7283,132,296,29,1051,3411,3,302,,
5,13220,18,東大和市,Higashiyamato-shi,26459,2350,621,1725,4,23458,10857,12601,54,534,63,1347,9823,1,64,,
5,13221,19,清瀬市,Kiyose-shi,18523,1403,316,1085,2,16714,7637,9077,92,273,41,809,6304,5,466,,
5,13222,20,東久留米市,Higashikurume-shi,32030,3118,898,2207,13,27929,13084,14845,190,720,73,1407,9211,2,108,,
5,13223,21,武蔵村山市,Musashimurayama-shi,27969,4601,1996,2534,71,21956,10257,11699,68,1265,79,1333,14060,1,2956,,
5,13224,22,多摩市,Tama-shi,40279,2275,682,1585,8,37006,18194,18812,224,745,29,1865,9503,22,7148,,
5,13225,23,稲城市,Inagi-shi,24908,2028,669,1353,6,22283,11467,10816,57,504,36,1011,5963,10,2206,,
5,13227,24,羽村市,Hamura-shi,19536,1805,701,1082,22,17283,7980,9303,53,307,88,835,9051,2,185,,
5,13228,25,あきる野市,Akiruno-shi,29216,2770,1072,1694,4,25517,11357,14160,104,636,189,1594,19672,7,2147,,
5,13229,26,西東京市,Nishitokyo-shi,46170,3383,874,2483,26,41868,21011,20857,100,705,114,2191,9813,7,675,,
3,13300,,郡部,All gun,27964,5673,2803,2645,225,20093,9089,11004,282,1517,399,1221,16219,-,-,,
3,13350,,島部,All islands,9785,2447,965,1459,23,5492,1451,4041,134,771,941,276,15367,-,-,,
,,,地域不詳,Not reported,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,,
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT,,,,,,,,,,,,,,,,,,,,,
4-6  地域別自動車保有台数及び有料駐車場数 (平成26年度末) ,,,,,,,,,,,,,,,,,,,,,
登録自動車台数及び課税登録台数（軽自動車）には，外国軍人軍属の私有車を含む。 また， 駐車場は駐車場法に基づき ,,,,,,,,,,,,,,,,,,,,,
　　　　　 　 届けられた500㎡以上のものである。 ,,,,,,,,,,,,,,,,,,,,,
　　注 1) 総排気量が250㏄を超えるオートバイなど。 ,,,,,,,,,,,,,,,,,,,,,
　　 　 2) 軽自動車の登録台数は年度当初の課税台数である。 ,,,,,,,,,,,,,,,,,,,,,
　　資料： (財)自動車検査登録情報協会，都総務局行政部区政課，都建設局道路管理部管理課,,,,,,,,,,,,,,,,,,,,, 
4-6  NUMBER OF MOTOR VEHICLES AND PAY PARKING LOTS BY DISTRICT ,,,,,,,,,,,,,,,,,,,,,
( End of Fiscal Year 2014 ) ,,,,,,,,,,,,,,,,,,,,,
"Motor vehicles registered and ""Light four-wheeled motor vehicles registered"" include private vehicles owned by foreign military and civilian ",,,,,,,,,,,,,,,,,,,,,
"personnel.  ""Pay parking lots"" refer to those with an area of at least 500㎡ reported as regulated under the Parking Lot Act. ",,,,,,,,,,,,,,,,,,,,,
　　Note: 1) Such as motorcycles with a displacement of over 250cc. ,,,,,,,,,,,,,,,,,,,,,
　　　 　　 2) The number of light four-wheeled motor vehicles registered is the number of such vehicles taxed as of the beginning of the fiscal year. ,,,,,,,,,,,,,,,,,,,,,
　　Source: Automobile Inspection and Registration Information Association; Bureau of General Affairs，TMG;BureauofConstruction，TMG,,,,,,,,,,,,,,,,,,,,, 
