 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,489",420,"4,156",891,216,420,562,891,"1,273",-,"3,594",-
,34.6%,20.0%,55.2%,24.4%,19.8%,20.0%,37.8%,24.4%,39.7%,-,59.5%,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"128,884","21,623","349,513","71,210","36,476","21,377","93,500","70,610","92,408",246,"256,013",600
,127.7%,172.9%,112.7%,138.5%,134.2%,174.7%,117.6%,138.8%,125.3%,90.1%,111.0%,107.3%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"12,093","3,955","32,951","13,732","3,714","3,906","9,690","13,545","8,379",49,"23,261",187
,106.3%,90.6%,94.6%,106.2%,109.9%,93.1%,99.4%,108.2%,104.7%,28.5%,92.7%,45.5%
中国(香港含む),"75,422","51,598","210,701","145,196","13,162","51,491","33,767","144,787","62,260",107,"176,934",409
,97.9%,108.8%,90.5%,99.5%,81.2%,108.9%,82.7%,99.7%,102.4%,78.7%,92.2%,51.6%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"22,341","23,889","62,147","53,746","11,233","22,585","30,508","49,306","11,108","1,304","31,639","4,440"
,84.2%,87.4%,82.3%,81.7%,74.7%,88.6%,71.3%,82.0%,96.7%,71.5%,96.7%,79.3%
内航定期計,"18,500","5,063","50,786","12,326","9,365","3,765","25,274","7,904","9,135","1,298","25,512","4,422"
,100.3%,106.5%,99.2%,92.0%,97.6%,123.4%,94.3%,91.2%,103.3%,76.3%,104.6%,93.6%
北海道,"6,160",-,"15,872",176,"3,363",-,"8,363",176,"2,797",-,"7,509",-
,97.0%,-,90.0%,16.0%,99.4%,-,91.3%,53.5%,94.3%,-,88.6%,-
東北,"3,294",645,"10,364","2,225","1,806",643,"5,190","2,005","1,488",2,"5,174",220
,94.2%,65.6%,91.1%,58.6%,102.8%,83.7%,88.7%,61.4%,85.5%,0.9%,93.6%,41.3%
関東,-,-,44,140,-,-,-,140,-,-,44,-
,-,-,14.1%,94.6%,-,-,-,259.3%,-,-,176.0%,-
伊豆諸島,-,-,307,-,-,-,222,-,-,-,85,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"2,201","1,973","5,092","3,404",705,"1,972","1,560","3,403","1,496",1,"3,532",1
,117.8%,99.9%,101.0%,87.3%,180.3%,114.7%,101.5%,101.9%,101.2%,0.4%,100.8%,0.2%
近畿,"1,048","1,087","3,785","2,147",98,"1,087",325,"2,099",950,-,"3,460",48
,242.0%,200.2%,279.1%,130.4%,166.1%,215.7%,181.6%,132.9%,254.0%,-,294.0%,71.6%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,820",48,"6,942",110,"1,162",24,"3,046",42,"1,658",24,"3,896",68
,108.2%,266.7%,96.7%,63.6%,89.9%,2400.0%,89.2%,41.2%,126.2%,141.2%,103.4%,95.8%
沖縄,"2,977","1,310","8,380","4,124","2,231",39,"6,568",39,746,"1,271","1,812","4,085"
,84.0%,181.7%,101.2%,156.8%,86.8%,-,103.1%,-,76.8%,176.3%,95.1%,155.3%
内航不定期,"3,841","18,826","11,361","41,420","1,868","18,820","5,234","41,402","1,973",6,"6,127",18
,47.5%,83.4%,46.7%,79.1%,34.3%,83.9%,32.8%,80.4%,74.6%,5.0%,73.4%,2.1%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
